time,system_state,pressure,regime,damage_flow,recovery_flow,net_flow
74,    0.000000,   82.050000,degraded,   49.577715,    0.800000,  -48.777715
75,    0.000000,   82.900000,degraded,   50.495460,    0.800000,  -49.695460
76,    0.000000,   83.750000,degraded,   51.421875,    0.800000,  -50.621875
77,    0.000000,   84.600000,degraded,   52.356960,    0.800000,  -51.556960
78,    0.000000,   85.450000,degraded,   53.300715,    0.800000,  -52.500715
79,    0.000000,   86.300000,degraded,   54.253140,    0.800000,  -53.453140
80,    0.000000,   87.150000,degraded,   55.214235,    0.800000,  -54.414235
81,    0.000000,   88.000000,degraded,   56.184000,    0.800000,  -55.384000
82,    0.000000,   88.850000,degraded,   57.162435,    0.800000,  -56.362435
83,    0.000000,   89.700000,degraded,   58.149540,    0.800000,  -57.349540
84,    0.000000,   90.550000,degraded,   59.145315,    0.800000,  -58.345315
85,    0.000000,   90.200000,degraded,   58.734240,    0.800000,  -57.934240
86,    0.000000,   89.850000,degraded,   58.324635,    0.800000,  -57.524635
87,    0.000000,   89.500000,degraded,   57.916500,    0.800000,  -57.116500
88,    0.000000,   89.150000,degraded,   57.509835,    0.800000,  -56.709835
89,    0.000000,   88.800000,degraded,   57.104640,    0.800000,  -56.304640
90,    0.000000,   88.450000,degraded,   56.700915,    0.800000,  -55.900915
91,    0.000000,   88.100000,degraded,   56.298660,    0.800000,  -55.498660
92,    0.000000,   87.750000,degraded,   55.897875,    0.800000,  -55.097875
93,    0.000000,   87.400000,degraded,   55.498560,    0.800000,  -54.698560
94,    0.000000,   87.050000,degraded,   55.100715,    0.800000,  -54.300715
95,    0.000000,   86.700000,degraded,   54.704340,    0.800000,  -53.904340
96,    0.000000,   86.350000,degraded,   54.309435,    0.800000,  -53.509435
97,    0.000000,   86.000000,degraded,   53.916000,    0.800000,  -53.116000
98,    0.000000,   85.650000,degraded,   53.524035,    0.800000,  -52.724035
99,    0.000000,   85.300000,degraded,   53.133540,    0.800000,  -52.333540
100,    0.000000,   84.950000,degraded,   52.744515,    0.800000,  -51.944515
101,    0.000000,   84.600000,degraded,   52.356960,    0.800000,  -51.556960
102,    0.000000,   84.250000,degraded,   51.970875,    0.800000,  -51.170875
103,    0.000000,   83.900000,degraded,   51.586260,    0.800000,  -50.786260
104,    0.000000,   83.550000,degraded,   51.203115,    0.800000,  -50.403115
105,    0.000000,   83.200000,degraded,   50.821440,    0.800000,  -50.021440
106,    0.000000,   82.850000,degraded,   50.441235,    0.800000,  -49.641235
107,    0.000000,   82.500000,degraded,   50.062500,    0.800000,  -49.262500
108,    0.000000,   82.150000,degraded,   49.685235,    0.800000,  -48.885235
109,    0.000000,   81.800000,degraded,   49.309440,    0.800000,  -48.509440
110,    0.000000,   81.450000,degraded,   48.935115,    0.800000,  -48.135115
111,    0.000000,   81.100000,degraded,   48.562260,    0.800000,  -47.762260
112,    0.000000,   80.750000,degraded,   48.190875,    0.800000,  -47.390875
113,    0.000000,   80.400000,degraded,   47.820960,    0.800000,  -47.020960
114,    0.000000,   80.050000,degraded,   47.452515,    0.800000,  -46.652515
115,    0.000000,   79.700000,degraded,   47.085540,    0.800000,  -46.285540
116,    0.000000,   79.350000,degraded,   46.720035,    0.800000,  -45.920035
117,    0.000000,   79.000000,degraded,   46.356000,    0.800000,  -45.556000
118,    0.000000,   78.650000,degraded,   45.993435,    0.800000,  -45.193435
119,    0.000000,   78.300000,degraded,   45.632340,    0.800000,  -44.832340
120,    0.000000,   77.950000,degraded,   45.272715,    0.800000,  -44.472715
121,    0.000000,   77.600000,degraded,   44.914560,    0.800000,  -44.114560
122,    0.000000,   77.250000,degraded,   44.557875,    0.800000,  -43.757875
123,    0.000000,   76.900000,degraded,   44.202660,    0.800000,  -43.402660
124,    0.000000,   76.550000,degraded,   43.848915,    0.800000,  -43.048915
125,    0.000000,   76.200000,degraded,   43.496640,    0.800000,  -42.696640
126,    0.000000,   75.850000,degraded,   43.145835,    0.800000,  -42.345835
127,    0.000000,   75.500000,degraded,   42.796500,    0.800000,  -41.996500
128,    0.000000,   75.150000,degraded,   42.448635,    0.800000,  -41.648635
129,    0.000000,   74.800000,degraded,   42.102240,    0.800000,  -41.302240
130,    0.000000,   74.450000,degraded,   41.757315,    0.800000,  -40.957315
131,    0.000000,   74.100000,degraded,   41.413860,    0.800000,  -40.613860
132,    0.000000,   73.750000,degraded,   41.071875,    0.800000,  -40.271875
133,    0.000000,   73.400000,degraded,   40.731360,    0.800000,  -39.931360
134,    0.000000,   73.050000,degraded,   40.392315,    0.800000,  -39.592315
135,    0.000000,   72.700000,degraded,   40.054740,    0.800000,  -39.254740
136,    0.000000,   72.350000,degraded,   39.718635,    0.800000,  -38.918635
137,    0.000000,   72.000000,degraded,   39.384000,    0.800000,  -38.584000
138,    0.000000,   71.650000,degraded,   39.050835,    0.800000,  -38.250835
139,    0.000000,   71.300000,degraded,   38.719140,    0.800000,  -37.919140
140,    0.000000,   70.950000,degraded,   38.388915,    0.800000,  -37.588915
