scenario,from_node,to_node,dependency_weight
high_coupling,node_0,node_3,0.015936
high_coupling,node_1,node_3,0.071399
high_coupling,node_5,node_3,0.033153
high_coupling,node_9,node_3,0.081092
high_coupling,node_10,node_3,0.04482
high_coupling,node_6,node_4,0.009901
high_coupling,node_7,node_4,0.037435
high_coupling,node_8,node_4,0.116327
high_coupling,node_10,node_4,0.082737
high_coupling,node_2,node_5,0.026654
high_coupling,node_4,node_5,0.056755
high_coupling,node_8,node_5,0.093535
high_coupling,node_10,node_5,0.008884
high_coupling,node_11,node_5,0.060572
high_coupling,node_2,node_6,0.05628
high_coupling,node_8,node_6,0.100229
high_coupling,node_11,node_6,0.089891
high_coupling,node_0,node_7,0.03419
high_coupling,node_4,node_7,0.038807
high_coupling,node_5,node_7,0.067711
high_coupling,node_8,node_7,0.048513
high_coupling,node_10,node_7,0.05718
high_coupling,node_2,node_8,0.032911
high_coupling,node_3,node_8,0.085751
high_coupling,node_6,node_8,0.009657
high_coupling,node_10,node_8,0.047047
high_coupling,node_11,node_8,0.071034
high_coupling,node_1,node_9,0.053991
high_coupling,node_3,node_9,0.094609
high_coupling,node_5,node_9,0.060538
high_coupling,node_7,node_9,0.037263
high_coupling,node_1,node_10,0.020654
high_coupling,node_2,node_10,0.047734
high_coupling,node_3,node_10,0.02032
high_coupling,node_4,node_10,0.050921
high_coupling,node_5,node_10,0.071351
high_coupling,node_7,node_10,0.021645
high_coupling,node_9,node_10,0.013774
high_coupling,node_4,node_11,0.2464
higher_redundancy,node_2,node_0,0.014383
higher_redundancy,node_3,node_0,0.034639
higher_redundancy,node_6,node_0,0.020831
higher_redundancy,node_7,node_0,0.011908
higher_redundancy,node_9,node_0,0.011039
higher_redundancy,node_0,node_1,0.02163
higher_redundancy,node_3,node_1,0.028927
higher_redundancy,node_5,node_1,0.007013
higher_redundancy,node_7,node_1,0.004899
higher_redundancy,node_8,node_1,0.030331
higher_redundancy,node_10,node_2,0.063041
higher_redundancy,node_11,node_2,0.029759
higher_redundancy,node_0,node_3,0.006002
higher_redundancy,node_1,node_3,0.02689
higher_redundancy,node_5,node_3,0.012486
higher_redundancy,node_9,node_3,0.030541
higher_redundancy,node_10,node_3,0.01688
higher_redundancy,node_6,node_4,0.003729
higher_redundancy,node_7,node_4,0.014099
higher_redundancy,node_8,node_4,0.043812
higher_redundancy,node_10,node_4,0.031161
higher_redundancy,node_2,node_5,0.010039
higher_redundancy,node_4,node_5,0.021375
higher_redundancy,node_8,node_5,0.035227
higher_redundancy,node_10,node_5,0.003346
higher_redundancy,node_11,node_5,0.022813
higher_redundancy,node_2,node_6,0.021196
higher_redundancy,node_8,node_6,0.037748
higher_redundancy,node_11,node_6,0.033855
higher_redundancy,node_0,node_7,0.012877
higher_redundancy,node_4,node_7,0.014616
higher_redundancy,node_5,node_7,0.025501
higher_redundancy,node_8,node_7,0.018271
higher_redundancy,node_10,node_7,0.021535
higher_redundancy,node_2,node_8,0.012395
higher_redundancy,node_3,node_8,0.032296
higher_redundancy,node_6,node_8,0.003637
higher_redundancy,node_10,node_8,0.017719
higher_redundancy,node_11,node_8,0.026753
higher_redundancy,node_1,node_9,0.020334
higher_redundancy,node_3,node_9,0.035632
higher_redundancy,node_5,node_9,0.0228
higher_redundancy,node_7,node_9,0.014034
higher_redundancy,node_1,node_10,0.007779
higher_redundancy,node_2,node_10,0.017978
higher_redundancy,node_3,node_10,0.007653
higher_redundancy,node_4,node_10,0.019178
higher_redundancy,node_5,node_10,0.026872
higher_redundancy,node_7,node_10,0.008152
higher_redundancy,node_9,node_10,0.005187
higher_redundancy,node_4,node_11,0.0928
severe_shock,node_2,node_0,0.022319
severe_shock,node_3,node_0,0.05375
severe_shock,node_6,node_0,0.032324
severe_shock,node_7,node_0,0.018478
severe_shock,node_9,node_0,0.017129
severe_shock,node_0,node_1,0.033564
severe_shock,node_3,node_1,0.044887
severe_shock,node_5,node_1,0.010882
severe_shock,node_7,node_1,0.007602
severe_shock,node_8,node_1,0.047066
severe_shock,node_10,node_2,0.097823
severe_shock,node_11,node_2,0.046177
severe_shock,node_0,node_3,0.009313
severe_shock,node_1,node_3,0.041727
severe_shock,node_5,node_3,0.019375
severe_shock,node_9,node_3,0.047391
severe_shock,node_10,node_3,0.026194
severe_shock,node_6,node_4,0.005786
severe_shock,node_7,node_4,0.021878
severe_shock,node_8,node_4,0.067984
severe_shock,node_10,node_4,0.048353
severe_shock,node_2,node_5,0.015577
severe_shock,node_4,node_5,0.033168
severe_shock,node_8,node_5,0.054663
severe_shock,node_10,node_5,0.005192
severe_shock,node_11,node_5,0.035399
severe_shock,node_2,node_6,0.032891
severe_shock,node_8,node_6,0.058575
severe_shock,node_11,node_6,0.052534
severe_shock,node_0,node_7,0.019981
severe_shock,node_4,node_7,0.022679
severe_shock,node_5,node_7,0.039571
severe_shock,node_8,node_7,0.028352
severe_shock,node_10,node_7,0.033417
severe_shock,node_2,node_8,0.019234
severe_shock,node_3,node_8,0.050114
severe_shock,node_6,node_8,0.005644
severe_shock,node_10,node_8,0.027495
severe_shock,node_11,node_8,0.041513
severe_shock,node_1,node_9,0.031553
severe_shock,node_3,node_9,0.055291
severe_shock,node_5,node_9,0.035379
severe_shock,node_7,node_9,0.021777
severe_shock,node_1,node_10,0.012071
severe_shock,node_2,node_10,0.027897
severe_shock,node_3,node_10,0.011876
severe_shock,node_4,node_10,0.029759
severe_shock,node_5,node_10,0.041699
severe_shock,node_7,node_10,0.01265
severe_shock,node_9,node_10,0.00805
severe_shock,node_4,node_11,0.144
