scenario,time,node,state,system_performance,worst_node_state,system_performance_loss
baseline,11,communications,0.976239,0.989115,0.965534,0.010885
baseline,11,emergency_response,0.965534,0.989115,0.965534,0.010885
baseline,11,finance,1.000509,0.989115,0.965534,0.010885
baseline,11,food_distribution,0.993165,0.989115,0.965534,0.010885
baseline,11,household_resilience,0.992892,0.989115,0.965534,0.010885
baseline,11,manufacturing,1.002054,0.989115,0.965534,0.010885
baseline,11,power,1.001374,0.989115,0.965534,0.010885
baseline,11,public_health,0.995466,0.989115,0.965534,0.010885
baseline,11,retail_access,0.994239,0.989115,0.965534,0.010885
baseline,11,suppliers,0.981638,0.989115,0.965534,0.010885
baseline,11,transport,0.973347,0.989115,0.965534,0.010885
baseline,11,water,1.005326,0.989115,0.965534,0.010885
baseline,11,workforce,0.976715,0.989115,0.965534,0.010885
baseline,12,communications,0.965985,0.988744,0.965985,0.011256
baseline,12,emergency_response,0.967476,0.988744,0.965985,0.011256
baseline,12,finance,0.987441,0.988744,0.965985,0.011256
baseline,12,food_distribution,0.987709,0.988744,0.965985,0.011256
baseline,12,household_resilience,0.998401,0.988744,0.965985,0.011256
baseline,12,manufacturing,1.001846,0.988744,0.965985,0.011256
baseline,12,power,0.994478,0.988744,0.965985,0.011256
baseline,12,public_health,0.994491,0.988744,0.965985,0.011256
baseline,12,retail_access,0.991789,0.988744,0.965985,0.011256
baseline,12,suppliers,0.992949,0.988744,0.965985,0.011256
baseline,12,transport,0.981166,0.988744,0.965985,0.011256
baseline,12,water,1.010378,0.988744,0.965985,0.011256
baseline,12,workforce,0.979566,0.988744,0.965985,0.011256
baseline,13,communications,0.961523,0.988802,0.961523,0.011198
baseline,13,emergency_response,0.973202,0.988802,0.961523,0.011198
baseline,13,finance,0.99546,0.988802,0.961523,0.011198
baseline,13,food_distribution,0.987075,0.988802,0.961523,0.011198
baseline,13,household_resilience,0.994942,0.988802,0.961523,0.011198
baseline,13,manufacturing,1.0052,0.988802,0.961523,0.011198
baseline,13,power,0.993489,0.988802,0.961523,0.011198
baseline,13,public_health,0.996228,0.988802,0.961523,0.011198
baseline,13,retail_access,0.997104,0.988802,0.961523,0.011198
baseline,13,suppliers,0.989199,0.988802,0.961523,0.011198
baseline,13,transport,0.981512,0.988802,0.961523,0.011198
baseline,13,water,1.00554,0.988802,0.961523,0.011198
baseline,13,workforce,0.973956,0.988802,0.961523,0.011198
baseline,14,communications,0.962684,0.986427,0.962684,0.013573
baseline,14,emergency_response,0.965485,0.986427,0.962684,0.013573
baseline,14,finance,1.002737,0.986427,0.962684,0.013573
baseline,14,food_distribution,0.984393,0.986427,0.962684,0.013573
baseline,14,household_resilience,0.992853,0.986427,0.962684,0.013573
baseline,14,manufacturing,1.000065,0.986427,0.962684,0.013573
baseline,14,power,0.99632,0.986427,0.962684,0.013573
baseline,14,public_health,0.996704,0.986427,0.962684,0.013573
baseline,14,retail_access,0.993794,0.986427,0.962684,0.013573
baseline,14,suppliers,0.978339,0.986427,0.962684,0.013573
baseline,14,transport,0.97722,0.986427,0.962684,0.013573
baseline,14,water,0.994586,0.986427,0.962684,0.013573
baseline,14,workforce,0.978365,0.986427,0.962684,0.013573
baseline,15,communications,0.968514,0.985475,0.968514,0.014525
baseline,15,emergency_response,0.971457,0.985475,0.968514,0.014525
baseline,15,finance,1.004802,0.985475,0.968514,0.014525
baseline,15,food_distribution,0.980092,0.985475,0.968514,0.014525
baseline,15,household_resilience,0.982155,0.985475,0.968514,0.014525
baseline,15,manufacturing,0.994973,0.985475,0.968514,0.014525
baseline,15,power,0.981652,0.985475,0.968514,0.014525
baseline,15,public_health,0.99278,0.985475,0.968514,0.014525
baseline,15,retail_access,0.997157,0.985475,0.968514,0.014525
baseline,15,suppliers,0.990144,0.985475,0.968514,0.014525
baseline,15,transport,0.971531,0.985475,0.968514,0.014525
baseline,15,water,0.998488,0.985475,0.968514,0.014525
baseline,15,workforce,0.97743,0.985475,0.968514,0.014525
baseline,16,communications,0.969482,0.984034,0.9672,0.015966
baseline,16,emergency_response,0.9672,0.984034,0.9672,0.015966
baseline,16,finance,1.009628,0.984034,0.9672,0.015966
baseline,16,food_distribution,0.976892,0.984034,0.9672,0.015966
baseline,16,household_resilience,0.990099,0.984034,0.9672,0.015966
baseline,16,manufacturing,0.995106,0.984034,0.9672,0.015966
baseline,16,power,0.976919,0.984034,0.9672,0.015966
baseline,16,public_health,0.98595,0.984034,0.9672,0.015966
baseline,16,retail_access,0.994344,0.984034,0.9672,0.015966
baseline,16,suppliers,0.988559,0.984034,0.9672,0.015966
baseline,16,transport,0.971384,0.984034,0.9672,0.015966
baseline,16,water,0.999051,0.984034,0.9672,0.015966
baseline,16,workforce,0.967829,0.984034,0.9672,0.015966
baseline,17,communications,0.973149,0.984175,0.954613,0.015825
baseline,17,emergency_response,0.954613,0.984175,0.954613,0.015825
baseline,17,finance,1.010646,0.984175,0.954613,0.015825
baseline,17,food_distribution,0.989274,0.984175,0.954613,0.015825
baseline,17,household_resilience,0.996276,0.984175,0.954613,0.015825
baseline,17,manufacturing,0.987854,0.984175,0.954613,0.015825
baseline,17,power,0.969862,0.984175,0.954613,0.015825
baseline,17,public_health,0.990306,0.984175,0.954613,0.015825
baseline,17,retail_access,0.995879,0.984175,0.954613,0.015825
baseline,17,suppliers,0.983555,0.984175,0.954613,0.015825
baseline,17,transport,0.975927,0.984175,0.954613,0.015825
baseline,17,water,0.99445,0.984175,0.954613,0.015825
baseline,17,workforce,0.972481,0.984175,0.954613,0.015825
baseline,18,communications,0.977247,0.984653,0.947447,0.015347
baseline,18,emergency_response,0.947447,0.984653,0.947447,0.015347
baseline,18,finance,1.006572,0.984653,0.947447,0.015347
baseline,18,food_distribution,0.993959,0.984653,0.947447,0.015347
baseline,18,household_resilience,1.002016,0.984653,0.947447,0.015347
baseline,18,manufacturing,0.979096,0.984653,0.947447,0.015347
baseline,18,power,0.969452,0.984653,0.947447,0.015347
baseline,18,public_health,0.989132,0.984653,0.947447,0.015347
baseline,18,retail_access,0.997611,0.984653,0.947447,0.015347
baseline,18,suppliers,0.985454,0.984653,0.947447,0.015347
baseline,18,transport,0.982259,0.984653,0.947447,0.015347
baseline,18,water,0.994299,0.984653,0.947447,0.015347
baseline,18,workforce,0.975943,0.984653,0.947447,0.015347
baseline,19,communications,0.978085,0.982791,0.947084,0.017209
baseline,19,emergency_response,0.947084,0.982791,0.947084,0.017209
baseline,19,finance,1.002032,0.982791,0.947084,0.017209
baseline,19,food_distribution,0.982578,0.982791,0.947084,0.017209
baseline,19,household_resilience,1.000857,0.982791,0.947084,0.017209
baseline,19,manufacturing,0.974783,0.982791,0.947084,0.017209
baseline,19,power,0.966864,0.982791,0.947084,0.017209
baseline,19,public_health,0.981488,0.982791,0.947084,0.017209
baseline,19,retail_access,0.99332,0.982791,0.947084,0.017209
baseline,19,suppliers,0.998766,0.982791,0.947084,0.017209
baseline,19,transport,0.979026,0.982791,0.947084,0.017209
baseline,19,water,0.99537,0.982791,0.947084,0.017209
baseline,19,workforce,0.976035,0.982791,0.947084,0.017209
baseline,20,communications,0.977115,0.981219,0.937,0.018781
baseline,20,emergency_response,0.937,0.981219,0.937,0.018781
baseline,20,finance,1.008638,0.981219,0.937,0.018781
baseline,20,food_distribution,0.981904,0.981219,0.937,0.018781
baseline,20,household_resilience,0.99371,0.981219,0.937,0.018781
baseline,20,manufacturing,0.979187,0.981219,0.937,0.018781
baseline,20,power,0.96961,0.981219,0.937,0.018781
baseline,20,public_health,0.98238,0.981219,0.937,0.018781
baseline,20,retail_access,0.991243,0.981219,0.937,0.018781
baseline,20,suppliers,0.996065,0.981219,0.937,0.018781
baseline,20,transport,0.969927,0.981219,0.937,0.018781
baseline,20,water,0.996075,0.981219,0.937,0.018781
baseline,20,workforce,0.972989,0.981219,0.937,0.018781
baseline,21,communications,0.97598,0.978799,0.93037,0.021201
baseline,21,emergency_response,0.93037,0.978799,0.93037,0.021201
baseline,21,finance,1.003317,0.978799,0.93037,0.021201
baseline,21,food_distribution,0.972082,0.978799,0.93037,0.021201
baseline,21,household_resilience,0.997577,0.978799,0.93037,0.021201
baseline,21,manufacturing,0.977799,0.978799,0.93037,0.021201
baseline,21,power,0.973322,0.978799,0.93037,0.021201
baseline,21,public_health,0.986197,0.978799,0.93037,0.021201
baseline,21,retail_access,0.99978,0.978799,0.93037,0.021201
baseline,21,suppliers,0.995992,0.978799,0.93037,0.021201
baseline,21,transport,0.964176,0.978799,0.93037,0.021201
baseline,21,water,0.981005,0.978799,0.93037,0.021201
baseline,21,workforce,0.966791,0.978799,0.93037,0.021201
baseline,22,communications,0.961572,0.978045,0.920981,0.021955
baseline,22,emergency_response,0.920981,0.978045,0.920981,0.021955
baseline,22,finance,1.012408,0.978045,0.920981,0.021955
baseline,22,food_distribution,0.962956,0.978045,0.920981,0.021955
baseline,22,household_resilience,1.005407,0.978045,0.920981,0.021955
baseline,22,manufacturing,0.977676,0.978045,0.920981,0.021955
baseline,22,power,0.975832,0.978045,0.920981,0.021955
baseline,22,public_health,0.979944,0.978045,0.920981,0.021955
baseline,22,retail_access,0.989967,0.978045,0.920981,0.021955
baseline,22,suppliers,1.007165,0.978045,0.920981,0.021955
baseline,22,transport,0.960289,0.978045,0.920981,0.021955
baseline,22,water,0.985961,0.978045,0.920981,0.021955
baseline,22,workforce,0.974422,0.978045,0.920981,0.021955
baseline,23,communications,0.955539,0.97727,0.933138,0.02273
baseline,23,emergency_response,0.933138,0.97727,0.933138,0.02273
baseline,23,finance,1.006174,0.97727,0.933138,0.02273
baseline,23,food_distribution,0.958578,0.97727,0.933138,0.02273
baseline,23,household_resilience,0.994654,0.97727,0.933138,0.02273
baseline,23,manufacturing,0.976801,0.97727,0.933138,0.02273
baseline,23,power,0.983979,0.97727,0.933138,0.02273
baseline,23,public_health,0.980809,0.97727,0.933138,0.02273
baseline,23,retail_access,0.987291,0.97727,0.933138,0.02273
baseline,23,suppliers,1.010518,0.97727,0.933138,0.02273
baseline,23,transport,0.95397,0.97727,0.933138,0.02273
baseline,23,water,0.990415,0.97727,0.933138,0.02273
baseline,23,workforce,0.972643,0.97727,0.933138,0.02273
baseline,24,communications,0.955363,0.974078,0.926787,0.025922
baseline,24,emergency_response,0.926787,0.974078,0.926787,0.025922
baseline,24,finance,1.003058,0.974078,0.926787,0.025922
baseline,24,food_distribution,0.951744,0.974078,0.926787,0.025922
baseline,24,household_resilience,0.996178,0.974078,0.926787,0.025922
baseline,24,manufacturing,0.976341,0.974078,0.926787,0.025922
baseline,24,power,0.987193,0.974078,0.926787,0.025922
baseline,24,public_health,0.982277,0.974078,0.926787,0.025922
baseline,24,retail_access,0.986931,0.974078,0.926787,0.025922
baseline,24,suppliers,1.003225,0.974078,0.926787,0.025922
baseline,24,transport,0.941112,0.974078,0.926787,0.025922
baseline,24,water,0.986388,0.974078,0.926787,0.025922
baseline,24,workforce,0.966413,0.974078,0.926787,0.025922
baseline,25,communications,0.95676,0.972245,0.92924,0.027755
baseline,25,emergency_response,0.92924,0.972245,0.92924,0.027755
baseline,25,finance,1.007607,0.972245,0.92924,0.027755
baseline,25,food_distribution,0.94759,0.972245,0.92924,0.027755
baseline,25,household_resilience,0.989929,0.972245,0.92924,0.027755
baseline,25,manufacturing,0.979202,0.972245,0.92924,0.027755
baseline,25,power,0.982449,0.972245,0.92924,0.027755
baseline,25,public_health,0.990791,0.972245,0.92924,0.027755
baseline,25,retail_access,0.969884,0.972245,0.92924,0.027755
baseline,25,suppliers,0.997053,0.972245,0.92924,0.027755
baseline,25,transport,0.932582,0.972245,0.92924,0.027755
baseline,25,water,0.982722,0.972245,0.92924,0.027755
baseline,25,workforce,0.973376,0.972245,0.92924,0.027755
baseline,26,communications,0.95574,0.97162,0.927509,0.02838
baseline,26,emergency_response,0.927509,0.97162,0.927509,0.02838
baseline,26,finance,1.015493,0.97162,0.927509,0.02838
baseline,26,food_distribution,0.941962,0.97162,0.927509,0.02838
baseline,26,household_resilience,0.981105,0.97162,0.927509,0.02838
baseline,26,manufacturing,0.97984,0.97162,0.927509,0.02838
baseline,26,power,0.983005,0.97162,0.927509,0.02838
baseline,26,public_health,0.991904,0.97162,0.927509,0.02838
baseline,26,retail_access,0.961508,0.97162,0.927509,0.02838
baseline,26,suppliers,1.007258,0.97162,0.927509,0.02838
baseline,26,transport,0.93177,0.97162,0.927509,0.02838
baseline,26,water,0.990386,0.97162,0.927509,0.02838
baseline,26,workforce,0.96358,0.97162,0.927509,0.02838
baseline,27,communications,0.961643,0.971988,0.923202,0.028012
baseline,27,emergency_response,0.923202,0.971988,0.923202,0.028012
baseline,27,finance,1.028902,0.971988,0.923202,0.028012
baseline,27,food_distribution,0.934291,0.971988,0.923202,0.028012
baseline,27,household_resilience,0.978216,0.971988,0.923202,0.028012
baseline,27,manufacturing,0.993607,0.971988,0.923202,0.028012
baseline,27,power,0.982048,0.971988,0.923202,0.028012
baseline,27,public_health,0.989804,0.971988,0.923202,0.028012
baseline,27,retail_access,0.949162,0.971988,0.923202,0.028012
baseline,27,suppliers,1.015557,0.971988,0.923202,0.028012
baseline,27,transport,0.925755,0.971988,0.923202,0.028012
baseline,27,water,0.986607,0.971988,0.923202,0.028012
baseline,27,workforce,0.967047,0.971988,0.923202,0.028012
baseline,28,communications,0.954257,0.972726,0.919635,0.027274
baseline,28,emergency_response,0.926648,0.972726,0.919635,0.027274
baseline,28,finance,1.034539,0.972726,0.919635,0.027274
baseline,28,food_distribution,0.935751,0.972726,0.919635,0.027274
baseline,28,household_resilience,0.982983,0.972726,0.919635,0.027274
baseline,28,manufacturing,1.006798,0.972726,0.919635,0.027274
baseline,28,power,0.980024,0.972726,0.919635,0.027274
baseline,28,public_health,0.988592,0.972726,0.919635,0.027274
baseline,28,retail_access,0.934245,0.972726,0.919635,0.027274
baseline,28,suppliers,1.020961,0.972726,0.919635,0.027274
baseline,28,transport,0.919635,0.972726,0.919635,0.027274
baseline,28,water,0.990029,0.972726,0.919635,0.027274
baseline,28,workforce,0.970975,0.972726,0.919635,0.027274
baseline,29,communications,0.954422,0.966974,0.907024,0.033026
baseline,29,emergency_response,0.922316,0.966974,0.907024,0.033026
baseline,29,finance,1.030499,0.966974,0.907024,0.033026
baseline,29,food_distribution,0.907024,0.966974,0.907024,0.033026
baseline,29,household_resilience,0.978961,0.966974,0.907024,0.033026
baseline,29,manufacturing,1.00979,0.966974,0.907024,0.033026
baseline,29,power,0.986131,0.966974,0.907024,0.033026
baseline,29,public_health,0.976697,0.966974,0.907024,0.033026
baseline,29,retail_access,0.914164,0.966974,0.907024,0.033026
baseline,29,suppliers,1.017765,0.966974,0.907024,0.033026
baseline,29,transport,0.911545,0.966974,0.907024,0.033026
baseline,29,water,0.998412,0.966974,0.907024,0.033026
baseline,29,workforce,0.962932,0.966974,0.907024,0.033026
baseline,30,communications,0.954946,0.968052,0.909631,0.031948
baseline,30,emergency_response,0.925486,0.968052,0.909631,0.031948
baseline,30,finance,1.034205,0.968052,0.909631,0.031948
baseline,30,food_distribution,0.909631,0.968052,0.909631,0.031948
baseline,30,household_resilience,0.973167,0.968052,0.909631,0.031948
baseline,30,manufacturing,1.009271,0.968052,0.909631,0.031948
baseline,30,power,0.991212,0.968052,0.909631,0.031948
baseline,30,public_health,0.979383,0.968052,0.909631,0.031948
baseline,30,retail_access,0.909942,0.968052,0.909631,0.031948
baseline,30,suppliers,1.021652,0.968052,0.909631,0.031948
baseline,30,transport,0.911666,0.968052,0.909631,0.031948
baseline,30,water,0.994539,0.968052,0.909631,0.031948
baseline,30,workforce,0.969575,0.968052,0.909631,0.031948
baseline,31,communications,0.947011,0.968962,0.908899,0.031038
baseline,31,emergency_response,0.937174,0.968962,0.908899,0.031038
baseline,31,finance,1.035377,0.968962,0.908899,0.031038
baseline,31,food_distribution,0.912907,0.968962,0.908899,0.031038
baseline,31,household_resilience,0.970385,0.968962,0.908899,0.031038
baseline,31,manufacturing,1.012179,0.968962,0.908899,0.031038
baseline,31,power,0.985632,0.968962,0.908899,0.031038
baseline,31,public_health,0.974883,0.968962,0.908899,0.031038
baseline,31,retail_access,0.908899,0.968962,0.908899,0.031038
baseline,31,suppliers,1.012991,0.968962,0.908899,0.031038
baseline,31,transport,0.935719,0.968962,0.908899,0.031038
baseline,31,water,0.991009,0.968962,0.908899,0.031038
baseline,31,workforce,0.972336,0.968962,0.908899,0.031038
baseline,32,communications,0.955271,0.969321,0.906178,0.030679
baseline,32,emergency_response,0.937451,0.969321,0.906178,0.030679
baseline,32,finance,1.039473,0.969321,0.906178,0.030679
baseline,32,food_distribution,0.916635,0.969321,0.906178,0.030679
baseline,32,household_resilience,0.970234,0.969321,0.906178,0.030679
baseline,32,manufacturing,1.000779,0.969321,0.906178,0.030679
baseline,32,power,0.985542,0.969321,0.906178,0.030679
baseline,32,public_health,0.970175,0.969321,0.906178,0.030679
baseline,32,retail_access,0.906178,0.969321,0.906178,0.030679
baseline,32,suppliers,1.013058,0.969321,0.906178,0.030679
baseline,32,transport,0.941845,0.969321,0.906178,0.030679
baseline,32,water,0.990347,0.969321,0.906178,0.030679
baseline,32,workforce,0.974189,0.969321,0.906178,0.030679
baseline,33,communications,0.954139,0.96673,0.901511,0.03327
baseline,33,emergency_response,0.933712,0.96673,0.901511,0.03327
baseline,33,finance,1.04339,0.96673,0.901511,0.03327
baseline,33,food_distribution,0.913864,0.96673,0.901511,0.03327
baseline,33,household_resilience,0.965745,0.96673,0.901511,0.03327
baseline,33,manufacturing,0.995724,0.96673,0.901511,0.03327
baseline,33,power,0.980524,0.96673,0.901511,0.03327
baseline,33,public_health,0.971781,0.96673,0.901511,0.03327
baseline,33,retail_access,0.901511,0.96673,0.901511,0.03327
baseline,33,suppliers,1.013326,0.96673,0.901511,0.03327
baseline,33,transport,0.945785,0.96673,0.901511,0.03327
baseline,33,water,0.987348,0.96673,0.901511,0.03327
baseline,33,workforce,0.96064,0.96673,0.901511,0.03327
baseline,34,communications,0.953436,0.963821,0.901259,0.036179
baseline,34,emergency_response,0.929395,0.963821,0.901259,0.036179
baseline,34,finance,1.034085,0.963821,0.901259,0.036179
baseline,34,food_distribution,0.910376,0.963821,0.901259,0.036179
baseline,34,household_resilience,0.952859,0.963821,0.901259,0.036179
baseline,34,manufacturing,0.998431,0.963821,0.901259,0.036179
baseline,34,power,0.979454,0.963821,0.901259,0.036179
baseline,34,public_health,0.961972,0.963821,0.901259,0.036179
baseline,34,retail_access,0.901259,0.963821,0.901259,0.036179
baseline,34,suppliers,1.018663,0.963821,0.901259,0.036179
baseline,34,transport,0.941603,0.963821,0.901259,0.036179
baseline,34,water,0.982256,0.963821,0.901259,0.036179
baseline,34,workforce,0.96588,0.963821,0.901259,0.036179
baseline,35,communications,0.947545,0.960807,0.897009,0.039193
baseline,35,emergency_response,0.939379,0.960807,0.897009,0.039193
baseline,35,finance,1.029592,0.960807,0.897009,0.039193
baseline,35,food_distribution,0.897009,0.960807,0.897009,0.039193
baseline,35,household_resilience,0.939107,0.960807,0.897009,0.039193
baseline,35,manufacturing,1.003377,0.960807,0.897009,0.039193
baseline,35,power,0.982463,0.960807,0.897009,0.039193
baseline,35,public_health,0.95347,0.960807,0.897009,0.039193
