scenario,time,resource_stock,demand,scarcity,conservation,regeneration,extraction,unmet_demand,critical_threshold,below_critical_threshold,overshoot
baseline,38,11.602116,7.043193,0.834255,0.35,0.820482,1.392254,5.650939,20.0,True,True
baseline,39,11.030344,7.148841,0.842424,0.35,0.785093,1.323641,5.8252,20.0,True,True
baseline,40,10.491796,7.256074,0.850117,0.35,0.751281,1.259015,5.997058,20.0,True,True
baseline,41,9.984062,7.364915,0.857371,0.35,0.71898,1.198087,6.166827,20.0,True,True
baseline,42,9.504954,7.475388,0.864215,0.35,0.688121,1.140594,6.334794,20.0,True,True
baseline,43,9.052481,7.587519,0.870679,0.35,0.658641,1.086298,6.501222,20.0,True,True
baseline,44,8.624823,7.701332,0.876788,0.35,0.630476,1.034979,6.666353,20.0,True,True
baseline,45,8.22032,7.816852,0.882567,0.35,0.603567,0.986438,6.830414,20.0,True,True
baseline,46,7.837449,7.934105,0.888036,0.35,0.577855,0.940494,6.993611,20.0,True,True
baseline,47,7.47481,8.053116,0.893217,0.35,0.553287,0.896977,7.156139,20.0,True,True
baseline,48,7.13112,8.173913,0.898127,0.35,0.529807,0.855734,7.318179,20.0,True,True
baseline,49,6.805193,8.296522,0.902783,0.35,0.507367,0.816623,7.479899,20.0,True,True
baseline,50,6.495936,8.42097,0.907201,0.35,0.485917,0.779512,7.641457,20.0,True,True
baseline,51,6.202341,8.547284,0.911395,0.35,0.465412,0.744281,7.803003,20.0,True,True
baseline,52,5.923472,8.675493,0.915379,0.35,0.445808,0.710817,7.964677,20.0,True,True
baseline,53,5.658463,8.805626,0.919165,0.35,0.427063,0.679016,8.12661,20.0,True,True
baseline,54,5.40651,8.93771,0.922764,0.35,0.409137,0.648781,8.288929,20.0,True,True
baseline,55,5.166866,9.071776,0.926188,0.35,0.391992,0.620024,8.451752,20.0,True,True
baseline,56,4.938834,9.207853,0.929445,0.35,0.375593,0.59266,8.615193,20.0,True,True
baseline,57,4.721767,9.34597,0.932546,0.35,0.359905,0.566612,8.779358,20.0,True,True
baseline,58,4.51506,9.48616,0.935499,0.35,0.344896,0.541807,8.944353,20.0,True,True
baseline,59,4.318149,9.628452,0.938312,0.35,0.330535,0.518178,9.110274,20.0,True,True
baseline,60,4.130506,9.772879,0.940993,0.35,0.316792,0.495661,9.277218,20.0,True,True
baseline,61,3.951637,9.919472,0.943548,0.35,0.303639,0.474196,9.445276,20.0,True,True
baseline,62,3.781079,10.068264,0.945985,0.35,0.291049,0.453729,9.614535,20.0,True,True
baseline,63,3.618399,10.219288,0.948309,0.35,0.278998,0.434208,9.785081,20.0,True,True
baseline,64,3.463188,10.372578,0.950526,0.35,0.26746,0.415583,9.956995,20.0,True,True
baseline,65,3.315066,10.528166,0.952642,0.35,0.256414,0.397808,10.130358,20.0,True,True
baseline,66,3.173672,10.686089,0.954662,0.35,0.245836,0.380841,10.305248,20.0,True,True
baseline,67,3.038667,10.84638,0.95659,0.35,0.235707,0.36464,10.48174,20.0,True,True
baseline,68,2.909733,11.009076,0.958432,0.35,0.226005,0.349168,10.659908,20.0,True,True
baseline,69,2.786571,11.174212,0.960192,0.35,0.216714,0.334389,10.839823,20.0,True,True
baseline,70,2.668896,11.341825,0.961873,0.35,0.207813,0.320268,11.021558,20.0,True,True
baseline,71,2.556442,11.511953,0.963479,0.35,0.199287,0.306773,11.20518,20.0,True,True
baseline,72,2.448956,11.684632,0.965015,0.35,0.191119,0.293875,11.390757,20.0,True,True
baseline,73,2.3462,11.859901,0.966483,0.35,0.183292,0.281544,11.578357,20.0,True,True
baseline,74,2.247948,12.0378,0.967886,0.35,0.175793,0.269754,11.768046,20.0,True,True
baseline,75,2.153987,12.218367,0.969229,0.35,0.168607,0.258478,11.959888,20.0,True,True
baseline,76,2.064116,12.401642,0.970513,0.35,0.161721,0.247694,12.153948,20.0,True,True
baseline,77,1.978143,12.587667,0.971741,0.35,0.155121,0.237377,12.35029,20.0,True,True
baseline,78,1.895887,12.776482,0.972916,0.35,0.148795,0.227506,12.548976,20.0,True,True
baseline,79,1.817176,12.968129,0.97404,0.35,0.142732,0.218061,12.750068,20.0,True,True
high_demand,0,80.0,4.0,0.0,0.0,1.28,4.0,0.0,20.0,False,True
high_demand,1,77.28,4.14,0.0,0.0,1.404641,4.14,0.0,20.0,False,True
high_demand,2,74.544641,4.2849,0.0,0.0,1.518048,4.2849,0.0,20.0,False,True
high_demand,3,71.77779,4.434871,0.0,0.0,1.620582,4.434871,0.0,20.0,False,True
high_demand,4,68.963501,4.590092,0.014807,0.006663,1.712309,4.559507,0.030585,20.0,False,True
high_demand,5,66.116302,4.750745,0.055481,0.024967,1.792212,4.632135,0.11861,20.0,False,True
high_demand,6,63.276379,4.917021,0.096052,0.043223,1.85899,4.704492,0.21253,20.0,False,True
high_demand,7,60.430877,5.089117,0.136702,0.061516,1.912957,4.776056,0.313061,20.0,False,True
high_demand,8,57.567779,5.267236,0.177603,0.079921,1.954183,4.846271,0.420965,20.0,False,True
high_demand,9,54.675691,5.451589,0.218919,0.098513,1.98251,4.914535,0.537055,20.0,False,True
high_demand,10,51.743666,5.642395,0.260805,0.117362,1.997568,4.980191,0.662204,20.0,False,True
high_demand,11,48.761042,5.839879,0.303414,0.136536,1.998772,5.042524,0.797355,20.0,False,True
high_demand,12,45.71729,6.044275,0.346896,0.156103,1.985327,5.100744,0.94353,20.0,False,True
high_demand,13,42.601872,6.255824,0.391402,0.176131,1.956214,5.112225,1.1436,20.0,False,True
high_demand,14,39.445862,6.474778,0.436488,0.196419,1.910888,4.733503,1.741275,20.0,False,True
high_demand,15,36.623247,6.701395,0.476811,0.214565,1.85685,4.39479,2.306606,20.0,False,True
high_demand,16,34.085307,6.935944,0.513067,0.23088,1.797378,4.090237,2.845707,20.0,False,True
high_demand,17,31.792448,7.178702,0.545822,0.24562,1.734788,3.815094,3.363608,20.0,False,True
high_demand,18,29.712142,7.429957,0.575541,0.258993,1.670722,3.565457,3.8645,20.0,False,True
high_demand,19,27.817408,7.690005,0.602608,0.271174,1.606346,3.338089,4.351916,20.0,False,True
high_demand,20,26.085665,7.959155,0.627348,0.282306,1.542484,3.13028,4.828876,20.0,False,True
high_demand,21,24.497869,8.237726,0.65003,0.292514,1.479713,2.939744,5.297982,20.0,False,True
high_demand,22,23.037837,8.526046,0.670888,0.3019,1.418433,2.76454,5.761506,20.0,False,True
high_demand,23,21.69173,8.824458,0.690118,0.310553,1.358913,2.603008,6.22145,20.0,False,True
high_demand,24,20.447636,9.133314,0.707891,0.318551,1.301326,2.453716,6.679598,20.0,False,True
high_demand,25,19.295246,9.45298,0.724354,0.325959,1.245774,2.31543,7.13755,20.0,True,True
high_demand,26,18.225591,9.783834,0.739634,0.332835,1.19231,2.187071,7.596763,20.0,True,True
high_demand,27,17.23083,10.126268,0.753845,0.33923,1.140945,2.0677,8.058569,20.0,True,True
high_demand,28,16.304075,10.480688,0.767085,0.345188,1.091668,1.956489,8.524199,20.0,True,True
high_demand,29,15.439254,10.847512,0.779439,0.35,1.044444,1.85271,8.994801,20.0,True,True
high_demand,30,14.630987,11.227175,0.790986,0.35,0.999226,1.755718,9.471456,20.0,True,True
high_demand,31,13.874495,11.620126,0.801793,0.35,0.955958,1.664939,9.955187,20.0,True,True
high_demand,32,13.165514,12.02683,0.811921,0.35,0.914577,1.579862,10.446969,20.0,True,True
high_demand,33,12.500229,12.447769,0.821425,0.35,0.875014,1.500027,10.947742,20.0,True,True
high_demand,34,11.875215,12.883441,0.830354,0.35,0.837201,1.425026,11.458416,20.0,True,True
high_demand,35,11.28739,13.334362,0.838752,0.35,0.801067,1.354487,11.979875,20.0,True,True
high_demand,36,10.73397,13.801064,0.846658,0.35,0.766543,1.288076,12.512988,20.0,True,True
high_demand,37,10.212437,14.284102,0.854108,0.35,0.73356,1.225492,13.058609,20.0,True,True
high_demand,38,9.720504,14.784045,0.861136,0.35,0.70205,1.166461,13.617585,20.0,True,True
high_demand,39,9.256094,15.301487,0.86777,0.35,0.671947,1.110731,14.190756,20.0,True,True
high_demand,40,8.81731,15.837039,0.874038,0.35,0.643189,1.058077,14.778962,20.0,True,True
high_demand,41,8.402421,16.391335,0.879965,0.35,0.615713,1.008291,15.383045,20.0,True,True
high_demand,42,8.009844,16.965032,0.885574,0.35,0.589461,0.961181,16.003851,20.0,True,True
high_demand,43,7.638124,17.558808,0.890884,0.35,0.564377,0.916575,16.642233,20.0,True,True
high_demand,44,7.285926,18.173366,0.895915,0.35,0.540406,0.874311,17.299055,20.0,True,True
high_demand,45,6.952022,18.809434,0.900685,0.35,0.517497,0.834243,17.975192,20.0,True,True
high_demand,46,6.635276,19.467764,0.90521,0.35,0.495601,0.796233,18.671531,20.0,True,True
high_demand,47,6.334644,20.149136,0.909505,0.35,0.474669,0.760157,19.388979,20.0,True,True
high_demand,48,6.049156,20.854356,0.913583,0.35,0.454659,0.725899,20.128457,20.0,True,True
high_demand,49,5.777916,21.584258,0.917458,0.35,0.435526,0.69335,20.890908,20.0,True,True
high_demand,50,5.520092,22.339707,0.921142,0.35,0.41723,0.662411,21.677296,20.0,True,True
high_demand,51,5.274911,23.121597,0.924644,0.35,0.399733,0.632989,22.488608,20.0,True,True
high_demand,52,5.041655,23.930853,0.927976,0.35,0.382998,0.604999,23.325855,20.0,True,True
high_demand,53,4.819654,24.768433,0.931148,0.35,0.366989,0.578358,24.190074,20.0,True,True
high_demand,54,4.608284,25.635328,0.934167,0.35,0.351674,0.552994,25.082334,20.0,True,True
high_demand,55,4.406964,26.532565,0.937043,0.35,0.33702,0.528836,26.003729,20.0,True,True
high_demand,56,4.215148,27.461204,0.939784,0.35,0.322998,0.505818,26.955387,20.0,True,True
high_demand,57,4.032328,28.422346,0.942395,0.35,0.309579,0.483879,27.938467,20.0,True,True
high_demand,58,3.858028,29.417129,0.944885,0.35,0.296735,0.462963,28.954165,20.0,True,True
high_demand,59,3.691799,30.446728,0.94726,0.35,0.28444,0.443016,30.003712,20.0,True,True
high_demand,60,3.533224,31.512364,0.949525,0.35,0.272671,0.423987,31.088377,20.0,True,True
high_demand,61,3.381908,32.615296,0.951687,0.35,0.261403,0.405829,32.209467,20.0,True,True
high_demand,62,3.237482,33.756832,0.95375,0.35,0.250613,0.388498,33.368334,20.0,True,True
high_demand,63,3.099597,34.938321,0.95572,0.35,0.240282,0.371952,34.566369,20.0,True,True
high_demand,64,2.967927,36.161162,0.957601,0.35,0.230387,0.356151,35.805011,20.0,True,True
high_demand,65,2.842163,37.426803,0.959398,0.35,0.220911,0.34106,37.085743,20.0,True,True
high_demand,66,2.722015,38.736741,0.961114,0.35,0.211834,0.326642,38.410099,20.0,True,True
high_demand,67,2.607206,40.092527,0.962754,0.35,0.203138,0.312865,39.779662,20.0,True,True
high_demand,68,2.49748,41.495765,0.964322,0.35,0.194808,0.299698,41.196068,20.0,True,True
high_demand,69,2.392591,42.948117,0.96582,0.35,0.186828,0.287111,42.661006,20.0,True,True
high_demand,70,2.292308,44.451301,0.967253,0.35,0.179181,0.275077,44.176224,20.0,True,True
high_demand,71,2.196412,46.007097,0.968623,0.35,0.171854,0.263569,45.743527,20.0,True,True
high_demand,72,2.104696,47.617345,0.969933,0.35,0.164832,0.252564,47.364781,20.0,True,True
high_demand,73,2.016964,49.283952,0.971186,0.35,0.158103,0.242036,49.041916,20.0,True,True
high_demand,74,1.933031,51.00889,0.972385,0.35,0.151653,0.231964,50.776927,20.0,True,True
high_demand,75,1.852721,52.794202,0.973533,0.35,0.145472,0.222326,52.571875,20.0,True,True
high_demand,76,1.775866,54.641999,0.97463,0.35,0.139546,0.213104,54.428895,20.0,True,True
high_demand,77,1.702308,56.554469,0.975681,0.35,0.133866,0.204277,56.350192,20.0,True,True
high_demand,78,1.631898,58.533875,0.976687,0.35,0.128421,0.195828,58.338047,20.0,True,True
high_demand,79,1.564491,60.582561,0.97765,0.35,0.123201,0.187739,60.394822,20.0,True,True
conservation,0,80.0,4.0,0.0,0.0,1.28,4.0,0.0,20.0,False,True
conservation,1,77.28,4.06,0.0,0.0,1.404641,4.06,0.0,20.0,False,True
conservation,2,74.624641,4.1209,0.0,0.0,1.514902,4.1209,0.0,20.0,False,True
conservation,3,72.018643,4.182713,0.0,0.0,1.612143,4.182713,0.0,20.0,False,True
conservation,4,69.448073,4.245454,0.007885,0.006702,1.697418,4.217001,0.028453,20.0,False,True
conservation,5,66.92849,4.309136,0.043879,0.037297,1.770741,4.148419,0.160717,20.0,False,True
conservation,6,64.550812,4.373773,0.077846,0.066169,1.830619,4.084366,0.289407,20.0,False,True
conservation,7,62.297065,4.43938,0.110042,0.093536,1.879026,4.024139,0.41524,20.0,False,True
conservation,8,60.151951,4.50597,0.140686,0.119583,1.91755,3.967131,0.538839,20.0,False,True
conservation,9,58.102371,4.57356,0.169966,0.144471,1.947481,3.912812,0.660748,20.0,False,True
conservation,10,56.13704,4.642163,0.198042,0.168336,1.969869,3.86072,0.781443,20.0,False,True
conservation,11,54.246189,4.711796,0.225054,0.191296,1.985576,3.810447,0.901349,20.0,False,True
conservation,12,52.421318,4.782473,0.251124,0.213455,1.99531,3.761628,1.020845,20.0,False,True
conservation,13,50.655,4.85421,0.276357,0.234904,1.999657,3.713939,1.140271,20.0,False,True
conservation,14,48.940718,4.927023,0.300847,0.25572,1.999102,3.667085,1.259938,20.0,False,True
conservation,15,47.272735,5.000928,0.324675,0.275974,1.99405,3.620802,1.380126,20.0,False,True
conservation,16,45.645982,5.075942,0.347915,0.295727,1.984834,3.574847,1.501095,20.0,False,True
conservation,17,44.055969,5.152081,0.370629,0.315035,1.971735,3.528997,1.623084,20.0,False,True
conservation,18,42.498707,5.229363,0.392876,0.333944,1.954984,3.483047,1.746316,20.0,False,True
conservation,19,40.970644,5.307803,0.414705,0.352499,1.934777,3.436806,1.870997,20.0,False,True
conservation,20,39.468615,5.38742,0.436163,0.370738,1.911272,3.390097,1.997323,20.0,False,True
conservation,21,37.989789,5.468231,0.457289,0.388695,1.884604,3.342755,2.125476,20.0,False,True
conservation,22,36.531638,5.550255,0.478119,0.406402,1.854883,3.294623,2.255632,20.0,False,True
conservation,23,35.091898,5.633509,0.498687,0.423884,1.822199,3.245554,2.387955,20.0,False,True
conservation,24,33.668543,5.718011,0.519021,0.441168,1.786627,3.195409,2.522602,20.0,False,True
conservation,25,32.259761,5.803781,0.539146,0.458274,1.748227,3.144057,2.659724,20.0,False,True
conservation,26,30.86393,5.890838,0.559087,0.475224,1.707049,3.091372,2.799466,20.0,False,True
conservation,27,29.479607,5.979201,0.578863,0.492033,1.663131,3.037235,2.941966,20.0,False,True
conservation,28,28.105503,6.068889,0.598493,0.508719,1.616505,2.98153,3.087358,20.0,False,True
conservation,29,26.740477,6.159922,0.617993,0.525294,1.567196,2.924151,3.235771,20.0,False,True
conservation,30,25.383522,6.252321,0.637378,0.541772,1.515223,2.864992,3.387329,20.0,False,True
conservation,31,24.033754,6.346106,0.656661,0.55,1.460603,2.855748,3.490358,20.0,False,True
conservation,32,22.63861,6.441297,0.676591,0.55,1.401083,2.716633,3.724664,20.0,False,True
conservation,33,21.32306,6.537917,0.695385,0.55,1.342106,2.558767,3.97915,20.0,False,True
conservation,34,20.106399,6.635985,0.712766,0.55,1.285098,2.412768,4.223218,20.0,False,True
conservation,35,18.97873,6.735525,0.728875,0.55,1.230145,2.277448,4.458078,20.0,True,True
conservation,36,17.931427,6.836558,0.743837,0.55,1.177285,2.151771,4.684787,20.0,True,True
conservation,37,16.956941,6.939107,0.757758,0.55,1.126525,2.034833,4.904274,20.0,True,True
conservation,38,16.048633,7.043193,0.770734,0.55,1.077844,1.925836,5.117357,20.0,True,True
conservation,39,15.200641,7.148841,0.782848,0.55,1.031204,1.824077,5.324764,20.0,True,True
conservation,40,14.407767,7.256074,0.794175,0.55,0.986554,1.728932,5.527142,20.0,True,True
conservation,41,13.66539,7.364915,0.80478,0.55,0.943837,1.639847,5.725068,20.0,True,True
conservation,42,12.96938,7.475388,0.814723,0.55,0.902987,1.556326,5.919063,20.0,True,True
conservation,43,12.316041,7.587519,0.824057,0.55,0.863935,1.477925,6.109594,20.0,True,True
conservation,44,11.702051,7.701332,0.832828,0.55,0.826614,1.404246,6.297086,20.0,True,True
conservation,45,11.124419,7.816852,0.84108,0.55,0.790951,1.33493,6.481922,20.0,True,True
conservation,46,10.58044,7.934105,0.848851,0.55,0.756879,1.269653,6.664452,20.0,True,True
conservation,47,10.067666,8.053116,0.856176,0.55,0.724327,1.20812,6.844997,20.0,True,True
conservation,48,9.583873,8.173913,0.863088,0.55,0.693229,1.150065,7.023848,20.0,True,True
conservation,49,9.127037,8.296522,0.869614,0.55,0.663521,1.095244,7.201277,20.0,True,True
conservation,50,8.695314,8.42097,0.875781,0.55,0.635138,1.043438,7.377532,20.0,True,True
conservation,51,8.287014,8.547284,0.881614,0.55,0.608021,0.994442,7.552843,20.0,True,True
conservation,52,7.900594,8.675493,0.887134,0.55,0.582112,0.948071,7.727422,20.0,True,True
conservation,53,7.534635,8.805626,0.892362,0.55,0.557354,0.904156,7.90147,20.0,True,True
conservation,54,7.187833,8.93771,0.897317,0.55,0.533695,0.86254,8.07517,20.0,True,True
conservation,55,6.858988,9.071776,0.902014,0.55,0.511082,0.823079,8.248697,20.0,True,True
conservation,56,6.546991,9.207853,0.906472,0.55,0.489469,0.785639,8.422214,20.0,True,True
conservation,57,6.250821,9.34597,0.910703,0.55,0.468807,0.750099,8.595872,20.0,True,True
conservation,58,5.96953,9.48616,0.914721,0.55,0.449054,0.716344,8.769816,20.0,True,True
conservation,59,5.702241,9.628452,0.918539,0.55,0.430167,0.684269,8.944183,20.0,True,True
conservation,60,5.448139,9.772879,0.922169,0.55,0.412105,0.653777,9.119102,20.0,True,True
conservation,61,5.206467,9.919472,0.925622,0.55,0.394832,0.624776,9.294696,20.0,True,True
conservation,62,4.976523,10.068264,0.928907,0.55,0.378309,0.597183,9.471082,20.0,True,True
conservation,63,4.757649,10.219288,0.932034,0.55,0.362504,0.570918,9.64837,20.0,True,True
conservation,64,4.549235,10.372578,0.935011,0.55,0.347382,0.545908,9.826669,20.0,True,True
conservation,65,4.350709,10.528166,0.937847,0.55,0.332914,0.522085,10.006081,20.0,True,True
conservation,66,4.161538,10.686089,0.940549,0.55,0.319068,0.499385,10.186704,20.0,True,True
conservation,67,3.981222,10.84638,0.943125,0.55,0.305818,0.477747,10.368634,20.0,True,True
conservation,68,3.809293,11.009076,0.945582,0.55,0.293135,0.457115,10.551961,20.0,True,True
conservation,69,3.645313,11.174212,0.947924,0.55,0.280994,0.437438,10.736774,20.0,True,True
conservation,70,3.488869,11.341825,0.950159,0.55,0.269372,0.418664,10.923161,20.0,True,True
conservation,71,3.339577,11.511953,0.952292,0.55,0.258244,0.400749,11.111203,20.0,True,True
conservation,72,3.197072,11.684632,0.954328,0.55,0.247589,0.383649,11.300983,20.0,True,True
conservation,73,3.061012,11.859901,0.956271,0.55,0.237385,0.367321,11.49258,20.0,True,True
conservation,74,2.931075,12.0378,0.958127,0.55,0.227613,0.351729,11.686071,20.0,True,True
conservation,75,2.806959,12.218367,0.959901,0.55,0.218254,0.336835,11.881532,20.0,True,True
conservation,76,2.688378,12.401642,0.961595,0.55,0.209288,0.322605,12.079037,20.0,True,True
conservation,77,2.575061,12.587667,0.963213,0.55,0.2007,0.309007,12.27866,20.0,True,True
conservation,78,2.466754,12.776482,0.964761,0.55,0.192472,0.29601,12.480472,20.0,True,True
conservation,79,2.363216,12.968129,0.96624,0.55,0.184589,0.283586,12.684543,20.0,True,True
technology_rebound,0,80.0,4.0,0.0,0.0,1.28,4.0,0.0,20.0,False,True
technology_rebound,1,77.28,4.12,0.0,0.0,1.404641,4.12,0.0,20.0,False,True
technology_rebound,2,74.564641,4.2436,0.0,0.0,1.517263,4.2436,0.0,20.0,False,True
technology_rebound,3,71.838304,4.370908,0.0,0.0,1.618471,4.370908,0.0,20.0,False,True
technology_rebound,4,69.085867,4.502035,0.013059,0.004571,1.708584,4.481458,0.020577,20.0,False,True
technology_rebound,5,66.312993,4.637096,0.052672,0.018435,1.787109,4.551611,0.085485,20.0,False,True
technology_rebound,6,63.54849,4.776209,0.092164,0.032258,1.853151,4.62214,0.154069,20.0,False,True
technology_rebound,7,60.779501,4.919495,0.131721,0.046102,1.907042,4.692694,0.226801,20.0,False,True
technology_rebound,8,57.993848,5.06708,0.171516,0.060031,1.948879,4.7629,0.304181,20.0,False,True
technology_rebound,9,55.179827,5.219093,0.211717,0.074101,1.978536,4.832353,0.386739,20.0,False,True
technology_rebound,10,52.326009,5.375666,0.252486,0.08837,1.995672,4.900618,0.475047,20.0,False,True
technology_rebound,11,49.421063,5.536935,0.293985,0.102895,1.999732,4.967214,0.569721,20.0,False,True
technology_rebound,12,46.45358,5.703044,0.336377,0.117732,1.989938,5.031612,0.671431,20.0,False,True
technology_rebound,13,43.411906,5.874135,0.37983,0.13294,1.965278,5.093225,0.78091,20.0,False,True
technology_rebound,14,40.283959,6.050359,0.424515,0.14858,1.924479,5.151395,0.898964,20.0,False,True
technology_rebound,15,37.057043,6.23187,0.470614,0.164715,1.865984,5.205389,1.026481,20.0,False,True
technology_rebound,16,33.717638,6.418826,0.518319,0.181412,1.787908,5.254375,1.164451,20.0,False,True
technology_rebound,17,30.251171,6.611391,0.56784,0.198744,1.687987,5.297415,1.313975,20.0,False,True
technology_rebound,18,26.641743,6.809732,0.619404,0.216791,1.563513,4.795514,2.014219,20.0,False,True
technology_rebound,19,23.409742,7.014024,0.665575,0.232951,1.434367,4.213754,2.800271,20.0,False,True
technology_rebound,20,20.630355,7.224445,0.705281,0.246848,1.309939,3.713464,3.510981,20.0,False,True
technology_rebound,21,18.226831,7.441178,0.739617,0.258866,1.192373,3.28083,4.160349,20.0,True,True
technology_rebound,22,16.138374,7.664414,0.769452,0.269308,1.082712,2.904907,4.759506,20.0,True,True
technology_rebound,23,14.316179,7.894346,0.795483,0.278419,0.981332,2.576912,5.317434,20.0,True,True
technology_rebound,24,12.720598,8.131176,0.818277,0.286397,0.888197,2.289708,5.841469,20.0,True,True
technology_rebound,25,11.319088,8.375112,0.838299,0.293405,0.80303,2.037436,6.337676,20.0,True,True
technology_rebound,26,10.084681,8.626365,0.855933,0.299577,0.725414,1.815243,6.811122,20.0,True,True
technology_rebound,27,8.994853,8.885156,0.871502,0.3,0.654862,1.619073,7.266083,20.0,True,True
technology_rebound,28,8.030642,9.151711,0.885277,0.3,0.590858,1.445515,7.706195,20.0,True,True
technology_rebound,29,7.175984,9.426262,0.897486,0.3,0.532883,1.291677,8.134585,20.0,True,True
technology_rebound,30,6.41719,9.70905,0.908326,0.3,0.480431,1.155094,8.553956,20.0,True,True
technology_rebound,31,5.742527,10.000321,0.917964,0.3,0.433021,1.033655,8.966667,20.0,True,True
technology_rebound,32,5.141893,10.300331,0.926544,0.3,0.3902,0.925541,9.37479,20.0,True,True
technology_rebound,33,4.606552,10.609341,0.934192,0.3,0.351548,0.829179,9.780162,20.0,True,True
technology_rebound,34,4.128921,10.927621,0.941015,0.3,0.316675,0.743206,10.184415,20.0,True,True
technology_rebound,35,3.70239,11.25545,0.947109,0.3,0.285225,0.66643,10.58902,20.0,True,True
technology_rebound,36,3.321185,11.593113,0.952554,0.3,0.256871,0.597813,10.9953,20.0,True,True
technology_rebound,37,2.980242,11.940907,0.957425,0.3,0.231314,0.536444,11.404463,20.0,True,True
technology_rebound,38,2.675113,12.299134,0.961784,0.3,0.208284,0.48152,11.817614,20.0,True,True
technology_rebound,39,2.401876,12.668108,0.965687,0.3,0.187535,0.432338,12.23577,20.0,True,True
technology_rebound,40,2.157074,13.048151,0.969185,0.3,0.168844,0.388273,12.659878,20.0,True,True
technology_rebound,41,1.937644,13.439596,0.972319,0.3,0.152008,0.348776,13.09082,20.0,True,True
technology_rebound,42,1.740876,13.842784,0.97513,0.3,0.136846,0.313358,13.529426,20.0,True,True
