scenario,time,capacity,workload,pressure,slack,learning,coordination_burden,burnout,attrition,trust,delivery,backlog
baseline_organization,16,107.274175,102.2,0.952699,0.047301,0.109406,0.0,0.067633,0.253936,0.617407,102.2,0.0
baseline_organization,17,107.779645,102.65,0.952406,0.047594,0.110848,0.0,0.06573,0.247951,0.62411,102.65,0.0
baseline_organization,18,108.292542,103.1,0.952051,0.047949,0.113425,0.0,0.063812,0.241861,0.624479,103.1,0.0
baseline_organization,19,108.814106,103.55,0.951623,0.048377,0.115056,0.0,0.061877,0.235657,0.624121,103.55,0.0
baseline_organization,20,109.343505,104.0,0.951131,0.048869,0.116725,0.0,0.059922,0.229322,0.626969,104.0,0.0
baseline_organization,21,109.880908,104.45,0.950575,0.049425,0.119175,0.0,0.057945,0.222846,0.619906,104.45,0.0
baseline_organization,22,110.427238,104.9,0.949947,0.050053,0.119923,0.0,0.055943,0.216216,0.618566,104.9,0.0
baseline_organization,23,110.980945,105.35,0.949262,0.050738,0.121909,0.0,0.053913,0.209417,0.621255,105.35,0.0
baseline_organization,24,111.543437,105.8,0.948509,0.051491,0.124885,0.0,0.051854,0.202437,0.625878,105.8,0.0
baseline_organization,25,112.115884,106.25,0.94768,0.05232,0.128496,0.0,0.049761,0.195264,0.624949,106.25,0.0
baseline_organization,26,112.699117,106.7,0.946769,0.053231,0.13122,0.0,0.047631,0.187881,0.627126,106.7,0.0
baseline_organization,27,113.292456,107.15,0.945782,0.054218,0.134823,0.0,0.045463,0.180271,0.628682,107.15,0.0
baseline_organization,28,113.897008,107.6,0.944713,0.055287,0.138559,0.0,0.043251,0.172417,0.63293,107.6,0.0
baseline_organization,29,114.51315,108.05,0.94356,0.05644,0.143175,0.0,0.040994,0.164301,0.627724,108.05,0.0
baseline_organization,30,115.142024,108.5,0.942315,0.057685,0.145927,0.0,0.038686,0.155905,0.630948,108.5,0.0
baseline_organization,31,115.782047,108.95,0.940992,0.059008,0.150873,0.0,0.036326,0.147206,0.623784,108.95,0.0
baseline_organization,32,116.435714,109.4,0.939574,0.060426,0.153607,0.0,0.033909,0.138187,0.611119,109.4,0.0
baseline_organization,33,117.101134,109.85,0.938078,0.061922,0.155096,0.0,0.031432,0.128826,0.608547,109.85,0.0
baseline_organization,34,117.777404,110.3,0.936512,0.063488,0.159262,0.0,0.028893,0.119101,0.604458,110.3,0.0
baseline_organization,35,118.467565,110.75,0.934855,0.065145,0.163273,0.0,0.026287,0.108995,0.609358,110.75,0.0
baseline_organization,36,119.171844,111.2,0.933106,0.066894,0.17002,0.0,0.023611,0.098482,0.613231,111.2,0.0
baseline_organization,37,119.893382,111.65,0.931244,0.068756,0.176928,0.0,0.020861,0.087537,0.607718,111.65,0.0
baseline_organization,38,120.632772,112.1,0.929267,0.070733,0.181493,0.0,0.018031,0.076131,0.612572,112.1,0.0
baseline_organization,39,121.388134,112.55,0.927191,0.072809,0.18949,0.0,0.015119,0.064235,0.608214,112.55,0.0
baseline_organization,40,122.16339,113.0,0.924991,0.075009,0.195066,0.0,0.012119,0.051816,0.608472,113.0,0.0
baseline_organization,41,122.956639,113.45,0.922683,0.077317,0.202458,0.0,0.009026,0.038843,0.607731,113.45,0.0
baseline_organization,42,123.770254,113.9,0.920253,0.079747,0.209946,0.0,0.005836,0.025282,0.609071,113.9,0.0
baseline_organization,43,124.604918,114.35,0.917701,0.082299,0.218609,0.0,0.002544,0.011096,0.613975,114.35,0.0
baseline_organization,44,125.462431,114.8,0.915015,0.084985,0.229126,0.0,0.0,0.0,0.618016,114.8,0.0
baseline_organization,45,126.341557,115.25,0.91221,0.08779,0.239917,0.0,0.0,0.0,0.620644,115.25,0.0
baseline_organization,46,127.231474,115.7,0.909366,0.090634,0.250493,0.0,0.0,0.0,0.6248,115.7,0.0
baseline_organization,47,128.131967,116.15,0.906487,0.093513,0.262022,0.0,0.0,0.0,0.628127,116.15,0.0
baseline_organization,48,129.043989,116.6,0.903568,0.096432,0.273574,0.0,0.0,0.0,0.625957,116.6,0.0
baseline_organization,49,129.967563,117.05,0.900609,0.099391,0.283004,0.0,0.0,0.0,0.623364,117.05,0.0
baseline_organization,50,130.900567,117.5,0.897628,0.102372,0.29237,0.0,0.0,0.0,0.622038,117.5,0.0
baseline_organization,51,131.842937,117.95,0.894625,0.105375,0.302468,0.0,0.0,0.0,0.625588,117.95,0.0
baseline_organization,52,132.795405,118.4,0.891597,0.108403,0.315196,0.0,0.0,0.0,0.625422,118.4,0.0
baseline_organization,53,133.760601,118.85,0.888528,0.111472,0.326389,0.0,0.0,0.0,0.638215,118.85,0.0
baseline_organization,54,134.73699,119.3,0.885429,0.114571,0.344824,0.0,0.0,0.0,0.635264,119.3,0.0
baseline_organization,55,135.731814,119.75,0.882254,0.117746,0.355344,0.0,0.0,0.0,0.630947,119.75,0.0
baseline_organization,56,136.737158,120.2,0.879059,0.120941,0.365193,0.0,0.0,0.0,0.635999,120.2,0.0
baseline_organization,57,137.752351,120.65,0.875847,0.124153,0.380698,0.0,0.0,0.0,0.64435,120.65,0.0
baseline_organization,58,138.783049,121.1,0.872585,0.127415,0.398793,0.0,0.0,0.0,0.648153,121.1,0.0
baseline_organization,59,139.831841,121.55,0.869258,0.130742,0.41473,0.0,0.0,0.0,0.653639,121.55,0.0
baseline_organization,60,140.896571,122.0,0.865883,0.134117,0.432304,0.0,0.0,0.0,0.662112,122.0,0.0
baseline_organization,61,141.978875,122.45,0.862452,0.137548,0.452561,0.0,0.0,0.0,0.663017,122.45,0.0
baseline_organization,62,143.081435,122.9,0.858951,0.141049,0.468322,0.0,0.0,0.0,0.657313,122.9,0.0
baseline_organization,63,144.199758,123.35,0.855411,0.144589,0.479669,0.0,0.0,0.0,0.656099,123.35,0.0
baseline_organization,64,145.329426,123.8,0.851858,0.148142,0.49439,0.0,0.0,0.0,0.662344,123.8,0.0
baseline_organization,65,146.473816,124.25,0.848274,0.151726,0.515194,0.0,0.0,0.0,0.656643,124.25,0.0
baseline_organization,66,147.63901,124.7,0.844628,0.155372,0.527196,0.0,0.0,0.0,0.658365,124.7,0.0
baseline_organization,67,148.816206,125.15,0.84097,0.15903,0.545335,0.0,0.0,0.0,0.661221,125.15,0.0
baseline_organization,68,150.011541,125.6,0.837269,0.162731,0.56495,0.0,0.0,0.0,0.661271,125.6,0.0
baseline_organization,69,151.226491,126.05,0.833518,0.166482,0.582696,0.0,0.0,0.0,0.666553,126.05,0.0
baseline_organization,70,152.459187,126.5,0.82973,0.17027,0.605612,0.0,0.0,0.0,0.67116,126.5,0.0
baseline_organization,71,153.714799,126.95,0.82588,0.17412,0.628721,0.0,0.0,0.0,0.684508,126.95,0.0
baseline_organization,72,154.99352,127.4,0.82197,0.17803,0.66108,0.0,0.0,0.0,0.689388,127.4,0.0
baseline_organization,73,156.3046,127.85,0.817954,0.182046,0.68657,0.0,0.0,0.0,0.688162,127.85,0.0
baseline_organization,74,157.64117,128.3,0.813874,0.186126,0.706702,0.0,0.0,0.0,0.687214,128.3,0.0
baseline_organization,75,158.997871,128.75,0.809759,0.190241,0.727537,0.0,0.0,0.0,0.684959,128.75,0.0
baseline_organization,76,160.375408,129.2,0.80561,0.19439,0.747385,0.0,0.0,0.0,0.691664,129.2,0.0
baseline_organization,77,161.772793,129.65,0.801433,0.198567,0.777636,0.0,0.0,0.0,0.690815,129.65,0.0
baseline_organization,78,163.20043,130.1,0.797179,0.202821,0.80032,0.0,0.0,0.0,0.692492,130.1,0.0
baseline_organization,79,164.65075,130.55,0.79289,0.20711,0.826508,0.0,0.0,0.0,0.69831,130.55,0.0
baseline_organization,80,166.127257,131.0,0.788552,0.211448,0.85854,0.0,0.0,0.0,0.696807,131.0,0.0
baseline_organization,81,167.635797,131.45,0.78414,0.21586,0.882508,0.0,0.0,0.0,0.697497,131.45,0.0
baseline_organization,82,169.168306,131.9,0.779697,0.220303,0.909809,0.0,0.0,0.0,0.690494,131.9,0.0
baseline_organization,83,170.728115,132.35,0.775209,0.224791,0.927495,0.0,0.0,0.0,0.68733,132.35,0.0
baseline_organization,84,172.30561,132.8,0.770724,0.229276,0.950368,0.0,0.0,0.0,0.686784,132.8,0.0
baseline_organization,85,173.905978,133.25,0.766219,0.233781,0.977265,0.0,0.0,0.0,0.6912,133.25,0.0
baseline_organization,86,175.533243,133.7,0.761679,0.238321,1.01203,0.0,0.0,0.0,0.699551,133.7,0.0
baseline_organization,87,177.195273,134.15,0.757074,0.242926,1.053933,0.0,0.0,0.0,0.701888,134.15,0.0
baseline_organization,88,178.899206,134.6,0.752379,0.247621,1.088258,0.0,0.0,0.0,0.705671,134.6,0.0
baseline_organization,89,180.637464,135.05,0.74763,0.25237,1.125941,0.0,0.0,0.0,0.709034,135.05,0.0
baseline_organization,90,182.413405,135.5,0.742818,0.257182,1.164213,0.0,0.0,0.0,0.71703,135.5,0.0
baseline_organization,91,184.227618,135.95,0.737946,0.262054,1.211577,0.0,0.0,0.0,0.724117,135.95,0.0
baseline_organization,92,186.089195,136.4,0.732982,0.267018,1.259328,0.0,0.0,0.0,0.728156,136.4,0.0
baseline_organization,93,187.998523,136.85,0.727931,0.272069,1.303544,0.0,0.0,0.0,0.725822,136.85,0.0
baseline_organization,94,189.952067,137.3,0.722814,0.277186,1.337561,0.0,0.0,0.0,0.733111,137.3,0.0
baseline_organization,95,191.939628,137.75,0.717674,0.282326,1.390445,0.0,0.0,0.0,0.737839,137.75,0.0
baseline_organization,96,193.980072,138.2,0.712444,0.287556,1.440485,0.0,0.0,0.0,0.746849,138.2,0.0
baseline_organization,97,196.070558,138.65,0.707143,0.292857,1.500958,0.0,0.0,0.0,0.749628,138.65,0.0
baseline_organization,98,198.221516,139.1,0.70174,0.29826,1.551171,0.0,0.0,0.0,0.762377,139.1,0.0
baseline_organization,99,200.422687,139.55,0.696278,0.303722,1.624277,0.0,0.0,0.0,0.763619,139.55,0.0
high_demand_growth,0,100.0,95.0,0.95,0.05,0.1085,0.0,0.098,0.343,0.627503,95.0,0.0
high_demand_growth,1,100.4155,95.85,0.954534,0.045466,0.10027,0.0,0.096181,0.338033,0.629328,95.85,0.0
high_demand_growth,2,100.827737,96.7,0.959061,0.040939,0.09092,0.0,0.094544,0.333642,0.632709,96.7,0.0
high_demand_growth,3,101.235014,97.55,0.963599,0.036401,0.081604,0.0,0.093088,0.329831,0.636987,97.55,0.0
high_demand_growth,4,101.636787,98.4,0.968153,0.031847,0.072163,0.0,0.091814,0.326609,0.632653,98.4,0.0
high_demand_growth,5,102.032341,99.25,0.972731,0.027269,0.061609,0.0,0.090723,0.323984,0.624652,99.25,0.0
high_demand_growth,6,102.419966,100.1,0.977349,0.022651,0.050721,0.0,0.089817,0.321967,0.618809,100.1,0.0
high_demand_growth,7,102.798719,100.95,0.982016,0.017984,0.04004,0.0,0.089098,0.32057,0.620246,100.95,0.0
high_demand_growth,8,103.16819,101.8,0.986738,0.013262,0.029701,0.0,0.088567,0.319806,0.625218,101.8,0.0
high_demand_growth,9,103.528085,102.65,0.991518,0.008482,0.019215,0.0,0.088228,0.319693,0.625501,102.65,0.0
high_demand_growth,10,103.877607,103.5,0.996365,0.003635,0.008267,0.0,0.088083,0.320243,0.618297,103.5,0.0
high_demand_growth,11,104.215631,104.35,1.001289,0.0,0.0,0.013437,0.088199,0.321709,0.624845,104.35,0.0
high_demand_growth,12,104.530485,105.2,1.006405,0.0,0.0,0.066952,0.088775,0.32479,0.616182,104.788744,0.411256
high_demand_growth,13,104.788744,106.091126,1.012429,0.0,0.0,0.130238,0.089894,0.329695,0.612919,104.978811,1.523571
high_demand_growth,14,104.978811,107.052357,1.019752,0.0,0.0,0.207355,0.091671,0.336824,0.609019,105.084632,3.491296
high_demand_growth,15,105.084632,108.09913,1.028686,0.0,0.0,0.30145,0.094253,0.346659,0.60894,105.086523,6.503903
high_demand_growth,16,105.086523,109.25039,1.039623,0.0,0.0,0.416387,0.097819,0.359782,0.612748,104.960354,10.793939
high_demand_growth,17,104.960354,110.529394,1.053059,0.0,0.0,0.556904,0.102594,0.376892,0.603179,104.676558,16.646775
high_demand_growth,18,104.676558,111.964677,1.069625,0.0,0.0,0.728812,0.108861,0.398831,0.598951,104.198915,24.412537
high_demand_growth,19,104.198915,113.591254,1.090139,0.0,0.0,0.939234,0.116973,0.426597,0.59724,103.483084,34.520707
high_demand_growth,20,103.483084,115.452071,1.115661,0.0,0.0,1.196899,0.127383,0.461369,0.587298,102.474817,47.49796
high_demand_growth,21,102.474817,117.599796,1.147597,0.0,0.0,1.512498,0.140666,0.504517,0.58171,101.107802,63.989954
high_demand_growth,22,101.107802,120.098995,1.187831,0.0,0.0,1.899119,0.157571,0.557609,0.576229,99.301074,84.787875
high_demand_growth,23,99.301074,123.028788,1.238947,0.0,0.0,2.372771,0.179077,0.622387,0.561489,96.955915,110.860748
high_demand_growth,24,96.955915,126.486075,1.304573,0.0,0.0,2.953016,0.206488,0.700708,0.544782,93.952191,143.394631
high_demand_growth,25,93.952191,130.589463,1.389957,0.0,0.0,3.663727,0.241584,0.794408,0.531601,90.144056,183.840038
high_demand_growth,26,90.144056,135.484004,1.502972,0.0,0.0,4.533995,0.286852,0.905029,0.513945,85.355032,233.96901
high_demand_growth,27,85.355032,141.346901,1.655988,0.0,0.0,5.599187,0.345891,1.033323,0.493642,79.372523,295.943388
high_demand_growth,28,79.372523,148.394339,1.869593,0.0,0.0,6.902182,0.424154,1.178316,0.47649,71.942025,372.395702
high_demand_growth,29,71.942025,156.88957,2.180778,0.0,0.0,8.494754,0.530424,1.335592,0.44289,62.761679,466.523593
high_demand_growth,30,62.761679,167.152359,2.663287,0.0,0.0,10.439068,0.68012,1.493991,0.391816,51.478619,582.197333
high_demand_growth,31,51.478619,179.569733,3.488239,0.0,0.0,12.809111,0.904061,1.628894,0.309098,37.690614,724.076452
high_demand_growth,32,37.690614,194.607645,5.163292,0.0,0.0,15.691703,1.278758,1.686901,0.182457,20.96201,897.722087
high_demand_growth,33,20.96201,212.822209,10.152758,0.0,0.0,19.18602,2.102506,1.542546,0.0,0.883444,1109.660852
high_demand_growth,34,0.883444,234.866085,234.866085,0.0,0.0,20.660766,23.150453,0.715825,0.0,0.0,1344.526937
high_demand_growth,35,0.0,259.202694,259.202694,0.0,0.0,0.0,46.388696,0.0,0.0,0.65,1603.07963
high_demand_growth,36,0.65,285.907963,285.907963,0.0,0.0,18.519018,72.030413,1.638692,0.0,0.0,1888.987593
high_demand_growth,37,0.0,315.348759,315.348759,0.0,0.0,0.0,100.321801,0.0,0.0,0.65,2203.686353
high_demand_growth,38,0.65,347.668635,347.668635,0.0,0.0,22.533461,131.521978,2.992125,0.0,0.0,2551.354988
high_demand_growth,39,0.0,383.285499,383.285499,0.0,0.0,0.0,165.927673,0.0,0.0,0.65,2933.990487
high_demand_growth,40,0.65,422.399049,422.399049,0.0,0.0,27.390938,203.853587,4.637669,0.0,0.0,3356.389536
high_demand_growth,41,0.0,465.488954,465.488954,0.0,0.0,0.0,245.657593,0.0,0.0,0.65,3821.228489
high_demand_growth,42,0.65,512.822849,512.822849,0.0,0.0,33.268485,291.72165,6.636668,0.0,0.0,4334.051338
high_demand_growth,43,0.0,564.955134,564.955134,0.0,0.0,0.0,342.477612,0.0,0.0,0.65,4898.356472
high_demand_growth,44,0.65,622.235647,622.235647,0.0,0.0,40.380317,398.38882,9.063346,0.0,0.0,5520.592119
high_demand_growth,45,0.0,685.309212,685.309212,0.0,0.0,0.0,459.976649,0.0,0.0,0.65,6205.251331
high_demand_growth,46,0.65,754.625133,754.625133,0.0,0.0,48.985634,527.802911,12.007516,0.0,0.0,6959.876464
high_demand_growth,47,0.0,830.937646,830.937646,0.0,0.0,0.0,602.497299,0.0,0.0,0.65,7790.16411
high_demand_growth,48,0.65,914.816411,914.816411,0.0,0.0,59.398067,684.740776,15.577853,0.0,0.0,8704.980521
high_demand_growth,49,0.0,1007.148052,1007.148052,0.0,0.0,0.0,775.294101,0.0,0.0,0.65,9711.478574
high_demand_growth,50,0.65,1108.647857,1108.647857,0.0,0.0,71.997111,874.982408,19.90585,0.0,0.0,10820.126431
high_demand_growth,51,0.0,1220.362643,1220.362643,0.0,0.0,0.0,984.725046,0.0,0.0,0.65,12039.839074
high_demand_growth,52,0.65,1343.183907,1343.183907,0.0,0.0,87.241954,1105.521597,25.150616,0.0,0.0,13383.022981
high_demand_growth,53,0.0,1478.352298,1478.352298,0.0,0.0,0.0,1238.483304,0.0,0.0,0.65,14860.72528
high_demand_growth,54,0.65,1626.972528,1626.972528,0.0,0.0,105.688214,1384.820832,31.504674,0.0,0.0,16487.697808
high_demand_growth,55,0.0,1790.519781,1790.519781,0.0,0.0,0.0,1545.877612,0.0,0.0,0.65,18277.567588
high_demand_growth,56,0.65,1970.356759,1970.356759,0.0,0.0,128.008189,1723.11972,39.200974,0.0,0.0,20247.924347
high_demand_growth,57,0.0,2168.242435,2168.242435,0.0,0.0,0.0,1918.17154,0.0,0.0,0.65,22415.516782
high_demand_growth,58,0.65,2385.851678,2385.851678,0.0,0.0,155.015359,2132.808191,48.521386,0.0,0.0,24801.36846
high_demand_growth,59,0.0,2625.286846,2625.286846,0.0,0.0,0.0,2368.994007,0.0,0.0,0.65,27426.005306
high_demand_growth,60,0.65,2888.600531,2888.600531,0.0,0.0,187.694034,2628.878054,59.806976,0.0,0.0,30314.605837
high_demand_growth,61,0.0,3178.310584,3178.310584,0.0,0.0,0.0,2914.836007,0.0,0.0,0.65,33492.26642
high_demand_growth,62,0.65,3496.926642,3496.926642,0.0,0.0,227.235232,3229.469405,73.470429,0.0,0.0,36989.193062
high_demand_growth,63,0.0,3847.469306,3847.469306,0.0,0.0,0.0,3575.651642,0.0,0.0,0.65,40836.012369
high_demand_growth,64,0.65,4233.001237,4233.001237,0.0,0.0,275.08008,3956.531754,90.011097,0.0,0.0,45069.013605
high_demand_growth,65,0.0,4657.151361,4657.151361,0.0,0.0,0.0,4375.585376,0.0,0.0,0.65,49725.514966
high_demand_growth,66,0.65,5123.651497,5123.651497,0.0,0.0,332.972347,4836.624011,110.033196,0.0,0.0,54849.166463
high_demand_growth,67,0.0,5636.866646,5636.866646,0.0,0.0,0.0,5343.852009,0.0,0.0,0.65,60485.383109
high_demand_growth,68,0.65,6201.338311,6201.338311,0.0,0.0,403.02199,5901.882457,134.267826,0.0,0.0,66686.72142
high_demand_growth,69,0.0,6822.322142,6822.322142,0.0,0.0,0.0,6515.80145,0.0,0.0,0.65,73508.393562
high_demand_growth,70,0.65,7505.339356,7505.339356,0.0,0.0,487.782058,7191.191992,163.599618,0.0,0.0,81013.732918
high_demand_growth,71,0.0,8256.723292,8256.723292,0.0,0.0,0.0,7934.207088,0.0,0.0,0.65,89269.80621
high_demand_growth,72,0.65,9083.180621,9083.180621,0.0,0.0,590.34174,8751.603344,199.098976,0.0,0.0,98352.986831
high_demand_growth,73,0.0,9992.348683,9992.348683,0.0,0.0,0.0,9650.824725,0.0,0.0,0.65,108344.685514
high_demand_growth,74,0.65,10992.368551,10992.368551,0.0,0.0,714.438956,10640.047895,242.06109,0.0,0.0,119337.054065
high_demand_growth,75,0.0,12092.455407,12092.455407,0.0,0.0,0.0,11728.278882,0.0,0.0,0.65,131428.859472
high_demand_growth,76,0.65,13302.485947,13302.485947,0.0,0.0,864.596587,12925.412617,294.053137,0.0,0.0,144731.345419
high_demand_growth,77,0.0,14633.584542,14633.584542,0.0,0.0,0.0,14242.345226,0.0,0.0,0.65,159364.279961
high_demand_growth,78,0.65,16097.727996,16097.727996,0.0,0.0,1046.28732,15691.050745,356.971404,0.0,0.0,175462.007957
high_demand_growth,79,0.0,17708.350796,17708.350796,0.0,0.0,0.0,17284.712317,0.0,0.0,0.65,193169.708752
high_demand_growth,80,0.65,19479.970875,19479.970875,0.0,0.0,1266.133107,19037.819696,433.110398,0.0,0.0,212649.679628
high_demand_growth,81,0.0,21428.817963,21428.817963,0.0,0.0,0.0,20966.323312,0.0,0.0,0.65,234077.84759
high_demand_growth,82,0.65,23572.484759,23572.484759,0.0,0.0,1532.146509,23087.756941,525.24647,0.0,0.0,257650.332349
high_demand_growth,83,0.0,25930.583235,25930.583235,0.0,0.0,0.0,25421.419432,0.0,0.0,0.65,283580.265584
high_demand_growth,84,0.65,28524.426558,28524.426558,0.0,0.0,1854.022726,27988.527822,636.739008,0.0,0.0,312104.692143
high_demand_growth,85,0.0,31377.719214,31377.719214,0.0,0.0,0.0,30812.432551,0.0,0.0,0.65,343481.761357
high_demand_growth,86,0.65,34516.276136,34516.276136,0.0,0.0,2243.492949,33918.807403,771.652868,0.0,0.0,377998.037493
high_demand_growth,87,0.0,37968.753749,37968.753749,0.0,0.0,0.0,37335.905241,0.0,0.0,0.65,415966.141242
high_demand_growth,88,0.65,41766.414124,41766.414124,0.0,0.0,2714.751918,41094.792512,934.90653,0.0,0.0,457732.555366
high_demand_growth,89,0.0,45943.905537,45943.905537,0.0,0.0,0.0,45229.65401,0.0,0.0,0.65,503675.810903
high_demand_growth,90,0.65,50539.08109,50539.08109,0.0,0.0,3284.975271,49778.081309,1132.45135,0.0,0.0,554214.891993
high_demand_growth,91,0.0,55593.839199,55593.839199,0.0,0.0,0.0,54781.436836,0.0,0.0,0.65,609808.081193
high_demand_growth,92,0.65,61154.008119,61154.008119,0.0,0.0,3974.945528,60285.207567,1371.488472,0.0,0.0,670962.089312
high_demand_growth,93,0.0,67270.258931,67270.258931,0.0,0.0,0.0,66339.440871,0.0,0.0,0.65,738231.698243
high_demand_growth,94,0.65,73998.069824,73998.069824,0.0,0.0,4809.809539,72999.177155,1660.73128,0.0,0.0,812229.768067
high_demand_growth,95,0.0,81398.726807,81398.726807,0.0,0.0,0.0,80324.972568,0.0,0.0,0.65,893627.844874
high_demand_growth,96,0.65,89539.384487,89539.384487,0.0,0.0,5819.994992,88383.427172,2010.722968,0.0,0.0,983167.229361
high_demand_growth,97,0.0,98494.172936,98494.172936,0.0,0.0,0.0,97247.812736,0.0,0.0,0.65,1081660.752297
high_demand_growth,98,0.65,108344.37523,108344.37523,0.0,0.0,7042.31939,106998.716507,2434.220801,0.0,0.0,1190005.127527
high_demand_growth,99,0.0,119179.662753,119179.662753,0.0,0.0,0.0,117724.796154,0.0,0.0,0.65,1309184.14028
faster_hiring,0,100.0,95.0,0.95,0.05,0.1085,0.0,0.098,0.343,0.614765,95.0,0.0
faster_hiring,1,101.0155,95.45,0.944904,0.055096,0.119752,0.0,0.095796,0.338691,0.618234,95.45,0.0
faster_hiring,2,102.04656,95.9,0.939767,0.060233,0.133,0.0,0.093387,0.333543,0.620387,95.9,0.0
faster_hiring,3,103.096017,96.35,0.934566,0.065434,0.14648,0.0,0.090769,0.327529,0.618211,96.35,0.0
faster_hiring,4,104.164968,96.8,0.929295,0.070705,0.159359,0.0,0.087941,0.320614,0.618667,96.8,0.0
faster_hiring,5,105.253713,97.25,0.923958,0.076042,0.173307,0.0,0.0849,0.31276,0.620203,97.25,0.0
faster_hiring,6,106.36426,97.7,0.918542,0.081458,0.188076,0.0,0.081641,0.30393,0.621104,97.7,0.0
faster_hiring,7,107.498406,98.15,0.913037,0.086963,0.203222,0.0,0.078163,0.294083,0.622028,98.15,0.0
faster_hiring,8,108.657545,98.6,0.907438,0.092562,0.218963,0.0,0.07446,0.283173,0.625903,98.6,0.0
faster_hiring,9,109.843334,99.05,0.901739,0.098261,0.236445,0.0,0.07053,0.271153,0.631534,99.05,0.0
faster_hiring,10,111.058626,99.5,0.895923,0.104077,0.255488,0.0,0.066367,0.257971,0.639916,99.5,0.0
faster_hiring,11,112.306143,99.95,0.889978,0.110022,0.276741,0.0,0.061966,0.24357,0.640199,99.95,0.0
faster_hiring,12,113.589314,100.4,0.883886,0.116114,0.295533,0.0,0.057321,0.227888,0.637394,100.4,0.0
faster_hiring,13,114.906959,100.85,0.877667,0.122333,0.313594,0.0,0.052428,0.210852,0.64188,100.85,0.0
faster_hiring,14,116.2597,101.3,0.871325,0.128675,0.336081,0.0,0.047281,0.192391,0.641329,101.3,0.0
faster_hiring,15,117.653391,101.75,0.864828,0.135172,0.356976,0.0,0.041874,0.172432,0.638327,101.75,0.0
faster_hiring,16,119.087935,102.2,0.858189,0.141811,0.377301,0.0,0.036202,0.150891,0.648155,102.2,0.0
faster_hiring,17,120.564344,102.65,0.851413,0.148587,0.406394,0.0,0.030258,0.127682,0.653768,102.65,0.0
faster_hiring,18,122.093056,103.1,0.844438,0.155562,0.434597,0.0,0.024036,0.102711,0.653398,103.1,0.0
faster_hiring,19,123.674943,103.55,0.837276,0.162724,0.460236,0.0,0.017527,0.075867,0.653301,103.55,0.0
faster_hiring,20,125.309312,104.0,0.829946,0.170054,0.487249,0.0,0.010725,0.047036,0.656965,104.0,0.0
faster_hiring,21,126.999525,104.45,0.822444,0.177556,0.518499,0.0,0.003622,0.016101,0.659672,104.45,0.0
faster_hiring,22,128.751922,104.9,0.814745,0.185255,0.550706,0.0,0.0,0.0,0.663833,104.9,0.0
faster_hiring,23,130.552628,105.35,0.806954,0.193046,0.585562,0.0,0.0,0.0,0.665154,105.35,0.0
faster_hiring,24,132.38819,105.8,0.799165,0.200835,0.618984,0.0,0.0,0.0,0.657837,105.8,0.0
faster_hiring,25,134.257174,106.25,0.791392,0.208608,0.644846,0.0,0.0,0.0,0.650561,106.25,0.0
faster_hiring,26,136.152019,106.7,0.783683,0.216317,0.670612,0.0,0.0,0.0,0.657543,106.7,0.0
faster_hiring,27,138.072631,107.15,0.776041,0.223959,0.711653,0.0,0.0,0.0,0.660859,107.15,0.0
faster_hiring,28,140.034284,107.6,0.768383,0.231617,0.750208,0.0,0.0,0.0,0.652137,107.6,0.0
faster_hiring,29,142.034492,108.05,0.760731,0.239269,0.775689,0.0,0.0,0.0,0.656116,108.05,0.0
