time,capacity,workload,pressure,slack,learning,coordination_burden,burnout,attrition,trust,delivery,backlog
87,  177.389598,  134.150000,    0.756245,    0.243755,    1.058746,    0.000000,    0.000000,    0.000000,    0.702025,  134.150000,    0.000000
88,  179.098344,  134.600000,    0.751542,    0.248458,    1.093364,    0.000000,    0.000000,    0.000000,    0.704510,  134.600000,    0.000000
89,  180.841708,  135.050000,    0.746786,    0.253214,    1.129125,    0.000000,    0.000000,    0.000000,    0.707042,  135.050000,    0.000000
90,  182.620833,  135.500000,    0.741974,    0.258026,    1.166074,    0.000000,    0.000000,    0.000000,    0.709622,  135.500000,    0.000000
91,  184.436907,  135.950000,    0.737108,    0.262892,    1.204259,    0.000000,    0.000000,    0.000000,    0.712251,  135.950000,    0.000000
92,  186.291166,  136.400000,    0.732187,    0.267813,    1.243727,    0.000000,    0.000000,    0.000000,    0.714929,  136.400000,    0.000000
93,  188.184893,  136.850000,    0.727210,    0.272790,    1.284529,    0.000000,    0.000000,    0.000000,    0.717657,  136.850000,    0.000000
94,  190.119421,  137.300000,    0.722178,    0.277822,    1.326718,    0.000000,    0.000000,    0.000000,    0.720435,  137.300000,    0.000000
95,  192.096140,  137.750000,    0.717089,    0.282911,    1.370351,    0.000000,    0.000000,    0.000000,    0.723265,  137.750000,    0.000000
96,  194.116491,  138.200000,    0.711944,    0.288056,    1.415485,    0.000000,    0.000000,    0.000000,    0.726145,  138.200000,    0.000000
97,  196.181976,  138.650000,    0.706742,    0.293258,    1.462180,    0.000000,    0.000000,    0.000000,    0.729078,  138.650000,    0.000000
98,  198.294155,  139.100000,    0.701483,    0.298517,    1.510500,    0.000000,    0.000000,    0.000000,    0.732063,  139.100000,    0.000000
99,  200.454655,  139.550000,    0.696167,    0.303833,    1.560511,    0.000000,    0.000000,    0.000000,    0.735101,  139.550000,    0.000000
