scenario,time,capacity,workload,pressure,slack,learning,coordination_burden,burnout,attrition,trust,backlog
baseline_organization,36,119.193372,111.200000,0.932938,0.067062,0.175402,0.000000,0.023529,0.098157,0.627508,0.000000
baseline_organization,37,119.920616,111.650000,0.931033,0.068967,0.181646,0.000000,0.020770,0.087178,0.628094,0.000000
baseline_organization,38,120.665084,112.100000,0.929018,0.070982,0.188289,0.000000,0.017931,0.075728,0.628714,0.000000
baseline_organization,39,121.427645,112.550000,0.926889,0.073111,0.195352,0.000000,0.015007,0.063777,0.629370,0.000000
baseline_organization,40,122.209220,113.000000,0.924644,0.075356,0.202860,0.000000,0.011992,0.051295,0.630063,0.000000
baseline_organization,41,123.010785,113.450000,0.922277,0.077723,0.210837,0.000000,0.008883,0.038246,0.630796,0.000000
baseline_organization,42,123.833376,113.900000,0.919784,0.080216,0.219308,0.000000,0.005675,0.024595,0.631570,0.000000
baseline_organization,43,124.678088,114.350000,0.917162,0.082838,0.228302,0.000000,0.002361,0.010304,0.632387,0.000000
baseline_organization,44,125.546086,114.800000,0.914405,0.085595,0.237849,0.000000,0.000000,0.000000,0.633243,0.000000
baseline_organization,45,126.433935,115.250000,0.911543,0.088457,0.247875,0.000000,0.000000,0.000000,0.634127,0.000000
baseline_organization,46,127.331810,115.700000,0.908650,0.091350,0.258162,0.000000,0.000000,0.000000,0.635041,0.000000
baseline_organization,47,128.239971,116.150000,0.905724,0.094276,0.268717,0.000000,0.000000,0.000000,0.635983,0.000000
baseline_organization,48,129.158688,116.600000,0.902765,0.097235,0.279549,0.000000,0.000000,0.000000,0.636956,0.000000
baseline_organization,49,130.088237,117.050000,0.899774,0.100226,0.290667,0.000000,0.000000,0.000000,0.637958,0.000000
baseline_organization,50,131.028905,117.500000,0.896749,0.103251,0.302081,0.000000,0.000000,0.000000,0.638990,0.000000
baseline_organization,51,131.980985,117.950000,0.893689,0.106311,0.313798,0.000000,0.000000,0.000000,0.640054,0.000000
baseline_organization,52,132.944783,118.400000,0.890595,0.109405,0.325830,0.000000,0.000000,0.000000,0.641148,0.000000
baseline_organization,53,133.920614,118.850000,0.887466,0.112534,0.338187,0.000000,0.000000,0.000000,0.642273,0.000000
baseline_organization,54,134.908801,119.300000,0.884301,0.115699,0.350879,0.000000,0.000000,0.000000,0.643430,0.000000
baseline_organization,55,135.909680,119.750000,0.881100,0.118900,0.363917,0.000000,0.000000,0.000000,0.644619,0.000000
baseline_organization,56,136.923597,120.200000,0.877862,0.122138,0.377312,0.000000,0.000000,0.000000,0.645840,0.000000
baseline_organization,57,137.950909,120.650000,0.874586,0.125414,0.391077,0.000000,0.000000,0.000000,0.647094,0.000000
baseline_organization,58,138.991986,121.100000,0.871273,0.128727,0.405223,0.000000,0.000000,0.000000,0.648382,0.000000
baseline_organization,59,140.047209,121.550000,0.867922,0.132078,0.419764,0.000000,0.000000,0.000000,0.649703,0.000000
baseline_organization,60,141.116973,122.000000,0.864531,0.135469,0.434712,0.000000,0.000000,0.000000,0.651057,0.000000
baseline_organization,61,142.201685,122.450000,0.861101,0.138899,0.450082,0.000000,0.000000,0.000000,0.652446,0.000000
baseline_organization,62,143.301766,122.900000,0.857631,0.142369,0.465887,0.000000,0.000000,0.000000,0.653870,0.000000
baseline_organization,63,144.417653,123.350000,0.854120,0.145880,0.482143,0.000000,0.000000,0.000000,0.655329,0.000000
baseline_organization,64,145.549796,123.800000,0.850568,0.149432,0.498864,0.000000,0.000000,0.000000,0.656823,0.000000
baseline_organization,65,146.698660,124.250000,0.846974,0.153026,0.516068,0.000000,0.000000,0.000000,0.658353,0.000000
baseline_organization,66,147.864728,124.700000,0.843338,0.156662,0.533770,0.000000,0.000000,0.000000,0.659920,0.000000
baseline_organization,67,149.048498,125.150000,0.839660,0.160340,0.551988,0.000000,0.000000,0.000000,0.661523,0.000000
baseline_organization,68,150.250487,125.600000,0.835937,0.164063,0.570741,0.000000,0.000000,0.000000,0.663164,0.000000
baseline_organization,69,151.471227,126.050000,0.832171,0.167829,0.590045,0.000000,0.000000,0.000000,0.664842,0.000000
baseline_organization,70,152.711273,126.500000,0.828361,0.171639,0.609923,0.000000,0.000000,0.000000,0.666559,0.000000
baseline_organization,71,153.971195,126.950000,0.824505,0.175495,0.630392,0.000000,0.000000,0.000000,0.668314,0.000000
baseline_organization,72,155.251588,127.400000,0.820604,0.179396,0.651476,0.000000,0.000000,0.000000,0.670108,0.000000
baseline_organization,73,156.553063,127.850000,0.816656,0.183344,0.673195,0.000000,0.000000,0.000000,0.671941,0.000000
baseline_organization,74,157.876258,128.300000,0.812662,0.187338,0.695572,0.000000,0.000000,0.000000,0.673814,0.000000
baseline_organization,75,159.221831,128.750000,0.808620,0.191380,0.718633,0.000000,0.000000,0.000000,0.675728,0.000000
baseline_organization,76,160.590463,129.200000,0.804531,0.195469,0.742400,0.000000,0.000000,0.000000,0.677683,0.000000
baseline_organization,77,161.982863,129.650000,0.800393,0.199607,0.766900,0.000000,0.000000,0.000000,0.679679,0.000000
baseline_organization,78,163.399763,130.100000,0.796207,0.203793,0.792160,0.000000,0.000000,0.000000,0.681717,0.000000
baseline_organization,79,164.841923,130.550000,0.791971,0.208029,0.818208,0.000000,0.000000,0.000000,0.683797,0.000000
baseline_organization,80,166.310131,131.000000,0.787685,0.212315,0.845074,0.000000,0.000000,0.000000,0.685920,0.000000
baseline_organization,81,167.805205,131.450000,0.783349,0.216651,0.872787,0.000000,0.000000,0.000000,0.688087,0.000000
baseline_organization,82,169.327992,131.900000,0.778962,0.221038,0.901380,0.000000,0.000000,0.000000,0.690297,0.000000
baseline_organization,83,170.879372,132.350000,0.774523,0.225477,0.930885,0.000000,0.000000,0.000000,0.692552,0.000000
baseline_organization,84,172.460257,132.800000,0.770032,0.229968,0.961338,0.000000,0.000000,0.000000,0.694852,0.000000
baseline_organization,85,174.071595,133.250000,0.765490,0.234510,0.992773,0.000000,0.000000,0.000000,0.697197,0.000000
baseline_organization,86,175.714368,133.700000,0.760894,0.239106,1.025230,0.000000,0.000000,0.000000,0.699588,0.000000
baseline_organization,87,177.389598,134.150000,0.756245,0.243755,1.058746,0.000000,0.000000,0.000000,0.702025,0.000000
baseline_organization,88,179.098344,134.600000,0.751542,0.248458,1.093364,0.000000,0.000000,0.000000,0.704510,0.000000
baseline_organization,89,180.841708,135.050000,0.746786,0.253214,1.129125,0.000000,0.000000,0.000000,0.707042,0.000000
baseline_organization,90,182.620833,135.500000,0.741974,0.258026,1.166074,0.000000,0.000000,0.000000,0.709622,0.000000
baseline_organization,91,184.436907,135.950000,0.737108,0.262892,1.204259,0.000000,0.000000,0.000000,0.712251,0.000000
baseline_organization,92,186.291166,136.400000,0.732187,0.267813,1.243727,0.000000,0.000000,0.000000,0.714929,0.000000
baseline_organization,93,188.184893,136.850000,0.727210,0.272790,1.284529,0.000000,0.000000,0.000000,0.717657,0.000000
baseline_organization,94,190.119421,137.300000,0.722178,0.277822,1.326718,0.000000,0.000000,0.000000,0.720435,0.000000
baseline_organization,95,192.096140,137.750000,0.717089,0.282911,1.370351,0.000000,0.000000,0.000000,0.723265,0.000000
baseline_organization,96,194.116491,138.200000,0.711944,0.288056,1.415485,0.000000,0.000000,0.000000,0.726145,0.000000
baseline_organization,97,196.181976,138.650000,0.706742,0.293258,1.462180,0.000000,0.000000,0.000000,0.729078,0.000000
baseline_organization,98,198.294155,139.100000,0.701483,0.298517,1.510500,0.000000,0.000000,0.000000,0.732063,0.000000
baseline_organization,99,200.454655,139.550000,0.696167,0.303833,1.560511,0.000000,0.000000,0.000000,0.735101,0.000000
high_demand_growth,0,100.000000,95.000000,0.950000,0.050000,0.108500,0.000000,0.098000,0.343000,0.620010,0.000000
high_demand_growth,1,100.415500,95.850000,0.954534,0.045466,0.099073,0.000000,0.096181,0.338033,0.619984,0.000000
high_demand_growth,2,100.826539,96.700000,0.959073,0.040927,0.089544,0.000000,0.094544,0.333640,0.619920,0.000000
high_demand_growth,3,101.232443,97.550000,0.963624,0.036376,0.079899,0.000000,0.093089,0.329828,0.619819,0.000000
high_demand_growth,4,101.632514,98.400000,0.968194,0.031806,0.070125,0.000000,0.091817,0.326606,0.619678,0.000000
high_demand_growth,5,102.026033,99.250000,0.972791,0.027209,0.060209,0.000000,0.090729,0.323984,0.619496,0.000000
high_demand_growth,6,102.412258,100.100000,0.977422,0.022578,0.050135,0.000000,0.089826,0.321973,0.619273,0.000000
high_demand_growth,7,102.790420,100.950000,0.982095,0.017905,0.039890,0.000000,0.089109,0.320585,0.619006,0.000000
high_demand_growth,8,103.159725,101.800000,0.986819,0.013181,0.029459,0.000000,0.088582,0.319834,0.618695,0.000000
high_demand_growth,9,103.519350,102.650000,0.991602,0.008398,0.018825,0.000000,0.088246,0.319732,0.618338,0.000000
high_demand_growth,10,103.868444,103.500000,0.996453,0.003547,0.007974,0.000000,0.088104,0.320294,0.617933,0.000000
high_demand_growth,11,104.206123,104.350000,1.001381,0.000000,0.000000,0.014388,0.088229,0.321788,0.617450,0.000000
high_demand_growth,12,104.519947,105.200000,1.006506,0.000000,0.000000,0.068005,0.088814,0.324900,0.616811,0.422958
high_demand_growth,13,104.777042,106.092296,1.012553,0.000000,0.000000,0.131525,0.089944,0.329842,0.615985,1.549578
high_demand_growth,14,104.965675,107.054958,1.019904,0.000000,0.000000,0.208928,0.091735,0.337017,0.614929,3.534806
high_demand_growth,15,105.069730,108.103481,1.028874,0.000000,0.000000,0.303375,0.094334,0.346907,0.613591,6.568839
high_demand_growth,16,105.069447,109.256884,1.039854,0.000000,0.000000,0.418744,0.097921,0.360097,0.611906,10.885116
high_demand_growth,17,104.940607,110.538512,1.053344,0.000000,0.000000,0.559790,0.102722,0.377289,0.609792,16.770100
high_demand_growth,18,104.653528,111.977010,1.069978,0.000000,0.000000,0.732348,0.109020,0.399326,0.607147,24.575256
high_demand_growth,19,104.171854,113.607526,1.090578,0.000000,0.000000,0.943567,0.117172,0.427210,0.603844,34.731705
high_demand_growth,20,103.451077,115.473170,1.116210,0.000000,0.000000,1.202209,0.127631,0.462124,0.599720,47.768131
high_demand_growth,21,102.436744,117.626813,1.148287,0.000000,0.000000,1.519007,0.140977,0.505441,0.594566,64.332649
high_demand_growth,22,101.062296,120.133265,1.188705,0.000000,0.000000,1.907097,0.157960,0.558733,0.588115,85.219448
high_demand_growth,23,99.246466,123.071945,1.240064,0.000000,0.000000,2.382548,0.179566,0.623744,0.580016,111.401220
high_demand_growth,24,96.890173,126.540122,1.306016,0.000000,0.000000,2.964995,0.207107,0.702333,0.569799,144.068496
high_demand_growth,25,93.872846,130.656850,1.391849,0.000000,0.000000,3.678400,0.242374,0.796331,0.556832,184.677231
high_demand_growth,26,90.048115,135.567723,1.505503,0.000000,0.000000,4.551961,0.287869,0.907272,0.540228,235.006072
high_demand_growth,27,85.238882,141.450607,1.659461,0.000000,0.000000,5.621173,0.347220,1.035884,0.518708,297.224854
high_demand_growth,28,79.231825,148.522485,1.874531,0.000000,0.000000,6.929066,0.425928,1.181147,0.490342,373.975727
high_demand_growth,29,71.771612,157.047573,2.188157,0.000000,0.000000,8.527596,0.532862,1.338554,0.452033,468.467837
high_demand_growth,30,62.555462,167.346784,2.675175,0.000000,0.000000,10.479132,0.683628,1.496763,0.398360,584.585054
high_demand_growth,31,51.229567,179.808505,3.509858,0.000000,0.000000,12.857894,0.909515,1.630793,0.318516,727.002679
high_demand_growth,32,37.390881,194.900268,5.212508,0.000000,0.000000,15.750939,1.288641,1.686420,0.185698,901.299425
high_demand_growth,33,20.603522,213.179942,10.346772,0.000000,0.000000,19.257642,2.129850,1.535885,0.000000,1114.019372
high_demand_growth,34,0.459995,235.301937,235.301937,0.000000,0.000000,10.777779,23.217025,0.373790,0.000000,1349.321309
high_demand_growth,35,0.000000,259.682131,259.682131,0.000000,0.000000,0.000000,46.498417,0.000000,0.000000,1608.353440
high_demand_growth,36,0.650000,286.435344,286.435344,0.000000,0.000000,18.553297,72.187598,1.642268,0.000000,1894.788784
high_demand_growth,37,0.000000,315.928878,315.928878,0.000000,0.000000,0.000000,100.531197,0.000000,0.000000,2210.067663
high_demand_growth,38,0.650000,348.306766,348.306766,0.000000,0.000000,22.574940,131.788806,2.998195,0.000000,2558.374429
high_demand_growth,39,0.000000,383.987443,383.987443,0.000000,0.000000,0.000000,166.257675,0.000000,0.000000,2941.711872
high_demand_growth,40,0.650000,423.171187,423.171187,0.000000,0.000000,27.441127,204.253082,4.646758,0.000000,3364.883059
high_demand_growth,41,0.000000,466.338306,466.338306,0.000000,0.000000,0.000000,246.133530,0.000000,0.000000,3830.571365
high_demand_growth,42,0.650000,513.757136,513.757136,0.000000,0.000000,33.329214,292.281672,6.649408,0.000000,4344.328501
high_demand_growth,43,0.000000,565.982850,565.982850,0.000000,0.000000,0.000000,343.130129,0.000000,0.000000,4909.661352
high_demand_growth,44,0.650000,623.366135,623.366135,0.000000,0.000000,40.453799,399.143081,9.080505,0.000000,5533.027487
high_demand_growth,45,0.000000,686.552749,686.552749,0.000000,0.000000,0.000000,460.842828,0.000000,0.000000,6218.930235
high_demand_growth,46,0.650000,755.993024,755.993024,0.000000,0.000000,49.074547,528.792200,12.030023,0.000000,6974.923259
high_demand_growth,47,0.000000,832.442326,832.442326,0.000000,0.000000,0.000000,603.622010,0.000000,0.000000,7806.715585
high_demand_growth,48,0.650000,916.471558,916.471558,0.000000,0.000000,59.505651,686.014450,15.606829,0.000000,8723.187143
high_demand_growth,49,0.000000,1008.968714,1008.968714,0.000000,0.000000,0.000000,776.731634,0.000000,0.000000,9731.505858
high_demand_growth,50,0.650000,1110.650586,1110.650586,0.000000,0.000000,72.127288,876.600187,19.942654,0.000000,10842.156443
high_demand_growth,51,0.000000,1222.565644,1222.565644,0.000000,0.000000,0.000000,986.541095,0.000000,0.000000,12064.072088
high_demand_growth,52,0.650000,1345.607209,1345.607209,0.000000,0.000000,87.399469,1107.555744,25.196893,0.000000,13409.679297
high_demand_growth,53,0.000000,1481.017930,1481.017930,0.000000,0.000000,0.000000,1240.757357,0.000000,0.000000,14890.047226
high_demand_growth,54,0.650000,1629.904723,1629.904723,0.000000,0.000000,105.878807,1387.358782,31.562412,0.000000,16519.951949
high_demand_growth,55,0.000000,1793.745195,1793.745195,0.000000,0.000000,0.000000,1548.705850,0.000000,0.000000,18313.047144
high_demand_growth,56,0.650000,1973.904714,1973.904714,0.000000,0.000000,128.238806,1726.267274,39.272580,0.000000,20286.951858
high_demand_growth,57,0.000000,2172.145186,2172.145186,0.000000,0.000000,0.000000,1921.670341,0.000000,0.000000,22458.447044
high_demand_growth,58,0.650000,2390.144704,2390.144704,0.000000,0.000000,155.294406,2136.693364,48.609774,0.000000,24848.591748
high_demand_growth,59,0.000000,2630.009175,2630.009175,0.000000,0.000000,0.000000,2373.304190,0.000000,0.000000,27477.950923
high_demand_growth,60,0.650000,2893.795092,2893.795092,0.000000,0.000000,188.031681,2633.655748,59.915668,0.000000,30371.746015
high_demand_growth,61,0.000000,3184.024602,3184.024602,0.000000,0.000000,0.000000,2920.127963,0.000000,0.000000,33555.120617
high_demand_growth,62,0.650000,3503.212062,3503.212062,0.000000,0.000000,227.643784,3235.327048,73.603690,0.000000,37058.332679
high_demand_growth,63,0.000000,3854.383268,3854.383268,0.000000,0.000000,0.000000,3582.131542,0.000000,0.000000,40912.065947
high_demand_growth,64,0.650000,4240.606595,4240.606595,0.000000,0.000000,275.574429,3963.696136,90.174087,0.000000,45152.672541
high_demand_growth,65,0.000000,4665.517254,4665.517254,0.000000,0.000000,0.000000,4383.502689,0.000000,0.000000,49817.539795
high_demand_growth,66,0.650000,5132.853980,5132.853980,0.000000,0.000000,333.570509,4845.369547,110.232157,0.000000,54950.393775
high_demand_growth,67,0.000000,5646.989377,5646.989377,0.000000,0.000000,0.000000,5353.508591,0.000000,0.000000,60596.733152
high_demand_growth,68,0.650000,6212.473315,6212.473315,0.000000,0.000000,403.745765,5912.541189,134.510312,0.000000,66809.206468
high_demand_growth,69,0.000000,6834.570647,6834.570647,0.000000,0.000000,0.000000,6527.562547,0.000000,0.000000,73643.127114
high_demand_growth,70,0.650000,7518.812711,7518.812711,0.000000,0.000000,488.657826,7204.165691,163.894769,0.000000,81161.939826
high_demand_growth,71,0.000000,8271.543983,8271.543983,0.000000,0.000000,0.000000,7948.514650,0.000000,0.000000,89432.833808
high_demand_growth,72,0.650000,9099.483381,9099.483381,0.000000,0.000000,591.401420,8767.378154,199.457853,0.000000,98532.317189
high_demand_growth,73,0.000000,10010.281719,10010.281719,0.000000,0.000000,0.000000,9668.213509,0.000000,0.000000,108541.948908
high_demand_growth,74,0.650000,11012.094891,11012.094891,0.000000,0.000000,715.721168,10659.212049,242.497074,0.000000,119554.043799
high_demand_growth,75,0.000000,12114.154380,12114.154380,0.000000,0.000000,0.000000,11749.395943,0.000000,0.000000,131667.548179
high_demand_growth,76,0.650000,13326.354818,13326.354818,0.000000,0.000000,866.148063,12948.677877,294.582422,0.000000,144993.902997
high_demand_growth,77,0.000000,14659.840300,14659.840300,0.000000,0.000000,0.000000,14267.973504,0.000000,0.000000,159653.093297
high_demand_growth,78,0.650000,16126.609330,16126.609330,0.000000,0.000000,1048.164606,15719.278343,357.613582,0.000000,175779.702626
high_demand_growth,79,0.000000,17740.120263,17740.120263,0.000000,0.000000,0.000000,17315.799167,0.000000,0.000000,193519.172889
high_demand_growth,80,0.650000,19514.917289,19514.917289,0.000000,0.000000,1268.404624,19072.051723,433.889177,0.000000,213034.090178
high_demand_growth,81,0.000000,21467.259018,21467.259018,0.000000,0.000000,0.000000,21004.015035,0.000000,0.000000,234500.699195
high_demand_growth,82,0.650000,23614.769920,23614.769920,0.000000,0.000000,1534.895045,23129.254327,526.190536,0.000000,258115.469115
high_demand_growth,83,0.000000,25977.096912,25977.096912,0.000000,0.000000,0.000000,25467.103049,0.000000,0.000000,284091.916027
high_demand_growth,84,0.650000,28575.591603,28575.591603,0.000000,0.000000,1857.348454,28038.816294,637.883071,0.000000,312667.507629
high_demand_growth,85,0.000000,31434.000763,31434.000763,0.000000,0.000000,0.000000,30867.786362,0.000000,0.000000,344100.858392
high_demand_growth,86,0.650000,34578.185839,34578.185839,0.000000,0.000000,2247.517080,33979.733088,773.038928,0.000000,378679.044231
high_demand_growth,87,0.000000,38036.854423,38036.854423,0.000000,0.000000,0.000000,37402.959986,0.000000,0.000000,416715.248654
high_demand_growth,88,0.650000,41841.324865,41841.324865,0.000000,0.000000,2719.621116,41168.589224,936.585405,0.000000,458556.573520
high_demand_growth,89,0.000000,46026.307352,46026.307352,0.000000,0.000000,0.000000,45310.866885,0.000000,0.000000,504582.230872
high_demand_growth,90,0.650000,50629.723087,50629.723087,0.000000,0.000000,3290.867001,49867.451963,1134.484532,0.000000,555211.953959
high_demand_growth,91,0.000000,55693.545396,55693.545396,0.000000,0.000000,0.000000,54879.781049,0.000000,0.000000,610904.849355
high_demand_growth,92,0.650000,61263.684936,61263.684936,0.000000,0.000000,3982.074521,60393.422693,1373.950366,0.000000,672168.534291
high_demand_growth,93,0.000000,67390.903429,67390.903429,0.000000,0.000000,0.000000,66458.514002,0.000000,0.000000,739558.787720
high_demand_growth,94,0.650000,74130.778772,74130.778772,0.000000,0.000000,4818.435620,73130.194091,1663.711916,0.000000,813689.566492
high_demand_growth,95,0.000000,81544.706649,81544.706649,0.000000,0.000000,0.000000,80469.127690,0.000000,0.000000,895233.623141
high_demand_growth,96,0.650000,89699.962314,89699.962314,0.000000,0.000000,5830.432550,88542.034298,2014.331280,0.000000,984933.585455
high_demand_growth,97,0.000000,98670.808545,98670.808545,0.000000,0.000000,0.000000,97422.317067,0.000000,0.000000,1083603.744000
high_demand_growth,98,0.650000,108538.674400,108538.674400,0.000000,0.000000,7054.948836,107190.707763,2438.588602,0.000000,1192142.418400
high_demand_growth,99,0.000000,119393.391840,119393.391840,0.000000,0.000000,0.000000,117936.023029,0.000000,0.000000,1311535.160240
faster_hiring,0,100.000000,95.000000,0.950000,0.050000,0.108500,0.000000,0.098000,0.343000,0.620010,0.000000
faster_hiring,1,101.015500,95.450000,0.944904,0.055096,0.120773,0.000000,0.095796,0.338691,0.620082,0.000000
faster_hiring,2,102.047582,95.900000,0.939758,0.060242,0.133420,0.000000,0.093386,0.333545,0.620217,0.000000
faster_hiring,3,103.097457,96.350000,0.934553,0.065447,0.146471,0.000000,0.090769,0.327530,0.620418,0.000000
faster_hiring,4,104.166397,96.800000,0.929282,0.070718,0.159959,0.000000,0.087940,0.320613,0.620686,0.000000
faster_hiring,5,105.255743,97.250000,0.923940,0.076060,0.173917,0.000000,0.084897,0.312758,0.621022,0.000000
faster_hiring,6,106.366901,97.700000,0.918519,0.081481,0.188382,0.000000,0.081638,0.303926,0.621428,0.000000
faster_hiring,7,107.501357,98.150000,0.913012,0.086988,0.203392,0.000000,0.078159,0.294076,0.621907,0.000000
faster_hiring,8,108.660673,98.600000,0.907412,0.092588,0.218988,0.000000,0.074455,0.283162,0.622461,0.000000
faster_hiring,9,109.846499,99.050000,0.901713,0.098287,0.235214,0.000000,0.070524,0.271137,0.623091,0.000000
faster_hiring,10,111.060575,99.500000,0.895907,0.104093,0.252115,0.000000,0.066360,0.257949,0.623800,0.000000
faster_hiring,11,112.304741,99.950000,0.889989,0.110011,0.269741,0.000000,0.061960,0.243542,0.624591,0.000000
faster_hiring,12,113.580940,100.400000,0.883951,0.116049,0.288144,0.000000,0.057318,0.227857,0.625465,0.000000
faster_hiring,13,114.891228,100.850000,0.877787,0.122213,0.307380,0.000000,0.052429,0.210827,0.626425,0.000000
faster_hiring,14,116.237780,101.300000,0.871489,0.128511,0.327509,0.000000,0.047289,0.192386,0.627473,0.000000
faster_hiring,15,117.622904,101.750000,0.865053,0.134947,0.348594,0.000000,0.041891,0.172456,0.628613,0.000000
faster_hiring,16,119.049041,102.200000,0.858470,0.141530,0.370704,0.000000,0.036230,0.150958,0.629847,0.000000
faster_hiring,17,120.518787,102.650000,0.851734,0.148266,0.393911,0.000000,0.030299,0.127806,0.631179,0.000000
faster_hiring,18,122.034892,103.100000,0.844840,0.155160,0.418295,0.000000,0.024093,0.102905,0.632610,0.000000
faster_hiring,19,123.600283,103.550000,0.837781,0.162219,0.443940,0.000000,0.017604,0.076154,0.634144,0.000000
faster_hiring,20,125.218069,104.000000,0.830551,0.169449,0.470936,0.000000,0.010826,0.047446,0.635784,0.000000
faster_hiring,21,126.891559,104.450000,0.823144,0.176856,0.499380,0.000000,0.003752,0.016662,0.637534,0.000000
faster_hiring,22,128.624277,104.900000,0.815554,0.184446,0.529376,0.000000,0.000000,0.000000,0.639379,0.000000
faster_hiring,23,130.403653,105.350000,0.807876,0.192124,0.560657,0.000000,0.000000,0.000000,0.641300,0.000000
faster_hiring,24,132.214310,105.800000,0.800216,0.199784,0.592882,0.000000,0.000000,0.000000,0.643298,0.000000
faster_hiring,25,134.057192,106.250000,0.792572,0.207428,0.626090,0.000000,0.000000,0.000000,0.645372,0.000000
faster_hiring,26,135.933283,106.700000,0.784944,0.215056,0.660322,0.000000,0.000000,0.000000,0.647522,0.000000
faster_hiring,27,137.843605,107.150000,0.777330,0.222670,0.695618,0.000000,0.000000,0.000000,0.649749,0.000000
faster_hiring,28,139.789222,107.600000,0.769730,0.230270,0.732022,0.000000,0.000000,0.000000,0.652052,0.000000
faster_hiring,29,141.771245,108.050000,0.762143,0.237857,0.769580,0.000000,0.000000,0.000000,0.654430,0.000000
