time,output,consumption,investment,capital,debt,debt_service,fragility,government,demand_gap
21, 1007.815238,  593.428996,  144.189700, 1188.469040,  161.551713,    5.654310,    0.135933,   22.000000,  248.196541
22, 1086.397690,  638.806655,  155.596128, 1290.584061,  173.072533,    6.057539,    0.134104,   22.000000,  269.994907
23, 1171.167166,  687.239755,  167.766092, 1400.273871,  185.522329,    6.493282,    0.132490,   22.000000,  294.161320
24, 1262.793834,  739.485585,  180.893465, 1518.155011,  198.973617,    6.964077,    0.131063,   22.000000,  320.414784
25, 1360.914777,  795.957837,  195.082937, 1644.920973,  213.507570,    7.472765,    0.129798,   22.000000,  347.874003
26, 1465.886947,  856.429472,  210.273599, 1781.173128,  229.197241,    8.021903,    0.128678,   22.000000,  377.183876
27, 1579.106404,  921.119976,  226.520008, 1927.540346,  246.119311,    8.614176,    0.127686,   22.000000,  409.466420
28, 1701.230747,  990.892988,  244.042849, 2084.843879,  264.370613,    9.252971,    0.126806,   22.000000,  444.294911
29, 1832.033694, 1066.153798,  262.943948, 2253.969852,  284.055742,    9.941951,    0.126025,   22.000000,  480.935948
30, 1972.202755, 1146.759497,  283.183440, 2435.724649,  305.272693,   10.684544,    0.125331,   22.000000,  520.259818
31, 2123.321740, 1233.133891,  304.867897, 2630.984936,  328.127665,   11.484468,    0.124717,   22.000000,  563.319953
32, 2286.082090, 1326.256287,  328.247010, 2840.837624,  352.749175,   12.346221,    0.124171,   22.000000,  609.578793
33, 2460.477209, 1426.552167,  353.426913, 3066.426845,  379.273137,   13.274560,    0.123686,   22.000000,  658.498129
34, 2647.581271, 1534.014041,  380.401794, 3308.839430,  407.831488,   14.274102,    0.123255,   22.000000,  711.165436
35, 2849.196035, 1649.304601,  409.338901, 3569.280557,  438.569590,   15.349936,    0.122873,   22.000000,  768.552532
36, 3066.115199, 1773.537302,  440.521430, 3849.184362,  471.657494,   16.508012,    0.122534,   22.000000,  830.056467
37, 3298.652050, 1907.199986,  474.070420, 4150.041485,  507.273098,   17.754558,    0.122233,   22.000000,  895.381645
38, 3548.336604, 2050.482443,  510.029770, 4473.319388,  545.594248,   19.095799,    0.121966,   22.000000,  965.824391
39, 3817.239855, 2204.328838,  548.638058, 4820.658073,  586.818197,   20.538637,    0.121730,   22.000000, 1042.272959
40, 4106.353535, 2370.018255,  590.219740, 5193.948200,  631.169716,   22.090940,    0.121520,   22.000000, 1124.115540
41, 4416.432939, 2548.159949,  634.925626, 5595.146157,  678.883036,   23.760906,    0.121334,   22.000000, 1211.347364
42, 4749.552671, 2739.216346,  682.868364, 6026.232943,  730.197797,   25.556923,    0.121170,   22.000000, 1305.467961
43, 5108.133134, 2944.467711,  734.371504, 6489.423965,  785.380002,   27.488300,    0.121025,   22.000000, 1407.293919
44, 5493.494156, 3165.408043,  789.813001, 6987.212888,  844.726802,   29.565438,    0.120896,   22.000000, 1516.273111
45, 5906.983845, 3402.848207,  849.393627, 7522.181935,  908.547995,   31.799180,    0.120783,   22.000000, 1632.742012
46, 6351.338494, 3657.616284,  913.318235, 8097.001984,  977.166119,   34.200814,    0.120682,   22.000000, 1758.403975
47, 6829.446933, 3931.400713,  982.013345, 8714.650239, 1050.938300,   36.782841,    0.120594,   22.000000, 1894.032875
48, 7343.130582, 4225.983641, 1055.928669, 9378.419647, 1130.257709,   39.559020,    0.120517,   22.000000, 2039.218272
49, 7894.519294, 4542.484518, 1135.341873,10091.732637, 1215.535454,   42.543741,    0.120449,   22.000000, 2194.692903
50, 8487.168225, 4882.213576, 1220.579346,10858.184014, 1307.205002,   45.752175,    0.120389,   22.000000, 2362.375303
51, 9124.605364, 5247.364175, 1312.194741,11681.760474, 1405.744351,   49.201052,    0.120337,   22.000000, 2543.046449
52, 9809.382846, 5640.111717, 1410.735806,12566.817059, 1511.674323,   52.908601,    0.120291,   22.000000, 2736.535323
53,10544.652326, 6062.025506, 1516.592654,13517.902945, 1625.541730,   56.893961,    0.120251,   22.000000, 2944.034166
54,11335.000701, 6515.045899, 1630.250412,14539.847724, 1747.928228,   61.177488,    0.120216,   22.000000, 3167.704390
55,12184.834268, 7002.002229, 1752.422624,15637.977201, 1879.472285,   65.781530,    0.120186,   22.000000, 3408.409415
56,13097.736955, 7525.610439, 1883.791953,16818.060180, 2020.864673,   70.730264,    0.120160,   22.000000, 3666.334563
57,14078.191183, 8088.075295, 2024.907649,18086.155121, 2172.833821,   76.049184,    0.120138,   22.000000, 3943.208239
58,15132.104859, 8692.157688, 2176.461406,19448.739546, 2336.159116,   81.765569,    0.120119,   22.000000, 4241.485766
59,16265.092030, 9341.501035, 2339.371208,20912.917475, 2511.692259,   87.909229,    0.120102,   22.000000, 4562.219787
60,17482.163389,10039.564752, 2514.505496,22486.341684, 2700.350502,   94.512268,    0.120088,   22.000000, 4906.093141
61,18789.534071,10789.432539, 2702.633875,24177.090183, 2903.105127,  101.608679,    0.120077,   22.000000, 5275.467658
62,20194.826063,11594.933496, 2904.716772,25993.837897, 3120.999176,  109.234971,    0.120067,   22.000000, 5673.175795
63,21705.309679,12460.767180, 3121.937199,27946.052391, 3355.167917,  117.430877,    0.120059,   22.000000, 6100.605301
64,23327.940713,13391.412803, 3355.418672,30043.898705, 3606.830586,  126.239071,    0.120052,   22.000000, 6559.109238
65,25071.194416,14391.152477, 3606.231444,32298.154706, 3877.282966,  135.704904,    0.120047,   22.000000, 7051.810495
66,26944.940000,15465.208464, 3875.686203,34720.423947, 4167.919512,  145.877183,    0.120042,   22.000000, 7582.045333
67,28958.709685,16619.664812, 4165.313217,37323.318087, 4480.252846,  156.808850,    0.120039,   22.000000, 8151.731656
68,31122.085651,17860.393684, 4476.584700,40120.353473, 4815.904995,  168.556675,    0.120036,   22.000000, 8763.107268
69,33446.499722,19193.295479, 4810.977029,43125.914596, 5176.605073,  181.181178,    0.120035,   22.000000, 9420.227213
70,35936.789586,20625.414701, 5170.258778,46355.507217, 5564.215824,  194.747554,    0.120034,   22.000000,10119.116107
71,38624.180188,22159.704148, 5555.138780,49824.648172, 5980.624306,  209.321851,    0.120033,   22.000000,10887.337260
72,41509.904668,23815.476109, 5970.546979,53553.085984, 6428.163396,  224.985719,    0.120033,   22.000000,11701.881580
73,44609.835875,25593.436809, 6416.599028,57559.796143, 6909.119214,  241.819172,    0.120034,   22.000000,12577.800038
74,47941.060350,27503.370262, 6895.754568,61865.359884, 7425.966691,  259.908834,    0.120034,   22.000000,13519.935521
75,51520.516692,29555.808250, 7410.660822,66492.079511, 7981.383606,  279.348426,    0.120035,   22.000000,14532.047620
76,55366.111162,31761.185759, 7963.934244,71463.870177, 8578.242440,  300.238485,    0.120036,   22.000000,15618.991159
77,59498.315643,34130.532859, 8558.339300,76806.335320, 9219.620309,  322.686711,    0.120037,   22.000000,16787.443484
78,63939.187050,36676.465191, 9197.043792,82547.094023, 9908.834180,  346.809196,    0.120039,   22.000000,18043.678066
79,68711.124632,39412.575116, 9883.460732,88715.935523,10649.459399,  372.731079,    0.120040,   22.000000,19393.088785
80,73838.225698,42352.660787,10621.048862,95344.767287,11445.327800,  400.586473,    0.120041,   22.000000,20842.516049
81,79347.663807,45511.566738,11413.529639,************,12300.547569,  430.519165,    0.120043,   22.000000,22400.567430
82,85268.478717,48906.037871,12265.107044,************,13219.544584,  462.684060,    0.120045,   22.000000,24075.333801
83,91630.604793,52553.968190,13180.272534,************,14207.083223,  497.247913,    0.120046,   22.000000,25874.364070
84,98466.484726,56473.797891,14163.648854,************,15268.271028,  534.389486,    0.120048,   22.000000,27807.037981
85,************,60685.513755,15220.248070,************,16408.589059,  574.300617,    0.120050,   22.000000,29884.460831
86,************,65211.363320,16355.655008,************,17633.939834,  617.187894,    0.120051,   22.000000,32117.201395
87,************,70075.007733,17575.807262,************,18950.672064,  663.273522,    0.120053,   22.000000,34515.719306
88,************,75301.124465,18886.891966,************,20365.594459,  712.795806,    0.120055,   22.000000,37092.703398
89,************,80916.546433,20295.639367,************,21886.018534,  766.010649,    0.120056,   22.000000,39862.548870
90,************,86950.825031,21809.466898,************,23519.814761,  823.193517,    0.120058,   22.000000,42839.203065
91,************,93435.331528,23436.245683,************,25275.443960,  884.640539,    0.120059,   22.000000,46037.036571
92,************,************,25184.257666,************,27161.983627,  950.669427,    0.120061,   22.000000,49473.070775
93,************,************,27062.518235,************,29189.185860, 1021.621505,    0.120062,   22.000000,53166.063632
94,************,************,29080.880009,************,31367.544215, 1097.864048,    0.120064,   22.000000,57134.548122
95,************,************,31249.798649,************,33708.335474, 1179.791742,    0.120065,   22.000000,61398.124836
96,************,************,33580.356711,************,36223.662759, 1267.828197,    0.120066,   22.000000,65979.508924
97,************,************,36084.609004,************,38926.532090, 1362.428623,    0.120067,   22.000000,70903.267154
98,************,************,38775.647975,************,41830.933585, 1464.082675,    0.120069,   22.000000,76194.129821
99,************,************,41667.383135,************,44951.898559, 1573.316450,    0.120070,   22.000000,81878.670548
100,************,************,44774.637208,************,48305.564816, 1690.694769,    0.120071,   22.000000,87987.112376
101,************,************,48113.508838,************,51909.276579, 1816.824680,    0.120072,   22.000000,94551.774663
102,************,************,51701.404657,************,55781.685130, 1952.358980,    0.120073,   22.000000,************
103,************,************,55556.848142,************,59942.827816, 2097.998974,    0.120074,   22.000000,************
104,************,************,59699.653209,************,64414.222442, 2254.497785,    0.120074,   22.000000,************
105,************,************,64151.300557,************,69218.996937, 2422.664893,    0.120075,   22.000000,************
106,************,************,68934.945154,************,74382.016528, 2603.370578,    0.120076,   22.000000,************
107,************,************,74075.271971,************,79929.993312, 2797.549766,    0.120077,   22.000000,************
108,************,************,79598.752248,************,85891.618704, 3006.206655,    0.120078,   22.000000,************
109,************,************,85534.032340,************,92297.731471, 3230.420601,    0.120078,   22.000000,************
110,************,************,91911.929554,************,99181.481139, 3471.351840,    0.120079,   22.000000,************
111,************,************,98765.354049,************,************, 3730.246783,    0.120079,   22.000000,************
112,************,************,************,************,************, 4008.444402,    0.120080,   22.000000,************
113,************,************,************,************,************, 4307.383858,    0.120081,   22.000000,************
114,************,************,************,************,************, 4628.611950,    0.120081,   22.000000,************
115,************,************,************,************,************, 4973.790411,    0.120082,   22.000000,************
116,************,************,************,************,************, 5344.704568,    0.120082,   22.000000,************
117,************,************,************,************,************, 5743.273278,    0.120082,   22.000000,************
118,************,************,************,************,************, 6171.558725,    0.120083,   22.000000,************
119,************,************,************,************,************, 6631.776397,    0.120083,   22.000000,************
120,************,************,************,************,************, 7126.306746,    0.120084,   22.000000,************
