run_id,n_agents,n_steps,service_capacity,pressure_sensitivity,baseline_low,baseline_high,total_arrivals,average_queue_length,maximum_queue_length,average_utilization,final_queue_length
72,160,80,32,0.063009,0.084709,0.420610,2593,30.037500,47,1.000000,33
73,160,80,20,0.330700,0.090518,0.272588,1478,5.212500,22,0.923125,1
74,160,80,33,0.347786,0.104992,0.411958,2597,4.950000,19,0.982955,2
75,160,80,37,0.103009,0.072486,0.363454,2678,1.012500,11,0.904054,2
76,160,80,17,0.336128,0.096033,0.424314,1362,9.825000,31,0.999265,3
77,160,80,41,0.031362,0.098062,0.408017,3210,7.862500,29,0.975610,10
78,160,80,33,0.349586,0.167640,0.484281,2651,12.312500,30,1.000000,11
79,160,80,35,0.083777,0.174417,0.379882,2832,27.112500,40,1.000000,32
80,160,80,34,0.321607,0.078046,0.264706,2092,0.062500,2,0.769118,0
81,160,80,28,0.083723,0.133686,0.383158,2258,28.700000,44,1.000000,18
82,160,80,34,0.211717,0.076512,0.277389,2175,0.275000,5,0.799632,0
83,160,80,31,0.092108,0.187067,0.525293,2538,58.887500,70,1.000000,58
84,160,80,22,0.359661,0.140965,0.362819,1747,9.787500,39,0.982955,17
85,160,80,44,0.158551,0.117466,0.316470,2778,0.150000,6,0.789205,0
86,160,80,23,0.126097,0.168055,0.519975,1880,37.862500,47,1.000000,40
87,160,80,30,0.357678,0.197115,0.416674,2391,10.712500,31,0.995417,2
88,160,80,37,0.103366,0.140171,0.437459,2982,18.112500,39,1.000000,22
89,160,80,32,0.160210,0.111187,0.443749,2582,18.212500,30,1.000000,22
90,160,80,17,0.134749,0.115883,0.301029,1372,13.437500,25,1.000000,12
91,160,80,18,0.027711,0.080906,0.300595,1493,46.525000,61,1.000000,53
92,160,80,22,0.205357,0.091998,0.354766,1767,8.925000,23,1.000000,7
93,160,80,37,0.219443,0.103733,0.382021,2887,2.987500,18,0.972973,7
94,160,80,41,0.351387,0.112577,0.294682,2571,0.037500,3,0.783841,0
95,160,80,18,0.051641,0.129643,0.455267,1498,59.937500,76,1.000000,58
96,160,80,26,0.078940,0.068020,0.343145,2093,15.037500,30,1.000000,13
97,160,80,40,0.047919,0.111014,0.451654,3230,27.012500,47,1.000000,30
98,160,80,18,0.052371,0.158071,0.339758,1488,45.862500,58,1.000000,48
99,160,80,29,0.368465,0.086437,0.269260,2099,1.412500,11,0.904741,0
100,160,80,44,0.124006,0.135344,0.464190,3513,7.962500,20,0.996591,5
101,160,80,18,0.364331,0.135431,0.351477,1445,10.387500,40,0.983333,29
102,160,80,37,0.122325,0.142188,0.488549,2983,26.787500,38,1.000000,23
103,160,80,21,0.224489,0.175686,0.455656,1691,17.300000,27,1.000000,11
104,160,80,19,0.094461,0.075314,0.267142,1527,9.562500,20,1.000000,7
105,160,80,41,0.144394,0.164542,0.420334,3281,8.287500,22,0.997561,9
106,160,80,38,0.163318,0.174176,0.374724,3033,9.075000,25,0.997697,0
107,160,80,40,0.231773,0.123515,0.457961,3141,5.075000,16,0.980000,5
108,160,80,25,0.370662,0.064793,0.383317,1950,6.462500,25,0.968500,13
109,160,80,30,0.165138,0.127921,0.463398,2422,18.225000,28,1.000000,22
110,160,80,41,0.058157,0.079450,0.338695,2778,0.562500,8,0.846951,0
111,160,80,22,0.287891,0.132297,0.341556,1774,8.975000,29,0.997727,18
112,160,80,29,0.031988,0.156367,0.356679,2397,65.300000,82,1.000000,77
113,160,80,37,0.103274,0.167873,0.400478,2980,19.025000,34,0.999662,21
114,160,80,34,0.328374,0.171997,0.380919,2680,5.875000,19,0.985294,0
115,160,80,26,0.329041,0.121955,0.371456,2053,7.062500,29,0.986538,1
116,160,80,35,0.202928,0.135567,0.440397,2806,11.262500,25,0.998214,11
117,160,80,22,0.305032,0.093952,0.407426,1779,9.450000,24,0.998864,21
118,160,80,18,0.066456,0.079168,0.373959,1477,31.725000,46,1.000000,37
119,160,80,27,0.302005,0.193638,0.435641,2167,14.475000,31,1.000000,7
120,160,80,32,0.310734,0.097205,0.306183,2406,1.850000,16,0.939844,0
121,160,80,27,0.092023,0.099264,0.303005,2162,7.762500,21,0.996296,10
122,160,80,28,0.223746,0.135280,0.444816,2252,14.612500,28,1.000000,12
123,160,80,27,0.239614,0.199911,0.507536,2180,20.875000,40,1.000000,20
124,160,80,27,0.156219,0.152989,0.398984,2186,19.100000,37,1.000000,26
125,160,80,26,0.203560,0.081580,0.377713,2090,8.550000,20,1.000000,10
126,160,80,26,0.166067,0.151330,0.416086,2094,17.875000,28,1.000000,14
127,160,80,37,0.212998,0.173241,0.506309,2984,18.600000,31,1.000000,24
128,160,80,26,0.060807,0.192871,0.539168,2169,92.387500,108,1.000000,89
129,160,80,38,0.238807,0.090881,0.439917,2951,2.775000,14,0.968421,7
130,160,80,19,0.081777,0.165595,0.461055,1567,48.775000,61,1.000000,47
131,160,80,16,0.257661,0.078296,0.289538,1272,7.287500,23,0.993750,0
132,160,80,41,0.147600,0.080026,0.414436,3152,2.362500,21,0.959756,4
133,160,80,21,0.120896,0.074878,0.294286,1679,9.450000,21,0.995833,6
134,160,80,27,0.290411,0.085083,0.340006,2100,4.025000,17,0.971296,2
135,160,80,41,0.186853,0.168535,0.476743,3298,15.312500,39,1.000000,18
136,160,80,25,0.053858,0.112902,0.383642,2034,34.900000,45,1.000000,34
137,160,80,21,0.132339,0.132381,0.449134,1707,25.637500,40,1.000000,27
138,160,80,37,0.098608,0.100716,0.310007,2511,0.450000,7,0.848311,0
139,160,80,30,0.179343,0.176372,0.416372,2421,20.762500,35,1.000000,21
140,160,80,29,0.241184,0.146847,0.373866,2325,9.300000,20,0.997845,10
141,160,80,37,0.045337,0.186239,0.375294,3000,37.575000,56,1.000000,40
142,160,80,34,0.326762,0.192850,0.429167,2718,9.700000,28,0.998162,3
143,160,80,19,0.164794,0.072154,0.321648,1530,9.025000,20,1.000000,10
144,160,80,33,0.171275,0.073524,0.337023,2472,1.300000,10,0.934848,4
145,160,80,43,0.248821,0.118433,0.438394,3378,4.375000,18,0.980523,5
146,160,80,31,0.360636,0.190792,0.455069,2497,11.600000,35,1.000000,17
147,160,80,34,0.097443,0.197724,0.467159,2759,38.250000,51,1.000000,39
148,160,80,24,0.214628,0.061760,0.303705,1894,4.312500,23,0.983854,5
149,160,80,26,0.099794,0.080860,0.390703,2085,16.912500,27,1.000000,5
150,160,80,19,0.131213,0.149777,0.406664,1551,23.575000,32,1.000000,31
151,160,80,27,0.124694,0.063805,0.309220,2139,4.125000,16,0.985648,10
152,160,80,27,0.160251,0.133672,0.398182,2178,13.975000,26,1.000000,18
153,160,80,30,0.226044,0.064468,0.252657,2020,0.462500,5,0.841667,0
154,160,80,32,0.136990,0.075895,0.321930,2438,2.412500,13,0.951172,3
155,160,80,37,0.168956,0.165424,0.370371,2968,12.312500,23,0.999662,9
156,160,80,25,0.262896,0.149753,0.455706,2011,14.637500,28,1.000000,11
157,160,80,24,0.368215,0.134801,0.354201,1851,7.700000,26,0.950521,26
158,160,80,16,0.260829,0.106683,0.295215,1262,8.750000,29,0.979688,8
159,160,80,37,0.127260,0.176602,0.395211,2969,14.037500,31,0.999324,11
160,160,80,30,0.088449,0.150422,0.420780,2433,29.837500,47,1.000000,33
161,160,80,23,0.243256,0.161697,0.510209,1856,18.600000,35,1.000000,16
162,160,80,42,0.294943,0.159832,0.446220,3338,8.137500,26,0.993155,1
163,160,80,26,0.199605,0.145062,0.404477,2105,16.262500,28,1.000000,25
164,160,80,30,0.334760,0.164440,0.430345,2402,10.137500,28,0.999167,4
165,160,80,18,0.218939,0.071166,0.271849,1425,5.712500,21,0.989583,0
166,160,80,34,0.225739,0.148979,0.351361,2695,6.112500,17,0.990074,2
167,160,80,42,0.305845,0.108564,0.403556,3080,1.175000,9,0.916667,0
168,160,80,20,0.336053,0.168697,0.414502,1608,12.162500,34,0.997500,12
169,160,80,29,0.329191,0.093100,0.356134,2233,4.925000,19,0.962500,0
170,160,80,43,0.179079,0.145217,0.353605,3101,1.225000,12,0.901453,0
171,160,80,20,0.088175,0.193037,0.402688,1632,36.837500,48,1.000000,32
172,160,80,33,0.163899,0.158637,0.495044,2670,27.125000,38,1.000000,30
173,160,80,35,0.120684,0.073055,0.428402,2804,9.275000,23,0.994643,19
174,160,80,35,0.132998,0.169539,0.472535,2826,27.800000,40,1.000000,26
175,160,80,44,0.367075,0.131600,0.335576,3041,0.400000,8,0.863920,0
176,160,80,24,0.190426,0.189637,0.472454,1948,22.262500,34,1.000000,28
177,160,80,33,0.306276,0.157853,0.504632,2659,13.400000,24,1.000000,19
178,160,80,41,0.220200,0.110717,0.322499,2779,0.187500,5,0.847256,0
179,160,80,31,0.120579,0.140840,0.348881,2501,16.187500,28,1.000000,21
180,160,80,40,0.060047,0.146992,0.329721,3013,2.812500,18,0.941562,0
181,160,80,24,0.068953,0.105541,0.460982,1967,41.375000,52,1.000000,47
182,160,80,39,0.135358,0.197200,0.546969,3161,33.925000,47,1.000000,41
183,160,80,19,0.210883,0.095040,0.393530,1532,12.950000,30,1.000000,12
184,160,80,32,0.140298,0.099961,0.435905,2575,16.862500,31,1.000000,15
185,160,80,37,0.089383,0.189856,0.395626,2990,23.875000,46,1.000000,30
186,160,80,41,0.346650,0.117032,0.465917,3252,5.362500,18,0.989329,7
187,160,80,21,0.210662,0.173330,0.467388,1698,20.225000,37,1.000000,18
188,160,80,23,0.353837,0.179431,0.395779,1849,11.325000,31,0.995652,17
189,160,80,40,0.262146,0.138257,0.486943,3198,9.187500,23,0.996562,9
190,160,80,17,0.134115,0.156376,0.504029,1391,27.762500,36,1.000000,31
191,160,80,42,0.131474,0.184209,0.543503,3390,30.262500,40,1.000000,30
192,160,80,24,0.252715,0.183233,0.520294,1937,19.737500,39,1.000000,17
193,160,80,19,0.348998,0.178863,0.389542,1553,11.412500,35,0.998684,35
194,160,80,42,0.151025,0.157771,0.378900,3208,2.500000,17,0.954464,1
195,160,80,35,0.049228,0.108185,0.401201,2803,13.837500,28,0.999643,4
196,160,80,34,0.222075,0.061894,0.410234,2692,5.575000,17,0.989706,0
197,160,80,38,0.077430,0.128375,0.443034,3049,18.187500,32,1.000000,9
198,160,80,16,0.045006,0.189971,0.426154,1352,74.662500,84,1.000000,72
199,160,80,16,0.262357,0.113875,0.328965,1304,8.012500,27,0.997656,27
200,160,80,31,0.059032,0.157957,0.513765,2540,66.675000,84,1.000000,60
201,160,80,24,0.174352,0.066738,0.401420,1929,13.300000,24,1.000000,9
202,160,80,26,0.354946,0.085230,0.268399,1937,2.187500,12,0.930769,1
203,160,80,27,0.093237,0.148407,0.485927,2207,43.962500,58,1.000000,47
204,160,80,43,0.203298,0.143676,0.333169,2977,0.275000,7,0.864535,3
205,160,80,28,0.245458,0.168401,0.413608,2250,13.037500,24,1.000000,10
206,160,80,42,0.265469,0.138827,0.435543,3326,6.437500,19,0.989881,0
207,160,80,20,0.166165,0.124890,0.358985,1617,14.450000,23,1.000000,17
208,160,80,23,0.170375,0.098526,0.297624,1843,6.612500,16,0.998913,5
209,160,80,39,0.134685,0.186140,0.384184,3124,13.012500,26,0.998718,8
210,160,80,21,0.160099,0.178166,0.405400,1697,20.387500,32,1.000000,17
211,160,80,20,0.072736,0.152356,0.338006,1631,30.600000,40,1.000000,31
212,160,80,38,0.185549,0.167574,0.414437,3048,10.900000,23,1.000000,8
213,160,80,28,0.312676,0.177953,0.496823,2255,14.850000,32,1.000000,15
214,160,80,17,0.125337,0.088753,0.290837,1366,10.587500,19,0.999265,7
215,160,80,34,0.076898,0.120840,0.450027,2755,32.212500,50,1.000000,35
216,160,80,25,0.102939,0.170581,0.416056,2034,33.762500,43,1.000000,34
217,160,80,28,0.312668,0.191418,0.508032,2251,16.012500,35,1.000000,11
218,160,80,26,0.228125,0.072438,0.326686,2044,4.812500,16,0.980769,4
219,160,80,35,0.274265,0.162297,0.394554,2788,8.012500,23,0.995714,0
220,160,80,24,0.338709,0.102031,0.392217,1914,8.675000,28,0.990104,13
221,160,80,27,0.099265,0.176100,0.446409,2195,35.450000,53,1.000000,35
222,160,80,16,0.313372,0.061191,0.327929,1250,7.025000,23,0.976562,0
223,160,80,20,0.244791,0.174478,0.440136,1611,15.712500,28,1.000000,11
224,160,80,27,0.311260,0.092685,0.305252,2081,4.012500,18,0.960185,7
225,160,80,24,0.333177,0.163150,0.345442,1882,8.187500,27,0.978125,4
226,160,80,17,0.251836,0.149278,0.496557,1373,16.412500,40,1.000000,13
227,160,80,42,0.374664,0.076779,0.335001,2625,0.075000,3,0.781250,0
228,160,80,27,0.308029,0.121846,0.465310,2173,12.500000,31,1.000000,13
229,160,80,34,0.050763,0.104018,0.463644,2771,49.387500,68,1.000000,51
230,160,80,40,0.298131,0.091858,0.420172,3006,1.537500,14,0.939063,1
231,160,80,17,0.053094,0.118861,0.442974,1422,58.150000,68,1.000000,62
232,160,80,24,0.237575,0.071995,0.280990,1881,4.200000,21,0.976042,7
233,160,80,20,0.211667,0.170780,0.511125,1617,21.987500,31,1.000000,17
234,160,80,40,0.340961,0.126416,0.466973,3132,5.412500,17,0.978750,0
235,160,80,43,0.318687,0.077591,0.420168,3012,0.612500,11,0.875581,0
236,160,80,29,0.226729,0.091068,0.349078,2286,5.950000,17,0.984483,2
237,160,80,24,0.255550,0.111890,0.300601,1889,5.100000,17,0.981771,4
238,160,80,23,0.225955,0.130824,0.387533,1851,13.300000,22,1.000000,11
239,160,80,38,0.328614,0.104620,0.294566,2655,0.362500,7,0.873355,0
240,160,80,25,0.114073,0.179939,0.446893,2032,34.287500,45,1.000000,32
241,160,80,30,0.262681,0.145333,0.461848,2411,12.950000,26,1.000000,11
242,160,80,30,0.020216,0.164691,0.430361,2542,149.737500,178,1.000000,142
243,160,80,41,0.233039,0.178133,0.526570,3283,14.187500,28,1.000000,3
244,160,80,16,0.250120,0.184028,0.527064,1312,17.250000,36,1.000000,32
245,160,80,27,0.187160,0.100878,0.433414,2175,13.200000,25,1.000000,15
246,160,80,39,0.231133,0.184079,0.522385,3128,14.337500,29,1.000000,8
247,160,80,20,0.033367,0.116789,0.431338,1695,88.000000,99,1.000000,95
248,160,80,24,0.150641,0.108169,0.399325,1941,17.812500,30,1.000000,21
249,160,80,39,0.310206,0.119734,0.399814,3067,4.337500,17,0.983013,0
250,160,80,23,0.214317,0.148909,0.496576,1862,17.525000,32,1.000000,22
251,160,80,43,0.186417,0.065248,0.372815,2677,0.000000,0,0.778198,0
252,160,80,36,0.244233,0.109867,0.406901,2838,4.812500,18,0.982292,9
253,160,80,22,0.313269,0.186483,0.525561,1792,17.037500,36,1.000000,32
254,160,80,31,0.359586,0.064293,0.418211,2443,4.900000,25,0.985081,0
255,160,80,19,0.237072,0.124934,0.405083,1539,11.425000,27,1.000000,19
256,160,80,38,0.221868,0.123215,0.382064,2929,3.200000,12,0.963487,0
257,160,80,41,0.206390,0.106511,0.379695,3056,1.412500,12,0.930793,3
258,160,80,41,0.199390,0.164566,0.448870,3295,10.212500,23,0.999695,16
259,160,80,35,0.266957,0.136749,0.338262,2711,3.125000,14,0.964286,11
260,160,80,40,0.328690,0.144488,0.400936,3089,3.212500,14,0.965313,0
261,160,80,22,0.041410,0.163112,0.485780,1863,105.975000,121,1.000000,103
262,160,80,34,0.036405,0.101610,0.347955,2739,15.912500,39,1.000000,19
263,160,80,20,0.064126,0.120355,0.421414,1647,47.650000,60,1.000000,47
264,160,80,35,0.157126,0.144744,0.471535,2815,20.575000,39,1.000000,15
265,160,80,44,0.086440,0.062558,0.246189,1921,0.000000,0,0.545739,0
266,160,80,35,0.185089,0.181192,0.429303,2823,17.625000,28,1.000000,23
267,160,80,23,0.158818,0.120033,0.469887,1862,21.100000,34,1.000000,22
268,160,80,37,0.154094,0.132925,0.376190,2924,5.150000,19,0.985811,6
269,160,80,16,0.358984,0.107904,0.448072,1289,11.525000,40,0.999219,10
270,160,80,43,0.137532,0.065174,0.261587,2131,0.000000,0,0.619477,0
271,160,80,39,0.358694,0.153634,0.465644,3106,7.175000,23,0.995513,0
272,160,80,35,0.222437,0.193379,0.392200,2810,10.662500,20,0.998571,14
273,160,80,34,0.113335,0.076679,0.263333,2106,0.062500,5,0.774265,0
274,160,80,28,0.109387,0.083489,0.400683,2250,16.725000,27,1.000000,10
275,160,80,41,0.141923,0.116500,0.296829,2596,0.100000,4,0.791463,0
276,160,80,26,0.138070,0.129543,0.430832,2106,19.612500,33,1.000000,26
277,160,80,25,0.344880,0.184916,0.404069,2007,10.937500,33,0.995500,16
278,160,80,23,0.100693,0.113396,0.455890,1876,30.512500,41,1.000000,36
279,160,80,30,0.060056,0.094488,0.321940,2368,6.600000,21,0.986250,1
280,160,80,36,0.053379,0.165694,0.520827,2967,87.312500,103,1.000000,87
281,160,80,19,0.280541,0.194704,0.388727,1529,13.125000,30,1.000000,9
282,160,80,34,0.333449,0.141898,0.489239,2730,12.162500,27,1.000000,10
283,160,80,23,0.185261,0.097248,0.432823,1856,14.362500,26,1.000000,16
284,160,80,16,0.024372,0.090755,0.309338,1349,60.350000,76,1.000000,69
285,160,80,24,0.369989,0.181920,0.465501,1942,14.650000,36,0.999479,23
286,160,80,29,0.243301,0.158614,0.396262,2329,11.000000,21,0.999569,10
287,160,80,26,0.201372,0.171251,0.522762,2103,23.700000,34,1.000000,23
288,160,80,22,0.190044,0.109448,0.373338,1759,11.325000,27,0.999432,0
289,160,80,37,0.231258,0.064338,0.287507,2158,0.012500,1,0.729054,0
290,160,80,29,0.315283,0.126460,0.401563,2294,7.600000,21,0.985776,7
291,160,80,35,0.097774,0.113903,0.409955,2821,15.012500,32,1.000000,21
292,160,80,26,0.294994,0.137676,0.359022,2071,7.475000,25,0.995192,1
293,160,80,44,0.314080,0.135912,0.341219,3142,0.725000,9,0.892614,0
294,160,80,36,0.060777,0.139958,0.415896,2904,27.212500,41,1.000000,24
295,160,80,43,0.226129,0.129228,0.315432,2829,0.050000,4,0.822384,0
296,160,80,27,0.374258,0.138327,0.327728,2020,5.287500,22,0.933333,4
297,160,80,21,0.151793,0.134817,0.357398,1688,15.550000,27,1.000000,8
298,160,80,30,0.177713,0.118733,0.470039,2417,19.612500,32,1.000000,17
299,160,80,23,0.244439,0.125385,0.433273,1858,12.237500,24,1.000000,18
300,160,80,35,0.035569,0.121231,0.303347,2580,2.025000,14,0.920357,3
