"control_parameter","stable_state_positive","stable_state_negative","neutral_state","phase_label","order_parameter_magnitude"
-1.04,0,0,0,"single neutral phase",0
-1.03,0,0,0,"single neutral phase",0
-1.02,0,0,0,"single neutral phase",0
-1.01,0,0,0,"single neutral phase",0
-1,0,0,0,"single neutral phase",0
-0.99,0,0,0,"single neutral phase",0
-0.98,0,0,0,"single neutral phase",0
-0.97,0,0,0,"single neutral phase",0
-0.96,0,0,0,"single neutral phase",0
-0.95,0,0,0,"single neutral phase",0
-0.94,0,0,0,"single neutral phase",0
-0.93,0,0,0,"single neutral phase",0
-0.92,0,0,0,"single neutral phase",0
-0.91,0,0,0,"single neutral phase",0
-0.9,0,0,0,"single neutral phase",0
-0.89,0,0,0,"single neutral phase",0
-0.88,0,0,0,"single neutral phase",0
-0.87,0,0,0,"single neutral phase",0
-0.86,0,0,0,"single neutral phase",0
-0.85,0,0,0,"single neutral phase",0
-0.84,0,0,0,"single neutral phase",0
-0.83,0,0,0,"single neutral phase",0
-0.82,0,0,0,"single neutral phase",0
-0.81,0,0,0,"single neutral phase",0
-0.8,0,0,0,"single neutral phase",0
-0.79,0,0,0,"single neutral phase",0
-0.78,0,0,0,"single neutral phase",0
-0.77,0,0,0,"single neutral phase",0
-0.76,0,0,0,"single neutral phase",0
-0.75,0,0,0,"single neutral phase",0
-0.74,0,0,0,"single neutral phase",0
-0.73,0,0,0,"single neutral phase",0
-0.72,0,0,0,"single neutral phase",0
-0.71,0,0,0,"single neutral phase",0
-0.7,0,0,0,"single neutral phase",0
-0.69,0,0,0,"single neutral phase",0
-0.68,0,0,0,"single neutral phase",0
-0.67,0,0,0,"single neutral phase",0
-0.66,0,0,0,"single neutral phase",0
-0.65,0,0,0,"single neutral phase",0
-0.64,0,0,0,"single neutral phase",0
-0.63,0,0,0,"single neutral phase",0
-0.62,0,0,0,"single neutral phase",0
-0.61,0,0,0,"single neutral phase",0
-0.6,0,0,0,"single neutral phase",0
-0.59,0,0,0,"single neutral phase",0
-0.58,0,0,0,"single neutral phase",0
-0.57,0,0,0,"single neutral phase",0
-0.56,0,0,0,"single neutral phase",0
-0.55,0,0,0,"single neutral phase",0
-0.54,0,0,0,"single neutral phase",0
-0.53,0,0,0,"single neutral phase",0
-0.52,0,0,0,"single neutral phase",0
-0.51,0,0,0,"single neutral phase",0
-0.5,0,0,0,"single neutral phase",0
-0.49,0,0,0,"single neutral phase",0
-0.48,0,0,0,"single neutral phase",0
-0.47,0,0,0,"single neutral phase",0
-0.46,0,0,0,"single neutral phase",0
-0.45,0,0,0,"single neutral phase",0
-0.44,0,0,0,"single neutral phase",0
-0.43,0,0,0,"single neutral phase",0
-0.42,0,0,0,"single neutral phase",0
-0.41,0,0,0,"single neutral phase",0
-0.4,0,0,0,"single neutral phase",0
-0.39,0,0,0,"single neutral phase",0
-0.38,0,0,0,"single neutral phase",0
-0.37,0,0,0,"single neutral phase",0
-0.36,0,0,0,"single neutral phase",0
-0.35,0,0,0,"single neutral phase",0
-0.34,0,0,0,"single neutral phase",0
-0.33,0,0,0,"single neutral phase",0
-0.32,0,0,0,"single neutral phase",0
-0.31,0,0,0,"single neutral phase",0
-0.3,0,0,0,"single neutral phase",0
-0.29,0,0,0,"single neutral phase",0
-0.28,0,0,0,"single neutral phase",0
-0.27,0,0,0,"single neutral phase",0
-0.26,0,0,0,"single neutral phase",0
-0.25,0,0,0,"single neutral phase",0
-0.24,0,0,0,"single neutral phase",0
-0.23,0,0,0,"single neutral phase",0
-0.22,0,0,0,"single neutral phase",0
-0.21,0,0,0,"single neutral phase",0
-0.2,0,0,0,"single neutral phase",0
-0.19,0,0,0,"single neutral phase",0
-0.18,0,0,0,"single neutral phase",0
-0.17,0,0,0,"single neutral phase",0
-0.16,0,0,0,"single neutral phase",0
-0.15,0,0,0,"single neutral phase",0
-0.14,0,0,0,"single neutral phase",0
-0.13,0,0,0,"single neutral phase",0
-0.12,0,0,0,"single neutral phase",0
-0.11,0,0,0,"single neutral phase",0
-0.0999999999999999,0,0,0,"single neutral phase",0
-0.0900000000000001,0,0,0,"single neutral phase",0
-0.0800000000000001,0,0,0,"single neutral phase",0
-0.0700000000000001,0,0,0,"single neutral phase",0
-0.06,0,0,0,"single neutral phase",0
-0.05,0,0,0,"single neutral phase",0
-0.04,0,0,0,"single neutral phase",0
-0.03,0,0,0,"single neutral phase",0
-0.02,0,0,0,"single neutral phase",0
-0.01,0,0,0,"single neutral phase",0
0,0,0,0,"single neutral phase",0
0.01,0.1,-0.1,0,"two ordered phases",0.1
0.02,0.14142135623731,-0.14142135623731,0,"two ordered phases",0.14142135623731
0.03,0.173205080756888,-0.173205080756888,0,"two ordered phases",0.173205080756888
0.04,0.2,-0.2,0,"two ordered phases",0.2
0.05,0.223606797749979,-0.223606797749979,0,"two ordered phases",0.223606797749979
0.06,0.244948974278318,-0.244948974278318,0,"two ordered phases",0.244948974278318
0.0700000000000001,0.264575131106459,-0.264575131106459,0,"two ordered phases",0.264575131106459
0.0800000000000001,0.282842712474619,-0.282842712474619,0,"two ordered phases",0.282842712474619
0.0900000000000001,0.3,-0.3,0,"two ordered phases",0.3
0.1,0.316227766016838,-0.316227766016838,0,"two ordered phases",0.316227766016838
0.11,0.33166247903554,-0.33166247903554,0,"two ordered phases",0.33166247903554
0.12,0.346410161513776,-0.346410161513776,0,"two ordered phases",0.346410161513776
0.13,0.360555127546399,-0.360555127546399,0,"two ordered phases",0.360555127546399
0.14,0.374165738677394,-0.374165738677394,0,"two ordered phases",0.374165738677394
0.15,0.387298334620742,-0.387298334620742,0,"two ordered phases",0.387298334620742
0.16,0.4,-0.4,0,"two ordered phases",0.4
0.17,0.412310562561766,-0.412310562561766,0,"two ordered phases",0.412310562561766
0.18,0.424264068711928,-0.424264068711928,0,"two ordered phases",0.424264068711928
0.19,0.435889894354067,-0.435889894354067,0,"two ordered phases",0.435889894354067
0.2,0.447213595499958,-0.447213595499958,0,"two ordered phases",0.447213595499958
0.21,0.458257569495584,-0.458257569495584,0,"two ordered phases",0.458257569495584
0.22,0.469041575982343,-0.469041575982343,0,"two ordered phases",0.469041575982343
0.23,0.479583152331272,-0.479583152331272,0,"two ordered phases",0.479583152331272
0.24,0.489897948556636,-0.489897948556636,0,"two ordered phases",0.489897948556636
0.25,0.5,-0.5,0,"two ordered phases",0.5
0.26,0.509901951359279,-0.509901951359279,0,"two ordered phases",0.509901951359279
0.27,0.519615242270663,-0.519615242270663,0,"two ordered phases",0.519615242270663
0.28,0.529150262212918,-0.529150262212918,0,"two ordered phases",0.529150262212918
0.29,0.53851648071345,-0.53851648071345,0,"two ordered phases",0.53851648071345
0.3,0.547722557505166,-0.547722557505166,0,"two ordered phases",0.547722557505166
0.31,0.556776436283002,-0.556776436283002,0,"two ordered phases",0.556776436283002
0.32,0.565685424949238,-0.565685424949238,0,"two ordered phases",0.565685424949238
0.33,0.574456264653803,-0.574456264653803,0,"two ordered phases",0.574456264653803
0.34,0.58309518948453,-0.58309518948453,0,"two ordered phases",0.58309518948453
0.35,0.591607978309962,-0.591607978309962,0,"two ordered phases",0.591607978309962
0.36,0.6,-0.6,0,"two ordered phases",0.6
0.37,0.608276253029822,-0.608276253029822,0,"two ordered phases",0.608276253029822
0.38,0.616441400296898,-0.616441400296898,0,"two ordered phases",0.616441400296898
0.39,0.62449979983984,-0.62449979983984,0,"two ordered phases",0.62449979983984
0.4,0.632455532033676,-0.632455532033676,0,"two ordered phases",0.632455532033676
0.41,0.640312423743285,-0.640312423743285,0,"two ordered phases",0.640312423743285
0.42,0.648074069840786,-0.648074069840786,0,"two ordered phases",0.648074069840786
0.43,0.6557438524302,-0.6557438524302,0,"two ordered phases",0.6557438524302
0.44,0.66332495807108,-0.66332495807108,0,"two ordered phases",0.66332495807108
0.45,0.670820393249937,-0.670820393249937,0,"two ordered phases",0.670820393249937
0.46,0.678232998312527,-0.678232998312527,0,"two ordered phases",0.678232998312527
0.47,0.685565460040104,-0.685565460040104,0,"two ordered phases",0.685565460040104
0.48,0.692820323027551,-0.692820323027551,0,"two ordered phases",0.692820323027551
0.49,0.7,-0.7,0,"two ordered phases",0.7
0.5,0.707106781186548,-0.707106781186548,0,"two ordered phases",0.707106781186548
0.51,0.714142842854285,-0.714142842854285,0,"two ordered phases",0.714142842854285
0.52,0.721110255092798,-0.721110255092798,0,"two ordered phases",0.721110255092798
0.53,0.728010988928052,-0.728010988928052,0,"two ordered phases",0.728010988928052
0.54,0.734846922834953,-0.734846922834953,0,"two ordered phases",0.734846922834953
0.55,0.741619848709566,-0.741619848709566,0,"two ordered phases",0.741619848709566
0.56,0.748331477354788,-0.748331477354788,0,"two ordered phases",0.748331477354788
0.57,0.754983443527075,-0.754983443527075,0,"two ordered phases",0.754983443527075
0.58,0.761577310586391,-0.761577310586391,0,"two ordered phases",0.761577310586391
0.59,0.768114574786861,-0.768114574786861,0,"two ordered phases",0.768114574786861
0.6,0.774596669241483,-0.774596669241483,0,"two ordered phases",0.774596669241483
0.61,0.781024967590665,-0.781024967590665,0,"two ordered phases",0.781024967590665
0.62,0.787400787401181,-0.787400787401181,0,"two ordered phases",0.787400787401181
0.63,0.793725393319377,-0.793725393319377,0,"two ordered phases",0.793725393319377
0.64,0.8,-0.8,0,"two ordered phases",0.8
0.65,0.806225774829855,-0.806225774829855,0,"two ordered phases",0.806225774829855
0.66,0.812403840463596,-0.812403840463596,0,"two ordered phases",0.812403840463596
0.67,0.818535277187245,-0.818535277187245,0,"two ordered phases",0.818535277187245
0.68,0.824621125123532,-0.824621125123532,0,"two ordered phases",0.824621125123532
0.69,0.830662386291807,-0.830662386291807,0,"two ordered phases",0.830662386291807
0.7,0.836660026534076,-0.836660026534076,0,"two ordered phases",0.836660026534076
0.71,0.842614977317636,-0.842614977317636,0,"two ordered phases",0.842614977317636
0.72,0.848528137423857,-0.848528137423857,0,"two ordered phases",0.848528137423857
0.73,0.854400374531753,-0.854400374531753,0,"two ordered phases",0.854400374531753
0.74,0.860232526704263,-0.860232526704263,0,"two ordered phases",0.860232526704263
0.75,0.866025403784439,-0.866025403784439,0,"two ordered phases",0.866025403784439
0.76,0.871779788708135,-0.871779788708135,0,"two ordered phases",0.871779788708135
0.77,0.877496438739212,-0.877496438739212,0,"two ordered phases",0.877496438739212
0.78,0.883176086632785,-0.883176086632785,0,"two ordered phases",0.883176086632785
0.79,0.888819441731559,-0.888819441731559,0,"two ordered phases",0.888819441731559
0.8,0.894427190999916,-0.894427190999916,0,"two ordered phases",0.894427190999916
0.81,0.9,-0.9,0,"two ordered phases",0.9
0.82,0.905538513813742,-0.905538513813742,0,"two ordered phases",0.905538513813742
0.83,0.91104335791443,-0.91104335791443,0,"two ordered phases",0.91104335791443
0.84,0.916515138991168,-0.916515138991168,0,"two ordered phases",0.916515138991168
0.85,0.921954445729289,-0.921954445729289,0,"two ordered phases",0.921954445729289
0.86,0.92736184954957,-0.92736184954957,0,"two ordered phases",0.92736184954957
0.87,0.932737905308882,-0.932737905308882,0,"two ordered phases",0.932737905308882
0.88,0.938083151964686,-0.938083151964686,0,"two ordered phases",0.938083151964686
0.89,0.94339811320566,-0.94339811320566,0,"two ordered phases",0.94339811320566
0.9,0.948683298050514,-0.948683298050514,0,"two ordered phases",0.948683298050514
0.91,0.953939201416946,-0.953939201416946,0,"two ordered phases",0.953939201416946
0.92,0.959166304662544,-0.959166304662544,0,"two ordered phases",0.959166304662544
0.93,0.964365076099296,-0.964365076099296,0,"two ordered phases",0.964365076099296
0.94,0.969535971483266,-0.969535971483266,0,"two ordered phases",0.969535971483266
0.95,0.974679434480896,-0.974679434480896,0,"two ordered phases",0.974679434480896
0.96,0.979795897113271,-0.979795897113271,0,"two ordered phases",0.979795897113271
0.97,0.984885780179611,-0.984885780179611,0,"two ordered phases",0.984885780179611
0.98,0.989949493661167,-0.989949493661167,0,"two ordered phases",0.989949493661167
0.99,0.99498743710662,-0.99498743710662,0,"two ordered phases",0.99498743710662
1,1,-1,0,"two ordered phases",1
1.01,1.00498756211209,-1.00498756211209,0,"two ordered phases",1.00498756211209
1.02,1.00995049383621,-1.00995049383621,0,"two ordered phases",1.00995049383621
1.03,1.01488915650922,-1.01488915650922,0,"two ordered phases",1.01488915650922
1.04,1.01980390271856,-1.01980390271856,0,"two ordered phases",1.01980390271856
1.05,1.02469507659596,-1.02469507659596,0,"two ordered phases",1.02469507659596
1.06,1.0295630140987,-1.0295630140987,0,"two ordered phases",1.0295630140987
1.07,1.03440804327886,-1.03440804327886,0,"two ordered phases",1.03440804327886
1.08,1.03923048454133,-1.03923048454133,0,"two ordered phases",1.03923048454133
1.09,1.04403065089105,-1.04403065089105,0,"two ordered phases",1.04403065089105
1.1,1.04880884817015,-1.04880884817015,0,"two ordered phases",1.04880884817015
1.11,1.05356537528527,-1.05356537528527,0,"two ordered phases",1.05356537528527
1.12,1.05830052442584,-1.05830052442584,0,"two ordered phases",1.05830052442584
1.13,1.06301458127346,-1.06301458127346,0,"two ordered phases",1.06301458127346
1.14,1.06770782520313,-1.06770782520313,0,"two ordered phases",1.06770782520313
1.15,1.07238052947636,-1.07238052947636,0,"two ordered phases",1.07238052947636
1.16,1.0770329614269,-1.0770329614269,0,"two ordered phases",1.0770329614269
1.17,1.0816653826392,-1.0816653826392,0,"two ordered phases",1.0816653826392
1.18,1.08627804912002,-1.08627804912002,0,"two ordered phases",1.08627804912002
1.19,1.09087121146357,-1.09087121146357,0,"two ordered phases",1.09087121146357
1.2,1.09544511501033,-1.09544511501033,0,"two ordered phases",1.09544511501033
1.21,1.1,-1.1,0,"two ordered phases",1.1
1.22,1.10453610171873,-1.10453610171873,0,"two ordered phases",1.10453610171873
1.23,1.10905365064094,-1.10905365064094,0,"two ordered phases",1.10905365064094
1.24,1.113552872566,-1.113552872566,0,"two ordered phases",1.113552872566
1.25,1.11803398874989,-1.11803398874989,0,"two ordered phases",1.11803398874989
1.26,1.12249721603218,-1.12249721603218,0,"two ordered phases",1.12249721603218
1.27,1.12694276695846,-1.12694276695846,0,"two ordered phases",1.12694276695846
1.28,1.13137084989848,-1.13137084989848,0,"two ordered phases",1.13137084989848
1.29,1.13578166916005,-1.13578166916005,0,"two ordered phases",1.13578166916005
1.3,1.14017542509914,-1.14017542509914,0,"two ordered phases",1.14017542509914
1.31,1.14455231422596,-1.14455231422596,0,"two ordered phases",1.14455231422596
1.32,1.14891252930761,-1.14891252930761,0,"two ordered phases",1.14891252930761
1.33,1.15325625946708,-1.15325625946708,0,"two ordered phases",1.15325625946708
1.34,1.15758369027902,-1.15758369027902,0,"two ordered phases",1.15758369027902
1.35,1.16189500386223,-1.16189500386223,0,"two ordered phases",1.16189500386223
1.36,1.16619037896906,-1.16619037896906,0,"two ordered phases",1.16619037896906
1.37,1.17046999107196,-1.17046999107196,0,"two ordered phases",1.17046999107196
1.38,1.17473401244707,-1.17473401244707,0,"two ordered phases",1.17473401244707
1.39,1.17898261225516,-1.17898261225516,0,"two ordered phases",1.17898261225516
1.4,1.18321595661992,-1.18321595661992,0,"two ordered phases",1.18321595661992
1.41,1.18743420870379,-1.18743420870379,0,"two ordered phases",1.18743420870379
1.42,1.1916375287813,-1.1916375287813,0,"two ordered phases",1.1916375287813
1.43,1.19582607431014,-1.19582607431014,0,"two ordered phases",1.19582607431014
1.44,1.2,-1.2,0,"two ordered phases",1.2
1.45,1.20415945787923,-1.20415945787923,0,"two ordered phases",1.20415945787923
1.46,1.20830459735946,-1.20830459735946,0,"two ordered phases",1.20830459735946
1.47,1.21243556529821,-1.21243556529821,0,"two ordered phases",1.21243556529821
1.48,1.21655250605964,-1.21655250605964,0,"two ordered phases",1.21655250605964
1.49,1.22065556157337,-1.22065556157337,0,"two ordered phases",1.22065556157337
1.5,1.22474487139159,-1.22474487139159,0,"two ordered phases",1.22474487139159
