scenario,step,node_count,link_probability,edge_count,average_degree,component_count,largest_component_size,largest_component_fraction,giant_component_threshold,giant_component_flag
high_resolution_medium,55,120,0.054684,374,6.233333,2,119,0.991667,0.5,1
high_resolution_medium,56,120,0.055696,408,6.8,2,119,0.991667,0.5,1
high_resolution_medium,57,120,0.056709,384,6.4,1,120,1.0,0.5,1
high_resolution_medium,58,120,0.057722,416,6.933333,1,120,1.0,0.5,1
high_resolution_medium,59,120,0.058734,411,6.85,1,120,1.0,0.5,1
high_resolution_medium,60,120,0.059747,424,7.066667,2,119,0.991667,0.5,1
high_resolution_medium,61,120,0.060759,434,7.233333,2,119,0.991667,0.5,1
high_resolution_medium,62,120,0.061772,455,7.583333,1,120,1.0,0.5,1
high_resolution_medium,63,120,0.062785,455,7.583333,1,120,1.0,0.5,1
high_resolution_medium,64,120,0.063797,479,7.983333,1,120,1.0,0.5,1
high_resolution_medium,65,120,0.06481,462,7.7,1,120,1.0,0.5,1
high_resolution_medium,66,120,0.065823,456,7.6,1,120,1.0,0.5,1
high_resolution_medium,67,120,0.066835,506,8.433333,1,120,1.0,0.5,1
high_resolution_medium,68,120,0.067848,476,7.933333,2,119,0.991667,0.5,1
high_resolution_medium,69,120,0.068861,531,8.85,1,120,1.0,0.5,1
high_resolution_medium,70,120,0.069873,478,7.966667,1,120,1.0,0.5,1
high_resolution_medium,71,120,0.070886,542,9.033333,1,120,1.0,0.5,1
high_resolution_medium,72,120,0.071899,512,8.533333,1,120,1.0,0.5,1
high_resolution_medium,73,120,0.072911,557,9.283333,1,120,1.0,0.5,1
high_resolution_medium,74,120,0.073924,572,9.533333,1,120,1.0,0.5,1
high_resolution_medium,75,120,0.074937,507,8.45,1,120,1.0,0.5,1
high_resolution_medium,76,120,0.075949,554,9.233333,1,120,1.0,0.5,1
high_resolution_medium,77,120,0.076962,573,9.55,1,120,1.0,0.5,1
high_resolution_medium,78,120,0.077975,551,9.183333,1,120,1.0,0.5,1
high_resolution_medium,79,120,0.078987,557,9.283333,1,120,1.0,0.5,1
high_resolution_medium,80,120,0.08,554,9.233333,1,120,1.0,0.5,1
low_connectivity_scan,1,120,0.0,0,0.0,120,1,0.008333,0.5,0
low_connectivity_scan,2,120,0.000682,4,0.066667,116,2,0.016667,0.5,0
low_connectivity_scan,3,120,0.001364,9,0.15,111,3,0.025,0.5,0
low_connectivity_scan,4,120,0.002045,16,0.266667,104,3,0.025,0.5,0
low_connectivity_scan,5,120,0.002727,21,0.35,99,4,0.033333,0.5,0
low_connectivity_scan,6,120,0.003409,23,0.383333,97,4,0.033333,0.5,0
low_connectivity_scan,7,120,0.004091,33,0.55,87,4,0.033333,0.5,0
low_connectivity_scan,8,120,0.004773,35,0.583333,87,9,0.075,0.5,0
low_connectivity_scan,9,120,0.005455,47,0.783333,74,14,0.116667,0.5,0
low_connectivity_scan,10,120,0.006136,42,0.7,78,10,0.083333,0.5,0
low_connectivity_scan,11,120,0.006818,46,0.766667,74,10,0.083333,0.5,0
low_connectivity_scan,12,120,0.0075,55,0.916667,65,20,0.166667,0.5,0
low_connectivity_scan,13,120,0.008182,43,0.716667,77,8,0.066667,0.5,0
low_connectivity_scan,14,120,0.008864,70,1.166667,50,41,0.341667,0.5,0
low_connectivity_scan,15,120,0.009545,49,0.816667,71,25,0.208333,0.5,0
low_connectivity_scan,16,120,0.010227,71,1.183333,52,39,0.325,0.5,0
low_connectivity_scan,17,120,0.010909,83,1.383333,42,63,0.525,0.5,1
low_connectivity_scan,18,120,0.011591,87,1.45,39,73,0.608333,0.5,1
low_connectivity_scan,19,120,0.012273,93,1.55,34,79,0.658333,0.5,1
low_connectivity_scan,20,120,0.012955,97,1.616667,28,72,0.6,0.5,1
low_connectivity_scan,21,120,0.013636,110,1.833333,21,96,0.8,0.5,1
low_connectivity_scan,22,120,0.014318,107,1.783333,28,91,0.758333,0.5,1
low_connectivity_scan,23,120,0.015,113,1.883333,25,91,0.758333,0.5,1
low_connectivity_scan,24,120,0.015682,115,1.916667,12,105,0.875,0.5,1
low_connectivity_scan,25,120,0.016364,125,2.083333,16,103,0.858333,0.5,1
low_connectivity_scan,26,120,0.017045,117,1.95,22,92,0.766667,0.5,1
low_connectivity_scan,27,120,0.017727,149,2.483333,9,111,0.925,0.5,1
low_connectivity_scan,28,120,0.018409,122,2.033333,21,95,0.791667,0.5,1
low_connectivity_scan,29,120,0.019091,143,2.383333,14,106,0.883333,0.5,1
low_connectivity_scan,30,120,0.019773,136,2.266667,12,100,0.833333,0.5,1
low_connectivity_scan,31,120,0.020455,156,2.6,10,109,0.908333,0.5,1
low_connectivity_scan,32,120,0.021136,164,2.733333,9,111,0.925,0.5,1
low_connectivity_scan,33,120,0.021818,137,2.283333,21,95,0.791667,0.5,1
low_connectivity_scan,34,120,0.0225,176,2.933333,10,111,0.925,0.5,1
low_connectivity_scan,35,120,0.023182,182,3.033333,5,116,0.966667,0.5,1
low_connectivity_scan,36,120,0.023864,169,2.816667,11,110,0.916667,0.5,1
low_connectivity_scan,37,120,0.024545,187,3.116667,10,111,0.925,0.5,1
low_connectivity_scan,38,120,0.025227,169,2.816667,8,113,0.941667,0.5,1
low_connectivity_scan,39,120,0.025909,175,2.916667,5,116,0.966667,0.5,1
low_connectivity_scan,40,120,0.026591,201,3.35,5,116,0.966667,0.5,1
low_connectivity_scan,41,120,0.027273,193,3.216667,3,118,0.983333,0.5,1
low_connectivity_scan,42,120,0.027955,210,3.5,4,117,0.975,0.5,1
low_connectivity_scan,43,120,0.028636,207,3.45,4,116,0.966667,0.5,1
low_connectivity_scan,44,120,0.029318,196,3.266667,7,114,0.95,0.5,1
low_connectivity_scan,45,120,0.03,209,3.483333,4,117,0.975,0.5,1
fragmentation_test,1,160,0.08,1014,12.675,1,160,1.0,0.5,1
fragmentation_test,2,160,0.078182,987,12.3375,1,160,1.0,0.5,1
fragmentation_test,3,160,0.076364,1011,12.6375,1,160,1.0,0.5,1
fragmentation_test,4,160,0.074545,993,12.4125,1,160,1.0,0.5,1
fragmentation_test,5,160,0.072727,900,11.25,1,160,1.0,0.5,1
fragmentation_test,6,160,0.070909,912,11.4,1,160,1.0,0.5,1
fragmentation_test,7,160,0.069091,916,11.45,1,160,1.0,0.5,1
fragmentation_test,8,160,0.067273,875,10.9375,1,160,1.0,0.5,1
fragmentation_test,9,160,0.065455,842,10.525,1,160,1.0,0.5,1
fragmentation_test,10,160,0.063636,830,10.375,1,160,1.0,0.5,1
fragmentation_test,11,160,0.061818,768,9.6,1,160,1.0,0.5,1
fragmentation_test,12,160,0.06,791,9.8875,1,160,1.0,0.5,1
fragmentation_test,13,160,0.058182,722,9.025,1,160,1.0,0.5,1
fragmentation_test,14,160,0.056364,671,8.3875,1,160,1.0,0.5,1
fragmentation_test,15,160,0.054545,671,8.3875,1,160,1.0,0.5,1
fragmentation_test,16,160,0.052727,654,8.175,1,160,1.0,0.5,1
fragmentation_test,17,160,0.050909,657,8.2125,1,160,1.0,0.5,1
fragmentation_test,18,160,0.049091,648,8.1,1,160,1.0,0.5,1
fragmentation_test,19,160,0.047273,592,7.4,2,159,0.99375,0.5,1
fragmentation_test,20,160,0.045455,585,7.3125,1,160,1.0,0.5,1
fragmentation_test,21,160,0.043636,571,7.1375,1,160,1.0,0.5,1
fragmentation_test,22,160,0.041818,581,7.2625,1,160,1.0,0.5,1
fragmentation_test,23,160,0.04,520,6.5,1,160,1.0,0.5,1
fragmentation_test,24,160,0.038182,482,6.025,1,160,1.0,0.5,1
fragmentation_test,25,160,0.036364,494,6.175,1,160,1.0,0.5,1
fragmentation_test,26,160,0.034545,406,5.075,1,160,1.0,0.5,1
fragmentation_test,27,160,0.032727,411,5.1375,4,157,0.98125,0.5,1
fragmentation_test,28,160,0.030909,368,4.6,3,158,0.9875,0.5,1
fragmentation_test,29,160,0.029091,369,4.6125,2,159,0.99375,0.5,1
fragmentation_test,30,160,0.027273,334,4.175,5,156,0.975,0.5,1
fragmentation_test,31,160,0.025455,326,4.075,6,155,0.96875,0.5,1
fragmentation_test,32,160,0.023636,281,3.5125,5,156,0.975,0.5,1
fragmentation_test,33,160,0.021818,247,3.0875,8,153,0.95625,0.5,1
fragmentation_test,34,160,0.02,264,3.3,5,156,0.975,0.5,1
fragmentation_test,35,160,0.018182,257,3.2125,7,154,0.9625,0.5,1
fragmentation_test,36,160,0.016364,213,2.6625,13,142,0.8875,0.5,1
fragmentation_test,37,160,0.014545,170,2.125,22,133,0.83125,0.5,1
fragmentation_test,38,160,0.012727,176,2.2,20,139,0.86875,0.5,1
fragmentation_test,39,160,0.010909,123,1.5375,45,98,0.6125,0.5,1
fragmentation_test,40,160,0.009091,126,1.575,42,105,0.65625,0.5,1
fragmentation_test,41,160,0.007273,81,1.0125,80,15,0.09375,0.5,0
fragmentation_test,42,160,0.005455,66,0.825,94,12,0.075,0.5,0
fragmentation_test,43,160,0.003636,50,0.625,110,9,0.05625,0.5,0
fragmentation_test,44,160,0.001818,20,0.25,140,4,0.025,0.5,0
fragmentation_test,45,160,0.0,0,0.0,160,1,0.00625,0.5,0
dense_scan,1,120,0.0,0,0.0,120,1,0.008333,0.5,0
dense_scan,2,120,0.002034,13,0.216667,107,3,0.025,0.5,0
dense_scan,3,120,0.004068,34,0.566667,87,7,0.058333,0.5,0
dense_scan,4,120,0.006102,40,0.666667,80,8,0.066667,0.5,0
dense_scan,5,120,0.008136,45,0.75,76,12,0.1,0.5,0
dense_scan,6,120,0.010169,76,1.266667,44,39,0.325,0.5,0
dense_scan,7,120,0.012203,101,1.683333,31,79,0.658333,0.5,1
dense_scan,8,120,0.014237,113,1.883333,27,89,0.741667,0.5,1
dense_scan,9,120,0.016271,121,2.016667,21,97,0.808333,0.5,1
dense_scan,10,120,0.018305,121,2.016667,17,100,0.833333,0.5,1
dense_scan,11,120,0.020339,137,2.283333,15,101,0.841667,0.5,1
dense_scan,12,120,0.022373,140,2.333333,19,102,0.85,0.5,1
dense_scan,13,120,0.024407,172,2.866667,5,116,0.966667,0.5,1
dense_scan,14,120,0.026441,193,3.216667,7,114,0.95,0.5,1
dense_scan,15,120,0.028475,218,3.633333,4,117,0.975,0.5,1
dense_scan,16,120,0.030508,212,3.533333,5,116,0.966667,0.5,1
dense_scan,17,120,0.032542,223,3.716667,4,117,0.975,0.5,1
dense_scan,18,120,0.034576,219,3.65,6,115,0.958333,0.5,1
dense_scan,19,120,0.03661,235,3.916667,2,119,0.991667,0.5,1
dense_scan,20,120,0.038644,284,4.733333,2,119,0.991667,0.5,1
dense_scan,21,120,0.040678,281,4.683333,2,119,0.991667,0.5,1
dense_scan,22,120,0.042712,300,5.0,2,119,0.991667,0.5,1
dense_scan,23,120,0.044746,320,5.333333,1,120,1.0,0.5,1
dense_scan,24,120,0.04678,312,5.2,2,119,0.991667,0.5,1
dense_scan,25,120,0.048814,405,6.75,1,120,1.0,0.5,1
dense_scan,26,120,0.050847,361,6.016667,1,120,1.0,0.5,1
dense_scan,27,120,0.052881,368,6.133333,1,120,1.0,0.5,1
dense_scan,28,120,0.054915,370,6.166667,3,118,0.983333,0.5,1
dense_scan,29,120,0.056949,400,6.666667,1,120,1.0,0.5,1
dense_scan,30,120,0.058983,453,7.55,1,120,1.0,0.5,1
dense_scan,31,120,0.061017,432,7.2,1,120,1.0,0.5,1
dense_scan,32,120,0.063051,419,6.983333,2,119,0.991667,0.5,1
dense_scan,33,120,0.065085,504,8.4,1,120,1.0,0.5,1
dense_scan,34,120,0.067119,527,8.783333,1,120,1.0,0.5,1
dense_scan,35,120,0.069153,478,7.966667,1,120,1.0,0.5,1
dense_scan,36,120,0.071186,515,8.583333,1,120,1.0,0.5,1
dense_scan,37,120,0.07322,547,9.116667,1,120,1.0,0.5,1
dense_scan,38,120,0.075254,565,9.416667,1,120,1.0,0.5,1
dense_scan,39,120,0.077288,569,9.483333,1,120,1.0,0.5,1
dense_scan,40,120,0.079322,565,9.416667,1,120,1.0,0.5,1
dense_scan,41,120,0.081356,567,9.45,1,120,1.0,0.5,1
dense_scan,42,120,0.08339,575,9.583333,1,120,1.0,0.5,1
dense_scan,43,120,0.085424,600,10.0,1,120,1.0,0.5,1
dense_scan,44,120,0.087458,607,10.116667,1,120,1.0,0.5,1
dense_scan,45,120,0.089492,667,11.116667,1,120,1.0,0.5,1
dense_scan,46,120,0.091525,644,10.733333,1,120,1.0,0.5,1
dense_scan,47,120,0.093559,692,11.533333,1,120,1.0,0.5,1
dense_scan,48,120,0.095593,685,11.416667,1,120,1.0,0.5,1
dense_scan,49,120,0.097627,719,11.983333,1,120,1.0,0.5,1
dense_scan,50,120,0.099661,760,12.666667,1,120,1.0,0.5,1
dense_scan,51,120,0.101695,725,12.083333,1,120,1.0,0.5,1
dense_scan,52,120,0.103729,808,13.466667,1,120,1.0,0.5,1
dense_scan,53,120,0.105763,765,12.75,1,120,1.0,0.5,1
dense_scan,54,120,0.107797,800,13.333333,1,120,1.0,0.5,1
dense_scan,55,120,0.109831,759,12.65,1,120,1.0,0.5,1
dense_scan,56,120,0.111864,861,14.35,1,120,1.0,0.5,1
dense_scan,57,120,0.113898,804,13.4,1,120,1.0,0.5,1
dense_scan,58,120,0.115932,796,13.266667,1,120,1.0,0.5,1
dense_scan,59,120,0.117966,856,14.266667,1,120,1.0,0.5,1
dense_scan,60,120,0.12,923,15.383333,1,120,1.0,0.5,1
threshold_sensitive,1,100,0.0,0,0.0,100,1,0.01,0.4,0
threshold_sensitive,2,100,0.001014,7,0.14,93,3,0.03,0.4,0
threshold_sensitive,3,100,0.002029,11,0.22,89,4,0.04,0.4,0
threshold_sensitive,4,100,0.003043,17,0.34,83,5,0.05,0.4,0
threshold_sensitive,5,100,0.004058,31,0.62,69,11,0.11,0.4,0
threshold_sensitive,6,100,0.005072,42,0.84,58,12,0.12,0.4,0
threshold_sensitive,7,100,0.006087,33,0.66,67,6,0.06,0.4,0
threshold_sensitive,8,100,0.007101,47,0.94,53,13,0.13,0.4,0
threshold_sensitive,9,100,0.008116,40,0.8,60,14,0.14,0.4,0
