entity,arrival_time,service_time,service_start,departure_time,waiting_time,time_in_system
41,  203.289030,    2.880915,  223.584152,  226.465067,   20.295122,   23.176037
42,  206.464384,    4.762710,  226.465067,  231.227777,   20.000683,   24.763393
43,  217.030236,    0.499130,  231.227777,  231.726907,   14.197541,   14.696671
44,  224.707778,    1.424177,  231.726907,  233.151084,    7.019129,    8.443305
45,  245.864599,    6.273911,  245.864599,  252.138510,    0.000000,    6.273911
46,  246.080545,    2.908740,  252.138510,  255.047249,    6.057965,    8.966704
47,  248.014803,    1.840689,  255.047249,  256.887938,    7.032446,    8.873135
48,  265.805321,   11.705980,  265.805321,  277.511301,    0.000000,   11.705980
49,  268.403531,    3.755766,  277.511301,  281.267067,    9.107769,   12.863535
50,  268.807754,    2.158465,  281.267067,  283.425532,   12.459313,   14.617778
51,  269.746463,    4.593909,  283.425532,  288.019441,   13.679068,   18.272978
52,  275.831225,    1.203740,  288.019441,  289.223182,   12.188217,   13.391957
53,  276.321271,    9.226191,  289.223182,  298.449373,   12.901911,   22.128102
54,  278.175895,    0.322671,  298.449373,  298.772044,   20.273478,   20.596149
55,  282.219227,    4.258713,  298.772044,  303.030757,   16.552817,   20.811530
56,  320.396903,    1.086730,  320.396903,  321.483633,    0.000000,    1.086730
57,  324.490851,    8.748570,  324.490851,  333.239420,    0.000000,    8.748570
58,  327.689194,    5.903097,  333.239420,  339.142517,    5.550227,   11.453324
59,  331.615271,    6.531423,  339.142517,  345.673940,    7.527246,   14.058669
60,  335.726457,    2.275633,  345.673940,  347.949573,    9.947483,   12.223116
61,  345.273318,    8.303909,  347.949573,  356.253482,    2.676255,   10.980164
62,  349.868660,    7.261179,  356.253482,  363.514661,    6.384822,   13.646000
63,  353.659289,   10.119064,  363.514661,  373.633725,    9.855372,   19.974436
64,  368.348479,    2.706977,  373.633725,  376.340702,    5.285246,    7.992223
65,  372.883037,    4.954426,  376.340702,  381.295128,    3.457665,    8.412091
66,  381.035415,    7.184477,  381.295128,  388.479605,    0.259713,    7.444190
67,  385.267846,    3.172828,  388.479605,  391.652433,    3.211760,    6.384588
68,  387.774398,    3.658742,  391.652433,  395.311175,    3.878035,    7.536777
69,  388.451550,    1.175117,  395.311175,  396.486292,    6.859625,    8.034742
70,  392.741366,    0.851205,  396.486292,  397.337497,    3.744926,    4.596131
71,  392.836992,    0.451906,  397.337497,  397.789404,    4.500505,    4.952412
72,  393.296822,    4.503048,  397.789404,  402.292452,    4.492582,    8.995630
73,  401.009786,    1.460950,  402.292452,  403.753402,    1.282666,    2.743616
74,  409.530896,    3.243114,  409.530896,  412.774010,    0.000000,    3.243114
75,  414.156655,    0.768278,  414.156655,  414.924932,    0.000000,    0.768278
76,  419.264435,    1.479705,  419.264435,  420.744139,    0.000000,    1.479705
77,  427.876166,    4.970862,  427.876166,  432.847028,    0.000000,    4.970862
78,  431.314957,    7.503321,  432.847028,  440.350349,    1.532071,    9.035391
79,  434.994603,    9.532864,  440.350349,  449.883213,    5.355746,   14.888610
80,  442.052805,    6.669442,  449.883213,  456.552655,    7.830408,   14.499850
81,  442.596747,    6.827258,  456.552655,  463.379912,   13.955907,   20.783165
82,  444.793545,    0.285847,  463.379912,  463.665759,   18.586367,   18.872214
83,  449.642794,    0.269780,  463.665759,  463.935539,   14.022964,   14.292744
84,  451.118182,    1.406254,  463.935539,  465.341793,   12.817357,   14.223611
85,  457.942528,    4.582633,  465.341793,  469.924425,    7.399264,   11.981897
86,  458.151870,    5.017034,  469.924425,  474.941459,   11.772555,   16.789589
87,  462.526890,    9.598094,  474.941459,  484.539553,   12.414569,   22.012664
88,  463.552843,    1.997354,  484.539553,  486.536908,   20.986710,   22.984064
89,  465.631621,   39.540026,  486.536908,  526.076934,   20.905287,   60.445313
90,  467.375690,    8.580360,  526.076934,  534.657293,   58.701244,   67.281604
91,  467.662380,    5.013189,  534.657293,  539.670482,   66.994913,   72.008102
92,  485.615670,    6.630884,  539.670482,  546.301366,   54.054812,   60.685697
93,  488.512758,    5.594616,  546.301366,  551.895982,   57.788608,   63.383224
94,  504.701115,    3.084292,  551.895982,  554.980274,   47.194867,   50.279159
95,  509.321540,    4.287427,  554.980274,  559.267701,   45.658735,   49.946161
96,  516.513400,    3.843055,  559.267701,  563.110756,   42.754301,   46.597356
97,  519.640806,    0.613050,  563.110756,  563.723806,   43.469950,   44.083000
98,  545.061364,    1.621774,  563.723806,  565.345580,   18.662442,   20.284216
99,  553.977214,    6.860335,  565.345580,  572.205915,   11.368366,   18.228701
100,  554.550809,    2.871106,  572.205915,  575.077020,   17.655106,   20.526211
101,  555.653572,    1.848480,  575.077020,  576.925500,   19.423448,   21.271928
102,  558.994480,    1.431089,  576.925500,  578.356589,   17.931020,   19.362109
103,  564.076446,    4.191016,  578.356589,  582.547605,   14.280143,   18.471159
104,  576.235676,    1.623844,  582.547605,  584.171449,    6.311930,    7.935773
105,  576.672203,    3.560820,  584.171449,  587.732269,    7.499247,   11.060066
106,  586.055987,    3.530663,  587.732269,  591.262932,    1.676282,    5.206944
107,  587.419348,    0.011930,  591.262932,  591.274861,    3.843584,    3.855514
108,  591.565484,    2.475167,  591.565484,  594.040651,    0.000000,    2.475167
109,  598.272964,    3.495332,  598.272964,  601.768295,    0.000000,    3.495332
110,  605.894617,    4.042298,  605.894617,  609.936915,    0.000000,    4.042298
111,  623.742872,    0.999373,  623.742872,  624.742245,    0.000000,    0.999373
112,  644.675121,    5.148014,  644.675121,  649.823136,    0.000000,    5.148014
113,  646.564436,    5.443103,  649.823136,  655.266239,    3.258700,    8.701803
114,  647.829643,    7.856194,  655.266239,  663.122433,    7.436597,   15.292790
115,  670.481917,    0.428763,  670.481917,  670.910680,    0.000000,    0.428763
116,  674.246540,    2.467165,  674.246540,  676.713705,    0.000000,    2.467165
117,  682.681746,    0.187312,  682.681746,  682.869058,    0.000000,    0.187312
118,  698.992662,    2.292168,  698.992662,  701.284830,    0.000000,    2.292168
119,  711.683591,   16.614976,  711.683591,  728.298566,    0.000000,   16.614976
120,  712.160176,    2.124371,  728.298566,  730.422937,   16.138391,   18.262761
121,  712.774622,    5.970736,  730.422937,  736.393673,   17.648315,   23.619050
122,  716.434757,    0.964112,  736.393673,  737.357784,   19.958915,   20.923027
123,  735.071970,    4.023878,  737.357784,  741.381663,    2.285814,    6.309693
124,  737.468299,    6.057308,  741.381663,  747.438971,    3.913363,    9.970672
125,  744.443687,    5.993101,  747.438971,  753.432072,    2.995284,    8.988385
126,  748.170961,    9.971208,  753.432072,  763.403280,    5.261111,   15.232319
127,  758.022768,    5.182549,  763.403280,  768.585829,    5.380511,   10.563061
128,  783.246154,    0.817704,  783.246154,  784.063859,    0.000000,    0.817704
129,  783.341058,    0.425082,  784.063859,  784.488941,    0.722801,    1.147883
130,  784.762065,    6.862258,  784.762065,  791.624323,    0.000000,    6.862258
131,  789.803670,    1.002915,  791.624323,  792.627238,    1.820653,    2.823568
132,  790.303180,    0.423588,  792.627238,  793.050826,    2.324058,    2.747646
133,  793.162478,    2.722612,  793.162478,  795.885090,    0.000000,    2.722612
134,  796.359656,    0.747310,  796.359656,  797.106966,    0.000000,    0.747310
135,  800.462953,   19.036178,  800.462953,  819.499130,    0.000000,   19.036178
136,  800.815555,    0.125341,  819.499130,  819.624472,   18.683576,   18.808917
137,  808.534946,    1.710546,  819.624472,  821.335018,   11.089526,   12.800072
138,  812.138453,    6.611320,  821.335018,  827.946338,    9.196565,   15.807885
139,  814.616540,    7.495545,  827.946338,  835.441883,   13.329798,   20.825343
140,  818.395085,    1.708076,  835.441883,  837.149959,   17.046798,   18.754874
141,  823.838985,   16.723620,  837.149959,  853.873579,   13.310974,   30.034594
142,  823.931564,    0.456461,  853.873579,  854.330041,   29.942016,   30.398477
143,  830.194427,    5.465201,  854.330041,  859.795241,   24.135613,   29.600814
144,  837.865268,   10.216286,  859.795241,  870.011527,   21.929973,   32.146259
145,  848.045177,    0.589019,  870.011527,  870.600546,   21.966350,   22.555370
146,  871.158626,    7.262187,  871.158626,  878.420812,    0.000000,    7.262187
147,  886.814095,    2.096277,  886.814095,  888.910371,    0.000000,    2.096277
148,  896.790355,    7.373283,  896.790355,  904.163638,    0.000000,    7.373283
149,  905.465720,    0.033433,  905.465720,  905.499154,    0.000000,    0.033433
150,  905.491582,    0.438296,  905.499154,  905.937449,    0.007572,    0.445867
151,  918.629797,    2.932930,  918.629797,  921.562728,    0.000000,    2.932930
152,  919.288293,    2.020602,  921.562728,  923.583330,    2.274435,    4.295037
153,  925.586271,    2.858921,  925.586271,  928.445192,    0.000000,    2.858921
154,  928.069650,    2.415465,  928.445192,  930.860657,    0.375542,    2.791007
155,  929.714294,    1.485470,  930.860657,  932.346127,    1.146363,    2.631833
156,  932.373409,    3.620182,  932.373409,  935.993591,    0.000000,    3.620182
157,  940.950510,    0.461187,  940.950510,  941.411697,    0.000000,    0.461187
158,  941.591115,    4.936092,  941.591115,  946.527208,    0.000000,    4.936092
159,  947.297693,   18.517059,  947.297693,  965.814752,    0.000000,   18.517059
160,  947.965370,    6.500295,  965.814752,  972.315047,   17.849383,   24.349677
161,  955.676117,    4.419814,  972.315047,  976.734862,   16.638930,   21.058745
162,  971.390538,   10.181776,  976.734862,  986.916638,    5.344323,   15.526100
163,  977.233409,    4.151052,  986.916638,  991.067690,    9.683228,   13.834280
164,  983.549888,    1.277750,  991.067690,  992.345440,    7.517802,    8.795552
165,  984.648262,    2.543308,  992.345440,  994.888747,    7.697178,   10.240486
166,  985.565021,    0.764393,  994.888747,  995.653141,    9.323726,   10.088120
167,  988.415640,    2.382773,  995.653141,  998.035914,    7.237500,    9.620274
168,  991.647581,    1.472361,  998.035914,  999.508275,    6.388333,    7.860693
169,  994.222683,   19.636045,  999.508275, 1019.144320,    5.285592,   24.921637
170,  998.824876,    0.581946, 1019.144320, 1019.726265,   20.319444,   20.901390
171, 1000.579722,    0.250695, 1019.726265, 1019.976960,   19.146543,   19.397238
172, 1016.231741,   10.580756, 1019.976960, 1030.557717,    3.745219,   14.325975
173, 1028.953992,    2.191764, 1030.557717, 1032.749481,    1.603724,    3.795489
174, 1029.932430,    5.014111, 1032.749481, 1037.763592,    2.817051,    7.831162
175, 1032.616547,    6.400041, 1037.763592, 1044.163633,    5.147045,   11.547086
176, 1038.212510,    0.941973, 1044.163633, 1045.105606,    5.951123,    6.893096
177, 1038.594224,   13.066545, 1045.105606, 1058.172151,    6.511382,   19.577926
178, 1038.660492,    4.132936, 1058.172151, 1062.305087,   19.511659,   23.644595
179, 1049.464025,    3.595598, 1062.305087, 1065.900684,   12.841061,   16.436659
180, 1053.960012,    6.572997, 1065.900684, 1072.473681,   11.940672,   18.513669
181, 1063.238705,    2.977513, 1072.473681, 1075.451194,    9.234976,   12.212489
182, 1070.876430,    7.759270, 1075.451194, 1083.210464,    4.574765,   12.334034
183, 1073.264727,    0.563847, 1083.210464, 1083.774311,    9.945737,   10.509585
184, 1073.697798,    1.733779, 1083.774311, 1085.508090,   10.076513,   11.810292
185, 1080.888296,    3.700347, 1085.508090, 1089.208437,    4.619794,    8.320142
186, 1090.415973,    1.330741, 1090.415973, 1091.746714,    0.000000,    1.330741
187, 1094.856851,    1.839891, 1094.856851, 1096.696741,    0.000000,    1.839891
188, 1105.259335,    8.361755, 1105.259335, 1113.621090,    0.000000,    8.361755
189, 1112.158676,    1.827932, 1113.621090, 1115.449022,    1.462414,    3.290346
190, 1112.989295,    1.518090, 1115.449022, 1116.967111,    2.459727,    3.977817
191, 1120.667092,    1.745224, 1120.667092, 1122.412317,    0.000000,    1.745224
192, 1120.953187,    7.941134, 1122.412317, 1130.353451,    1.459130,    9.400264
193, 1137.821870,    0.544565, 1137.821870, 1138.366435,    0.000000,    0.544565
194, 1143.077093,    0.473488, 1143.077093, 1143.550581,    0.000000,    0.473488
195, 1144.726418,    0.434314, 1144.726418, 1145.160731,    0.000000,    0.434314
196, 1149.230292,    1.490776, 1149.230292, 1150.721068,    0.000000,    1.490776
197, 1156.455160,    5.028880, 1156.455160, 1161.484041,    0.000000,    5.028880
198, 1163.153109,    4.513712, 1163.153109, 1167.666820,    0.000000,    4.513712
199, 1174.568227,    1.684717, 1174.568227, 1176.252944,    0.000000,    1.684717
200, 1178.594536,    3.932281, 1178.594536, 1182.526818,    0.000000,    3.932281
201, 1182.397052,    1.644792, 1182.526818, 1184.171610,    0.129766,    1.774558
202, 1200.080130,    4.881136, 1200.080130, 1204.961266,    0.000000,    4.881136
203, 1210.662206,    5.947149, 1210.662206, 1216.609355,    0.000000,    5.947149
204, 1216.085026,    2.635152, 1216.609355, 1219.244507,    0.524329,    3.159481
205, 1258.517022,    2.787334, 1258.517022, 1261.304356,    0.000000,    2.787334
206, 1264.287179,    7.494530, 1264.287179, 1271.781708,    0.000000,    7.494530
207, 1268.266820,    4.168405, 1271.781708, 1275.950113,    3.514888,    7.683293
208, 1271.227847,    3.842528, 1275.950113, 1279.792642,    4.722266,    8.564794
209, 1274.239425,    0.397132, 1279.792642, 1280.189773,    5.553217,    5.950349
210, 1277.614368,    2.395563, 1280.189773, 1282.585336,    2.575405,    4.970968
211, 1287.657094,    3.087560, 1287.657094, 1290.744654,    0.000000,    3.087560
212, 1287.860066,    5.607134, 1290.744654, 1296.351788,    2.884588,    8.491722
213, 1303.243476,   13.559310, 1303.243476, 1316.802786,    0.000000,   13.559310
214, 1305.690796,    6.749579, 1316.802786, 1323.552364,   11.111990,   17.861569
215, 1311.566597,    9.065066, 1323.552364, 1332.617430,   11.985767,   21.050833
216, 1315.996096,    0.907020, 1332.617430, 1333.524451,   16.621334,   17.528354
217, 1319.203440,    9.796992, 1333.524451, 1343.321442,   14.321011,   24.118003
218, 1325.629884,    0.336051, 1343.321442, 1343.657493,   17.691559,   18.027609
219, 1328.764165,    0.854555, 1343.657493, 1344.512047,   14.893328,   15.747883
220, 1337.763689,    0.210317, 1344.512047, 1344.722365,    6.748358,    6.958675
221, 1342.166065,    4.906845, 1344.722365, 1349.629210,    2.556300,    7.463145
222, 1344.972193,    3.945254, 1349.629210, 1353.574464,    4.657016,    8.602271
223, 1349.191690,    9.808825, 1353.574464, 1363.383289,    4.382774,   14.191598
224, 1369.768898,    7.814217, 1369.768898, 1377.583115,    0.000000,    7.814217
225, 1371.964434,    2.326946, 1377.583115, 1379.910061,    5.618681,    7.945627
226, 1375.923797,    0.334267, 1379.910061, 1380.244327,    3.986264,    4.320530
227, 1386.117866,    0.031851, 1386.117866, 1386.149717,    0.000000,    0.031851
228, 1386.158802,    1.101130, 1386.158802, 1387.259931,    0.000000,    1.101130
229, 1388.729763,    2.639299, 1388.729763, 1391.369061,    0.000000,    2.639299
230, 1393.532065,    5.630521, 1393.532065, 1399.162586,    0.000000,    5.630521
231, 1395.676856,    2.485494, 1399.162586, 1401.648080,    3.485730,    5.971224
232, 1400.381226,    7.850102, 1401.648080, 1409.498182,    1.266855,    9.116957
233, 1401.552926,    0.508087, 1409.498182, 1410.006269,    7.945256,    8.453343
234, 1410.726917,   23.534834, 1410.726917, 1434.261751,    0.000000,   23.534834
235, 1411.030451,    8.052885, 1434.261751, 1442.314636,   23.231301,   31.284185
236, 1414.370732,    0.711834, 1442.314636, 1443.026470,   27.943904,   28.655738
237, 1422.040377,    1.706999, 1443.026470, 1444.733469,   20.986093,   22.693092
238, 1430.205665,    2.538023, 1444.733469, 1447.271492,   14.527803,   17.065826
239, 1433.513154,    1.302753, 1447.271492, 1448.574245,   13.758338,   15.061091
240, 1436.114609,    0.376863, 1448.574245, 1448.951108,   12.459636,   12.836499
