time,state,absolute_state,stability,deterministic_noise
103,    0.339997,    0.339997,    0.689091,   -0.152493
104,   -0.745249,    0.745249,    0.690455,   -0.980001
105,   -0.270533,    0.270533,    0.691818,    0.245044
106,    0.769331,    0.769331,    0.693182,    0.956859
107,    0.198925,    0.198925,    0.694545,   -0.335410
108,   -0.786749,    0.786749,    0.695909,   -0.925183
109,   -0.125794,    0.125794,    0.697273,    0.422785
110,    0.797371,    0.797371,    0.698636,    0.885255
111,    0.051771,    0.051771,    0.700000,   -0.506389
112,   -0.801121,    0.801121,    0.701364,   -0.837432
113,    0.022506,    0.022506,    0.702727,    0.585476
114,    0.797986,    0.797986,    0.704091,    0.782139
115,   -0.096399,    0.096399,    0.705455,   -0.659341
116,   -0.788007,    0.788007,    0.706818,   -0.719871
117,    0.169273,    0.169273,    0.708182,    0.727326
118,    0.771289,    0.771289,    0.709545,    0.651182
119,   -0.240507,    0.240507,    0.710909,   -0.788824
120,   -0.747992,    0.747992,    0.712273,   -0.576686
121,    0.309492,    0.309492,    0.713636,    0.843286
122,    0.718332,    0.718332,    0.715000,    0.497045
123,   -0.375640,    0.375640,    0.716364,   -0.890227
124,   -0.682579,    0.682579,    0.717727,   -0.412972
125,    0.438392,    0.438392,    0.719091,    0.929228
126,    0.641057,    0.641057,    0.720455,    0.325216
127,   -0.497215,    0.497215,    0.721818,   -0.959942
128,   -0.594136,    0.594136,    0.723182,   -0.234559
129,    0.551615,    0.551615,    0.724545,    0.982093
130,    0.542232,    0.542232,    0.725909,    0.141810
131,   -0.601135,    0.601135,    0.727273,   -0.995486
132,   -0.485805,    0.485805,    0.728636,   -0.047796
133,    0.645362,    0.645362,    0.730000,    1.000000
134,    0.425350,    0.425350,    0.731364,   -0.046644
135,   -0.683929,    0.683929,    0.732727,   -0.995595
136,   -0.361398,    0.361398,    0.734091,    0.140669
137,    0.716518,    0.716518,    0.735455,    0.982310
138,    0.294506,    0.294506,    0.736818,   -0.233438
139,   -0.742865,    0.742865,    0.738182,   -0.960264
140,   -0.225257,    0.225257,    0.739545,    0.324126
141,    0.762759,    0.762759,    0.740909,    0.929654
142,    0.154253,    0.154253,    0.742273,   -0.411922
143,   -0.776044,    0.776044,    0.743636,   -0.890751
144,   -0.082107,    0.082107,    0.745000,    0.496045
145,    0.782623,    0.782623,    0.746364,    0.843905
146,    0.009445,    0.009445,    0.747727,   -0.575744
147,   -0.782457,    0.782457,    0.749091,   -0.789532
148,    0.063109,    0.063109,    0.750455,    0.650307
149,    0.775563,    0.775563,    0.751818,    0.728116
150,   -0.134931,    0.134931,    0.753182,   -0.719071
151,   -0.762019,    0.762019,    0.754545,   -0.660207
152,    0.205404,    0.205404,    0.755909,    0.781421
153,    0.741957,    0.741957,    0.757273,    0.586410
154,   -0.273926,    0.273926,    0.758636,   -0.836801
155,   -0.715566,    0.715566,    0.760000,   -0.507382
156,    0.339913,    0.339913,    0.761364,    0.884719
157,    0.683090,    0.683090,    0.762727,    0.423829
158,   -0.402802,    0.402802,    0.764091,   -0.924745
159,   -0.644823,    0.644823,    0.765455,   -0.336496
160,    0.462062,    0.462062,    0.766818,    0.956524
161,    0.601109,    0.601109,    0.768182,    0.246162
162,   -0.517191,    0.517191,    0.769545,   -0.979771
163,   -0.552339,    0.552339,    0.770909,   -0.153632
164,    0.567724,    0.567724,    0.772273,    0.994280
165,    0.498944,    0.498944,    0.773636,    0.059732
166,   -0.613240,    0.613240,    0.775000,   -0.999922
167,   -0.441396,    0.441396,    0.776364,    0.034701
168,    0.653358,    0.653358,    0.777727,    0.996644
169,    0.380201,    0.380201,    0.779091,   -0.128824
170,   -0.687748,    0.687748,    0.780455,   -0.984478
171,   -0.315896,    0.315896,    0.781818,    0.221799
172,    0.716128,    0.716128,    0.783182,    0.963531
173,    0.249040,    0.249040,    0.784545,   -0.312795
174,   -0.738268,    0.738268,    0.785909,   -0.933991
175,   -0.180217,    0.180217,    0.787273,    0.401001
176,    0.753994,    0.753994,    0.788636,    0.896120
177,    0.110025,    0.110025,    0.790000,   -0.485631
178,   -0.763188,    0.763188,    0.791364,   -0.850257
179,   -0.039071,    0.039071,    0.792727,    0.565929
180,    0.765785,    0.765785,    0.794091,    0.796811
181,   -0.032033,    0.032033,    0.795455,   -0.641180
182,   -0.761782,    0.761782,    0.796818,   -0.736258
183,    0.102672,    0.102672,    0.798182,    0.710712
184,    0.751229,    0.751229,    0.799545,    0.669138
185,   -0.172240,    0.172240,    0.800909,   -0.773906
186,   -0.734234,    0.734234,    0.802273,   -0.596050
187,    0.240140,    0.240140,    0.803636,    0.830197
188,    0.710959,    0.710959,    0.805000,    0.517646
189,   -0.305792,    0.305792,    0.806364,   -0.879084
190,   -0.681622,    0.681622,    0.807727,   -0.434625
191,    0.368636,    0.368636,    0.809091,    0.920130
192,    0.646491,    0.646491,    0.810455,    0.347728
193,   -0.428137,    0.428137,    0.811818,   -0.952969
194,   -0.605882,    0.605882,    0.813182,   -0.257729
195,    0.483791,    0.483791,    0.814545,    0.977309
196,    0.560161,    0.560161,    0.815909,    0.165432
197,   -0.535128,    0.535128,    0.817273,   -0.992933
198,   -0.509735,    0.509735,    0.818636,   -0.071659
199,    0.581718,    0.581718,    0.820000,    0.999700
200,    0.455049,    0.455049,    0.821364,   -0.022752
201,   -0.623170,    0.623170,    0.822727,   -0.997552
202,   -0.396587,    0.396587,    0.824091,    0.116961
203,    0.659141,    0.659141,    0.825455,    0.986506
204,    0.334862,    0.334862,    0.826818,   -0.210127
205,   -0.689334,    0.689334,    0.828182,   -0.966661
206,   -0.270415,    0.270415,    0.829545,    0.301419
207,    0.713505,    0.713505,    0.830909,    0.938195
208,    0.203808,    0.203808,    0.832273,   -0.390022
209,   -0.731459,    0.731459,    0.833636,   -0.901361
210,   -0.135622,    0.135622,    0.835000,    0.475147
211,    0.743059,    0.743059,    0.836364,    0.856488
212,    0.066447,    0.066447,    0.837727,   -0.556034
213,   -0.748221,    0.748221,    0.839091,   -0.803976
214,    0.003116,    0.003116,    0.840455,    0.631962
215,    0.746917,    0.746917,    0.841818,    0.744294
216,   -0.072466,    0.072466,    0.843182,   -0.702253
217,   -0.739174,    0.739174,    0.844545,   -0.677973
218,    0.141007,    0.141007,    0.845909,    0.766281
219,    0.725076,    0.725076,    0.847273,    0.605605
220,   -0.208148,    0.208148,    0.848636,   -0.823474
221,   -0.704762,    0.704762,    0.850000,   -0.527836
222,    0.273314,    0.273314,    0.851364,    0.873323
223,    0.678422,    0.678422,    0.852727,    0.445359
224,   -0.335949,    0.335949,    0.854091,   -0.915383
225,   -0.646299,    0.646299,    0.855455,   -0.358910
226,    0.395517,    0.395517,    0.856818,    0.949279
227,    0.608686,    0.608686,    0.858182,    0.269260
228,   -0.451514,    0.451514,    0.859545,   -0.974708
229,   -0.565921,    0.565921,    0.860909,   -0.177209
230,    0.503465,    0.503465,    0.862273,    0.991443
231,    0.518387,    0.518387,    0.863636,    0.083577
232,   -0.550931,    0.550931,    0.865000,   -0.999336
233,   -0.466506,    0.466506,    0.866364,    0.010801
234,    0.593516,    0.593516,    0.867727,    0.998316
235,    0.410738,    0.410738,    0.869091,   -0.105082
236,   -0.630864,    0.630864,    0.870455,   -0.988392
237,   -0.351573,    0.351573,    0.871818,    0.198426
238,    0.662666,    0.662666,    0.873182,    0.969653
239,    0.289531,    0.289531,    0.874545,   -0.290000
240,   -0.688662,    0.688662,    0.875909,   -0.942265
241,   -0.225157,    0.225157,    0.877273,    0.378988
242,    0.708643,    0.708643,    0.878636,    0.906474
243,    0.159010,    0.159010,    0.880000,   -0.464595
244,   -0.722451,    0.722451,    0.881364,   -0.862597
245,   -0.091668,    0.091668,    0.882727,    0.546059
246,    0.729984,    0.729984,    0.884091,    0.811027
247,    0.023715,    0.023715,    0.885455,   -0.622653
248,   -0.731193,    0.731193,    0.886818,   -0.752224
249,    0.044261,    0.044261,    0.888182,    0.693693
250,    0.726083,    0.726083,    0.889545,    0.686711
251,   -0.111672,    0.111672,    0.890909,   -0.758546
252,   -0.714716,    0.714716,    0.892273,   -0.615074
253,    0.177938,    0.177938,    0.893636,    0.816634
254,    0.697205,    0.697205,    0.895000,    0.537951
255,   -0.242489,    0.242489,    0.896364,   -0.867438
256,   -0.673719,    0.673719,    0.897727,   -0.456030
257,    0.304771,    0.304771,    0.899091,    0.910505
258,    0.644474,    0.644474,    0.900455,    0.370042
259,   -0.364254,    0.364254,    0.901818,   -0.945452
260,   -0.609740,    0.609740,    0.903182,   -0.280753
261,    0.420429,    0.420429,    0.904545,    0.971967
262,    0.569831,    0.569831,    0.905909,    0.188960
263,   -0.472820,    0.472820,    0.907273,   -0.989812
264,   -0.525104,    0.525104,    0.908636,   -0.095482
265,    0.520985,    0.520985,    0.910000,    0.998829
266,    0.475959,    0.475959,    0.911364,    0.001153
267,   -0.564517,    0.564517,    0.912727,   -0.998938
268,   -0.422833,    0.422833,    0.914091,    0.093187
269,    0.603053,    0.603053,    0.915455,    0.990138
270,    0.366194,    0.366194,    0.916818,   -0.186696
271,   -0.636273,    0.636273,    0.918182,   -0.972506
272,   -0.306542,    0.306542,    0.919545,    0.278540
273,    0.663903,    0.663903,    0.920909,    0.946201
274,    0.244401,    0.244401,    0.922273,   -0.367899
275,   -0.685719,    0.685719,    0.923636,   -0.911456
276,   -0.180313,    0.180313,    0.925000,    0.453977
277,    0.701547,    0.701547,    0.926364,    0.868582
278,    0.114838,    0.114838,    0.927727,   -0.536006
279,   -0.711267,    0.711267,    0.929091,   -0.817962
280,   -0.048547,    0.048547,    0.930455,    0.613255
281,    0.714809,    0.714809,    0.931818,    0.760046
282,   -0.017987,    0.017987,    0.933182,   -0.685034
283,   -0.712161,    0.712161,    0.934545,   -0.695351
284,    0.084185,    0.084185,    0.935909,    0.750703
285,    0.703359,    0.703359,    0.937273,    0.624455
286,   -0.149478,    0.149478,    0.938636,   -0.809677
287,   -0.688498,    0.688498,    0.940000,   -0.547989
288,    0.213302,    0.213302,    0.941364,    0.861429
289,    0.667721,    0.667721,    0.942727,    0.466635
290,   -0.275109,    0.275109,    0.944091,   -0.905498
291,   -0.641223,    0.641223,    0.945455,   -0.381120
292,    0.334369,    0.334369,    0.946818,    0.941491
293,    0.609248,    0.609248,    0.948182,    0.292205
294,   -0.390578,    0.390578,    0.949545,   -0.969087
295,   -0.572088,    0.572088,    0.950909,   -0.200685
296,    0.443255,    0.443255,    0.952273,    0.988039
297,    0.530078,    0.530078,    0.953636,    0.107374
298,   -0.491955,    0.491955,    0.955000,   -0.998180
299,   -0.483594,    0.483594,    0.956364,   -0.013106
300,    0.536267,    0.536267,    0.957727,    0.999418
301,    0.433049,    0.433049,    0.959091,   -0.081280
302,   -0.575818,    0.575818,    0.960455,   -0.991742
303,   -0.378892,    0.378892,    0.961818,    0.174940
304,    0.610278,    0.610278,    0.963182,    0.975220
305,    0.321601,    0.321601,    0.964545,   -0.267040
306,   -0.639363,    0.639363,    0.965909,   -0.950001
307,   -0.261681,    0.261681,    0.967273,    0.356758
308,    0.662835,    0.662835,    0.968636,    0.916309
309,    0.199656,    0.199656,    0.970000,   -0.443294
310,   -0.680505,    0.680505,    0.971364,   -0.874444
311,   -0.136069,    0.136069,    0.972727,    0.525877
312,    0.692236,    0.692236,    0.974091,    0.824780
313,    0.071475,    0.071475,    0.975455,   -0.603769
314,   -0.697941,    0.697941,    0.976818,   -0.767760
315,   -0.006437,    0.006437,    0.978182,    0.676277
316,    0.697587,    0.697587,    0.979545,    0.703892
317,   -0.058483,    0.058483,    0.980909,   -0.742752
318,   -0.691193,    0.691193,    0.982273,   -0.633746
319,    0.122721,    0.122721,    0.983636,    0.802604
320,    0.678829,    0.678829,    0.985000,    0.557948
