time,state,growth_rate,carrying_capacity,extraction_pressure,recovery_delay,feedback_strength,shock_intensity
58,   76.754139,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
59,   77.712320,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
60,   78.627472,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
61,   79.500293,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
62,   80.331620,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
63,   81.122407,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
64,   81.873709,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
65,   82.586669,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
66,   83.262496,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
67,   83.902451,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
68,   84.507837,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
69,   85.079982,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
70,   85.620232,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
71,   86.129935,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
72,   86.610438,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
73,   87.063075,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
74,   87.489160,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
75,   87.889986,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
76,   88.266814,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
77,   88.620874,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
78,   88.953356,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
79,   89.265414,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
80,   89.558160,    0.080000,  100.000000,    0.025000,5,    0.020000,    8.000000
