time,true_state,observed_state,twin_state,residual,anomaly_flag,intervention_flag
84,    3.832404,    5.183669,    3.325138,    2.859278,0,0
85,    3.363164,    4.487182,    3.693739,    1.220682,0,0
86,    3.788617,    2.331199,    3.172166,   -1.293796,0,0
87,    4.062776,    3.076396,    3.115802,   -0.060624,0,0
88,    3.479971,    5.030543,    3.769278,    1.940407,0,0
89,    3.149874,    3.989817,    3.812290,    0.273119,0,0
90,    3.670445,    2.040549,    3.159736,   -1.721826,0,0
91,    3.872696,    3.186681,    3.160426,    0.040391,0,0
92,    3.266290,    4.960974,    3.783698,    1.811193,0,0
93,    3.063832,    3.589802,    3.689838,   -0.153902,0,0
94,    3.638542,    1.894186,    3.038919,   -1.761128,0,0
95,    3.740074,    3.378842,    3.156436,    0.342163,0,0
96,    3.110909,    4.889380,    3.756844,    1.742362,0,0
97,    3.023455,    3.216728,    3.540653,   -0.498346,0,0
98,    3.612939,    1.816215,    2.914801,   -1.690132,0,0
99,    3.592194,    3.568604,    3.138855,    0.661152,0,0
100,    2.945717,    4.744669,    3.685388,    1.629663,0,0
101,    2.960454,    2.814151,    3.343148,   -0.813842,0,0
102,    3.528846,    1.743711,    2.752545,   -1.552052,0,0
103,    3.372749,    3.687641,    3.063068,    0.960882,0,0
104,    2.719243,    4.474640,    3.524604,    1.461593,0,0
105,    6.824017,    6.343345,    4.457525,    2.901262,0,0
106,    7.140565,    5.430564,    4.707581,    1.112281,0,0
107,    6.655270,    7.297435,    5.508470,    2.752254,0,0
108,    5.829214,    7.478570,    6.059161,    2.183706,0,0
109,    5.841652,    5.043722,    5.539482,   -0.762708,0,0
110,    6.119011,    4.545012,    5.036272,   -0.755785,0,0
111,    5.535311,    6.481889,    5.395513,    1.671347,0,0
112,    4.769783,    6.254387,    5.529668,    1.114952,0,0
113,    4.883796,    3.797012,    4.744315,   -1.457390,0,0
114,    5.097618,    3.715650,    4.222765,   -0.780177,0,0
115,    4.423448,    5.640746,    4.566424,    1.652804,0,0
116,    3.734423,    5.001428,    4.546912,    0.699256,0,0
117,    3.936169,    2.599215,    3.686290,   -1.672424,0,0
118,    4.070478,    2.929734,    3.262956,   -0.512649,0,0
119,    3.322816,    4.767502,    3.637453,    1.738538,0,0
