time,power,communications,water,transport,composite_service,unmet_service,shock_active
28,  0.685000,  0.698611,  0.698003,  0.719793,  0.700352,  0.299648,1
29,  0.650000,  0.663611,  0.663003,  0.684809,  0.665356,  0.334644,1
30,  0.615000,  0.628611,  0.628003,  0.649817,  0.630358,  0.369642,1
31,  0.580000,  0.593611,  0.593003,  0.614820,  0.595359,  0.404641,1
32,  0.545000,  0.558611,  0.558003,  0.579822,  0.560359,  0.439641,1
33,  0.510000,  0.523611,  0.523003,  0.544823,  0.525359,  0.474641,1
34,  0.475000,  0.488611,  0.488003,  0.509823,  0.490359,  0.509641,1
35,  0.450000,  0.460811,  0.460303,  0.479623,  0.462684,  0.537316,1
36,  0.450000,  0.453027,  0.452817,  0.464087,  0.454983,  0.545017,1
37,  0.475000,  0.468848,  0.469025,  0.468551,  0.470356,  0.529644,0
38,  0.500000,  0.491277,  0.491624,  0.483667,  0.491642,  0.508358,0
39,  0.525000,  0.515558,  0.515964,  0.504040,  0.515140,  0.484860,0
40,  0.550000,  0.540356,  0.540782,  0.526907,  0.539511,  0.460489,0
41,  0.575000,  0.565300,  0.565731,  0.550933,  0.564241,  0.435759,0
42,  0.600000,  0.590284,  0.590717,  0.575491,  0.589123,  0.410877,0
43,  0.625000,  0.615279,  0.615713,  0.600291,  0.614071,  0.385929,0
44,  0.650000,  0.640278,  0.640712,  0.625200,  0.639048,  0.360952,0
45,  0.675000,  0.665278,  0.665712,  0.650160,  0.664037,  0.335963,0
46,  0.700000,  0.690278,  0.690712,  0.675141,  0.689033,  0.310967,0
47,  0.725000,  0.715278,  0.715712,  0.700133,  0.714031,  0.285969,0
48,  0.750000,  0.740278,  0.740712,  0.725129,  0.739030,  0.260970,0
49,  0.775000,  0.765278,  0.765712,  0.750128,  0.764029,  0.235971,0
50,  0.800000,  0.790278,  0.790712,  0.775127,  0.789029,  0.210971,0
51,  0.825000,  0.815278,  0.815712,  0.800127,  0.814029,  0.185971,0
52,  0.850000,  0.840278,  0.840712,  0.825126,  0.839029,  0.160971,0
53,  0.875000,  0.865278,  0.865712,  0.850126,  0.864029,  0.135971,0
54,  0.900000,  0.890278,  0.890712,  0.875126,  0.889029,  0.110971,0
55,  0.925000,  0.915278,  0.915712,  0.900126,  0.914029,  0.085971,0
56,  0.950000,  0.940278,  0.940712,  0.925126,  0.939029,  0.060971,0
57,  0.975000,  0.965278,  0.965712,  0.950126,  0.964029,  0.035971,0
58,  1.000000,  0.990278,  0.990712,  0.975126,  0.989029,  0.010971,0
59,  1.000000,  0.997278,  0.997462,  0.988126,  0.995716,  0.004284,0
60,  1.000000,  0.999238,  0.999302,  0.994466,  0.998251,  0.001749,0
61,  1.000000,  0.999787,  0.999807,  0.997456,  0.999263,  0.000737,0
62,  1.000000,  0.999940,  0.999946,  0.998840,  0.999682,  0.000318,0
63,  1.000000,  0.999983,  0.999985,  0.999474,  0.999861,  0.000139,0
64,  1.000000,  0.999995,  0.999996,  0.999762,  0.999938,  0.000062,0
65,  1.000000,  0.999999,  0.999999,  0.999893,  0.999973,  0.000027,0
66,  1.000000,  1.000000,  1.000000,  0.999952,  0.999988,  0.000012,0
67,  1.000000,  1.000000,  1.000000,  0.999978,  0.999994,  0.000006,0
68,  1.000000,  1.000000,  1.000000,  0.999990,  0.999998,  0.000002,0
69,  1.000000,  1.000000,  1.000000,  0.999996,  0.999999,  0.000001,0
70,  1.000000,  1.000000,  1.000000,  0.999998,  1.000000,  0.000000,0
71,  1.000000,  1.000000,  1.000000,  0.999999,  1.000000,  0.000000,0
72,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
73,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
74,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
75,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
76,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
77,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
78,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
79,  1.000000,  1.000000,  1.000000,  1.000000,  1.000000,  0.000000,0
