run_id,demand_growth,capacity_growth,rework_rate,intervention_pressure,systems_redesign_strength,delay_factor,uncertainty_humility,final_conceptual_score,final_modeled_score,conceptual_model_gap,maximum_backlog,minimum_trust
54,0.016922,0.018426,0.028341,0.604521,0.789615,0.861335,0.462573,70.590609,95.000000,-24.409391,31.704362,58.000000
55,0.017273,0.004363,0.026112,0.867533,0.454883,0.672648,0.263702,38.071149,0.000000,38.071149,200.000000,0.000000
56,0.023422,0.005158,0.008883,0.219654,0.359945,0.328102,0.544597,48.505800,5.810703,42.695097,200.000000,0.000000
57,0.015297,0.012618,0.019621,0.849992,0.705617,0.184611,0.469613,66.709463,95.000000,-28.290537,34.541696,58.000000
58,0.013407,0.014555,0.018732,0.336215,0.261150,0.356134,0.174293,40.017990,0.000000,40.017990,200.000000,0.000000
59,0.023528,0.017463,0.012898,0.693535,0.896314,0.234818,0.404817,71.630694,95.000000,-23.369306,26.260241,58.000000
60,0.017012,0.014092,0.023165,0.865440,0.823909,0.316164,0.887626,75.277072,95.000000,-19.722928,29.689027,58.000000
61,0.022516,0.014771,0.012566,0.215738,0.121923,0.407475,0.798941,46.385432,2.000000,44.385432,200.000000,0.000000
62,0.012808,0.004894,0.013108,0.631449,0.215158,0.518937,0.311014,31.899125,0.000000,31.899125,200.000000,0.000000
63,0.017942,0.018531,0.013515,0.734609,0.881441,0.223544,0.155537,67.455224,92.859340,-25.404116,25.937914,58.000000
64,0.015419,0.010301,0.023547,0.116013,0.816589,0.851824,0.488602,75.510457,95.000000,-19.489543,28.687211,58.000000
65,0.012767,0.012194,0.024226,0.215680,0.477592,0.447594,0.178172,46.231165,14.527117,31.704048,200.000000,52.296804
66,0.015443,0.019067,0.025116,0.705147,0.578297,0.353227,0.754217,68.566520,94.279783,-25.713264,46.339506,58.000000
67,0.017209,0.018110,0.028172,0.747405,0.537163,0.726834,0.826691,52.486347,3.206108,49.280239,200.000000,4.824433
68,0.013559,0.004928,0.022700,0.209879,0.138535,0.774921,0.617528,32.997114,0.000000,32.997114,200.000000,0.000000
69,0.017480,0.005594,0.014491,0.232415,0.757620,0.863871,0.344457,71.025084,94.622278,-23.597194,31.288218,58.000000
70,0.023327,0.009265,0.010499,0.198593,0.695149,0.897008,0.869863,75.995259,91.007377,-15.012118,34.733950,58.000000
71,0.012503,0.007085,0.024422,0.261742,0.232878,0.463419,0.343853,38.266849,0.000000,38.266849,200.000000,0.000000
72,0.013586,0.018219,0.027563,0.122347,0.490644,0.290988,0.358952,65.455393,93.474941,-28.019548,48.219758,58.000000
73,0.015543,0.006653,0.026868,0.819815,0.761713,0.826599,0.258421,60.271133,72.656063,-12.384930,63.366949,58.000000
74,0.016983,0.008817,0.016896,0.157164,0.490396,0.303423,0.224457,47.654592,20.162924,27.491668,200.000000,52.888702
75,0.020908,0.017747,0.021132,0.447412,0.490525,0.311416,0.517927,49.444294,6.563040,42.881253,200.000000,18.252161
76,0.021458,0.007130,0.009948,0.169307,0.800272,0.622620,0.638529,76.791480,95.000000,-18.208520,28.567352,58.000000
77,0.021247,0.015987,0.024106,0.428129,0.379733,0.329465,0.861553,51.750302,2.000000,49.750302,200.000000,0.000000
78,0.017070,0.018824,0.025415,0.467458,0.180673,0.605375,0.652797,43.735648,0.000000,43.735648,200.000000,0.000000
79,0.020485,0.006699,0.023932,0.192765,0.168042,0.891855,0.480935,31.890151,0.000000,31.890151,200.000000,0.000000
80,0.023145,0.012087,0.010684,0.530074,0.115018,0.758119,0.519074,35.206383,0.000000,35.206383,200.000000,0.000000
81,0.014864,0.012446,0.017343,0.702830,0.349658,0.610494,0.382589,42.125392,0.000000,42.125392,200.000000,0.000000
82,0.019711,0.010461,0.016844,0.318443,0.678208,0.794477,0.166105,65.438298,90.571740,-25.133442,37.973604,58.000000
83,0.014624,0.004365,0.029326,0.324727,0.136741,0.605927,0.148677,24.309561,0.000000,24.309561,200.000000,0.000000
84,0.017571,0.009226,0.026363,0.305418,0.366571,0.137146,0.608367,48.871512,2.000000,46.871512,200.000000,0.000000
85,0.021376,0.005114,0.015942,0.654544,0.508740,0.663938,0.696141,50.719387,2.000000,48.719387,200.000000,0.000000
86,0.021311,0.007224,0.010377,0.423269,0.146635,0.527694,0.564943,37.381123,0.000000,37.381123,200.000000,0.000000
87,0.020742,0.004452,0.015149,0.194249,0.442092,0.102411,0.430511,49.083380,1.911029,47.172351,200.000000,0.696663
88,0.022141,0.014995,0.013123,0.298943,0.591027,0.254795,0.859393,72.942515,92.243486,-19.300971,37.710849,58.000000
89,0.013670,0.009939,0.014996,0.676890,0.279788,0.274840,0.664834,44.607473,0.279208,44.328265,200.000000,0.000000
90,0.012269,0.005863,0.014102,0.872125,0.641791,0.484970,0.422730,64.271368,92.981397,-28.710029,43.087948,58.000000
91,0.022706,0.016598,0.023649,0.268949,0.575567,0.244330,0.441014,54.259162,38.110252,16.148910,169.712943,58.000000
92,0.017222,0.017851,0.028838,0.877152,0.221142,0.736344,0.492795,39.189324,0.000000,39.189324,200.000000,0.000000
93,0.012847,0.019846,0.029713,0.771604,0.158998,0.726806,0.138230,33.578329,0.000000,33.578329,200.000000,0.000000
94,0.015484,0.010555,0.014872,0.621466,0.289514,0.145467,0.764100,46.674011,2.000000,44.674011,200.000000,0.000000
95,0.023679,0.017396,0.025728,0.465599,0.390209,0.459247,0.155585,41.818409,0.000000,41.818409,200.000000,0.000000
96,0.012147,0.016051,0.021991,0.629945,0.539184,0.500484,0.547328,65.467116,94.698983,-29.231867,49.550292,58.000000
97,0.023412,0.017323,0.013482,0.422668,0.859149,0.370349,0.596192,75.584928,95.000000,-19.415072,26.758771,58.000000
98,0.013086,0.010914,0.019646,0.820929,0.430898,0.389679,0.107190,39.274772,0.000000,39.274772,200.000000,0.000000
99,0.019634,0.010994,0.008112,0.772407,0.741034,0.874975,0.854557,73.439698,94.594810,-21.155113,32.542598,58.000000
100,0.019899,0.015576,0.012417,0.603004,0.106551,0.307871,0.896996,44.291151,2.000000,42.291151,200.000000,0.000000
101,0.019407,0.016888,0.011437,0.568346,0.582142,0.490223,0.756909,69.272108,92.658604,-23.386495,38.926718,58.000000
102,0.022373,0.017221,0.027588,0.270405,0.883795,0.828547,0.257856,72.657820,95.000000,-22.342180,27.905059,58.000000
103,0.017456,0.009668,0.023205,0.512954,0.552605,0.783874,0.639349,52.109769,2.466497,49.643273,200.000000,1.865987
104,0.014345,0.010851,0.027132,0.440335,0.570437,0.720179,0.352516,49.103039,4.116282,44.986757,200.000000,14.058654
105,0.013596,0.007781,0.013896,0.404672,0.781616,0.186010,0.371179,70.717920,95.000000,-24.282080,28.153431,58.000000
106,0.020815,0.011711,0.016701,0.757340,0.827657,0.663876,0.434114,69.882637,95.000000,-25.117363,30.331688,58.000000
107,0.012763,0.012790,0.008387,0.376851,0.834841,0.841520,0.735520,77.318662,95.000000,-17.681338,26.348015,58.000000
108,0.015743,0.010946,0.019447,0.658677,0.616949,0.837965,0.306977,47.835024,24.266276,23.568748,200.000000,58.000000
109,0.016835,0.005499,0.012208,0.743936,0.178176,0.809586,0.155693,24.054787,0.000000,24.054787,200.000000,0.000000
110,0.020755,0.011613,0.010623,0.176802,0.271975,0.201904,0.587626,47.339745,2.737873,44.601871,200.000000,0.000000
111,0.013719,0.006313,0.021240,0.574267,0.796304,0.694284,0.349093,69.404452,95.000000,-25.595548,31.350563,58.000000
112,0.015914,0.004633,0.026291,0.386730,0.499464,0.419144,0.133458,44.761708,0.000000,44.761708,200.000000,0.000000
113,0.014038,0.008796,0.024346,0.240355,0.899063,0.570934,0.576195,77.721394,95.000000,-17.278606,26.468740,58.000000
114,0.017683,0.015676,0.009307,0.643363,0.853872,0.564620,0.176182,67.812579,93.460523,-25.647943,26.528845,58.000000
115,0.022759,0.015353,0.023327,0.467306,0.168557,0.804298,0.321826,36.655820,0.000000,36.655820,200.000000,0.000000
116,0.014168,0.017175,0.010728,0.843690,0.590023,0.670665,0.767200,67.908903,94.240877,-26.331973,38.079733,58.000000
117,0.021197,0.009758,0.022637,0.426825,0.898367,0.340764,0.625599,76.904598,95.000000,-18.095402,27.416568,58.000000
118,0.012189,0.014290,0.015268,0.757325,0.354546,0.897217,0.515987,43.674331,0.000000,43.674331,200.000000,0.000000
119,0.014541,0.006049,0.013124,0.649144,0.680977,0.660884,0.223090,64.048232,90.647488,-26.599257,37.062419,58.000000
120,0.022957,0.008717,0.008484,0.181565,0.421198,0.659900,0.349070,47.543207,9.015388,38.527819,200.000000,7.064137
121,0.021460,0.016690,0.013162,0.553865,0.724735,0.614493,0.126496,64.733665,90.798629,-26.064965,31.692258,58.000000
122,0.018853,0.012775,0.011133,0.328617,0.297308,0.125062,0.178705,41.008328,0.000000,41.008328,200.000000,0.000000
123,0.023852,0.013251,0.020570,0.595307,0.228011,0.270440,0.227580,37.895946,0.000000,37.895946,200.000000,0.000000
124,0.022658,0.010433,0.022121,0.687837,0.540586,0.412909,0.707850,51.381256,2.000000,49.381256,200.000000,0.000000
125,0.023809,0.015172,0.011333,0.221248,0.887398,0.273741,0.899833,82.125229,95.000000,-12.874771,25.899057,58.000000
126,0.019704,0.013545,0.018411,0.524129,0.240944,0.837893,0.759550,46.223314,2.000000,44.223314,200.000000,0.000000
127,0.021379,0.007321,0.025922,0.318001,0.482108,0.636105,0.620942,51.719771,2.000000,49.719771,200.000000,0.000000
128,0.022656,0.006030,0.014152,0.782893,0.173786,0.295933,0.373438,31.056443,0.000000,31.056443,200.000000,0.000000
129,0.022295,0.005566,0.008148,0.601223,0.353082,0.722078,0.514450,44.299358,0.000000,44.299358,200.000000,0.000000
130,0.022902,0.006568,0.028063,0.273690,0.404613,0.572015,0.453443,47.766035,0.853043,46.912992,200.000000,0.000000
131,0.018433,0.019262,0.012324,0.737554,0.558083,0.598321,0.628668,65.500083,92.516196,-27.016113,43.150907,58.000000
132,0.020199,0.017143,0.028079,0.395254,0.864789,0.390423,0.775526,78.450259,95.000000,-16.549741,27.750741,58.000000
133,0.018360,0.004075,0.011242,0.834939,0.351224,0.269538,0.765525,46.467229,2.000000,44.467229,200.000000,0.000000
134,0.015954,0.016060,0.016306,0.543441,0.430004,0.805298,0.739818,50.330027,4.464737,45.865290,200.000000,9.858950
135,0.020874,0.006243,0.009683,0.231653,0.651585,0.258938,0.226966,66.128406,91.314843,-25.186438,34.741186,58.000000
136,0.019257,0.008725,0.013352,0.756921,0.302973,0.519386,0.450266,41.519694,0.000000,41.519694,200.000000,0.000000
137,0.016753,0.018996,0.016349,0.789790,0.720921,0.773782,0.199531,63.777215,90.551961,-26.774745,32.188312,58.000000
138,0.023870,0.017881,0.013832,0.193390,0.606119,0.540825,0.458511,68.372202,91.729132,-23.356929,37.153115,58.000000
139,0.012045,0.010257,0.022691,0.804199,0.442759,0.323072,0.385112,43.584180,0.000000,43.584180,200.000000,0.000000
140,0.017149,0.016278,0.014055,0.321155,0.604801,0.703642,0.327323,65.988616,92.853358,-26.864742,35.956864,58.000000
141,0.016506,0.009136,0.014183,0.237253,0.132930,0.781920,0.723230,38.781355,0.000000,38.781355,200.000000,0.000000
142,0.023306,0.009666,0.027781,0.508235,0.628466,0.245735,0.242837,48.417033,0.000000,48.417033,200.000000,3.378900
143,0.012838,0.011656,0.024663,0.841161,0.754870,0.847675,0.307418,65.691462,93.023664,-27.332202,36.014858,58.000000
144,0.017736,0.013266,0.010492,0.165642,0.394105,0.109427,0.656385,65.584320,89.567289,-23.982969,54.195365,58.000000
145,0.013105,0.010591,0.023194,0.423267,0.600951,0.281582,0.345865,65.739253,93.687133,-27.947881,42.435680,58.000000
146,0.023475,0.008617,0.018746,0.427103,0.699654,0.672392,0.407090,53.074134,16.899418,36.174716,200.000000,45.913807
147,0.012588,0.016325,0.021977,0.473845,0.314393,0.310043,0.420822,43.646185,0.000000,43.646185,200.000000,0.000000
148,0.021325,0.014453,0.012394,0.259403,0.255335,0.466246,0.889211,50.501761,2.000000,48.501761,200.000000,0.000000
149,0.022624,0.019543,0.014697,0.155234,0.676057,0.637376,0.187203,67.292722,93.100934,-25.808211,31.866298,58.000000
150,0.016976,0.012103,0.016996,0.239146,0.316584,0.175256,0.515449,46.901130,0.971365,45.929765,200.000000,0.000000
151,0.020936,0.005050,0.011746,0.437733,0.599655,0.278057,0.561825,64.777302,80.481106,-15.703804,50.737936,58.000000
152,0.023539,0.011416,0.024237,0.141207,0.784563,0.325449,0.131914,69.546657,94.935435,-25.388777,31.402047,58.000000
153,0.018451,0.016519,0.019702,0.270435,0.395984,0.879449,0.300057,45.540938,0.000000,45.540938,200.000000,0.000000
154,0.021212,0.004890,0.013279,0.533814,0.527942,0.822666,0.148974,44.485718,0.000000,44.485718,200.000000,0.000000
155,0.014843,0.007640,0.012947,0.519599,0.782763,0.629104,0.598436,73.007628,95.000000,-21.992372,29.313545,58.000000
156,0.021355,0.004868,0.013747,0.580498,0.327671,0.528679,0.452989,41.077799,0.000000,41.077799,200.000000,0.000000
157,0.019220,0.011702,0.028521,0.669316,0.834086,0.719701,0.784491,75.646404,95.000000,-19.353596,33.327082,58.000000
158,0.020501,0.010179,0.017288,0.664090,0.379905,0.282790,0.500294,44.809110,0.000000,44.809110,200.000000,0.000000
159,0.020960,0.016054,0.016153,0.709886,0.821332,0.617859,0.863095,76.116217,95.000000,-18.883783,29.018722,58.000000
160,0.023708,0.019974,0.027433,0.428436,0.237063,0.328455,0.603441,44.710206,0.039148,44.671058,200.000000,0.000000
161,0.017220,0.012233,0.013596,0.747804,0.839288,0.645937,0.140184,66.123061,91.703107,-25.580046,28.068005,58.000000
162,0.015949,0.013656,0.010514,0.545807,0.411103,0.550314,0.616161,48.126278,18.312825,29.813453,200.000000,34.307647
163,0.012794,0.012693,0.014798,0.193222,0.440140,0.848313,0.349431,63.384441,90.839076,-27.454635,64.767658,58.000000
164,0.021094,0.018820,0.018032,0.799605,0.514407,0.264373,0.643954,48.964278,8.124294,40.839984,200.000000,24.497176
165,0.017920,0.012825,0.021248,0.497637,0.147071,0.107060,0.664883,42.856952,0.000000,42.856952,200.000000,0.000000
166,0.022434,0.013649,0.013237,0.130438,0.430178,0.799079,0.177225,45.761933,0.000000,45.761933,200.000000,4.779053
167,0.016597,0.009261,0.008605,0.394869,0.880849,0.345966,0.209040,70.907995,95.000000,-24.092005,25.897789,58.000000
168,0.013975,0.006507,0.020029,0.492167,0.397106,0.798326,0.681541,47.479245,0.000000,47.479245,200.000000,0.000000
169,0.013724,0.019831,0.023921,0.211416,0.495133,0.309468,0.711117,69.818597,93.972209,-24.153613,43.025444,58.000000
170,0.016073,0.014241,0.029184,0.639832,0.199489,0.209023,0.215468,36.685647,0.000000,36.685647,200.000000,0.000000
171,0.012270,0.015955,0.019316,0.359755,0.135815,0.698688,0.260046,38.022163,0.000000,38.022163,200.000000,0.000000
172,0.022120,0.007700,0.015757,0.728792,0.437644,0.230726,0.895246,51.206567,2.000000,49.206567,200.000000,0.000000
173,0.019244,0.009438,0.009894,0.355763,0.133830,0.644249,0.354796,34.554148,0.000000,34.554148,200.000000,0.000000
174,0.020266,0.005671,0.011386,0.652509,0.257395,0.491054,0.133653,31.611282,0.000000,31.611282,200.000000,0.000000
175,0.015844,0.004614,0.027769,0.683910,0.783946,0.359110,0.536811,70.858777,95.000000,-24.141223,38.269005,58.000000
176,0.012239,0.013509,0.009100,0.576751,0.300442,0.139650,0.721851,46.702506,22.310305,24.392201,200.000000,41.663728
177,0.012161,0.006637,0.011340,0.339757,0.782662,0.595723,0.776913,76.942612,95.000000,-18.057388,28.058515,58.000000
178,0.021327,0.005282,0.023117,0.869814,0.387871,0.815023,0.398646,36.205411,0.000000,36.205411,200.000000,0.000000
179,0.013924,0.014300,0.008485,0.407914,0.156813,0.270517,0.397685,40.067786,0.000000,40.067786,200.000000,0.000000
180,0.018946,0.010334,0.013148,0.200726,0.743559,0.207409,0.671039,75.634152,95.000000,-19.365848,29.174050,58.000000
181,0.022482,0.004389,0.016224,0.470201,0.191418,0.750301,0.184381,26.572716,0.000000,26.572716,200.000000,0.000000
182,0.014711,0.019893,0.027920,0.784829,0.207158,0.415057,0.459673,39.128589,0.000000,39.128589,200.000000,0.000000
183,0.022195,0.009468,0.011495,0.492016,0.897757,0.316162,0.389258,73.059658,95.000000,-21.940342,26.489027,58.000000
184,0.018519,0.008754,0.016205,0.285331,0.830690,0.268969,0.874530,79.897321,95.000000,-15.102679,27.580284,58.000000
185,0.015773,0.004123,0.013425,0.115538,0.748847,0.291563,0.775243,77.901416,95.000000,-17.098584,29.322415,58.000000
186,0.013975,0.016729,0.027111,0.864813,0.358817,0.281818,0.835086,47.384308,2.000000,45.384308,200.000000,0.000000
187,0.022335,0.019226,0.010313,0.112228,0.857232,0.884084,0.174642,72.120722,95.000000,-22.879278,26.207609,58.000000
188,0.019133,0.014005,0.017256,0.894721,0.716674,0.520039,0.395511,65.579549,93.798089,-28.218540,36.913439,58.000000
189,0.017466,0.016804,0.010837,0.425641,0.244795,0.302316,0.617455,45.114317,0.486842,44.627475,200.000000,0.000000
190,0.020176,0.006529,0.029427,0.111695,0.706242,0.850262,0.877306,62.338544,6.635288,55.703256,200.000000,18.541152
191,0.018963,0.011097,0.018848,0.854435,0.822692,0.797734,0.670278,72.293025,95.000000,-22.706975,31.894534,58.000000
192,0.018764,0.010373,0.028450,0.155422,0.777715,0.889767,0.654649,76.586867,95.000000,-18.413133,34.130733,58.000000
193,0.013912,0.010649,0.008105,0.396260,0.805050,0.417928,0.209233,69.080383,95.000000,-25.919617,26.929067,58.000000
194,0.013454,0.015735,0.027041,0.631542,0.682361,0.695364,0.642192,70.315032,95.000000,-24.684968,38.022122,58.000000
195,0.014259,0.004385,0.026566,0.385069,0.309675,0.182532,0.648828,47.435234,2.000000,45.435234,200.000000,0.000000
196,0.023404,0.007795,0.028191,0.314223,0.142711,0.835851,0.893332,36.865754,0.000000,36.865754,200.000000,0.000000
197,0.013646,0.005913,0.008110,0.682668,0.792761,0.740214,0.734231,73.844153,95.000000,-21.155847,28.879034,58.000000
198,0.022125,0.014832,0.024364,0.805271,0.427359,0.259619,0.814149,49.212539,2.000000,47.212539,200.000000,0.000000
199,0.021272,0.008365,0.017181,0.151509,0.138006,0.702687,0.769621,40.322720,0.000000,40.322720,200.000000,0.000000
200,0.015374,0.013352,0.024750,0.432163,0.307915,0.344575,0.587830,46.162269,0.934584,45.227684,200.000000,0.000000
201,0.020015,0.006887,0.018738,0.694513,0.529653,0.289723,0.669289,50.525622,2.107885,48.417737,200.000000,0.431542
202,0.017229,0.008826,0.013244,0.607398,0.743337,0.163619,0.439741,69.137278,95.000000,-25.862722,30.696040,58.000000
203,0.015727,0.012101,0.023075,0.680112,0.477640,0.359473,0.289936,44.081569,0.000000,44.081569,200.000000,0.000000
204,0.016705,0.013847,0.025171,0.538447,0.819707,0.591996,0.840205,77.128274,95.000000,-17.871726,29.508642,58.000000
205,0.021764,0.011244,0.021728,0.400827,0.555910,0.829416,0.139530,46.088635,0.000000,46.088635,200.000000,0.001510
206,0.022159,0.004488,0.010292,0.101717,0.318987,0.813014,0.845456,49.402126,0.000000,49.402126,200.000000,0.000000
207,0.020690,0.005849,0.029937,0.311523,0.855566,0.254963,0.457445,74.445640,95.000000,-20.554360,30.981299,58.000000
208,0.014560,0.011006,0.015482,0.561376,0.812984,0.639360,0.353207,69.965500,95.000000,-25.034500,28.251950,58.000000
209,0.014838,0.005111,0.010250,0.784189,0.438268,0.593645,0.728419,48.442775,3.939724,44.503051,200.000000,2.970117
210,0.017687,0.008603,0.015857,0.810834,0.463337,0.725331,0.187112,41.252986,0.000000,41.252986,200.000000,0.000000
211,0.022951,0.007795,0.011293,0.112339,0.133751,0.736622,0.297231,32.726558,0.000000,32.726558,200.000000,0.000000
212,0.020668,0.009117,0.024700,0.380045,0.290568,0.871654,0.670384,42.365486,0.000000,42.365486,200.000000,0.000000
213,0.022262,0.007321,0.012245,0.752658,0.489105,0.825096,0.275132,43.569105,0.000000,43.569105,200.000000,0.000000
214,0.016493,0.010315,0.023613,0.550762,0.754863,0.705032,0.491386,70.590012,95.000000,-24.409988,34.763716,58.000000
215,0.022992,0.013860,0.009117,0.769692,0.873577,0.489699,0.720865,74.900423,95.000000,-20.099577,27.098882,58.000000
216,0.021976,0.019816,0.026405,0.366803,0.582091,0.556639,0.181459,47.576189,7.221675,40.354514,200.000000,37.774015
217,0.020820,0.010291,0.018032,0.179007,0.361697,0.185085,0.452678,47.586156,0.892709,46.693446,200.000000,0.000000
218,0.018871,0.008015,0.028448,0.213467,0.870129,0.415867,0.451079,75.490467,95.000000,-19.509533,28.549776,58.000000
219,0.021254,0.010717,0.023878,0.810446,0.261503,0.190629,0.893482,46.301248,2.000000,44.301248,200.000000,0.000000
220,0.017205,0.009368,0.012952,0.698069,0.664796,0.403242,0.634586,68.996153,94.191862,-25.195709,37.014695,58.000000
221,0.020817,0.019794,0.011900,0.877530,0.552310,0.331091,0.859493,66.839227,90.534728,-23.695500,45.757740,58.000000
