time,true_state,observed_state,estimated_state,absolute_error_observed,absolute_error_estimated,drift_indicator,capacity_margin,intervention_flag
25,3.636378,3.166409,3.617473,0.469968,0.018905,0.694342,14.382527,0
26,3.786145,3.536029,3.524039,0.250116,0.262106,0.477229,14.475961,0
27,4.817206,3.997913,3.583273,0.819293,1.233933,0.461783,14.416727,0
28,4.031061,4.799534,3.842919,0.768474,0.188142,0.457715,14.157081,0
29,4.531586,5.037279,4.063166,0.505693,0.46842,0.516798,13.936834,0
30,4.67462,6.100965,4.505046,1.426345,0.169574,0.605064,13.494954,0
31,4.312857,2.889898,3.808486,1.422959,0.504371,0.653827,14.191514,0
32,3.727406,4.680302,3.871156,0.952896,0.14375,0.696905,14.128844,0
33,2.697325,2.730856,3.306253,0.033531,0.608928,0.713631,14.693747,0
34,2.558469,2.242876,2.77157,0.315592,0.213102,0.723617,15.22843,0
35,7.135957,7.716737,4.963421,0.58078,2.172536,0.953842,13.036579,1
36,7.664388,8.284356,6.288762,0.619968,1.375626,1.152202,11.711238,1
37,6.664228,6.102431,5.813448,0.561798,0.85078,1.139636,12.186552,0
38,5.598384,6.550658,5.621262,0.952274,0.022877,1.136914,12.378738,0
39,4.716751,4.64649,4.908958,0.070261,0.192206,1.06575,13.091042,0
40,4.534189,3.810726,4.180021,0.723463,0.354168,0.943087,13.819979,0
41,3.824484,1.983198,3.144315,1.841286,0.680169,0.96734,14.855685,0
42,2.754058,2.186321,2.519814,0.567736,0.234244,0.919775,15.480186,0
43,2.494305,3.687798,2.554344,1.193493,0.060039,0.975581,15.445656,0
44,2.024989,2.286353,2.148947,0.261364,0.123958,0.936452,15.851053,0
45,1.673966,2.758707,2.021295,1.084741,0.34733,0.734862,15.978705,0
46,1.705358,1.979052,1.700904,0.273693,0.004455,0.563117,16.299096,0
47,0.780534,1.683919,1.40248,0.903385,0.621946,0.562363,16.59752,0
48,0.617571,1.844512,1.257174,1.226942,0.639603,0.528157,16.742826,0
49,0.264652,2.217753,1.277431,1.953101,1.012779,0.595942,16.722569,0
50,-0.220989,1.372071,1.041855,1.59306,1.262844,0.592035,16.958145,0
51,-0.425705,-0.941974,0.201234,0.516269,0.626939,0.590244,17.798766,0
52,-1.225166,-1.376196,-0.467381,0.151031,0.757785,0.647776,18.467381,0
53,-0.677424,0.138951,-0.437356,0.816374,0.240068,0.592061,18.437356,0
54,-0.517392,-2.893264,-1.314979,2.375873,0.797587,0.736149,19.314979,0
55,-0.337354,0.218498,-0.938665,0.555852,0.601311,0.778124,18.938665,0
56,-0.778083,-1.405467,-1.165277,0.627384,0.387194,0.774329,19.165277,0
57,-0.889978,0.834899,-0.62377,1.724876,0.266208,0.892051,18.62377,0
58,-1.49461,-1.922415,-1.080365,0.427805,0.414245,0.917523,19.080365,0
59,-0.821258,-1.267409,-1.162055,0.446151,0.340796,0.834026,19.162055,0
60,-1.029721,-0.931944,-1.094758,0.097776,0.065037,0.817286,19.094758,0
61,-1.632934,-1.412988,-1.174838,0.219945,0.458096,0.72678,19.174838,0
62,-2.148364,-1.263165,-1.161218,0.885198,0.987146,0.646093,19.161218,0
63,-1.991344,0.292088,-0.664796,2.283431,1.326548,0.684151,18.664796,0
64,-1.676565,-0.310875,-0.501569,1.365689,1.174995,0.545391,18.501569,0
65,-2.146301,-2.26844,-0.961878,0.122139,1.184423,0.560331,18.961878,0
66,-1.741025,0.004696,-0.55935,1.745721,1.181674,0.592717,18.55935,0
67,-2.338156,-1.347536,-0.68338,0.99062,1.654777,0.513266,18.68338,0
68,-1.730574,-0.197028,-0.400225,1.533546,1.330349,0.449381,18.400225,0
69,-1.079709,-1.027638,-0.447365,0.052071,0.632344,0.496872,18.447365,0
70,3.432142,2.183962,0.501921,1.24818,2.930221,0.648795,17.498079,0
71,3.508294,3.316597,1.474813,0.191697,2.033481,0.809158,16.525187,0
72,4.510947,3.899922,2.29675,0.611025,2.214197,0.959281,15.70325,0
73,4.610508,3.041506,2.586228,1.569001,2.02428,0.90912,15.413772,0
74,4.359653,4.620801,3.258604,0.261148,1.10105,1.026271,14.741396,0
75,4.747858,6.195959,4.177119,1.448102,0.570739,1.097499,13.822881,0
76,4.683809,3.566565,3.992537,1.117245,0.691273,1.083691,14.007463,0
77,4.881318,5.398306,4.426148,0.516987,0.45517,1.114491,13.573852,0
78,5.085018,4.384731,4.406536,0.700288,0.678482,1.096352,13.593464,0
79,5.595442,5.683338,4.783434,0.087896,0.812008,1.128315,13.216566,0
80,5.850481,7.124554,5.459147,1.274073,0.391334,1.126652,12.540853,0
81,6.03655,6.323066,5.654501,0.286516,0.382049,1.00933,12.345499,0
82,6.972608,7.216311,6.043527,0.243703,0.929081,0.966291,11.956473,0
83,6.607195,6.719162,6.139541,0.111967,0.467654,0.978725,11.860459,0
84,7.142455,7.261168,6.354657,0.118712,0.787798,0.933157,11.645343,0
85,7.141719,8.33745,6.805799,1.195731,0.335919,0.884438,11.194201,0
86,6.605688,4.879118,6.048534,1.72657,0.557154,0.958782,11.951466,0
87,6.491892,6.721627,6.093307,0.229735,0.398585,0.924398,11.906693,0
88,5.90893,6.780016,6.123581,0.871086,0.214651,0.987861,11.876419,0
89,5.949395,4.954402,5.577986,0.994992,0.371409,0.960229,12.422014,0
90,5.915682,5.719577,5.433687,0.196105,0.481995,0.822278,12.566313,0
91,4.855801,5.308751,5.196966,0.45295,0.341165,0.7666,12.803034,0
92,4.560155,3.814872,4.574493,0.745283,0.014339,0.725283,13.425507,0
93,4.539753,5.027846,4.512484,0.488093,0.027268,0.718857,13.487516,0
94,3.940634,4.340986,4.245126,0.400352,0.304492,0.637792,13.754874,0
95,8.649777,7.93711,5.830974,0.712667,2.818803,0.695241,12.169026,1
96,8.18244,8.185195,6.214914,0.002756,1.967526,0.775328,11.785086,0
97,8.661146,6.798843,6.028492,1.862303,2.632654,0.789531,11.971508,0
98,8.292564,7.986319,6.243483,0.306245,2.04908,0.898171,11.756517,0
99,7.524725,9.426314,7.453818,1.901589,0.070907,1.033062,10.546182,1
100,6.830501,9.071445,7.459624,2.240944,0.629123,1.165655,10.540376,0
101,5.943771,6.294283,6.613236,0.350512,0.669465,1.186372,11.386764,0
102,5.072321,4.381633,5.472732,0.690688,0.400412,1.219519,12.527268,0
103,4.518194,4.235623,4.672222,0.282572,0.154027,1.211643,13.327778,0
104,4.054818,1.949791,3.45271,2.105028,0.602109,1.352349,14.54729,0
105,4.508306,4.341309,3.365371,0.166997,1.142935,1.239329,14.634629,0
106,4.787345,3.780233,3.131143,1.007112,1.656202,1.10721,14.868857,0
107,4.311508,7.47645,4.929425,3.164942,0.617916,1.284878,13.070575,1
108,3.280557,1.785257,3.538636,1.4953,0.258079,1.285932,14.461364,0
109,2.479032,2.951521,2.980067,0.472488,0.501034,1.091537,15.019933,0
110,2.352173,3.64254,2.822787,1.290367,0.470614,1.01233,15.177213,0
111,1.760649,0.158398,1.676298,1.602251,0.084351,1.132225,16.323702,0
112,1.126135,2.366358,1.59555,1.240223,0.469415,1.100196,16.40445,0
113,0.993931,-0.963007,0.549457,1.956939,0.444475,1.207782,17.450543,0
114,0.631032,2.0292,0.773397,1.398168,0.142366,1.18307,17.226603,0
115,1.387498,1.949185,0.904392,0.561687,0.483106,1.189956,17.095608,0
116,1.198176,-0.04203,0.403356,1.240206,0.794819,1.169586,17.596644,0
117,0.464087,0.511003,0.255869,0.046916,0.208218,0.940396,17.744131,0
118,0.475142,1.055326,0.337529,0.580184,0.137614,0.836838,17.662471,0
119,0.017337,-1.134605,-0.250459,1.151942,0.267796,0.922398,18.250459,0
