scenario,x,y,population,hazard,vulnerability,risk_score,accessibility,service_gap_score
baseline_spatial_system,6,7,231.045497,0.964837,0.424161,94.554611,309.929843,0.743079
baseline_spatial_system,6,8,247.100244,0.708344,0.452743,79.244505,160.763616,1.527539
baseline_spatial_system,6,9,264.071669,0.524559,0.453234,62.782484,93.506349,2.794221
baseline_spatial_system,6,10,280.829994,0.392871,0.434432,47.930927,62.749084,4.405240
baseline_spatial_system,6,11,296.060788,0.298513,0.421564,37.256952,47.356203,6.122499
baseline_spatial_system,6,12,308.427296,0.230902,0.432586,30.807207,39.316412,7.650167
baseline_spatial_system,6,13,316.789182,0.182456,0.461238,26.659655,35.416446,8.699069
baseline_spatial_system,6,14,320.411470,0.147744,0.482504,22.841169,34.369729,9.058918
baseline_spatial_system,6,15,319.074483,0.122871,0.475506,18.642244,35.827169,8.664106
baseline_spatial_system,6,16,313.039953,0.105049,0.442804,14.561432,40.016469,7.632055
baseline_spatial_system,6,17,302.912065,0.092279,0.408339,11.414073,47.482813,6.247824
baseline_spatial_system,6,18,289.477073,0.083129,0.395857,9.525888,58.300405,4.881536
baseline_spatial_system,6,19,273.583046,0.076573,0.407586,8.538508,69.809599,3.863643
baseline_spatial_system,6,20,256.073647,0.071875,0.422677,7.779480,74.748745,3.380566
baseline_spatial_system,6,21,237.759767,0.068509,0.416811,6.789271,68.008711,3.445359
baseline_spatial_system,6,22,219.407344,0.066097,0.384899,5.581843,54.623094,3.944537
baseline_spatial_system,6,23,201.726592,0.064369,0.346018,4.492993,41.766789,4.716898
baseline_spatial_system,6,24,185.356392,0.063130,0.326052,3.815321,31.986477,5.619163
baseline_spatial_system,6,25,170.843483,0.062243,0.334003,3.551720,25.044431,6.559693
baseline_spatial_system,7,1,209.975618,0.188735,0.381026,15.099967,36.515565,5.597027
baseline_spatial_system,7,2,228.245697,0.239664,0.374199,20.469545,49.985691,4.476662
baseline_spatial_system,7,3,235.418471,0.310741,0.356839,26.104283,72.084052,3.221202
baseline_spatial_system,7,4,233.403385,0.409938,0.355287,33.994176,108.524586,2.131059
baseline_spatial_system,7,5,229.120951,0.548377,0.382040,48.001284,159.305608,1.429276
baseline_spatial_system,7,6,231.045497,0.741586,0.424161,72.675813,190.139580,1.208779
baseline_spatial_system,7,7,244.929688,1.000000,0.455008,111.444884,161.027337,1.511657
baseline_spatial_system,7,8,270.795950,0.813269,0.458451,100.964601,111.977445,2.396903
baseline_spatial_system,7,9,302.659259,0.599741,0.443312,80.468619,77.299861,3.865387
baseline_spatial_system,7,10,331.116598,0.446741,0.434712,64.304133,57.045918,5.704391
baseline_spatial_system,7,11,347.560980,0.337112,0.450325,52.763217,45.595947,7.459039
baseline_spatial_system,7,12,348.022227,0.258559,0.483419,43.500203,39.349380,8.625219
baseline_spatial_system,7,13,334.836111,0.202274,0.508426,34.435018,36.534712,8.920706
baseline_spatial_system,7,14,315.357922,0.161944,0.504023,25.740566,36.512420,8.406760
baseline_spatial_system,7,15,298.309594,0.133046,0.472589,18.756528,39.482357,7.368879
baseline_spatial_system,7,16,289.519441,0.112340,0.438168,14.251201,46.579133,6.085009
baseline_spatial_system,7,17,289.190264,0.097503,0.424781,11.977531,60.315907,4.716399
baseline_spatial_system,7,18,292.084496,0.086872,0.434972,11.036972,84.691226,3.408569
baseline_spatial_system,7,19,290.497648,0.079255,0.448166,10.318267,119.620547,2.408360
baseline_spatial_system,7,20,278.464527,0.073797,0.440248,9.046971,140.283859,1.970958
baseline_spatial_system,7,21,255.051619,0.069886,0.406264,7.241436,117.750947,2.147786
baseline_spatial_system,7,22,225.082732,0.067083,0.365378,5.516955,80.880660,2.748912
baseline_spatial_system,7,23,196.941885,0.065075,0.343519,4.402565,54.412850,3.554083
baseline_spatial_system,7,24,178.551181,0.063637,0.349714,3.973600,38.331326,4.539668
baseline_spatial_system,7,25,173.522588,0.062606,0.367888,3.996565,28.497274,5.882665
baseline_spatial_system,8,1,222.792979,0.170803,0.368508,14.023118,32.738045,6.603613
baseline_spatial_system,8,2,201.786604,0.214638,0.351209,15.211239,42.353792,4.654416
baseline_spatial_system,8,3,198.592720,0.275815,0.349929,19.167327,55.895124,3.490505
baseline_spatial_system,8,4,248.655982,0.361194,0.377253,33.882238,73.673317,3.329917
baseline_spatial_system,8,5,268.544923,0.480350,0.420358,54.224296,92.134577,2.883407
baseline_spatial_system,8,6,247.100244,0.646646,0.452743,72.342160,101.305269,2.415323
baseline_spatial_system,8,7,270.795950,0.878731,0.458451,109.091502,94.164343,2.845561
baseline_spatial_system,8,8,325.082363,0.935173,0.446478,135.733172,77.722937,4.129449
baseline_spatial_system,8,9,326.657567,0.687089,0.442076,99.220702,61.962387,5.188138
baseline_spatial_system,8,10,312.525827,0.509329,0.462889,73.681910,50.481053,6.070696
baseline_spatial_system,8,11,352.551458,0.381958,0.501869,67.581649,43.072250,7.999398
baseline_spatial_system,8,12,385.922456,0.290693,0.532752,59.766834,38.831311,9.688922
baseline_spatial_system,8,13,356.730270,0.225299,0.533289,42.860911,37.187771,9.341479
baseline_spatial_system,8,14,339.082873,0.178442,0.505098,30.561773,38.137552,8.663875
baseline_spatial_system,8,15,366.181780,0.144867,0.471986,25.037802,42.459313,8.425853
baseline_spatial_system,8,16,355.398986,0.120810,0.458251,19.675360,52.384598,6.657332
baseline_spatial_system,8,17,300.551153,0.103572,0.466947,14.535488,73.641889,4.026575
baseline_spatial_system,8,18,289.806172,0.091221,0.477992,12.636389,121.453158,2.366670
baseline_spatial_system,8,19,307.167738,0.082371,0.467634,11.831900,228.577766,1.337968
baseline_spatial_system,8,20,271.792242,0.076029,0.431152,8.909402,335.874284,0.806806
baseline_spatial_system,8,21,224.987762,0.071486,0.387844,6.237831,226.638129,0.988357
baseline_spatial_system,8,22,236.639120,0.068230,0.363709,5.872382,117.507351,1.996831
baseline_spatial_system,8,23,245.646789,0.065897,0.367808,5.953835,67.551468,3.583392
baseline_spatial_system,8,24,200.110728,0.064225,0.384072,4.936159,43.926509,4.454179
baseline_spatial_system,8,25,176.226590,0.063028,0.386142,4.288930,31.301356,5.455703
baseline_spatial_system,9,1,212.374583,0.155369,0.344044,11.352238,29.009320,7.076954
baseline_spatial_system,9,2,195.151401,0.193098,0.342576,12.909420,35.693799,5.318375
baseline_spatial_system,9,3,251.248133,0.245754,0.369888,22.838785,43.975780,5.586299
baseline_spatial_system,9,4,217.646422,0.319240,0.413251,28.713272,53.255311,4.011523
baseline_spatial_system,9,5,280.603946,0.421799,0.446292,52.822452,61.526451,4.487764
baseline_spatial_system,9,6,264.071669,0.564931,0.453234,67.614463,65.669757,3.960891
baseline_spatial_system,9,7,302.659259,0.764688,0.443312,102.600018,63.980858,4.657668
baseline_spatial_system,9,8,326.657567,1.000000,0.442076,144.407332,58.117153,5.525597
baseline_spatial_system,9,9,327.099940,0.788574,0.467487,120.584708,51.174164,6.269385
baseline_spatial_system,9,10,387.120746,0.582046,0.512685,115.519287,45.182681,8.382379
baseline_spatial_system,9,11,358.962397,0.434062,0.551173,85.879436,40.845807,8.578217
baseline_spatial_system,9,12,420.607221,0.328027,0.559711,77.223686,38.275490,10.709153
baseline_spatial_system,9,13,385.116612,0.252050,0.538266,52.248695,37.564325,9.986344
baseline_spatial_system,9,14,405.686529,0.197610,0.509225,40.823341,39.125049,10.110555
baseline_spatial_system,9,15,386.151785,0.158602,0.496618,30.415025,44.087493,8.564499
baseline_spatial_system,9,16,352.495290,0.130651,0.504218,23.221247,55.271365,6.264204
baseline_spatial_system,9,17,363.007154,0.110624,0.512893,20.596379,80.316781,4.464111
baseline_spatial_system,9,18,295.850724,0.096274,0.499609,14.230156,143.862810,2.042282
baseline_spatial_system,9,19,322.890139,0.085991,0.460076,12.774324,337.620248,0.953546
baseline_spatial_system,9,20,258.012579,0.078623,0.413816,8.394609,661.544933,0.389427
baseline_spatial_system,9,21,271.414307,0.073344,0.386933,7.702556,335.601071,0.806338
baseline_spatial_system,9,22,240.451429,0.069562,0.388524,6.498533,139.760503,1.708231
baseline_spatial_system,9,23,218.881109,0.066851,0.402528,5.889972,74.001991,2.918337
baseline_spatial_system,9,24,231.327544,0.064909,0.402573,6.044733,46.545584,4.865384
baseline_spatial_system,9,25,178.819249,0.063518,0.376237,4.273361,32.674988,5.310150
baseline_spatial_system,10,1,191.817983,0.142085,0.333850,9.098900,25.834576,7.148165
baseline_spatial_system,10,2,240.903885,0.174559,0.360674,15.167040,30.612129,7.620616
baseline_spatial_system,10,3,207.819745,0.219880,0.403669,18.445797,36.031605,5.611956
baseline_spatial_system,10,4,267.567708,0.283130,0.436547,33.071272,41.592246,6.282076
baseline_spatial_system,10,5,260.971306,0.371403,0.443658,43.001819,46.332541,5.513571
baseline_spatial_system,10,6,280.829994,0.494598,0.434432,60.341806,49.126107,5.602470
baseline_spatial_system,10,7,331.116598,0.666531,0.434712,95.940767,49.411589,6.568263
baseline_spatial_system,10,8,312.525827,0.906482,0.462889,131.135885,47.638614,6.425467
baseline_spatial_system,10,9,387.120746,0.906482,0.512685,179.910459,44.850154,8.443172
baseline_spatial_system,10,10,380.080207,0.666531,0.558245,141.422966,41.988512,8.841437
baseline_spatial_system,10,11,417.620704,0.494598,0.576558,119.090558,39.640413,10.275996
baseline_spatial_system,10,12,452.770661,0.371403,0.566412,95.248082,38.171206,11.558762
baseline_spatial_system,10,13,422.466880,0.283130,0.547052,65.434651,37.948253,10.846876
baseline_spatial_system,10,14,462.761373,0.219880,0.539510,54.896141,39.559126,11.409550
baseline_spatial_system,10,15,400.854860,0.174559,0.547487,38.309210,44.136609,8.880925
baseline_spatial_system,10,16,398.224980,0.142085,0.553733,31.331209,54.115937,7.225224
baseline_spatial_system,10,17,373.437066,0.118816,0.536880,23.821634,75.336492,4.891986
baseline_spatial_system,10,18,317.344227,0.102144,0.493545,15.998158,123.075755,2.557665
baseline_spatial_system,10,19,336.714313,0.090197,0.443645,13.473843,230.117208,1.456898
baseline_spatial_system,10,20,266.617827,0.081637,0.413429,8.998678,337.327196,0.788047
baseline_spatial_system,10,21,279.223640,0.075504,0.412028,8.686571,228.001675,1.219308
baseline_spatial_system,10,22,251.149847,0.071109,0.423372,7.561000,118.777231,2.096808
baseline_spatial_system,10,23,217.118930,0.067960,0.421061,6.212924,68.722560,3.114041
baseline_spatial_system,10,24,241.716383,0.065704,0.392644,6.235824,44.994427,5.255341
baseline_spatial_system,10,25,181.155310,0.064087,0.351004,4.075039,32.263866,5.446009
baseline_spatial_system,11,1,182.942108,0.130651,0.350360,8.374164,23.356810,7.510922
baseline_spatial_system,11,2,221.010897,0.158602,0.392534,13.759377,27.009557,7.890553
baseline_spatial_system,11,3,261.480801,0.197610,0.424631,21.941178,30.977986,8.176900
baseline_spatial_system,11,4,254.401084,0.252050,0.431065,27.640647,34.960512,7.074457
baseline_spatial_system,11,5,248.948430,0.328027,0.421371,34.409943,38.499715,6.302537
baseline_spatial_system,11,6,296.060788,0.434062,0.421564,54.174715,41.120289,7.028935
baseline_spatial_system,11,7,347.560980,0.582046,0.450325,91.099108,42.551492,7.980461
baseline_spatial_system,11,8,352.551458,0.788574,0.501869,139.525980,42.846663,8.040554
baseline_spatial_system,11,9,358.962397,1.000000,0.551173,197.850555,42.289921,8.292055
baseline_spatial_system,11,10,417.620704,0.764688,0.576558,184.123455,41.229221,9.889377
baseline_spatial_system,11,11,478.772073,0.564931,0.578379,156.436136,40.012795,11.673724
baseline_spatial_system,11,12,484.605611,0.421799,0.575617,117.659575,39.026926,12.106990
baseline_spatial_system,11,13,470.780013,0.319240,0.583164,87.644918,38.749647,11.843627
baseline_spatial_system,11,14,481.730513,0.245754,0.597033,70.680966,39.809738,11.804303
baseline_spatial_system,11,15,478.746624,0.193098,0.601522,55.607792,43.125009,10.849780
baseline_spatial_system,11,16,420.495576,0.155369,0.580149,37.902340,50.225410,8.208730
baseline_spatial_system,11,17,359.013292,0.128335,0.531912,24.507310,63.828770,5.537870
baseline_spatial_system,11,18,349.677036,0.108964,0.477464,18.192446,88.028936,3.927678
baseline_spatial_system,11,19,347.484642,0.095084,0.443214,14.643933,122.777390,2.807335
baseline_spatial_system,11,20,298.934534,0.085139,0.438285,11.154794,143.261035,2.072178
baseline_spatial_system,11,21,249.050205,0.078013,0.446551,8.676096,120.545171,2.049034
baseline_spatial_system,11,22,251.528238,0.072907,0.441554,8.097265,83.482647,2.977277
baseline_spatial_system,11,23,261.353598,0.069248,0.410785,7.434494,56.810530,4.520865
baseline_spatial_system,11,24,223.882617,0.066627,0.367083,5.475612,40.514282,5.392906
baseline_spatial_system,11,25,183.094730,0.064748,0.336704,3.991637,30.460253,5.819875
baseline_spatial_system,12,1,196.098358,0.120810,0.380677,9.018482,21.529687,8.703998
baseline_spatial_system,12,2,200.563692,0.144867,0.411610,11.959390,24.585515,7.838955
baseline_spatial_system,12,3,214.180314,0.178442,0.416827,15.930590,27.906947,7.409303
baseline_spatial_system,12,4,237.930801,0.225299,0.405893,21.758117,31.351231,7.354614
baseline_spatial_system,12,5,270.421129,0.290693,0.404883,31.827704,34.716802,7.571258
baseline_spatial_system,12,6,308.427296,0.381958,0.432586,50.961370,37.783422,7.952555
baseline_spatial_system,12,7,348.022227,0.509329,0.483419,85.689819,40.353150,8.415858
baseline_spatial_system,12,8,385.922456,0.687089,0.532752,141.266263,42.251493,8.922755
baseline_spatial_system,12,9,420.607221,0.935173,0.559711,220.157116,43.309517,9.492480
baseline_spatial_system,12,10,452.770661,0.878731,0.566412,225.354583,43.419328,10.193100
baseline_spatial_system,12,11,484.605611,0.646646,0.575617,180.380068,42.683051,11.093676
baseline_spatial_system,12,12,516.259460,0.480350,0.607398,150.625759,41.508348,12.144896
baseline_spatial_system,12,13,531.394334,0.361194,0.648707,124.510616,40.529466,12.795598
baseline_spatial_system,12,14,503.605668,0.275815,0.657442,91.319996,40.452845,12.148881
baseline_spatial_system,12,15,463.249705,0.214638,0.629695,62.611231,41.994518,10.774622
baseline_spatial_system,12,16,429.381923,0.170803,0.574805,42.156041,45.927158,9.149966
baseline_spatial_system,12,17,402.489767,0.139394,0.514702,28.877187,53.049514,7.446686
baseline_spatial_system,12,18,378.734225,0.116888,0.475723,21.060057,63.533993,5.868755
baseline_spatial_system,12,19,354.008045,0.100762,0.466802,16.651112,74.742064,4.673863
baseline_spatial_system,12,20,325.717841,0.089207,0.471658,13.704712,79.399913,4.051221
baseline_spatial_system,12,21,293.616700,0.080928,0.463723,11.018890,72.377423,4.001458
baseline_spatial_system,12,22,259.787605,0.074996,0.430403,8.385500,58.691598,4.352164
baseline_spatial_system,12,23,227.872644,0.070745,0.384473,6.198009,45.510793,4.899350
baseline_spatial_system,12,24,201.815541,0.067699,0.352139,4.811170,35.385348,5.546616
baseline_spatial_system,12,25,184.518785,0.065517,0.348766,4.216240,28.088149,6.343435
baseline_spatial_system,13,1,220.550332,0.112340,0.398337,9.869419,20.233557,10.386877
baseline_spatial_system,13,2,242.938055,0.133046,0.402067,12.995588,23.034827,10.107752
baseline_spatial_system,13,3,263.920403,0.161944,0.389500,16.647328,26.184539,9.708474
baseline_spatial_system,13,4,282.892213,0.202274,0.386704,22.127873,29.675365,9.222130
baseline_spatial_system,13,5,300.123996,0.258559,0.412471,32.007701,33.487879,8.702304
baseline_spatial_system,13,6,316.789182,0.337112,0.461238,49.257191,37.574081,8.212488
baseline_spatial_system,13,7,334.836111,0.446741,0.508426,76.052926,41.786691,7.825707
baseline_spatial_system,13,8,356.730270,0.599741,0.533289,114.094782,45.739444,7.632317
baseline_spatial_system,13,9,385.116612,0.813269,0.538266,168.586557,48.714326,7.746592
baseline_spatial_system,13,10,422.466880,1.000000,0.547052,231.111553,49.898952,8.300110
baseline_spatial_system,13,11,470.780013,0.741586,0.583164,203.596546,49.009535,9.413805
baseline_spatial_system,13,12,531.394334,0.548377,0.648707,189.036297,46.669734,11.147416
baseline_spatial_system,13,13,604.950003,0.409938,0.722877,179.267538,44.025022,13.435862
baseline_spatial_system,13,14,548.169423,0.310741,0.681369,116.063647,42.105308,12.716982
baseline_spatial_system,13,15,501.225013,0.239664,0.618459,74.292763,41.564137,11.775759
baseline_spatial_system,13,16,460.946227,0.188735,0.552530,48.068261,42.727638,10.541302
