scenario,cell_id,x,y,population,hazard,vulnerability,risk_score,accessibility,nearest_service,nearest_distance,service_gap_score,priority_zone
baseline_spatial_system,baseline_spatial_system_cell_1_22,1,22,176,0.104022,0.390194,7.143631,15.688979,clinic_b,8.246211,10.545882,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_1_23,1,23,175,0.039918,0.28288,1.976094,14.588956,clinic_b,8.544004,11.225896,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_1_24,1,24,175,0.026797,0.412318,1.93352,13.418726,clinic_b,8.944272,12.136995,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_1_25,1,25,180,0.079712,0.297407,4.267252,12.248276,clinic_b,9.433981,13.586674,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_1,2,1,154,0.382278,0.315506,18.574086,30.286878,clinic_a,5.830952,4.922191,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_2,2,2,172,0.447713,0.282447,21.750321,39.501732,clinic_a,5.0,4.246732,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_3,2,3,199,0.60097,0.415833,49.730694,52.589859,clinic_a,4.242641,3.713389,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_4,2,4,171,0.860523,0.34467,50.717916,69.86491,clinic_a,3.605551,2.413042,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_5,2,5,202,0.978125,0.258706,51.115496,87.779733,clinic_a,3.162278,2.275294,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_6,2,6,225,0.78809,0.340125,60.311009,96.371401,clinic_a,3.0,2.31074,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_7,2,7,226,0.504209,0.338159,38.533652,88.631258,clinic_a,3.162278,2.521442,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_8,2,8,240,0.472348,0.439685,49.844291,71.578557,clinic_a,3.605551,3.306762,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_9,2,9,213,0.256333,0.41672,22.752457,55.187797,clinic_a,4.242641,3.790859,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_10,2,10,205,0.214703,0.404964,17.824087,43.019413,clinic_a,5.0,4.657036,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_11,2,11,193,0.144285,0.366882,10.216545,34.774897,clinic_a,5.830952,5.394844,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_12,2,12,164,0.198895,0.33457,10.913278,29.36945,clinic_a,6.708204,5.400164,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_13,2,13,242,0.127276,0.318289,9.803543,25.902681,clinic_a,7.615773,8.995386,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_14,2,14,266,0.083968,0.409682,9.150476,23.761816,clinic_a,8.544004,10.742346,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_15,2,15,195,0.107581,0.310497,6.513686,22.537821,clinic_b,8.602325,8.284539,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_16,2,16,221,0.118159,0.382842,9.997187,21.934387,clinic_b,8.062258,9.636185,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_17,2,17,183,0.017784,0.337406,1.098068,21.700598,clinic_b,7.615773,8.061462,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_18,2,18,266,0.11814,0.433862,13.63424,21.592917,clinic_b,7.28011,11.773601,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_19,2,19,211,0.045997,0.273421,2.653645,21.374463,clinic_b,7.071068,9.430394,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_20,2,20,241,0.016795,0.352891,1.428399,20.853609,clinic_b,7.0,11.027927,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_21,2,21,150,0.012975,0.401403,0.781242,19.93817,clinic_b,7.071068,7.16395,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_22,2,22,187,0.06038,0.352725,3.98263,18.659289,clinic_b,7.28011,9.512043,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_23,2,23,167,0.034204,0.410755,2.346279,17.139485,clinic_b,7.615773,9.206436,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_2_24,2,24,159,0.066433,0.375885,3.970443,15.528612,clinic_b,8.062258,9.619682,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_2_25,2,25,177,0.025369,0.286079,1.284587,13.951334,clinic_b,8.602325,11.838408,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_3_1,3,1,210,0.287142,0.332847,20.070621,34.895197,clinic_a,5.385165,5.850365,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_2,3,2,179,0.34189,0.281208,17.209425,48.10788,clinic_a,4.472136,3.645036,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_3,3,3,169,0.484494,0.287538,23.54345,69.917533,clinic_a,3.605551,2.38305,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_4,3,4,221,0.646147,0.377148,53.856175,106.039914,clinic_a,2.828427,2.06465,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_5,3,5,207,0.993038,0.272626,56.040694,156.477229,clinic_a,2.236068,1.314476,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_6,3,6,261,0.833759,0.399723,86.984126,186.947273,clinic_a,2.0,1.388687,high_risk
baseline_spatial_system,baseline_spatial_system_cell_3_7,3,7,217,0.689212,0.387368,57.934354,157.455652,clinic_a,2.236068,1.369468,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_8,3,8,234,0.470123,0.436853,48.057659,108.011041,clinic_a,2.828427,2.146572,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_9,3,9,233,0.307848,0.372195,26.697,72.91201,clinic_a,3.605551,3.152397,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_10,3,10,217,0.263077,0.384469,21.948483,52.176688,clinic_a,4.472136,4.080736,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_11,3,11,232,0.270182,0.314596,19.71961,40.114955,clinic_a,5.385165,5.642716,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_12,3,12,202,0.157286,0.365179,11.602396,32.993792,clinic_a,6.324555,5.942261,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_13,3,13,252,0.100907,0.38786,9.862686,28.80277,clinic_a,7.28011,8.45559,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_14,3,14,225,0.106574,0.353027,8.465273,26.469918,clinic_a,8.246211,8.190778,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_15,3,15,237,0.093264,0.467183,10.32642,25.39252,clinic_b,7.81025,8.979817,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_16,3,16,289,0.094764,0.301182,8.248372,25.181004,clinic_b,7.211103,11.038538,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_3_17,3,17,275,0.136862,0.471258,17.73673,25.505134,clinic_b,6.708204,10.375348,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_3_18,3,18,221,0.116591,0.313191,8.069889,26.000257,clinic_b,6.324555,8.185107,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_19,3,19,197,0.058692,0.284887,3.293953,26.24966,clinic_b,6.082763,7.229448,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_20,3,20,209,0.053049,0.462989,5.133224,25.876578,clinic_b,6.0,7.776288,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_21,3,21,196,0.060026,0.343056,4.036113,24.704998,clinic_b,6.082763,7.624976,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_22,3,22,237,0.118766,0.450012,12.666682,22.841507,clinic_b,6.324555,9.940647,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_3_23,3,23,149,0.021361,0.302836,0.963867,20.583096,clinic_b,6.708204,6.903551,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_24,3,24,166,0.118241,0.352104,6.911107,18.243157,clinic_b,7.211103,8.626443,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_3_25,3,25,134,0.00829,0.346167,0.384541,16.039475,clinic_b,7.81025,7.864092,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_1,4,1,168,0.262239,0.405538,17.866414,38.580273,clinic_a,5.09902,4.244539,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_2,4,2,221,0.291383,0.279929,18.026207,55.65114,clinic_a,4.123106,3.901069,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_3,4,3,246,0.464645,0.38597,44.117374,87.904122,clinic_a,3.162278,2.767026,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_4,4,4,202,0.655646,0.308646,40.877182,156.552773,clinic_a,2.236068,1.28211,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_5,4,5,222,0.837271,0.391948,72.852987,307.05383,clinic_a,1.414214,0.720653,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_6,4,6,189,0.998241,0.463713,87.487534,457.592887,clinic_a,1.0,0.41213,high_risk
baseline_spatial_system,baseline_spatial_system_cell_4_7,4,7,243,0.694831,0.428525,72.353893,308.176521,clinic_a,1.414214,0.785959,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_8,4,8,237,0.560908,0.353349,46.972575,158.815775,clinic_a,2.236068,1.482957,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_9,4,9,267,0.382095,0.451018,46.012627,91.346453,clinic_a,3.162278,2.891286,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_10,4,10,274,0.366411,0.506048,50.805588,60.34072,clinic_a,4.123106,4.466853,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_11,4,11,266,0.185486,0.354187,17.475313,44.624974,clinic_a,5.09902,5.83014,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_12,4,12,252,0.232311,0.490384,28.708228,36.118059,clinic_a,6.082763,6.789148,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_13,4,13,316,0.135061,0.347095,14.813791,31.482568,clinic_a,7.071068,9.728295,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_4_14,4,14,277,0.138404,0.511977,19.628058,29.213002,clinic_b,7.81025,9.168238,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_15,4,15,220,0.125053,0.313121,8.614498,28.577117,clinic_b,7.071068,7.438183,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_16,4,16,258,0.11298,0.494615,14.417438,29.161768,clinic_b,6.403124,8.553875,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_17,4,17,223,0.040028,0.323731,2.8897,30.60681,clinic_b,5.830952,7.055442,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_18,4,18,260,0.049816,0.414316,5.366307,32.39319,clinic_b,5.385165,7.786019,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_19,4,19,246,0.098391,0.326006,7.890701,33.734687,clinic_b,5.09902,7.082258,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_20,4,20,205,0.067421,0.457839,6.327922,33.7728,clinic_b,5.0,5.895413,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_21,4,21,195,0.107836,0.286531,6.02518,32.093017,clinic_b,5.09902,5.892482,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_22,4,22,183,0.004942,0.413626,0.374083,29.034822,clinic_b,5.385165,6.092928,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_23,4,23,202,0.07969,0.303318,4.882623,25.369761,clinic_b,5.830952,7.660289,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_24,4,24,184,0.053641,0.244698,2.415172,21.769556,clinic_b,6.403124,8.080966,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_4_25,4,25,147,0.010691,0.411615,0.646874,18.586447,clinic_b,7.071068,7.50519,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_1,5,1,210,0.273925,0.357131,20.543746,40.24685,clinic_a,5.0,5.091298,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_2,5,2,174,0.260292,0.274772,12.444661,59.034187,clinic_a,4.0,2.898349,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_3,5,3,181,0.434,0.430595,33.824972,96.591483,clinic_a,3.0,1.85467,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_4,5,4,259,0.580238,0.310087,46.600355,187.128005,clinic_a,2.0,1.376722,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_5,5,5,219,0.752855,0.454845,74.992586,457.704265,clinic_a,1.0,0.477432,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_6,5,6,241,0.96881,0.412252,96.253877,908.323592,clinic_a,0.0,0.265032,high_risk
baseline_spatial_system,baseline_spatial_system_cell_5_7,5,7,272,0.882553,0.493378,118.437643,458.992704,clinic_a,1.0,0.591314,high_risk
baseline_spatial_system,baseline_spatial_system_cell_5_8,5,8,297,0.655328,0.484036,94.209013,189.724293,clinic_a,2.0,1.557222,high_risk
baseline_spatial_system,baseline_spatial_system_cell_5_9,5,9,300,0.439712,0.502737,66.317856,100.540581,clinic_a,3.0,2.954484,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_10,5,10,274,0.382773,0.496962,52.121305,64.419159,clinic_a,4.0,4.188375,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_11,5,11,281,0.299775,0.351627,29.619904,47.208452,clinic_a,5.0,5.828853,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_12,5,12,260,0.251756,0.505444,33.084679,38.294426,clinic_a,6.0,6.616715,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_13,5,13,287,0.160636,0.396039,18.258343,33.730188,clinic_a,7.0,8.263704,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_14,5,14,323,0.170963,0.379244,20.942305,31.886306,clinic_b,7.211103,9.821717,high_service_gap
baseline_spatial_system,baseline_spatial_system_cell_5_15,5,15,290,0.093505,0.502879,13.636314,32.088107,clinic_b,6.403124,8.764479,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_16,5,16,270,0.154801,0.379974,15.881504,34.078658,clinic_b,5.656854,7.696988,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_17,5,17,243,0.145521,0.423817,14.986843,37.664004,clinic_b,5.0,6.284916,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_18,5,18,230,0.132616,0.330821,10.090577,42.250322,clinic_b,4.472136,5.31788,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_19,5,19,255,0.129768,0.35123,11.622531,46.29316,clinic_b,4.123106,5.3919,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_20,5,20,227,0.023229,0.375032,1.977546,47.484998,clinic_b,4.0,4.681861,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_21,5,21,216,0.080069,0.380302,6.577257,44.566691,clinic_b,4.123106,4.740305,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_22,5,22,188,0.051471,0.383389,3.709884,38.72031,clinic_b,4.472136,4.733095,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_23,5,23,199,0.003963,0.44357,0.349812,32.164011,clinic_b,5.0,6.000481,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_24,5,24,231,0.067308,0.393169,6.113085,26.324234,clinic_b,5.656854,8.454034,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_5_25,5,25,182,0.045637,0.254624,2.114894,21.621682,clinic_b,6.403124,8.045379,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_1,6,1,152,0.229277,0.312164,10.878967,39.386213,clinic_a,5.09902,3.763661,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_2,6,2,179,0.29511,0.315757,16.679793,56.58292,clinic_a,4.123106,3.108561,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_3,6,3,252,0.328434,0.347606,28.769737,88.976391,clinic_a,3.162278,2.800735,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_4,6,4,201,0.421844,0.360861,30.597628,157.779249,clinic_a,2.236068,1.265908,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_5,6,5,242,0.680257,0.423583,69.731232,308.446499,clinic_a,1.414214,0.782041,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_6,6,6,270,0.828004,0.409388,91.523137,459.161628,clinic_a,1.0,0.58675,high_risk
baseline_spatial_system,baseline_spatial_system_cell_6_7,6,7,234,0.904886,0.368939,78.120393,309.929843,clinic_a,1.414214,0.752581,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_8,6,8,237,0.726909,0.416022,71.671241,160.763616,clinic_a,2.236068,1.465101,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_9,6,9,292,0.517618,0.376465,56.900692,93.506349,clinic_a,3.162278,3.08974,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_10,6,10,235,0.428394,0.377008,37.954361,62.749084,clinic_a,4.123106,3.686327,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_11,6,11,306,0.248688,0.453497,34.510429,47.356203,clinic_a,5.09902,6.32804,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_12,6,12,287,0.269113,0.505343,39.030328,39.316412,clinic_a,6.082763,7.118689,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_13,6,13,287,0.203192,0.40167,23.423805,35.416446,clinic_a,7.071068,7.881055,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_14,6,14,304,0.117125,0.450143,16.02778,34.369729,clinic_b,6.708204,8.59492,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_15,6,15,302,0.16484,0.364972,18.168886,35.827169,clinic_b,5.830952,8.200467,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_16,6,16,258,0.068381,0.48234,8.509647,40.016469,clinic_b,5.0,6.290156,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_17,6,17,296,0.091604,0.382522,10.372052,47.482813,clinic_b,4.242641,6.105256,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_18,6,18,265,0.113245,0.477034,14.31572,58.300405,clinic_b,3.605551,4.468772,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_19,6,19,252,0.029363,0.396586,2.93454,69.809599,clinic_b,3.162278,3.55884,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_20,6,20,270,0.07403,0.309844,6.193175,74.748745,clinic_b,3.0,3.564415,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_21,6,21,286,0.038412,0.457787,5.029234,68.008711,clinic_b,3.162278,4.144404,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_22,6,22,175,0.086206,0.47435,7.156073,54.623094,clinic_b,3.605551,3.146175,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_23,6,23,220,0.075823,0.455935,7.605462,41.766789,clinic_b,4.242641,5.144179,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_24,6,24,224,0.089443,0.356648,7.145536,31.986477,clinic_b,5.0,6.790662,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_6_25,6,25,167,0.101911,0.355699,6.053696,25.044431,clinic_b,5.830952,6.412119,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_1,7,1,226,0.185696,0.303184,12.723794,36.515565,clinic_a,5.385165,6.024166,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_2,7,2,179,0.209333,0.389368,14.589835,49.985691,clinic_a,4.472136,3.510789,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_3,7,3,218,0.325951,0.328079,23.312427,72.084052,clinic_a,3.605551,2.982867,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_4,7,4,196,0.359236,0.342432,24.11074,108.524586,clinic_a,2.828427,1.789553,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_5,7,5,237,0.553196,0.325812,42.716316,159.305608,clinic_a,2.236068,1.478426,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_6,7,6,276,0.709337,0.450346,88.167453,190.13958,clinic_a,2.0,1.443971,high_risk
baseline_spatial_system,baseline_spatial_system_cell_7_7,7,7,266,1.0,0.433812,115.393903,161.027337,clinic_a,2.236068,1.641698,high_risk
baseline_spatial_system,baseline_spatial_system_cell_7_8,7,8,275,0.803162,0.380309,83.998688,111.977445,clinic_a,2.828427,2.434114,high_risk
baseline_spatial_system,baseline_spatial_system_cell_7_9,7,9,251,0.60983,0.491053,75.164238,77.299861,clinic_a,3.605551,3.205625,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_10,7,10,338,0.489549,0.516673,85.49265,57.045918,clinic_a,4.472136,5.822976,high_risk
baseline_spatial_system,baseline_spatial_system_cell_7_11,7,11,321,0.319323,0.52355,53.665252,45.595947,clinic_a,5.385165,6.889011,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_12,7,12,332,0.300973,0.569609,56.917094,39.34938,clinic_a,6.324555,8.228131,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_13,7,13,296,0.20781,0.501688,30.859718,36.534712,clinic_a,7.28011,7.886034,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_14,7,14,350,0.128408,0.422807,19.002208,36.51242,clinic_b,6.324555,9.330243,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_15,7,15,317,0.113381,0.508683,18.283046,39.482357,clinic_b,5.385165,7.830572,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_16,7,16,314,0.100858,0.396563,12.558891,46.579133,clinic_b,4.472136,6.599532,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_17,7,17,286,0.112174,0.357342,11.46415,60.315907,clinic_b,3.605551,4.664369,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_18,7,18,286,0.074155,0.451821,9.582303,84.691226,clinic_b,2.828427,3.337565,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_19,7,19,304,0.035539,0.417629,4.511959,119.620547,clinic_b,2.236068,2.5203,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_20,7,20,260,0.019831,0.387377,1.997315,140.283859,clinic_b,2.0,1.840267,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_21,7,21,245,0.101233,0.373962,9.275063,117.750947,clinic_b,2.236068,2.063141,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_22,7,22,248,0.097325,0.451672,10.901773,80.88066,clinic_b,2.828427,3.028798,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_23,7,23,214,0.007401,0.381043,0.603541,54.41285,clinic_b,3.605551,3.86192,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_24,7,24,214,0.123626,0.331828,8.778797,38.331326,clinic_b,4.472136,5.440956,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_7_25,7,25,168,0.080816,0.402192,5.460625,28.497274,clinic_b,5.385165,5.695442,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_8_1,8,1,163,0.224757,0.296017,10.844671,32.738045,clinic_a,5.830952,4.831341,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_8_2,8,2,223,0.169785,0.401421,15.198604,42.353792,clinic_a,5.0,5.143725,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_8_3,8,3,223,0.283491,0.323522,20.452594,55.895124,clinic_a,4.242641,3.919492,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_8_4,8,4,222,0.321329,0.414799,29.589724,73.673317,clinic_a,3.605551,2.97295,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_8_5,8,5,209,0.510101,0.330659,35.251964,92.134577,clinic_a,3.162278,2.244065,standard_monitoring
baseline_spatial_system,baseline_spatial_system_cell_8_6,8,6,294,0.599618,0.32816,57.850622,101.305269,clinic_a,3.0,2.873752,standard_monitoring
