time,demand,capacity,effective_capacity,pressure,slack,burnout,attrition,served,unmet_need,backlog,access_gap,trust,surge_active
43,  106.405000,  111.778342,  112.166086,    0.951929,    0.048071,    0.033476,    0.112255,  106.405000,    0.000000,    0.000000,   19.152900,    0.637986,0
44,  106.740000,  112.166086,  112.559139,    0.951625,    0.048375,    0.031782,    0.106947,  106.740000,    0.000000,    0.000000,   19.213200,    0.637846,0
45,  107.075000,  112.559139,  112.957575,    0.951278,    0.048722,    0.030077,    0.101564,  107.075000,    0.000000,    0.000000,   19.273500,    0.637711,1
46,  125.410000,  112.957575,  112.078655,    1.110240,    0.000000,    0.039448,    0.133677,  112.078655,   13.331345,   13.331345,   35.905145,    0.634361,1
47,  126.811508,  112.078655,  110.935164,    1.131451,    0.000000,    0.050621,    0.170206,  110.935164,   15.876343,   29.207688,   38.702414,    0.630511,1
48,  128.416615,  110.935164,  109.473973,    1.157583,    0.000000,    0.064015,    0.213047,  109.473973,   18.942643,   48.150330,   42.057633,    0.626049,1
49,  130.267026,  109.473973,  107.631404,    1.189936,    0.000000,    0.080160,    0.263263,  107.631404,   22.635622,   70.785953,   46.083687,    0.620835,1
50,  132.412876,  107.631404,  105.331232,    1.230244,    0.000000,    0.099731,    0.322025,  105.331232,   27.081644,   97.867597,   50.915962,    0.614692,1
51,  134.914408,  105.331232,  102.482335,    1.280859,    0.000000,    0.123604,    0.390580,  102.482335,   32.432073,  130.299670,   56.716666,    0.607394,1
52,  137.843974,  102.482335,   98.975983,    1.345051,    0.000000,    0.152933,    0.470188,   98.975983,   38.867991,  169.167660,   63.679906,    0.598645,1
53,  141.288413,   98.975983,   94.682742,    1.427502,    0.000000,    0.189271,    0.561998,   94.682742,   46.605671,  215.773331,   72.037585,    0.588055,1
54,  145.351866,   94.682742,   89.449003,    1.535146,    0.000000,    0.234758,    0.666826,   89.449003,   55.902863,  271.676194,   82.066199,    0.575094,1
55,  150.159096,   89.449003,   83.093217,    1.678712,    0.000000,    0.292449,    0.784777,   83.093217,   67.065879,  338.742073,   94.094516,    0.559013,1
56,  155.859366,   83.093217,   75.402033,    1.875717,    0.000000,    0.366885,    0.914569,   75.402033,   80.457333,  419.199406,  108.512018,    0.538714,1
57,  162.630952,   75.402033,   66.126792,    2.156851,    0.000000,    0.465217,    1.052349,   66.126792,   96.504160,  515.703566,  125.777732,    0.512483,1
58,  170.686285,   66.126792,   54.981317,    2.581197,    0.000000,    0.599619,    1.189526,   54.981317,  115.704968,  631.408534,  146.428500,    0.477428,1
59,  180.277683,   54.981317,   41.643140,    3.278890,    0.000000,    0.793324,    1.308541,   41.643140,  138.634543,  770.043077,  171.084526,    0.428054,1
60,  191.703446,   41.643140,   25.763360,    4.603482,    0.000000,    1.099620,    1.373749,   25.763360,  165.940086,  935.983163,  200.446706,    0.351802,1
61,  205.313653,   25.763360,    7.000580,    7.969211,    0.000000,    1.692003,    1.307751,    7.000580,  198.313073, 1134.296236,  235.269530,    0.207834,1
62,  221.513699,    7.000580,    0.000000,   31.642192,    0.000000,    4.296590,    0.902359,    0.000000,  221.513699, 1355.809935,  261.386165,    0.000000,1
63,  239.569795,    0.000000,    0.500000,  239.569795,    0.000000,   24.575022,    0.000000,    0.500000,  239.069795, 1594.879730,  282.192358,    0.000000,1
64,  259.030378,    0.500000,    0.000000,  259.030378,    0.000000,   46.507604,    0.697614,    0.000000,  259.030378, 1853.910108,  305.655846,    0.000000,1
65,  280.087809,    0.000000,    0.500000,  280.087809,    0.000000,   70.230068,    0.000000,    0.500000,  279.587809, 2133.497917,  330.003614,    0.000000,1
66,  302.789833,    0.500000,    0.000000,  302.789833,    0.000000,   95.882204,    1.438233,    0.000000,  302.789833, 2436.287750,  357.292003,    0.000000,0
67,  309.348020,    0.000000,    0.500000,  309.348020,    0.000000,  122.091786,    0.000000,    0.500000,  308.848020, 2745.135770,  364.530664,    0.000000,0
68,  334.390862,    0.500000,    0.000000,  334.390862,    0.000000,  150.430009,    2.256450,    0.000000,  334.390862, 3079.526632,  394.581217,    0.000000,0
69,  361.477131,    0.000000,    0.500000,  361.477131,    0.000000,  181.070565,    0.000000,    0.500000,  360.977131, 3440.503762,  426.043014,    0.000000,0
70,  390.690301,    0.500000,    0.000000,  390.690301,    0.000000,  214.194240,    3.212914,    0.000000,  390.690301, 3831.194063,  461.014555,    0.000000,0
71,  422.280525,    0.000000,    0.500000,  422.280525,    0.000000,  250.003085,    0.000000,    0.500000,  421.780525, 4252.974588,  497.791020,    0.000000,0
72,  456.357967,    0.500000,    0.000000,  456.357967,    0.000000,  288.708512,    4.330628,    0.000000,  456.357967, 4709.332555,  538.502401,    0.000000,0
73,  493.201604,    0.000000,    0.500000,  493.201604,    0.000000,  330.545649,    0.000000,    0.500000,  492.701604, 5202.034159,  581.477893,    0.000000,0
74,  532.952733,    0.500000,    0.000000,  532.952733,    0.000000,  375.761631,    5.636424,    0.000000,  532.952733, 5734.986892,  628.884225,    0.000000,0
75,  575.923951,    0.000000,    0.500000,  575.923951,    0.000000,  424.630167,    0.000000,    0.500000,  575.423951, 6310.410844,  679.090263,    0.000000,0
76,  622.292867,    0.500000,    0.000000,  622.292867,    0.000000,  477.440061,    7.161601,    0.000000,  622.292867, 6932.703711,  734.305584,    0.000000,0
77,  672.411297,    0.000000,    0.500000,  672.411297,    0.000000,  534.510021,    0.000000,    0.500000,  671.911297, 7604.615008,  792.945330,    0.000000,0
78,  726.499201,    0.500000,    0.000000,  726.499201,    0.000000,  596.177453,    8.942662,    0.000000,  726.499201, 8331.114209,  857.269057,    0.000000,0
79,  784.954137,    0.000000,    0.500000,  784.954137,    0.000000,  662.813554,    0.000000,    0.500000,  784.454137, 9115.568345,  925.745881,    0.000000,0
80,  848.045468,    0.500000,    0.000000,  848.045468,    0.000000,  734.812419,   11.022186,    0.000000,  848.045468, 9963.613813, 1000.693652,    0.000000,0
81,  916.224105,    0.000000,    0.500000,  916.224105,    0.000000,  812.606468,    0.000000,    0.500000,  915.724105,10879.337918, 1080.644444,    0.000000,0
82,  989.817033,    0.500000,    0.000000,  989.817033,    0.000000,  896.655916,   13.449839,    0.000000,  989.817033,11869.154951, 1167.984099,    0.000000,0
83, 1069.337396,    0.000000,    0.500000, 1069.337396,    0.000000,  987.464595,    0.000000,    0.500000, 1068.837396,12937.992348, 1261.318127,    0.000000,0
84, 1155.179388,    0.500000,    0.000000, 1155.179388,    0.000000, 1085.569843,   16.283548,    0.000000, 1155.179388,14093.171735, 1363.111678,    0.000000,0
85, 1247.928739,    0.000000,    0.500000, 1247.928739,    0.000000, 1191.558785,    0.000000,    0.500000, 1247.428739,15340.600474, 1472.055912,    0.000000,0
86, 1348.058038,    0.500000,    0.000000, 1348.058038,    0.000000, 1306.058719,   19.590881,    0.000000, 1348.058038,16688.658512, 1590.708485,    0.000000,0
87, 1456.237681,    0.000000,    0.500000, 1456.237681,    0.000000, 1429.753921,    0.000000,    0.500000, 1455.737681,18144.396193, 1717.860464,    0.000000,0
88, 1573.031695,    0.500000,    0.000000, 1573.031695,    0.000000, 1563.376616,   23.450649,    0.000000, 1573.031695,19717.427889, 1856.177401,    0.000000,0
89, 1699.209231,    0.000000,    0.500000, 1699.209231,    0.000000, 1707.724400,    0.000000,    0.500000, 1698.709231,21416.137120, 2004.566893,    0.000000,0
90, 1835.440970,    0.500000,    0.000000, 1835.440970,    0.000000, 1863.651883,   27.954778,    0.000000, 1835.440970,23251.578089, 2165.820344,    0.000000,0
91, 1982.611247,    0.000000,    0.500000, 1982.611247,    0.000000, 2032.088839,    0.000000,    0.500000, 1982.111247,25233.689336, 2338.981272,    0.000000,0
92, 2141.515147,    0.500000,    0.000000, 2141.515147,    0.000000, 2214.032626,   33.210489,    0.000000, 2141.515147,27375.204483, 2526.987873,    0.000000,0
93, 2313.171359,    0.000000,    0.500000, 2313.171359,    0.000000, 2410.567192,    0.000000,    0.500000, 2312.671359,29687.875842, 2729.042203,    0.000000,0
94, 2498.520067,    0.500000,    0.000000, 2498.520067,    0.000000, 2622.856397,   39.342846,    0.000000, 2498.520067,32186.395909, 2948.253679,    0.000000,0
95, 2698.736673,    0.000000,    0.500000, 2698.736673,    0.000000, 2852.164015,    0.000000,    0.500000, 2698.236673,34884.632582, 3184.009274,    0.000000,0
96, 2914.930607,    0.500000,    0.000000, 2914.930607,    0.000000, 3099.848116,   46.497722,    0.000000, 2914.930607,37799.563189, 3439.618116,    0.000000,0
97, 3148.460055,    0.000000,    0.500000, 3148.460055,    0.000000, 3367.382221,    0.000000,    0.500000, 3147.960055,40947.523244, 3714.682865,    0.000000,0
98, 3400.631859,    0.500000,    0.000000, 3400.631859,    0.000000, 3656.350929,   54.845264,    0.000000, 3400.631859,44348.155103, 4012.745594,    0.000000,0
99, 3673.017408,    0.000000,    0.500000, 3673.017408,    0.000000, 3968.472409,    0.000000,    0.500000, 3672.517408,48020.672511, 4333.660542,    0.000000,0
100, 3967.153801,    0.500000,    0.000000, 3967.153801,    0.000000, 4305.595482,   64.583932,    0.000000, 3967.153801,51987.826312, 4681.241485,    0.000000,0
101, 4284.861105,    0.000000,    0.500000, 4284.861105,    0.000000, 4669.723676,    0.000000,    0.500000, 4284.361105,56272.187417, 5055.636104,    0.000000,0
102, 4627.944993,    0.500000,    0.000000, 4627.944993,    0.000000, 5063.014000,   75.945210,    0.000000, 4627.944993,60900.132411, 5460.975092,    0.000000,0
103, 4998.515593,    0.000000,    0.500000, 4998.515593,    0.000000, 5487.802825,    0.000000,    0.500000, 4998.015593,65898.148004, 5897.748400,    0.000000,0
104, 5398.691840,    0.500000,    0.000000, 5398.691840,    0.000000, 5946.606632,   89.199099,    0.000000, 5398.691840,71296.839844, 6370.456372,    0.000000,0
105, 5830.922188,    0.000000,    0.500000, 5830.922188,    0.000000, 6442.150018,    0.000000,    0.500000, 5830.422188,77127.262031, 6879.988181,    0.000000,0
106, 6297.690963,    0.500000,    0.000000, 6297.690963,    0.000000, 6977.368750,  104.660531,    0.000000, 6297.690963,83424.952994, 7431.275336,    0.000000,0
107, 6801.841240,    0.000000,    0.500000, 6801.841240,    0.000000, 7555.440255,    0.000000,    0.500000, 6801.341240,90226.294233, 8025.672663,    0.000000,0
108, 7346.283539,    0.500000,    0.000000, 7346.283539,    0.000000, 8179.789356,  122.696840,    0.000000, 7346.283539,97572.577772, 8668.614576,    0.000000,0
109, 7934.321222,    0.000000,    0.500000, 7934.321222,    0.000000, 8854.121660,    0.000000,    0.500000, 7933.821222,************, 9361.999042,    0.000000,0
110, 8569.361920,    0.500000,    0.000000, 8569.361920,    0.000000, 9582.432423,  143.736486,    0.000000, 8569.361920,************,10111.847065,    0.000000,0
111, 9255.245873,    0.000000,    0.500000, 9255.245873,    0.000000,10369.043322,    0.000000,    0.500000, 9254.745873,************,10920.690130,    0.000000,0
112, 9995.960543,    0.500000,    0.000000, 9995.960543,    0.000000,11218.614968,  168.279225,    0.000000, 9995.960543,************,11795.233441,    0.000000,0
113,10795.972386,    0.000000,    0.500000,10795.972386,    0.000000,12136.187621,    0.000000,    0.500000,10795.472386,************,12738.747416,    0.000000,0
114,11659.945177,    0.500000,    0.000000,11659.945177,    0.000000,13127.197961,  196.907969,    0.000000,11659.945177,************,13758.735309,    0.000000,0
115,12593.075791,    0.000000,    0.500000,12593.075791,    0.000000,14197.524403,    0.000000,    0.500000,12592.575791,************,14859.329434,    0.000000,0
116,13600.816855,    0.500000,    0.000000,13600.816855,    0.000000,15353.508836,  230.302633,    0.000000,13600.816855,************,16048.963889,    0.000000,0
117,14689.217203,    0.000000,    0.500000,14689.217203,    0.000000,16602.007298,    0.000000,    0.500000,14688.717203,************,17332.776300,    0.000000,0
118,15864.649579,    0.500000,    0.000000,15864.649579,    0.000000,17950.417512,  269.256263,    0.000000,15864.649579,************,18720.286504,    0.000000,0
119,17134.156546,    0.000000,    0.500000,17134.156546,    0.000000,19406.735819,    0.000000,    0.500000,17133.656546,************,20217.804724,    0.000000,0
