scenario,time,demand,capacity,effective_capacity,pressure,slack,burnout,attrition,served,unmet_need,backlog,trust,surge_active
baseline_health_system,60,191.703446,41.643140,25.763360,4.603482,0.000000,1.099620,1.373749,25.763360,165.940086,935.983163,0.351802,1
baseline_health_system,61,205.313653,25.763360,7.000580,7.969211,0.000000,1.692003,1.307751,7.000580,198.313073,1134.296236,0.207834,1
baseline_health_system,62,221.513699,7.000580,0.000000,31.642192,0.000000,4.296590,0.902359,0.000000,221.513699,1355.809935,0.000000,1
baseline_health_system,63,239.569795,0.000000,0.500000,239.569795,0.000000,24.575022,0.000000,0.500000,239.069795,1594.879730,0.000000,1
baseline_health_system,64,259.030378,0.500000,0.000000,259.030378,0.000000,46.507604,0.697614,0.000000,259.030378,1853.910108,0.000000,1
baseline_health_system,65,280.087809,0.000000,0.500000,280.087809,0.000000,70.230068,0.000000,0.500000,279.587809,2133.497917,0.000000,1
baseline_health_system,66,302.789833,0.500000,0.000000,302.789833,0.000000,95.882204,1.438233,0.000000,302.789833,2436.287750,0.000000,0
baseline_health_system,67,309.348020,0.000000,0.500000,309.348020,0.000000,122.091786,0.000000,0.500000,308.848020,2745.135770,0.000000,0
baseline_health_system,68,334.390862,0.500000,0.000000,334.390862,0.000000,150.430009,2.256450,0.000000,334.390862,3079.526632,0.000000,0
baseline_health_system,69,361.477131,0.000000,0.500000,361.477131,0.000000,181.070565,0.000000,0.500000,360.977131,3440.503762,0.000000,0
baseline_health_system,70,390.690301,0.500000,0.000000,390.690301,0.000000,214.194240,3.212914,0.000000,390.690301,3831.194063,0.000000,0
baseline_health_system,71,422.280525,0.000000,0.500000,422.280525,0.000000,250.003085,0.000000,0.500000,421.780525,4252.974588,0.000000,0
baseline_health_system,72,456.357967,0.500000,0.000000,456.357967,0.000000,288.708512,4.330628,0.000000,456.357967,4709.332555,0.000000,0
baseline_health_system,73,493.201604,0.000000,0.500000,493.201604,0.000000,330.545649,0.000000,0.500000,492.701604,5202.034159,0.000000,0
baseline_health_system,74,532.952733,0.500000,0.000000,532.952733,0.000000,375.761631,5.636424,0.000000,532.952733,5734.986892,0.000000,0
baseline_health_system,75,575.923951,0.000000,0.500000,575.923951,0.000000,424.630167,0.000000,0.500000,575.423951,6310.410844,0.000000,0
baseline_health_system,76,622.292867,0.500000,0.000000,622.292867,0.000000,477.440061,7.161601,0.000000,622.292867,6932.703711,0.000000,0
baseline_health_system,77,672.411297,0.000000,0.500000,672.411297,0.000000,534.510021,0.000000,0.500000,671.911297,7604.615008,0.000000,0
baseline_health_system,78,726.499201,0.500000,0.000000,726.499201,0.000000,596.177453,8.942662,0.000000,726.499201,8331.114209,0.000000,0
baseline_health_system,79,784.954137,0.000000,0.500000,784.954137,0.000000,662.813554,0.000000,0.500000,784.454137,9115.568345,0.000000,0
baseline_health_system,80,848.045468,0.500000,0.000000,848.045468,0.000000,734.812419,11.022186,0.000000,848.045468,9963.613813,0.000000,0
baseline_health_system,81,916.224105,0.000000,0.500000,916.224105,0.000000,812.606468,0.000000,0.500000,915.724105,10879.337918,0.000000,0
baseline_health_system,82,989.817033,0.500000,0.000000,989.817033,0.000000,896.655916,13.449839,0.000000,989.817033,11869.154951,0.000000,0
baseline_health_system,83,1069.337396,0.000000,0.500000,1069.337396,0.000000,987.464595,0.000000,0.500000,1068.837396,12937.992348,0.000000,0
baseline_health_system,84,1155.179388,0.500000,0.000000,1155.179388,0.000000,1085.569843,16.283548,0.000000,1155.179388,14093.171735,0.000000,0
baseline_health_system,85,1247.928739,0.000000,0.500000,1247.928739,0.000000,1191.558785,0.000000,0.500000,1247.428739,15340.600474,0.000000,0
baseline_health_system,86,1348.058038,0.500000,0.000000,1348.058038,0.000000,1306.058719,19.590881,0.000000,1348.058038,16688.658512,0.000000,0
baseline_health_system,87,1456.237681,0.000000,0.500000,1456.237681,0.000000,1429.753921,0.000000,0.500000,1455.737681,18144.396193,0.000000,0
baseline_health_system,88,1573.031695,0.500000,0.000000,1573.031695,0.000000,1563.376616,23.450649,0.000000,1573.031695,19717.427889,0.000000,0
baseline_health_system,89,1699.209231,0.000000,0.500000,1699.209231,0.000000,1707.724400,0.000000,0.500000,1698.709231,21416.137120,0.000000,0
baseline_health_system,90,1835.440970,0.500000,0.000000,1835.440970,0.000000,1863.651883,27.954778,0.000000,1835.440970,23251.578089,0.000000,0
baseline_health_system,91,1982.611247,0.000000,0.500000,1982.611247,0.000000,2032.088839,0.000000,0.500000,1982.111247,25233.689336,0.000000,0
baseline_health_system,92,2141.515147,0.500000,0.000000,2141.515147,0.000000,2214.032626,33.210489,0.000000,2141.515147,27375.204483,0.000000,0
baseline_health_system,93,2313.171359,0.000000,0.500000,2313.171359,0.000000,2410.567192,0.000000,0.500000,2312.671359,29687.875842,0.000000,0
baseline_health_system,94,2498.520067,0.500000,0.000000,2498.520067,0.000000,2622.856397,39.342846,0.000000,2498.520067,32186.395909,0.000000,0
baseline_health_system,95,2698.736673,0.000000,0.500000,2698.736673,0.000000,2852.164015,0.000000,0.500000,2698.236673,34884.632582,0.000000,0
baseline_health_system,96,2914.930607,0.500000,0.000000,2914.930607,0.000000,3099.848116,46.497722,0.000000,2914.930607,37799.563189,0.000000,0
baseline_health_system,97,3148.460055,0.000000,0.500000,3148.460055,0.000000,3367.382221,0.000000,0.500000,3147.960055,40947.523244,0.000000,0
baseline_health_system,98,3400.631859,0.500000,0.000000,3400.631859,0.000000,3656.350929,54.845264,0.000000,3400.631859,44348.155103,0.000000,0
baseline_health_system,99,3673.017408,0.000000,0.500000,3673.017408,0.000000,3968.472409,0.000000,0.500000,3672.517408,48020.672511,0.000000,0
baseline_health_system,100,3967.153801,0.500000,0.000000,3967.153801,0.000000,4305.595482,64.583932,0.000000,3967.153801,51987.826312,0.000000,0
baseline_health_system,101,4284.861105,0.000000,0.500000,4284.861105,0.000000,4669.723676,0.000000,0.500000,4284.361105,56272.187417,0.000000,0
baseline_health_system,102,4627.944993,0.500000,0.000000,4627.944993,0.000000,5063.014000,75.945210,0.000000,4627.944993,60900.132411,0.000000,0
baseline_health_system,103,4998.515593,0.000000,0.500000,4998.515593,0.000000,5487.802825,0.000000,0.500000,4998.015593,65898.148004,0.000000,0
baseline_health_system,104,5398.691840,0.500000,0.000000,5398.691840,0.000000,5946.606632,89.199099,0.000000,5398.691840,71296.839844,0.000000,0
baseline_health_system,105,5830.922188,0.000000,0.500000,5830.922188,0.000000,6442.150018,0.000000,0.500000,5830.422188,77127.262031,0.000000,0
baseline_health_system,106,6297.690963,0.500000,0.000000,6297.690963,0.000000,6977.368750,104.660531,0.000000,6297.690963,83424.952994,0.000000,0
baseline_health_system,107,6801.841240,0.000000,0.500000,6801.841240,0.000000,7555.440255,0.000000,0.500000,6801.341240,90226.294233,0.000000,0
baseline_health_system,108,7346.283539,0.500000,0.000000,7346.283539,0.000000,8179.789356,122.696840,0.000000,7346.283539,97572.577772,0.000000,0
baseline_health_system,109,7934.321222,0.000000,0.500000,7934.321222,0.000000,8854.121660,0.000000,0.500000,7933.821222,105506.398994,0.000000,0
baseline_health_system,110,8569.361920,0.500000,0.000000,8569.361920,0.000000,9582.432423,143.736486,0.000000,8569.361920,114075.760913,0.000000,0
baseline_health_system,111,9255.245873,0.000000,0.500000,9255.245873,0.000000,10369.043322,0.000000,0.500000,9254.745873,123330.506786,0.000000,0
baseline_health_system,112,9995.960543,0.500000,0.000000,9995.960543,0.000000,11218.614968,168.279225,0.000000,9995.960543,133326.467329,0.000000,0
baseline_health_system,113,10795.972386,0.000000,0.500000,10795.972386,0.000000,12136.187621,0.000000,0.500000,10795.472386,144121.939716,0.000000,0
baseline_health_system,114,11659.945177,0.500000,0.000000,11659.945177,0.000000,13127.197961,196.907969,0.000000,11659.945177,155781.884893,0.000000,0
baseline_health_system,115,12593.075791,0.000000,0.500000,12593.075791,0.000000,14197.524403,0.000000,0.500000,12592.575791,168374.460684,0.000000,0
baseline_health_system,116,13600.816855,0.500000,0.000000,13600.816855,0.000000,15353.508836,230.302633,0.000000,13600.816855,181975.277539,0.000000,0
baseline_health_system,117,14689.217203,0.000000,0.500000,14689.217203,0.000000,16602.007298,0.000000,0.500000,14688.717203,196663.994742,0.000000,0
baseline_health_system,118,15864.649579,0.500000,0.000000,15864.649579,0.000000,17950.417512,269.256263,0.000000,15864.649579,212528.644322,0.000000,0
baseline_health_system,119,17134.156546,0.000000,0.500000,17134.156546,0.000000,19406.735819,0.000000,0.500000,17133.656546,229662.300867,0.000000,0
higher_demand_growth,0,92.000000,100.000000,100.148400,0.920000,0.080000,0.117200,0.351600,92.000000,0.000000,0.000000,0.640240,0
higher_demand_growth,1,92.635000,100.148400,100.304167,0.924977,0.075023,0.114574,0.344233,92.635000,0.000000,0.000000,0.640420,0
higher_demand_growth,2,93.270000,100.304167,100.466785,0.929872,0.070128,0.112120,0.337382,93.270000,0.000000,0.000000,0.640542,0
higher_demand_growth,3,93.905000,100.466785,100.635746,0.934687,0.065313,0.109834,0.331039,93.905000,0.000000,0.000000,0.640606,0
higher_demand_growth,4,94.540000,100.635746,100.810550,0.939428,0.060572,0.107714,0.325196,94.540000,0.000000,0.000000,0.640612,0
higher_demand_growth,5,95.175000,100.810550,100.990707,0.944098,0.055902,0.105757,0.319843,95.175000,0.000000,0.000000,0.640563,0
higher_demand_growth,6,95.810000,100.990707,101.175732,0.948701,0.051299,0.103962,0.314975,95.810000,0.000000,0.000000,0.640459,0
higher_demand_growth,7,96.445000,101.175732,101.365147,0.953242,0.046758,0.102325,0.310585,96.445000,0.000000,0.000000,0.640300,0
higher_demand_growth,8,97.080000,101.365147,101.558481,0.957726,0.042274,0.100846,0.306667,97.080000,0.000000,0.000000,0.640087,0
higher_demand_growth,9,97.715000,101.558481,101.755265,0.962155,0.037845,0.099521,0.303216,97.715000,0.000000,0.000000,0.639821,0
higher_demand_growth,10,98.350000,101.755265,101.955037,0.966535,0.033465,0.098350,0.300228,98.350000,0.000000,0.000000,0.639503,0
higher_demand_growth,11,98.985000,101.955037,102.157338,0.970869,0.029131,0.097330,0.297699,98.985000,0.000000,0.000000,0.639133,0
higher_demand_growth,12,99.620000,102.157338,102.361712,0.975162,0.024838,0.096461,0.295625,99.620000,0.000000,0.000000,0.638711,0
higher_demand_growth,13,100.255000,102.361712,102.567708,0.979419,0.020581,0.095740,0.294005,100.255000,0.000000,0.000000,0.638238,0
higher_demand_growth,14,100.890000,102.567708,102.774873,0.983643,0.016357,0.095168,0.292835,100.890000,0.000000,0.000000,0.637714,0
higher_demand_growth,15,101.525000,102.774873,102.982759,0.987839,0.012161,0.094742,0.292114,101.525000,0.000000,0.000000,0.637140,0
higher_demand_growth,16,102.160000,102.982759,103.190918,0.992011,0.007989,0.094463,0.291841,102.160000,0.000000,0.000000,0.636516,0
higher_demand_growth,17,102.795000,103.190918,103.398903,0.996163,0.003837,0.094328,0.292015,102.795000,0.000000,0.000000,0.635842,0
higher_demand_growth,18,103.430000,103.398903,103.603110,1.000301,0.000000,0.094354,0.292683,103.430000,0.000000,0.000000,0.635116,0
higher_demand_growth,19,104.065000,103.603110,103.762482,1.004458,0.000000,0.094733,0.294439,103.762482,0.302518,0.302518,0.634295,0
higher_demand_growth,20,104.724201,103.762482,103.868966,1.009268,0.000000,0.095521,0.297344,103.868966,0.855235,1.157753,0.633357,0
higher_demand_growth,21,105.427620,103.868966,103.911477,1.015006,0.000000,0.096796,0.301624,103.911477,1.516143,2.673896,0.632279,0
higher_demand_growth,22,106.183912,103.911477,103.876692,1.021869,0.000000,0.098655,0.307542,103.876692,2.307220,4.981116,0.631035,0
higher_demand_growth,23,107.003489,103.876692,103.748599,1.030101,0.000000,0.101214,0.315412,103.748599,3.254890,8.236006,0.629591,0
higher_demand_growth,24,107.898880,103.748599,103.507965,1.040003,0.000000,0.104614,0.325607,103.507965,4.390916,12.626921,0.627908,0
higher_demand_growth,25,108.885154,103.507965,103.131683,1.051950,0.000000,0.109030,0.338563,103.131683,5.753471,18.380393,0.625938,0
higher_demand_growth,26,109.980431,103.131683,102.592011,1.066408,0.000000,0.114674,0.354797,102.592011,7.388421,25.768813,0.623621,0
higher_demand_growth,27,111.206505,102.592011,101.855654,1.083968,0.000000,0.121812,0.374907,101.855654,9.350851,35.119664,0.620885,0
higher_demand_growth,28,112.589573,101.855654,100.882675,1.105384,0.000000,0.130769,0.399588,100.882675,11.706898,46.826562,0.617642,0
higher_demand_growth,29,114.161125,100.882675,99.625199,1.131623,0.000000,0.141957,0.429631,99.625199,14.535926,61.362488,0.613780,0
higher_demand_growth,30,115.958999,99.625199,98.025892,1.163952,0.000000,0.155893,0.465927,98.025892,17.933107,79.295595,0.609162,0
higher_demand_growth,31,118.028648,98.025892,96.016163,1.204056,0.000000,0.173238,0.509454,96.016163,22.012485,101.308080,0.603615,0
higher_demand_growth,32,120.424646,96.016163,93.514063,1.254212,0.000000,0.194846,0.561251,93.514063,26.910583,128.218663,0.596917,0
higher_demand_growth,33,123.212493,93.514063,90.421864,1.317582,0.000000,0.221840,0.622356,90.421864,32.790629,161.009292,0.588781,0
higher_demand_growth,34,126.470743,90.421864,86.623275,1.398674,0.000000,0.255728,0.693702,86.623275,39.847469,200.856761,0.578827,0
higher_demand_growth,35,130.293541,86.623275,81.980330,1.504140,0.000000,0.298580,0.775919,81.980330,48.313211,249.169972,0.566541,0
higher_demand_growth,36,134.793598,81.980330,76.329999,1.644219,0.000000,0.353338,0.869004,76.329999,58.463599,307.633571,0.551202,0
higher_demand_growth,37,140.105686,76.329999,69.480693,1.835526,0.000000,0.424358,0.971737,69.480693,70.624993,378.258564,0.531755,0
higher_demand_growth,38,146.390685,69.480693,61.209033,2.106926,0.000000,0.518447,1.080661,61.209033,85.181653,463.440216,0.506569,0
higher_demand_growth,39,153.840217,61.209033,51.257696,2.513358,0.000000,0.647082,1.188218,51.257696,102.582521,566.022738,0.472915,0
higher_demand_growth,40,162.681819,51.257696,39.336114,3.173803,0.000000,0.831855,1.279170,39.336114,123.345705,689.368443,0.425686,0
higher_demand_growth,41,173.184475,39.336114,25.128306,4.402684,0.000000,1.121084,1.322972,25.128306,148.056170,837.424613,0.353492,0
higher_demand_growth,42,185.663969,25.128306,8.320245,7.388639,0.000000,1.664118,1.254494,8.320245,177.343724,1014.768336,0.221179,0
higher_demand_growth,43,200.486467,8.320245,0.000000,24.096220,0.000000,3.627297,0.905400,0.000000,200.486467,1215.254803,0.000000,0
higher_demand_growth,44,217.160384,0.000000,0.500000,217.160384,0.000000,22.000929,0.000000,0.500000,216.660384,1431.915188,0.000000,0
higher_demand_growth,45,235.128215,0.500000,0.000000,235.128215,0.000000,41.901827,0.628527,0.000000,235.128215,1667.043403,0.000000,1
higher_demand_growth,46,272.573472,0.000000,0.500000,272.573472,0.000000,64.985573,0.000000,0.500000,272.073472,1939.116875,0.000000,1
higher_demand_growth,47,294.974350,0.500000,0.000000,294.974350,0.000000,89.973392,1.349601,0.000000,294.974350,2234.091225,0.000000,1
higher_demand_growth,48,319.207298,0.000000,0.500000,319.207298,0.000000,117.021013,0.000000,0.500000,318.707298,2552.798523,0.000000,1
higher_demand_growth,49,345.338882,0.500000,0.000000,345.338882,0.000000,146.289818,2.194347,0.000000,345.338882,2898.137405,0.000000,1
higher_demand_growth,50,373.600992,0.000000,0.500000,373.600992,0.000000,177.960902,0.000000,0.500000,373.100992,3271.238397,0.000000,1
higher_demand_growth,51,404.084072,0.500000,0.000000,404.084072,0.000000,212.223048,3.183346,0.000000,404.084072,3675.322469,0.000000,1
higher_demand_growth,52,437.045797,0.000000,0.500000,437.045797,0.000000,249.286941,0.000000,0.500000,436.545797,4111.868266,0.000000,1
higher_demand_growth,53,472.604461,0.500000,0.000000,472.604461,0.000000,289.373320,4.340600,0.000000,472.604461,4584.472728,0.000000,1
higher_demand_growth,54,511.047818,0.000000,0.500000,511.047818,0.000000,332.727385,0.000000,0.500000,510.547818,5095.020546,0.000000,1
higher_demand_growth,55,552.526644,0.500000,0.000000,552.526644,0.000000,379.607149,5.694107,0.000000,552.526644,5647.547189,0.000000,1
higher_demand_growth,56,597.363775,0.000000,0.500000,597.363775,0.000000,430.298070,0.000000,0.500000,596.863775,6244.410965,0.000000,1
higher_demand_growth,57,645.747877,0.500000,0.000000,645.747877,0.000000,485.101640,7.276525,0.000000,645.747877,6890.158842,0.000000,1
higher_demand_growth,58,698.042707,0.000000,0.500000,698.042707,0.000000,544.350270,0.000000,0.500000,697.542707,7587.701549,0.000000,1
higher_demand_growth,59,754.481124,0.500000,0.000000,754.481124,0.000000,608.396165,9.125942,0.000000,754.481124,8342.182673,0.000000,1
higher_demand_growth,60,815.474614,0.000000,0.500000,815.474614,0.000000,677.626508,0.000000,0.500000,814.974614,9157.157287,0.000000,1
higher_demand_growth,61,881.307583,0.500000,0.000000,881.307583,0.000000,752.452652,11.286790,0.000000,881.307583,10038.464870,0.000000,1
higher_demand_growth,62,952.447190,0.000000,0.500000,952.447190,0.000000,833.325663,0.000000,0.500000,951.947190,10990.412059,0.000000,1
higher_demand_growth,63,1029.237965,0.500000,0.000000,1029.237965,0.000000,920.725890,13.810888,0.000000,1029.237965,12019.650024,0.000000,1
higher_demand_growth,64,1112.212002,0.000000,0.500000,1112.212002,0.000000,1015.178910,0.000000,0.500000,1111.712002,13131.362026,0.000000,1
higher_demand_growth,65,1201.783962,0.500000,0.000000,1201.783962,0.000000,1117.245547,16.758683,0.000000,1201.783962,14333.145988,0.000000,1
higher_demand_growth,66,1298.561679,0.000000,0.500000,1298.561679,0.000000,1227.538290,0.000000,0.500000,1298.061679,15631.207667,0.000000,0
higher_demand_growth,67,1385.041613,0.500000,0.000000,1385.041613,0.000000,1345.181827,20.177727,0.000000,1385.041613,17016.249280,0.000000,0
higher_demand_growth,68,1496.479942,0.000000,0.500000,1496.479942,0.000000,1472.297622,0.000000,0.500000,1495.979942,18512.229223,0.000000,0
higher_demand_growth,69,1616.793338,0.500000,0.000000,1616.793338,0.000000,1609.640056,24.144601,0.000000,1616.793338,20129.022561,0.000000,0
higher_demand_growth,70,1746.771805,0.000000,0.500000,1746.771805,0.000000,1758.030659,0.000000,0.500000,1746.271805,21875.294366,0.000000,0
higher_demand_growth,71,1887.108549,0.500000,0.000000,1887.108549,0.000000,1918.349886,28.775248,0.000000,1887.108549,23762.402915,0.000000,0
higher_demand_growth,72,2038.712233,0.000000,0.500000,2038.712233,0.000000,2091.555426,0.000000,0.500000,2038.212233,25800.615148,0.000000,0
higher_demand_growth,73,2202.404212,0.500000,0.000000,2202.404212,0.000000,2278.674784,34.180122,0.000000,2202.404212,28003.019360,0.000000,0
higher_demand_growth,74,2379.231549,0.000000,0.500000,2379.231549,0.000000,2480.824465,0.000000,0.500000,2378.731549,30381.750909,0.000000,0
higher_demand_growth,75,2570.165073,0.500000,0.000000,2570.165073,0.000000,2699.203497,40.488052,0.000000,2570.165073,32951.915981,0.000000,0
higher_demand_growth,76,2776.413279,0.000000,0.500000,2776.413279,0.000000,2935.113625,0.000000,0.500000,2775.913279,35727.829260,0.000000,0
higher_demand_growth,77,2999.121341,0.500000,0.000000,2999.121341,0.000000,3189.953939,47.849309,0.000000,2999.121341,38726.950601,0.000000,0
higher_demand_growth,78,3239.686048,0.000000,0.500000,3239.686048,0.000000,3465.242253,0.000000,0.500000,3239.186048,41966.136649,0.000000,0
higher_demand_growth,79,3499.455932,0.500000,0.000000,3499.455932,0.000000,3762.611008,56.439165,0.000000,3499.455932,45465.592581,0.000000,0
higher_demand_growth,80,3780.047406,0.000000,0.500000,3780.047406,0.000000,4083.830037,0.000000,0.500000,3779.547406,49245.139987,0.000000,0
