time,stock,regeneration,extraction,restoration,disturbance,resilience_index
49,   53.421186,    1.617138,    2.139118,    0.465221,    0.000000,    0.534212
50,   53.367518,    1.617392,    2.136847,    0.465788,    0.000000,    0.533675
51,   53.316771,    1.617629,    2.134701,    0.466325,    0.000000,    0.533168
52,   53.268782,    1.617849,    2.132671,    0.466832,    0.000000,    0.532688
53,   53.223398,    1.618055,    2.130751,    0.467312,    0.000000,    0.532234
54,   53.180474,    1.618246,    2.128936,    0.467766,    0.000000,    0.531805
55,   53.139875,    1.618425,    2.127219,    0.468195,    0.000000,    0.531399
56,   53.101473,    1.618592,    2.125595,    0.468601,    0.000000,    0.531015
57,   53.065147,    1.618748,    2.124059,    0.468985,    0.000000,    0.530651
58,   53.030783,    1.618893,    2.122606,    0.469349,    0.000000,    0.530308
59,   52.998273,    1.619029,    2.121231,    0.469692,    0.000000,    0.529983
60,   52.967516,    1.619157,    2.119931,    0.470017,    0.000000,    0.529675
61,   52.938417,    1.619276,    2.118701,    0.470325,    0.000000,    0.529384
62,   52.910883,    1.619388,    2.117537,    0.470616,    0.000000,    0.529109
63,   52.884832,    1.619492,    2.116435,    0.470891,    0.000000,    0.528848
64,   52.860181,    1.619591,    2.115393,    0.471152,    0.000000,    0.528602
65,   40.836854,    1.619683,    2.114407,    0.471398,   12.000000,    0.408369
66,   41.365435,    1.570424,    1.633474,    0.591631,    0.000000,    0.413654
67,   41.873702,    1.576539,    1.654617,    0.586346,    0.000000,    0.418737
68,   42.362093,    1.582076,    1.674948,    0.581263,    0.000000,    0.423621
69,   42.831069,    1.587081,    1.694484,    0.576379,    0.000000,    0.428311
70,   43.281110,    1.591594,    1.713243,    0.571689,    0.000000,    0.432811
71,   43.712711,    1.595657,    1.731244,    0.567189,    0.000000,    0.437127
72,   44.126381,    1.599306,    1.748508,    0.562873,    0.000000,    0.441264
73,   44.522638,    1.602575,    1.765055,    0.558736,    0.000000,    0.445226
74,   44.902005,    1.605499,    1.780906,    0.554774,    0.000000,    0.449020
75,   45.265011,    1.608107,    1.796080,    0.550980,    0.000000,    0.452650
76,   45.612188,    1.610427,    1.810600,    0.547350,    0.000000,    0.456122
77,   45.944064,    1.612486,    1.824488,    0.543878,    0.000000,    0.459441
78,   46.261168,    1.614307,    1.837763,    0.540559,    0.000000,    0.462612
79,   46.564023,    1.615914,    1.850447,    0.537388,    0.000000,    0.465640
80,   46.853148,    1.617326,    1.862561,    0.534360,    0.000000,    0.468531
81,   47.129054,    1.618563,    1.874126,    0.531469,    0.000000,    0.471291
82,   47.392244,    1.619642,    1.885162,    0.528709,    0.000000,    0.473922
83,   47.643211,    1.620580,    1.895690,    0.526078,    0.000000,    0.476432
84,   47.882440,    1.621390,    1.905728,    0.523568,    0.000000,    0.478824
85,   48.110404,    1.622085,    1.915298,    0.521176,    0.000000,    0.481104
86,   48.327563,    1.622679,    1.924416,    0.518896,    0.000000,    0.483276
87,   48.534366,    1.623182,    1.933103,    0.516724,    0.000000,    0.485344
88,   48.731252,    1.623604,    1.941375,    0.514656,    0.000000,    0.487313
89,   48.918643,    1.623954,    1.949250,    0.512687,    0.000000,    0.489186
90,   49.096951,    1.624240,    1.956746,    0.510814,    0.000000,    0.490970
91,   49.266573,    1.624470,    1.963878,    0.509030,    0.000000,    0.492666
92,   49.427895,    1.624650,    1.970663,    0.507334,    0.000000,    0.494279
93,   49.581287,    1.624787,    1.977116,    0.505721,    0.000000,    0.495813
94,   49.727109,    1.624886,    1.983251,    0.504187,    0.000000,    0.497271
95,   49.865705,    1.624952,    1.989084,    0.502729,    0.000000,    0.498657
96,   49.997408,    1.624988,    1.994628,    0.501343,    0.000000,    0.499974
97,   50.122538,    1.625000,    1.999896,    0.500026,    0.000000,    0.501225
98,   50.241401,    1.624990,    2.004902,    0.498775,    0.000000,    0.502414
99,   50.354293,    1.624962,    2.009656,    0.497586,    0.000000,    0.503543
100,   50.461497,    1.624918,    2.014172,    0.496457,    0.000000,    0.504615
101,   50.563284,    1.624862,    2.018460,    0.495385,    0.000000,    0.505633
102,   50.659913,    1.624794,    2.022531,    0.494367,    0.000000,    0.506599
103,   50.751634,    1.624717,    2.026397,    0.493401,    0.000000,    0.507516
104,   50.838686,    1.624633,    2.030065,    0.492484,    0.000000,    0.508387
105,   50.921294,    1.624543,    2.033547,    0.491613,    0.000000,    0.509213
106,   50.999678,    1.624448,    2.036852,    0.490787,    0.000000,    0.509997
107,   51.074044,    1.624350,    2.039987,    0.490003,    0.000000,    0.510740
108,   51.144592,    1.624250,    2.042962,    0.489260,    0.000000,    0.511446
109,   51.211511,    1.624148,    2.045784,    0.488554,    0.000000,    0.512115
110,   51.274981,    1.624046,    2.048460,    0.487885,    0.000000,    0.512750
111,   51.335176,    1.623943,    2.050999,    0.487250,    0.000000,    0.513352
112,   51.392258,    1.623841,    2.053407,    0.486648,    0.000000,    0.513923
113,   51.446385,    1.623740,    2.055690,    0.486077,    0.000000,    0.514464
114,   51.497706,    1.623640,    2.057855,    0.485536,    0.000000,    0.514977
115,   51.546363,    1.623542,    2.059908,    0.485023,    0.000000,    0.515464
116,   51.592490,    1.623446,    2.061855,    0.484536,    0.000000,    0.515925
117,   51.636217,    1.623352,    2.063700,    0.484075,    0.000000,    0.516362
118,   51.677666,    1.623260,    2.065449,    0.483638,    0.000000,    0.516777
119,   51.716954,    1.623171,    2.067107,    0.483223,    0.000000,    0.517170
120,   51.754190,    1.623084,    2.068678,    0.482830,    0.000000,    0.517542
