time,state,perceived_state,target,intervention,counterresponse
71,   78.542595,   78.517165,   50.000000,    6.813060,    2.861485
72,   78.551154,   78.531151,   50.000000,    6.818975,    2.863969
73,   78.556562,   78.542153,   50.000000,    6.824778,    2.866407
74,   78.558891,   78.550078,   50.000000,    6.830318,    2.868734
75,   78.558296,   78.554925,   50.000000,    6.835461,    2.870894
76,   78.555000,   78.556779,   50.000000,    6.840092,    2.872838
77,   78.549286,   78.555801,   50.000000,    6.844120,    2.874530
78,   78.541482,   78.552218,   50.000000,    6.847476,    2.875940
79,   78.531951,   78.546313,   50.000000,    6.850117,    2.877049
80,   78.521079,   78.538414,   50.000000,    6.852019,    2.877848
81,   78.509260,   78.528880,   50.000000,    6.853182,    2.878336
82,   78.496888,   78.518089,   50.000000,    6.853627,    2.878523
83,   78.484343,   78.506429,   50.000000,    6.853392,    2.878425
84,   78.471983,   78.494282,   50.000000,    6.852532,    2.878064
85,   78.460136,   78.482017,   50.000000,    6.851115,    2.877468
86,   78.449092,   78.469982,   50.000000,    6.849219,    2.876672
87,   78.439099,   78.458493,   50.000000,    6.846931,    2.875711
88,   78.430359,   78.447826,   50.000000,    6.844341,    2.874623
89,   78.423023,   78.438219,   50.000000,    6.841543,    2.873448
90,   78.417194,   78.429861,   50.000000,    6.838628,    2.872224
91,   78.412927,   78.422894,   50.000000,    6.835684,    2.870987
92,   78.410229,   78.417413,   50.000000,    6.832796,    2.869774
93,   78.409063,   78.413462,   50.000000,    6.830038,    2.868616
94,   78.409352,   78.411042,   50.000000,    6.827478,    2.867541
95,   78.410985,   78.410112,   50.000000,    6.825173,    2.866572
96,   78.413823,   78.410593,   50.000000,    6.823167,    2.865730
97,   78.417702,   78.412370,   50.000000,    6.821495,    2.865028
98,   78.422441,   78.415302,   50.000000,    6.820179,    2.864475
99,   78.427848,   78.419229,   50.000000,    6.819231,    2.864077
100,   78.433727,   78.423969,   50.000000,    6.818650,    2.863833
