time,baseline_state,parameter_state,feedback_state,rule_state,goal_state
57,  475.096565,   87.588214,    0.000000,    0.000000,    0.000000
58,  493.856544,   87.148343,    0.000000,    0.000000,    0.000000
59,  513.462716,   86.688614,    0.000000,    0.000000,    0.000000
60,  533.953255,   86.208134,    0.000000,    0.000000,    0.000000
61,  555.368054,   85.705969,    0.000000,    0.000000,    0.000000
62,  577.748806,   85.181144,    0.000000,    0.000000,    0.000000
63,  601.139083,   84.632637,    0.000000,    0.000000,    0.000000
64,  625.584424,   84.059382,    0.000000,    0.000000,    0.000000
65,  651.132421,   83.460264,    0.000000,    0.000000,    0.000000
66,  677.832812,   82.834118,    0.000000,    0.000000,    0.000000
67,  705.737579,   82.179724,    0.000000,    0.000000,    0.000000
68,  734.901050,   81.495809,    0.000000,    0.000000,    0.000000
69,  765.380000,   80.781043,    0.000000,    0.000000,    0.000000
70,  797.233768,   80.034033,    0.000000,    0.000000,    0.000000
71,  830.524369,   79.253326,    0.000000,    0.000000,    0.000000
72,  865.316614,   78.437403,    0.000000,    0.000000,    0.000000
73,  901.678238,   77.584674,    0.000000,    0.000000,    0.000000
74,  939.680032,   76.693481,    0.000000,    0.000000,    0.000000
75,  979.395979,   75.762087,    0.000000,    0.000000,    0.000000
76, 1020.903400,   74.788680,    0.000000,    0.000000,    0.000000
77, 1064.283104,   73.771365,    0.000000,    0.000000,    0.000000
78, 1109.619544,   72.708162,    0.000000,    0.000000,    0.000000
79, 1157.000983,   71.597000,    0.000000,    0.000000,    0.000000
80, 1206.519665,   70.435716,    0.000000,    0.000000,    0.000000
81, 1258.271995,   69.222050,    0.000000,    0.000000,    0.000000
82, 1312.358728,   67.953639,    0.000000,    0.000000,    0.000000
83, 1368.885160,   66.628013,    0.000000,    0.000000,    0.000000
84, 1427.961341,   65.242591,    0.000000,    0.000000,    0.000000
85, 1489.702282,   63.794678,    0.000000,    0.000000,    0.000000
86, 1554.228183,   62.281452,    0.000000,    0.000000,    0.000000
87, 1621.664666,   60.699970,    0.000000,    0.000000,    0.000000
88, 1692.143019,   59.047151,    0.000000,    0.000000,    0.000000
89, 1765.800452,   57.319777,    0.000000,    0.000000,    0.000000
90, 1842.780365,   55.514487,    0.000000,    0.000000,    0.000000
91, 1923.232625,   53.627766,    0.000000,    0.000000,    0.000000
92, 2007.313861,   51.655939,    0.000000,    0.000000,    0.000000
93, 2095.187764,   49.595169,    0.000000,    0.000000,    0.000000
94, 2187.025412,   47.441444,    0.000000,    0.000000,    0.000000
95, 2283.005598,   45.190570,    0.000000,    0.000000,    0.000000
96, 2383.315180,   42.838165,    0.000000,    0.000000,    0.000000
