scenario,time,state,pressure,resilience,intervention
baseline,52,686.432268,279.433262,0.000000,32.840312
baseline,53,717.394759,292.038043,0.000000,34.321613
baseline,54,749.753977,305.211331,0.000000,35.869738
baseline,55,783.572908,318.978780,0.000000,37.487699
baseline,56,818.917380,333.367200,0.000000,39.178645
baseline,57,855.856195,348.404607,0.000000,40.945869
baseline,58,894.461260,364.120284,0.000000,42.792810
baseline,59,934.807727,380.544827,0.000000,44.723063
baseline,60,976.974139,397.710218,0.000000,46.740386
baseline,61,1021.042583,415.649876,0.000000,48.848707
baseline,62,1067.098851,434.398729,0.000000,51.052129
baseline,63,1115.232603,453.993280,0.000000,53.354943
baseline,64,1165.537548,474.471678,0.000000,55.761630
baseline,65,1218.111618,495.873792,0.000000,58.276877
baseline,66,1273.057165,518.241290,0.000000,60.905581
baseline,67,1330.481159,541.617718,0.000000,63.652858
baseline,68,1390.495394,566.048587,0.000000,66.524058
baseline,69,1453.216707,591.581461,0.000000,69.524770
baseline,70,1518.767206,618.266048,0.000000,72.660835
baseline,71,1587.274508,646.154300,0.000000,75.938360
baseline,72,1658.871983,675.300511,0.000000,79.363725
baseline,73,1733.699022,705.761424,0.000000,82.943599
baseline,74,1811.901300,737.596342,0.000000,86.684951
baseline,75,1893.631064,770.867243,0.000000,90.595065
baseline,76,1979.047429,805.638900,0.000000,94.681553
baseline,77,2068.316688,841.979007,0.000000,98.952371
baseline,78,2161.612632,879.958314,0.000000,103.415834
baseline,79,2259.116895,919.650761,0.000000,108.080632
baseline,80,2361.019301,961.133622,0.000000,112.955845
baseline,81,2467.518238,1004.487657,0.000000,118.050965
baseline,82,2578.821044,1049.797271,0.000000,123.375912
baseline,83,2695.144406,1097.150674,0.000000,128.941052
baseline,84,2816.714788,1146.640056,0.000000,134.757220
baseline,85,2943.768869,1198.361764,0.000000,140.835739
baseline,86,3076.554002,1252.416493,0.000000,147.188443
baseline,87,3215.328699,1308.909479,0.000000,153.827700
baseline,88,3360.363132,1367.950704,0.000000,160.766435
baseline,89,3511.939660,1429.655113,0.000000,168.018157
baseline,90,3670.353380,1494.142834,0.000000,175.596983
baseline,91,3835.912697,1561.539415,0.000000,183.517669
baseline,92,4008.939929,1631.976066,0.000000,191.795635
baseline,93,4189.771933,1705.589916,0.000000,200.446996
baseline,94,4378.760760,1782.524280,0.000000,209.488597
baseline,95,4576.274342,1862.928937,0.000000,218.938038
baseline,96,4782.697205,1946.960421,0.000000,228.813717
parameter_intervention,1,70.000000,50.000000,30.000000,0.000000
parameter_intervention,2,75.036250,47.250000,28.750000,6.500000
parameter_intervention,3,79.316468,45.074494,27.568750,6.751812
parameter_intervention,4,82.996132,43.377445,26.441888,6.965823
parameter_intervention,5,86.203608,42.080587,25.357452,7.149807
parameter_intervention,6,89.045114,41.120234,24.305437,7.310180
parameter_intervention,7,91.608780,40.444677,23.277431,7.452256
parameter_intervention,8,93.967986,40.012042,22.266314,7.580439
parameter_intervention,9,96.184091,39.788545,21.266013,7.698399
parameter_intervention,10,98.308683,39.747060,20.271299,7.809205
parameter_intervention,11,100.385423,39.865950,19.277623,7.915434
parameter_intervention,12,102.451556,40.128108,18.280974,8.019271
parameter_intervention,13,104.539160,40.520175,17.277771,8.122578
parameter_intervention,14,106.676170,41.031902,16.264767,8.226958
parameter_intervention,15,108.887226,41.655630,15.238970,8.333808
parameter_intervention,16,111.194370,42.385862,14.197579,8.444361
parameter_intervention,17,113.617625,43.218921,13.137932,8.559718
parameter_intervention,18,116.175475,44.152670,12.057459,8.680881
parameter_intervention,19,118.885267,45.186283,10.953642,8.808774
parameter_intervention,20,121.763542,46.320061,9.823985,8.944263
parameter_intervention,21,124.826321,47.555291,8.665984,9.088177
parameter_intervention,22,128.089341,48.894123,7.477102,9.241316
parameter_intervention,23,131.568260,50.339482,6.254748,9.404467
parameter_intervention,24,135.278836,51.894993,4.996261,9.578413
parameter_intervention,25,139.237075,53.564929,3.698887,9.763942
parameter_intervention,26,143.459373,55.354169,2.359763,9.961854
parameter_intervention,27,147.962634,57.268169,0.975909,10.172969
parameter_intervention,28,152.743870,59.312942,0.000000,10.398132
parameter_intervention,29,157.771635,61.475690,0.000000,10.637193
parameter_intervention,30,163.051528,63.720318,0.000000,10.888582
parameter_intervention,31,168.590389,66.053323,0.000000,11.152576
parameter_intervention,32,174.396175,68.480996,0.000000,11.429519
parameter_intervention,33,180.477872,71.009496,0.000000,11.719809
parameter_intervention,34,186.845415,73.644924,0.000000,12.023894
parameter_intervention,35,193.509638,76.393379,0.000000,12.342271
parameter_intervention,36,200.482230,79.261005,0.000000,12.675482
parameter_intervention,37,207.775711,82.254037,0.000000,13.024111
parameter_intervention,38,215.403417,85.378838,0.000000,13.388786
parameter_intervention,39,223.379485,88.641930,0.000000,13.770171
parameter_intervention,40,231.718861,92.050028,0.000000,14.168974
parameter_intervention,41,240.437302,95.610063,0.000000,14.585943
parameter_intervention,42,249.551385,99.329209,0.000000,15.021865
parameter_intervention,43,259.078534,103.214906,0.000000,15.477569
parameter_intervention,44,269.037030,107.274884,0.000000,15.953927
parameter_intervention,45,279.446043,111.517181,0.000000,16.451851
parameter_intervention,46,290.325658,115.950167,0.000000,16.972302
parameter_intervention,47,301.696911,120.582563,0.000000,17.516283
parameter_intervention,48,313.581818,125.423463,0.000000,18.084846
parameter_intervention,49,326.003419,130.482351,0.000000,18.679091
parameter_intervention,50,338.985815,135.769128,0.000000,19.300171
parameter_intervention,51,352.554213,141.294126,0.000000,19.949291
parameter_intervention,52,366.734976,147.068136,0.000000,20.627711
parameter_intervention,53,381.555665,153.102428,0.000000,21.336749
parameter_intervention,54,397.045097,159.408771,0.000000,22.077783
parameter_intervention,55,413.233397,165.999462,0.000000,22.852255
parameter_intervention,56,430.152057,172.887347,0.000000,23.661670
parameter_intervention,57,447.833994,180.085849,0.000000,24.507603
parameter_intervention,58,466.313614,187.608992,0.000000,25.391700
parameter_intervention,59,485.626882,195.471432,0.000000,26.315681
parameter_intervention,60,505.811385,203.688481,0.000000,27.281344
parameter_intervention,61,526.906411,212.276144,0.000000,28.290569
parameter_intervention,62,548.953020,221.251144,0.000000,29.345321
parameter_intervention,63,571.994127,230.630957,0.000000,30.447651
parameter_intervention,64,596.074585,240.433848,0.000000,31.599706
parameter_intervention,65,621.241271,250.678904,0.000000,32.803729
parameter_intervention,66,647.543176,261.386072,0.000000,34.062064
parameter_intervention,67,675.031503,272.576200,0.000000,35.377159
parameter_intervention,68,703.759765,284.271075,0.000000,36.751575
parameter_intervention,69,733.783890,296.493465,0.000000,38.187988
parameter_intervention,70,765.162329,309.267167,0.000000,39.689195
parameter_intervention,71,797.956168,322.617050,0.000000,41.258116
parameter_intervention,72,832.229252,336.569105,0.000000,42.897808
parameter_intervention,73,868.048303,351.150495,0.000000,44.611463
parameter_intervention,74,905.483055,366.389607,0.000000,46.402415
parameter_intervention,75,944.606388,382.316110,0.000000,48.274153
parameter_intervention,76,985.494466,398.961012,0.000000,50.230319
parameter_intervention,77,1028.226894,416.356716,0.000000,52.274723
parameter_intervention,78,1072.886863,434.537091,0.000000,54.411345
parameter_intervention,79,1119.561319,453.537530,0.000000,56.644343
parameter_intervention,80,1168.341130,473.395025,0.000000,58.978066
parameter_intervention,81,1219.321261,494.148235,0.000000,61.417056
parameter_intervention,82,1272.600965,515.837563,0.000000,63.966063
parameter_intervention,83,1328.283966,538.505235,0.000000,66.630048
parameter_intervention,84,1386.478672,562.195382,0.000000,69.414198
parameter_intervention,85,1447.298378,586.954125,0.000000,72.323934
parameter_intervention,86,1510.861490,612.829664,0.000000,75.364919
parameter_intervention,87,1577.291755,639.872377,0.000000,78.543074
parameter_intervention,88,1646.718503,668.134909,0.000000,81.864588
parameter_intervention,89,1719.276897,697.672285,0.000000,85.335925
parameter_intervention,90,1795.108196,728.542009,0.000000,88.963845
parameter_intervention,91,1874.360032,760.804179,0.000000,92.755410
parameter_intervention,92,1957.186695,794.521604,0.000000,96.718002
parameter_intervention,93,2043.749436,829.759928,0.000000,100.859335
parameter_intervention,94,2134.216779,866.587754,0.000000,105.187472
parameter_intervention,95,2228.764850,905.076779,0.000000,109.710839
parameter_intervention,96,2327.577718,945.301935,0.000000,114.438242
feedback_intervention,1,70.000000,50.000000,30.000000,0.000000
feedback_intervention,2,63.672250,48.150000,28.750000,3.500000
feedback_intervention,3,58.422779,46.168474,27.546250,3.183613
feedback_intervention,4,53.978870,44.124714,26.392038,2.921139
feedback_intervention,5,50.143872,42.066646,25.288920,2.698944
feedback_intervention,6,46.775579,40.027004,24.237254,2.507194
feedback_intervention,7,43.770778,38.027740,23.236579,2.338779
feedback_intervention,8,41.054200,36.083173,22.285886,2.188539
feedback_intervention,9,38.570620,34.202233,21.383806,2.052710
feedback_intervention,10,36.249759,32.368623,20.528750,2.000000
feedback_intervention,11,34.044660,30.571780,19.719535,2.000000
feedback_intervention,12,31.937369,28.814665,18.955240,2.000000
feedback_intervention,13,29.914279,27.098751,18.234874,2.000000
feedback_intervention,14,27.964927,25.424468,17.557405,2.000000
feedback_intervention,15,26.081126,23.791515,16.921793,2.000000
feedback_intervention,16,24.256343,22.199086,16.327005,2.000000
feedback_intervention,17,22.485254,20.646032,15.772028,2.000000
feedback_intervention,18,20.763418,19.130976,15.255877,2.000000
feedback_intervention,19,19.087048,17.652392,14.777603,2.000000
feedback_intervention,20,17.452844,16.208666,14.336293,2.000000
feedback_intervention,21,15.857872,14.798133,13.931077,2.000000
feedback_intervention,22,14.299476,13.419109,13.561123,2.000000
feedback_intervention,23,12.775215,12.069908,13.225645,2.000000
feedback_intervention,24,11.282817,10.748855,12.923898,2.000000
feedback_intervention,25,9.820147,9.454300,12.655176,2.000000
feedback_intervention,26,8.385175,8.184616,12.418819,2.000000
feedback_intervention,27,6.975968,6.938210,12.214204,2.000000
feedback_intervention,28,5.590666,5.713521,12.040748,2.000000
feedback_intervention,29,4.227479,4.509021,11.897910,2.000000
feedback_intervention,30,2.884672,3.323216,11.785185,2.000000
feedback_intervention,31,1.560564,2.154646,11.702104,2.000000
feedback_intervention,32,0.253521,1.001883,11.648238,2.000000
feedback_intervention,33,0.000000,0.000000,11.623191,2.000000
feedback_intervention,34,0.000000,0.000000,11.623191,2.000000
feedback_intervention,35,0.000000,0.000000,11.623191,2.000000
feedback_intervention,36,0.000000,0.000000,11.623191,2.000000
feedback_intervention,37,0.000000,0.000000,11.623191,2.000000
feedback_intervention,38,0.000000,0.000000,11.623191,2.000000
feedback_intervention,39,0.000000,0.000000,11.623191,2.000000
feedback_intervention,40,0.000000,0.000000,11.623191,2.000000
feedback_intervention,41,0.000000,0.000000,11.623191,2.000000
feedback_intervention,42,0.000000,0.000000,11.623191,2.000000
feedback_intervention,43,0.000000,0.000000,11.623191,2.000000
feedback_intervention,44,0.000000,0.000000,11.623191,2.000000
feedback_intervention,45,0.000000,0.000000,11.623191,2.000000
feedback_intervention,46,0.000000,0.000000,11.623191,2.000000
feedback_intervention,47,0.000000,0.000000,11.623191,2.000000
feedback_intervention,48,0.000000,0.000000,11.623191,2.000000
feedback_intervention,49,0.000000,0.000000,11.623191,2.000000
feedback_intervention,50,0.000000,0.000000,11.623191,2.000000
feedback_intervention,51,0.000000,0.000000,11.623191,2.000000
feedback_intervention,52,0.000000,0.000000,11.623191,2.000000
feedback_intervention,53,0.000000,0.000000,11.623191,2.000000
feedback_intervention,54,0.000000,0.000000,11.623191,2.000000
feedback_intervention,55,0.000000,0.000000,11.623191,2.000000
feedback_intervention,56,0.000000,0.000000,11.623191,2.000000
feedback_intervention,57,0.000000,0.000000,11.623191,2.000000
feedback_intervention,58,0.000000,0.000000,11.623191,2.000000
feedback_intervention,59,0.000000,0.000000,11.623191,2.000000
feedback_intervention,60,0.000000,0.000000,11.623191,2.000000
feedback_intervention,61,0.000000,0.000000,11.623191,2.000000
feedback_intervention,62,0.000000,0.000000,11.623191,2.000000
feedback_intervention,63,0.000000,0.000000,11.623191,2.000000
feedback_intervention,64,0.000000,0.000000,11.623191,2.000000
feedback_intervention,65,0.000000,0.000000,11.623191,2.000000
feedback_intervention,66,0.000000,0.000000,11.623191,2.000000
feedback_intervention,67,0.000000,0.000000,11.623191,2.000000
feedback_intervention,68,0.000000,0.000000,11.623191,2.000000
feedback_intervention,69,0.000000,0.000000,11.623191,2.000000
feedback_intervention,70,0.000000,0.000000,11.623191,2.000000
feedback_intervention,71,0.000000,0.000000,11.623191,2.000000
feedback_intervention,72,0.000000,0.000000,11.623191,2.000000
feedback_intervention,73,0.000000,0.000000,11.623191,2.000000
feedback_intervention,74,0.000000,0.000000,11.623191,2.000000
feedback_intervention,75,0.000000,0.000000,11.623191,2.000000
feedback_intervention,76,0.000000,0.000000,11.623191,2.000000
feedback_intervention,77,0.000000,0.000000,11.623191,2.000000
feedback_intervention,78,0.000000,0.000000,11.623191,2.000000
feedback_intervention,79,0.000000,0.000000,11.623191,2.000000
feedback_intervention,80,0.000000,0.000000,11.623191,2.000000
feedback_intervention,81,0.000000,0.000000,11.623191,2.000000
feedback_intervention,82,0.000000,0.000000,11.623191,2.000000
feedback_intervention,83,0.000000,0.000000,11.623191,2.000000
feedback_intervention,84,0.000000,0.000000,11.623191,2.000000
feedback_intervention,85,0.000000,0.000000,11.623191,2.000000
feedback_intervention,86,0.000000,0.000000,11.623191,2.000000
feedback_intervention,87,0.000000,0.000000,11.623191,2.000000
feedback_intervention,88,0.000000,0.000000,11.623191,2.000000
feedback_intervention,89,0.000000,0.000000,11.623191,2.000000
feedback_intervention,90,0.000000,0.000000,11.623191,2.000000
feedback_intervention,91,0.000000,0.000000,11.623191,2.000000
feedback_intervention,92,0.000000,0.000000,11.623191,2.000000
feedback_intervention,93,0.000000,0.000000,11.623191,2.000000
feedback_intervention,94,0.000000,0.000000,11.623191,2.000000
feedback_intervention,95,0.000000,0.000000,11.623191,2.000000
feedback_intervention,96,0.000000,0.000000,11.623191,2.000000
rule_intervention,1,70.000000,50.000000,30.000000,0.000000
rule_intervention,2,58.072250,48.150000,28.750000,3.500000
rule_intervention,3,49.430279,45.860474,27.546250,2.903612
rule_intervention,4,42.976856,43.349846,26.399738,2.471514
rule_intervention,5,49.169419,40.756098,25.315992,2.148843
rule_intervention,6,41.796479,38.779727,24.297090,2.458471
rule_intervention,7,47.152291,36.616475,23.327596,2.089824
rule_intervention,8,39.591970,34.981264,22.412184,2.357615
rule_intervention,9,44.304993,33.107901,21.537653,2.000000
rule_intervention,10,48.456490,31.703458,20.709955,2.215250
rule_intervention,11,39.564347,30.686856,19.917369,2.422825
rule_intervention,12,43.471498,29.297848,19.150198,2.000000
rule_intervention,13,46.953455,28.285966,18.417751,2.173575
rule_intervention,14,37.892863,27.585959,17.710602,2.347673
rule_intervention,15,41.278558,26.447299,17.020953,2.000000
rule_intervention,16,44.347056,25.656525,16.359771,2.063928
rule_intervention,17,47.143660,25.132135,15.718358,2.217353
rule_intervention,18,37.480326,24.834410,15.090054,2.357183
rule_intervention,19,40.414639,24.019334,14.469194,2.000000
rule_intervention,20,43.127304,23.501631,13.868711,2.020732
rule_intervention,21,45.640292,23.203738,13.281170,2.156365
rule_intervention,22,36.143420,23.094370,12.701076,2.282015
rule_intervention,23,38.857206,22.437873,12.123717,2.000000
rule_intervention,24,41.395438,22.053521,11.562770,2.000000
rule_intervention,25,43.792289,21.882942,11.011432,2.069772
rule_intervention,26,46.076816,21.881596,10.464359,2.189614
rule_intervention,27,36.310882,22.027903,9.917319,2.303841
rule_intervention,28,38.938660,21.590460,9.366621,2.000000
rule_intervention,29,41.439511,21.398360,8.826860,2.000000
rule_intervention,30,43.839989,21.398607,8.291901,2.071976
rule_intervention,31,46.164589,21.552255,7.756936,2.191999
rule_intervention,32,36.447517,21.841327,7.218129,2.308229
rule_intervention,33,39.178542,21.538209,6.672096,2.000000
rule_intervention,34,41.809479,21.475384,6.133641,2.000000
rule_intervention,35,44.357711,21.596775,5.596756,2.090474
rule_intervention,36,46.850292,21.868869,5.056837,2.217886
rule_intervention,37,37.141834,22.275164,4.510115,2.342515
rule_intervention,38,40.099846,22.089923,3.953236,2.000000
rule_intervention,39,42.976916,22.149192,3.400988,2.004992
rule_intervention,40,45.771135,22.383455,2.847258,2.148846
rule_intervention,41,36.624132,22.772467,2.287672,2.288557
rule_intervention,42,39.824671,22.595127,1.718360,2.000000
rule_intervention,43,42.943111,22.680558,1.153482,2.000000
rule_intervention,44,45.978172,22.955040,0.586468,2.147156
rule_intervention,45,37.017188,23.394427,0.012592,2.298909
rule_intervention,46,40.443611,23.279628,0.000000,2.000000
rule_intervention,47,43.756451,23.408860,0.000000,2.022181
rule_intervention,48,46.952414,23.708667,0.000000,2.187823
rule_intervention,49,37.866243,24.157270,0.000000,2.347621
rule_intervention,50,41.439694,24.033753,0.000000,2.000000
rule_intervention,51,44.873607,24.149898,0.000000,2.071985
rule_intervention,52,48.182481,24.444456,0.000000,2.243680
rule_intervention,53,38.883313,24.894491,0.000000,2.409124
rule_intervention,54,42.594177,24.775819,0.000000,2.000000
rule_intervention,55,46.139590,24.888675,0.000000,2.129709
rule_intervention,56,37.558069,25.186372,0.000000,2.306980
rule_intervention,57,41.363426,24.948663,0.000000,2.000000
rule_intervention,58,45.000496,24.978272,0.000000,2.068171
rule_intervention,59,36.784600,25.205255,0.000000,2.250025
rule_intervention,60,40.612025,24.911704,0.000000,2.000000
rule_intervention,61,44.273934,24.903312,0.000000,2.030601
rule_intervention,62,47.773619,25.097080,0.000000,2.213697
rule_intervention,63,38.741196,25.465892,0.000000,2.388681
rule_intervention,64,42.580151,25.285845,0.000000,2.000000
rule_intervention,65,46.237569,25.352028,0.000000,2.129008
rule_intervention,66,37.727478,25.613411,0.000000,2.311878
rule_intervention,67,41.622170,25.349128,0.000000,2.000000
rule_intervention,68,45.335368,25.356926,0.000000,2.081108
rule_intervention,69,37.100436,25.568248,0.000000,2.266768
rule_intervention,70,40.999811,25.264136,0.000000,2.000000
rule_intervention,71,44.721707,25.245353,0.000000,2.049991
rule_intervention,72,48.276481,25.432965,0.000000,2.236085
rule_intervention,73,39.164646,25.799205,0.000000,2.413824
rule_intervention,74,43.066572,25.618802,0.000000,2.000000
rule_intervention,75,46.775403,25.681771,0.000000,2.153329
rule_intervention,76,38.173934,25.943059,0.000000,2.338770
rule_intervention,77,42.130263,25.680359,0.000000,2.000000
rule_intervention,78,45.893548,25.686291,0.000000,2.106513
rule_intervention,79,37.560974,25.898670,0.000000,2.294677
rule_intervention,80,41.521829,25.597058,0.000000,2.000000
rule_intervention,81,45.293570,25.577023,0.000000,2.076091
rule_intervention,82,37.119405,25.766237,0.000000,2.264679
rule_intervention,83,41.061581,25.445634,0.000000,2.000000
rule_intervention,84,44.820411,25.413914,0.000000,2.053079
rule_intervention,85,48.407676,25.591785,0.000000,2.241021
rule_intervention,86,39.290670,25.950946,0.000000,2.420384
rule_intervention,87,43.222813,25.765708,0.000000,2.000000
rule_intervention,88,46.956884,25.824049,0.000000,2.161141
rule_intervention,89,38.331355,26.082513,0.000000,2.347844
rule_intervention,90,42.314488,25.818282,0.000000,2.000000
rule_intervention,91,46.099827,25.821933,0.000000,2.115724
rule_intervention,92,37.734209,26.033450,0.000000,2.304991
rule_intervention,93,41.720481,25.731834,0.000000,2.000000
rule_intervention,94,45.512957,25.710595,0.000000,2.086024
rule_intervention,95,37.301314,25.899854,0.000000,2.275648
rule_intervention,96,41.268452,25.579959,0.000000,2.000000
goal_intervention,1,70.000000,50.000000,30.000000,0.000000
goal_intervention,2,56.531550,46.050000,30.010000,10.500000
goal_intervention,3,46.018196,41.714635,30.118570,9.825577
goal_intervention,4,37.535445,37.190133,30.333570,9.289053
goal_intervention,5,37.169760,32.567167,30.657812,8.966643
goal_intervention,6,35.815562,28.331427,31.091792,8.934219
goal_intervention,7,33.638718,24.377770,31.623855,8.890821
goal_intervention,8,30.768362,20.622242,32.245181,8.837615
goal_intervention,9,27.304565,16.997574,32.949212,8.775482
goal_intervention,10,23.324387,13.449620,33.731186,8.705079
goal_intervention,11,18.886650,9.934549,34.587785,8.626881
goal_intervention,12,14.035703,6.416627,35.516841,8.541222
goal_intervention,13,8.804385,2.866462,36.517122,8.448316
goal_intervention,14,3.394062,0.000000,37.588152,8.348288
goal_intervention,15,0.000000,0.000000,38.711565,8.241185
goal_intervention,16,0.000000,0.000000,39.814757,8.128843
goal_intervention,17,0.000000,0.000000,40.898092,8.018524
goal_intervention,18,0.000000,0.000000,41.961926,7.910191
goal_intervention,19,0.000000,0.000000,43.006611,7.803807
goal_intervention,20,0.000000,0.000000,44.032492,7.699339
goal_intervention,21,0.000000,0.000000,45.039907,7.596751
goal_intervention,22,0.000000,0.000000,46.029189,7.496009
goal_intervention,23,0.000000,0.000000,47.000664,7.397081
goal_intervention,24,0.000000,0.000000,47.954652,7.299934
goal_intervention,25,0.000000,0.000000,48.891468,7.204535
goal_intervention,26,0.000000,0.000000,49.811422,7.110853
goal_intervention,27,0.000000,0.000000,50.714816,7.018858
goal_intervention,28,0.000000,0.000000,51.601949,6.928518
goal_intervention,29,0.000000,0.000000,52.473114,6.839805
goal_intervention,30,0.000000,0.000000,53.328598,6.752689
goal_intervention,31,0.000000,0.000000,54.168683,6.667140
goal_intervention,32,0.000000,0.000000,54.993647,6.583132
goal_intervention,33,0.000000,0.000000,55.803761,6.500635
goal_intervention,34,0.000000,0.000000,56.599294,6.419624
goal_intervention,35,0.000000,0.000000,57.380506,6.340071
goal_intervention,36,0.000000,0.000000,58.147657,6.261949
goal_intervention,37,0.000000,0.000000,58.901000,6.185234
goal_intervention,38,0.000000,0.000000,59.640782,6.109900
goal_intervention,39,0.000000,0.000000,60.367247,6.035922
goal_intervention,40,0.000000,0.000000,61.080637,5.963275
goal_intervention,41,0.000000,0.000000,61.781186,5.891936
goal_intervention,42,0.000000,0.000000,62.469124,5.821881
goal_intervention,43,0.000000,0.000000,63.144680,5.753088
goal_intervention,44,0.000000,0.000000,63.808076,5.685532
goal_intervention,45,0.000000,0.000000,64.459530,5.619192
goal_intervention,46,0.000000,0.000000,65.099259,5.554047
goal_intervention,47,0.000000,0.000000,65.727472,5.490074
goal_intervention,48,0.000000,0.000000,66.344378,5.427253
goal_intervention,49,0.000000,0.000000,66.950179,5.365562
goal_intervention,50,0.000000,0.000000,67.545076,5.304982
goal_intervention,51,0.000000,0.000000,68.129264,5.245492
goal_intervention,52,0.000000,0.000000,68.702938,5.187074
goal_intervention,53,0.000000,0.000000,69.266285,5.129706
goal_intervention,54,0.000000,0.000000,69.819492,5.073372
goal_intervention,55,0.000000,0.000000,70.362741,5.018051
goal_intervention,56,0.000000,0.000000,70.896211,4.963726
goal_intervention,57,0.000000,0.000000,71.420080,4.910379
goal_intervention,58,0.000000,0.000000,71.934518,4.857992
goal_intervention,59,0.000000,0.000000,72.439697,4.806548
goal_intervention,60,0.000000,0.000000,72.935782,4.756030
goal_intervention,61,0.000000,0.000000,73.422938,4.706422
goal_intervention,62,0.000000,0.000000,73.901325,4.657706
goal_intervention,63,0.000000,0.000000,74.371101,4.609867
goal_intervention,64,0.000000,0.000000,74.832422,4.562890
goal_intervention,65,0.000000,0.000000,75.285438,4.516758
goal_intervention,66,0.000000,0.000000,75.730300,4.471456
goal_intervention,67,0.000000,0.000000,76.167155,4.426970
goal_intervention,68,0.000000,0.000000,76.596146,4.383285
goal_intervention,69,0.000000,0.000000,77.017415,4.340385
goal_intervention,70,0.000000,0.000000,77.431102,4.298258
goal_intervention,71,0.000000,0.000000,77.837342,4.256890
goal_intervention,72,0.000000,0.000000,78.236270,4.216266
goal_intervention,73,0.000000,0.000000,78.628017,4.176373
goal_intervention,74,0.000000,0.000000,79.012713,4.137198
goal_intervention,75,0.000000,0.000000,79.390484,4.098729
goal_intervention,76,0.000000,0.000000,79.761455,4.060952
goal_intervention,77,0.000000,0.000000,80.125749,4.023854
goal_intervention,78,0.000000,0.000000,80.483485,3.987425
goal_intervention,79,0.000000,0.000000,80.834783,3.951651
goal_intervention,80,0.000000,0.000000,81.179757,3.916522
goal_intervention,81,0.000000,0.000000,81.518521,3.882024
goal_intervention,82,0.000000,0.000000,81.851188,3.848148
goal_intervention,83,0.000000,0.000000,82.177866,3.814881
goal_intervention,84,0.000000,0.000000,82.498665,3.782213
goal_intervention,85,0.000000,0.000000,82.813689,3.750134
goal_intervention,86,0.000000,0.000000,83.123042,3.718631
goal_intervention,87,0.000000,0.000000,83.426828,3.687696
goal_intervention,88,0.000000,0.000000,83.725145,3.657317
goal_intervention,89,0.000000,0.000000,84.018092,3.627486
goal_intervention,90,0.000000,0.000000,84.305766,3.598191
goal_intervention,91,0.000000,0.000000,84.588263,3.569423
goal_intervention,92,0.000000,0.000000,84.865674,3.541174
goal_intervention,93,0.000000,0.000000,85.138092,3.513433
goal_intervention,94,0.000000,0.000000,85.405606,3.486191
goal_intervention,95,0.000000,0.000000,85.668305,3.459439
goal_intervention,96,0.000000,0.000000,85.926276,3.433169
