scenario,time,state,pressure,resilience,learning_capacity,intervention,buffer_remaining
parameter_intervention,1,70.0,50.0,30.0,0.0,0.0,0.0
parameter_intervention,2,75.03625,47.25,28.75,0.0,6.5,0.0
parameter_intervention,3,79.347593,45.097157,27.56875,0.0,6.676269,0.0
parameter_intervention,4,83.088636,43.441845,26.441321,0.0,6.827166,0.0
parameter_intervention,5,86.387116,42.203199,25.355275,0.0,6.958102,0.0
parameter_intervention,6,89.348892,41.315734,24.300195,0.0,7.073549,0.0
parameter_intervention,7,92.062033,40.726569,23.267302,0.0,7.177211,0.0
parameter_intervention,8,94.56904,40.370514,22.249137,0.0,7.347715,0.0
parameter_intervention,9,96.932519,40.216996,21.239875,0.0,7.50013,0.0
parameter_intervention,10,99.205369,40.241457,20.23445,0.0,7.638968,0.0
parameter_intervention,11,101.432595,40.424325,19.228413,0.0,7.767995,0.0
parameter_intervention,12,103.652804,40.750169,18.217805,0.0,7.890374,0.0
parameter_intervention,13,105.89943,41.207004,17.199051,0.0,8.008779,0.0
parameter_intervention,14,108.201957,41.785867,16.168876,0.0,8.125016,0.0
parameter_intervention,15,110.586578,42.480204,15.124229,0.0,8.241056,0.0
parameter_intervention,16,113.076906,43.285494,14.062224,0.0,8.358611,0.0
parameter_intervention,17,115.69455,44.19894,12.980087,0.0,8.479181,0.0
parameter_intervention,18,118.459606,45.21922,11.875113,0.0,8.604101,0.0
parameter_intervention,19,121.391065,46.346285,10.744633,0.0,8.734578,0.0
parameter_intervention,20,124.507156,47.581193,9.585976,0.0,8.871717,0.0
parameter_intervention,21,127.825639,48.925983,8.396446,0.0,9.016549,0.0
parameter_intervention,22,131.364054,50.383566,7.173296,0.0,9.170051,0.0
parameter_intervention,23,135.139936,51.957649,5.913707,0.0,9.33316,0.0
parameter_intervention,24,139.171006,53.65267,4.614766,0.0,9.506792,0.0
parameter_intervention,25,143.475332,55.473754,3.273449,0.0,9.691851,0.0
parameter_intervention,26,148.071482,57.426679,1.886605,0.0,9.889244,0.0
parameter_intervention,27,152.978653,59.517851,0.450938,0.0,10.099886,0.0
parameter_intervention,28,158.170136,61.754299,0.0,0.0,10.324714,0.0
parameter_intervention,29,163.635749,64.099405,0.0,0.0,10.563054,0.0
parameter_intervention,30,169.383006,66.540516,0.0,0.0,10.814816,0.0
parameter_intervention,31,175.420588,69.08452,0.0,0.0,11.080535,0.0
parameter_intervention,32,181.758243,71.738116,0.0,0.0,11.360793,0.0
parameter_intervention,33,188.406695,74.507897,0.0,0.0,11.656218,0.0
parameter_intervention,34,195.377868,77.400619,0.0,0.0,11.966786,0.0
parameter_intervention,35,202.684779,80.423186,0.0,0.0,12.292762,0.0
parameter_intervention,36,210.341414,83.58262,0.0,0.0,12.634712,0.0
parameter_intervention,37,218.362715,86.886106,0.0,0.0,12.993258,0.0
parameter_intervention,38,226.764569,90.341026,0.0,0.0,13.369069,0.0
parameter_intervention,39,235.563813,93.954995,0.0,0.0,13.76286,0.0
parameter_intervention,40,244.778238,97.735892,0.0,0.0,14.175401,0.0
parameter_intervention,41,254.426608,101.691885,0.0,0.0,14.60751,0.0
parameter_intervention,42,264.528676,105.831462,0.0,0.0,15.060052,0.0
parameter_intervention,43,275.105217,110.163455,0.0,0.0,15.533944,0.0
parameter_intervention,44,286.178053,114.697064,0.0,0.0,16.030151,0.0
parameter_intervention,45,297.770089,119.441885,0.0,0.0,16.549689,0.0
parameter_intervention,46,309.905356,124.407934,0.0,0.0,17.093627,0.0
parameter_intervention,47,322.609053,129.605668,0.0,0.0,17.663087,0.0
parameter_intervention,48,335.907591,135.046018,0.0,0.0,18.259247,0.0
parameter_intervention,49,349.828648,140.740405,0.0,0.0,18.883344,0.0
parameter_intervention,50,364.401218,146.700771,0.0,0.0,19.536673,0.0
parameter_intervention,51,379.655673,152.939609,0.0,0.0,20.220594,0.0
parameter_intervention,52,395.623822,159.469983,0.0,0.0,20.936529,0.0
parameter_intervention,53,412.338974,166.305561,0.0,0.0,21.68597,0.0
parameter_intervention,54,429.836008,173.460645,0.0,0.0,22.470478,0.0
parameter_intervention,55,448.151441,180.950201,0.0,0.0,23.29169,0.0
parameter_intervention,56,467.323508,188.789888,0.0,0.0,24.151319,0.0
parameter_intervention,57,487.392237,196.996096,0.0,0.0,25.051158,0.0
parameter_intervention,58,508.399534,205.585978,0.0,0.0,25.993086,0.0
parameter_intervention,59,530.389266,214.577487,0.0,0.0,26.979068,0.0
parameter_intervention,60,553.407358,223.989413,0.0,0.0,28.011164,0.0
parameter_intervention,61,577.501885,233.841422,0.0,0.0,29.091529,0.0
parameter_intervention,62,602.723172,244.1541,0.0,0.0,30.222419,0.0
parameter_intervention,63,629.123898,254.948995,0.0,0.0,31.406195,0.0
parameter_intervention,64,656.759208,266.248659,0.0,0.0,32.645329,0.0
parameter_intervention,65,685.686828,278.076701,0.0,0.0,33.942411,0.0
parameter_intervention,66,715.967184,290.457831,0.0,0.0,35.300149,0.0
parameter_intervention,67,747.663527,303.417915,0.0,0.0,36.72138,0.0
parameter_intervention,68,780.842069,316.984029,0.0,0.0,38.209071,0.0
parameter_intervention,69,815.572116,331.184512,0.0,0.0,39.766331,0.0
parameter_intervention,70,851.926219,346.04903,0.0,0.0,41.396412,0.0
parameter_intervention,71,889.980318,361.608637,0.0,0.0,43.10272,0.0
parameter_intervention,72,929.813907,377.895836,0.0,0.0,44.888819,0.0
parameter_intervention,73,971.510198,394.944652,0.0,0.0,46.75844,0.0
parameter_intervention,74,1015.156292,412.790701,0.0,0.0,48.715488,0.0
parameter_intervention,75,1060.843366,431.471263,0.0,0.0,50.764052,0.0
parameter_intervention,76,1108.666858,451.025361,0.0,0.0,52.908411,0.0
parameter_intervention,77,1158.726672,471.493846,0.0,0.0,55.153045,0.0
parameter_intervention,78,1211.12738,492.919474,0.0,0.0,57.502642,0.0
parameter_intervention,79,1265.978448,515.347004,0.0,0.0,59.962111,0.0
parameter_intervention,80,1323.394459,538.823288,0.0,0.0,62.53659,0.0
parameter_intervention,81,1383.495354,563.397368,0.0,0.0,65.231457,0.0
parameter_intervention,82,1446.406682,589.120577,0.0,0.0,68.05234,0.0
parameter_intervention,83,1512.259866,616.046653,0.0,0.0,71.005134,0.0
parameter_intervention,84,1581.192472,644.231843,0.0,0.0,74.096006,0.0
parameter_intervention,85,1653.348499,673.735026,0.0,0.0,77.331413,0.0
parameter_intervention,86,1728.87868,704.617834,0.0,0.0,80.718114,0.0
parameter_intervention,87,1807.940798,736.944782,0.0,0.0,84.263184,0.0
parameter_intervention,88,1890.700012,770.783399,0.0,0.0,87.974028,0.0
parameter_intervention,89,1977.329206,806.204374,0.0,0.0,91.858398,0.0
parameter_intervention,90,2068.009347,843.281702,0.0,0.0,95.924409,0.0
parameter_intervention,91,2162.929865,882.092837,0.0,0.0,100.180555,0.0
parameter_intervention,92,2262.289049,922.718854,0.0,0.0,104.635725,0.0
parameter_intervention,93,2366.294459,965.244622,0.0,0.0,109.299229,0.0
parameter_intervention,94,2475.163361,1009.758977,0.0,0.0,114.180806,0.0
parameter_intervention,95,2589.123181,1056.354907,0.0,0.0,119.290656,0.0
parameter_intervention,96,2708.411981,1105.129753,0.0,0.0,124.639452,0.0
buffer_intervention,1,70.0,50.0,30.0,0.0,0.0,18.0
buffer_intervention,2,75.77625,47.75,28.75,0.0,3.5,13.36
buffer_intervention,3,80.931836,46.114187,27.55625,0.0,3.702169,8.945
buffer_intervention,4,85.615773,44.993191,26.403395,0.0,3.882614,4.693581
buffer_intervention,5,89.95148,44.306861,25.278566,0.0,4.046552,0.554262
buffer_intervention,6,94.426177,44.300873,24.170894,0.0,4.198302,0.36
buffer_intervention,7,98.81097,44.621516,23.063372,0.0,4.354916,0.36
buffer_intervention,8,103.125971,45.192504,21.947834,0.0,4.595028,0.36
buffer_intervention,9,107.433034,45.990268,20.818022,0.0,4.823387,0.36
buffer_intervention,10,111.785935,46.996617,19.668265,0.0,5.044393,0.36
buffer_intervention,11,116.231981,48.197872,18.49335,0.0,5.26178,0.36
buffer_intervention,12,120.810969,49.582415,17.288403,0.0,5.484512,0.36
buffer_intervention,13,125.56033,51.143265,16.048842,0.0,5.710548,0.36
buffer_intervention,14,130.514678,52.87639,14.770261,0.0,5.941501,0.36
buffer_intervention,15,135.706301,54.780079,13.448351,0.0,6.179509,0.36
buffer_intervention,16,141.165798,56.854626,12.078849,0.0,6.42651,0.36
buffer_intervention,17,146.922621,59.102077,10.657483,0.0,6.684283,0.36
buffer_intervention,18,153.005553,61.526037,9.179931,0.0,6.954456,0.36
buffer_intervention,19,159.443089,64.131506,7.641781,0.0,7.238599,0.36
buffer_intervention,20,166.263775,66.924747,6.038493,0.0,7.538228,0.36
buffer_intervention,21,173.496508,69.913196,4.365374,0.0,7.854827,0.36
buffer_intervention,22,181.170797,73.105389,2.617544,0.0,8.189865,0.36
buffer_intervention,23,189.317001,76.510913,0.78991,0.0,8.544817,0.36
buffer_intervention,24,197.916009,80.140371,0.0,0.0,8.921178,0.36
buffer_intervention,25,206.951996,83.957447,0.0,0.0,9.318707,0.36
buffer_intervention,26,216.439546,87.937933,0.0,0.0,9.737276,0.36
buffer_intervention,27,226.394814,92.092138,0.0,0.0,10.177832,0.36
buffer_intervention,28,236.835417,96.430268,0.0,0.0,10.64138,0.36
buffer_intervention,29,247.780348,100.962525,0.0,0.0,11.128995,0.36
buffer_intervention,30,259.250234,105.699406,0.0,0.0,11.641052,0.36
buffer_intervention,31,271.267315,110.651765,0.0,0.0,12.178038,0.36
buffer_intervention,32,283.855276,115.830733,0.0,0.0,12.740949,0.36
buffer_intervention,33,297.03924,121.247779,0.0,0.0,13.330857,0.36
buffer_intervention,34,310.845784,126.914755,0.0,0.0,13.948905,0.36
buffer_intervention,35,325.302954,132.843939,0.0,0.0,14.596308,0.36
buffer_intervention,36,340.440295,139.048085,0.0,0.0,15.274357,0.36
buffer_intervention,37,356.288888,145.540452,0.0,0.0,15.98442,0.36
buffer_intervention,38,372.881397,152.334851,0.0,0.0,16.72794,0.36
buffer_intervention,39,390.252116,159.445681,0.0,0.0,17.506438,0.36
buffer_intervention,40,408.437029,166.887965,0.0,0.0,18.321511,0.36
buffer_intervention,41,427.473876,174.677388,0.0,0.0,19.17484,0.36
buffer_intervention,42,447.402217,182.830337,0.0,0.0,20.06819,0.36
buffer_intervention,43,468.263514,191.363939,0.0,0.0,21.003411,0.36
buffer_intervention,44,490.101205,200.296097,0.0,0.0,21.982444,0.36
buffer_intervention,45,512.960796,209.645535,0.0,0.0,23.007324,0.36
buffer_intervention,46,536.889943,219.431838,0.0,0.0,24.080183,0.36
buffer_intervention,47,561.938556,229.675492,0.0,0.0,25.203256,0.36
buffer_intervention,48,588.158897,240.397932,0.0,0.0,26.378883,0.36
buffer_intervention,49,615.605687,251.621586,0.0,0.0,27.609514,0.36
buffer_intervention,50,644.336218,263.369926,0.0,0.0,28.897717,0.36
buffer_intervention,51,674.410472,275.667514,0.0,0.0,30.24618,0.36
buffer_intervention,52,705.891243,288.540056,0.0,0.0,31.657716,0.36
buffer_intervention,53,738.844271,302.014457,0.0,0.0,33.135272,0.36
buffer_intervention,54,773.338373,316.118875,0.0,0.0,34.681933,0.36
buffer_intervention,55,809.44559,330.882784,0.0,0.0,36.300928,0.36
buffer_intervention,56,847.241337,346.337033,0.0,0.0,37.995639,0.36
buffer_intervention,57,886.804557,362.513912,0.0,0.0,39.769604,0.36
buffer_intervention,58,928.217888,379.447221,0.0,0.0,41.626528,0.36
buffer_intervention,59,971.567835,397.172336,0.0,0.0,43.57029,0.36
buffer_intervention,60,1016.944948,415.726289,0.0,0.0,45.60495,0.36
buffer_intervention,61,1064.444015,435.147842,0.0,0.0,47.734757,0.36
buffer_intervention,62,1114.164256,455.477569,0.0,0.0,49.964161,0.36
buffer_intervention,63,1166.209534,476.757941,0.0,0.0,52.297817,0.36
buffer_intervention,64,1220.688567,499.033413,0.0,0.0,54.740602,0.36
buffer_intervention,65,1277.715159,522.35052,0.0,0.0,57.297617,0.36
buffer_intervention,66,1337.408437,546.757973,0.0,0.0,59.974205,0.36
buffer_intervention,67,1399.893097,572.30676,0.0,0.0,62.775956,0.36
buffer_intervention,68,1465.299668,599.050251,0.0,0.0,65.708722,0.36
buffer_intervention,69,1533.764782,627.044316,0.0,0.0,68.778631,0.36
buffer_intervention,70,1605.431462,656.347434,0.0,0.0,71.992096,0.36
buffer_intervention,71,1680.449419,687.020818,0.0,0.0,75.355829,0.36
buffer_intervention,72,1758.975362,719.128547,0.0,0.0,78.876856,0.36
buffer_intervention,73,1841.173332,752.737693,0.0,0.0,82.562534,0.36
buffer_intervention,74,1927.21504,787.918465,0.0,0.0,86.420562,0.36
buffer_intervention,75,2017.280224,824.744357,0.0,0.0,90.458998,0.36
buffer_intervention,76,2111.557032,863.292297,0.0,0.0,94.68628,0.36
buffer_intervention,77,2210.242404,903.642811,0.0,0.0,99.111237,0.36
buffer_intervention,78,2313.542495,945.880192,0.0,0.0,103.743115,0.36
buffer_intervention,79,2421.673097,990.092673,0.0,0.0,108.591587,0.36
buffer_intervention,80,2534.860094,1036.372614,0.0,0.0,113.666784,0.36
buffer_intervention,81,2653.339932,1084.816693,0.0,0.0,118.979307,0.36
buffer_intervention,82,2777.360116,1135.52611,0.0,0.0,124.540253,0.36
buffer_intervention,83,2907.17972,1188.606796,0.0,0.0,130.36124,0.36
buffer_intervention,84,3043.069939,1244.169637,0.0,0.0,136.454428,0.36
buffer_intervention,85,3185.314645,1302.330702,0.0,0.0,142.832544,0.36
buffer_intervention,86,3334.210986,1363.21149,0.0,0.0,149.508914,0.36
buffer_intervention,87,3490.070005,1426.93918,0.0,0.0,156.497483,0.36
buffer_intervention,88,3653.217291,1493.646898,0.0,0.0,163.812852,0.36
buffer_intervention,89,3823.993656,1563.473997,0.0,0.0,171.470301,0.36
buffer_intervention,90,4002.755852,1636.566346,0.0,0.0,179.485827,0.36
buffer_intervention,91,4189.87731,1713.076632,0.0,0.0,187.876174,0.36
buffer_intervention,92,4385.748926,1793.164685,0.0,0.0,196.658871,0.36
buffer_intervention,93,4590.779874,1876.99781,0.0,0.0,205.852262,0.36
buffer_intervention,94,4805.398462,1964.751132,0.0,0.0,215.475555,0.36
buffer_intervention,95,5030.053026,2056.607967,0.0,0.0,225.548851,0.36
buffer_intervention,96,5265.212868,2152.760204,0.0,0.0,236.093194,0.36
delay_intervention,1,70.0,50.0,30.0,0.0,0.0,0.0
delay_intervention,2,76.27225,48.15,28.75,0.0,3.5,0.0
delay_intervention,3,81.931904,46.861474,27.54625,0.0,3.813613,0.0
delay_intervention,4,87.126527,46.048346,26.374713,0.0,4.096595,0.0
delay_intervention,5,91.979088,45.640965,25.223505,0.0,4.356326,0.0
delay_intervention,6,96.592534,45.583188,24.08248,0.0,4.598954,0.0
delay_intervention,7,101.053527,45.829991,22.942901,0.0,4.829627,0.0
delay_intervention,8,105.435529,46.34552,21.797151,0.0,5.052676,0.0
delay_intervention,9,109.801328,47.101491,20.638513,0.0,5.271776,0.0
delay_intervention,10,114.205122,48.07589,19.460976,0.0,5.490066,0.0
delay_intervention,11,118.694228,49.251902,18.259078,0.0,5.710256,0.0
delay_intervention,12,123.310499,50.61705,17.027781,0.0,5.934711,0.0
delay_intervention,13,128.091491,52.162482,15.762355,0.0,6.165525,0.0
delay_intervention,14,133.071428,53.882397,14.458293,0.0,6.404575,0.0
delay_intervention,15,138.282009,55.773578,13.111233,0.0,6.653571,0.0
delay_intervention,16,143.753079,57.835017,11.716893,0.0,6.9141,0.0
delay_intervention,17,149.513184,60.067609,10.271018,0.0,7.187654,0.0
delay_intervention,18,155.59005,62.473909,8.769328,0.0,7.475659,0.0
delay_intervention,19,162.010986,65.057936,7.20748,0.0,7.779503,0.0
delay_intervention,20,168.80322,67.825027,5.581031,0.0,8.100549,0.0
delay_intervention,21,175.994203,70.781711,3.885406,0.0,8.440161,0.0
delay_intervention,22,183.611869,73.935622,2.115863,0.0,8.79971,0.0
delay_intervention,23,191.684861,77.295434,0.267472,0.0,9.180593,0.0
delay_intervention,24,200.167819,80.870813,0.0,0.0,9.584243,0.0
delay_intervention,25,209.062654,84.60167,0.0,0.0,10.008391,0.0
delay_intervention,26,218.382714,88.485966,0.0,0.0,10.453133,0.0
delay_intervention,27,228.142886,92.533278,0.0,0.0,10.919136,0.0
delay_intervention,28,238.359496,96.753142,0.0,0.0,11.407144,0.0
delay_intervention,29,249.050236,101.155131,0.0,0.0,11.917975,0.0
delay_intervention,30,260.234117,105.748933,0.0,0.0,12.452512,0.0
delay_intervention,31,271.931429,110.544405,0.0,0.0,13.011706,0.0
delay_intervention,32,284.163731,115.551637,0.0,0.0,13.596571,0.0
delay_intervention,33,296.953837,120.780995,0.0,0.0,14.208187,0.0
delay_intervention,34,310.325828,126.243166,0.0,0.0,14.847692,0.0
delay_intervention,35,324.305064,131.949202,0.0,0.0,15.516291,0.0
delay_intervention,36,338.918208,137.910552,0.0,0.0,16.215253,0.0
delay_intervention,37,354.193255,144.139104,0.0,0.0,16.94591,0.0
delay_intervention,38,370.159571,150.647214,0.0,0.0,17.709663,0.0
delay_intervention,39,386.847933,157.447741,0.0,0.0,18.507979,0.0
delay_intervention,40,404.290581,164.554081,0.0,0.0,19.342397,0.0
delay_intervention,41,422.521264,171.980195,0.0,0.0,20.214529,0.0
delay_intervention,42,441.575308,179.740647,0.0,0.0,21.126063,0.0
delay_intervention,43,461.489666,187.850631,0.0,0.0,22.078765,0.0
delay_intervention,44,482.302997,196.326006,0.0,0.0,23.074483,0.0
delay_intervention,45,504.055725,205.18333,0.0,0.0,24.11515,0.0
delay_intervention,46,526.790124,214.439895,0.0,0.0,25.202786,0.0
delay_intervention,47,550.55039,224.113762,0.0,0.0,26.339506,0.0
delay_intervention,48,575.382728,234.223794,0.0,0.0,27.527519,0.0
delay_intervention,49,601.335441,244.789703,0.0,0.0,28.769136,0.0
delay_intervention,50,628.45902,255.832079,0.0,0.0,30.066772,0.0
delay_intervention,51,656.806241,267.372438,0.0,0.0,31.422951,0.0
delay_intervention,52,686.432268,279.433262,0.0,0.0,32.840312,0.0
delay_intervention,53,717.394759,292.038043,0.0,0.0,34.321613,0.0
delay_intervention,54,749.753977,305.211331,0.0,0.0,35.869738,0.0
delay_intervention,55,783.572908,318.97878,0.0,0.0,37.487699,0.0
delay_intervention,56,818.91738,333.3672,0.0,0.0,39.178645,0.0
delay_intervention,57,855.856195,348.404607,0.0,0.0,40.945869,0.0
delay_intervention,58,894.46126,364.120284,0.0,0.0,42.79281,0.0
delay_intervention,59,934.807727,380.544827,0.0,0.0,44.723063,0.0
delay_intervention,60,976.974139,397.710218,0.0,0.0,46.740386,0.0
delay_intervention,61,1021.042583,415.649876,0.0,0.0,48.848707,0.0
delay_intervention,62,1067.098851,434.398729,0.0,0.0,51.052129,0.0
delay_intervention,63,1115.232603,453.99328,0.0,0.0,53.354943,0.0
delay_intervention,64,1165.537548,474.471678,0.0,0.0,55.76163,0.0
delay_intervention,65,1218.111618,495.873792,0.0,0.0,58.276877,0.0
delay_intervention,66,1273.057165,518.24129,0.0,0.0,60.905581,0.0
delay_intervention,67,1330.481159,541.617718,0.0,0.0,63.652858,0.0
delay_intervention,68,1390.495394,566.048587,0.0,0.0,66.524058,0.0
delay_intervention,69,1453.216707,591.581461,0.0,0.0,69.52477,0.0
delay_intervention,70,1518.767206,618.266048,0.0,0.0,72.660835,0.0
delay_intervention,71,1587.274508,646.1543,0.0,0.0,75.93836,0.0
delay_intervention,72,1658.871983,675.300511,0.0,0.0,79.363725,0.0
delay_intervention,73,1733.699022,705.761424,0.0,0.0,82.943599,0.0
delay_intervention,74,1811.9013,737.596342,0.0,0.0,86.684951,0.0
delay_intervention,75,1893.631064,770.867243,0.0,0.0,90.595065,0.0
delay_intervention,76,1979.047429,805.6389,0.0,0.0,94.681553,0.0
delay_intervention,77,2068.316688,841.979007,0.0,0.0,98.952371,0.0
delay_intervention,78,2161.612632,879.958314,0.0,0.0,103.415834,0.0
delay_intervention,79,2259.116895,919.650761,0.0,0.0,108.080632,0.0
delay_intervention,80,2361.019301,961.133622,0.0,0.0,112.955845,0.0
delay_intervention,81,2467.518238,1004.487657,0.0,0.0,118.050965,0.0
delay_intervention,82,2578.821044,1049.797271,0.0,0.0,123.375912,0.0
delay_intervention,83,2695.144406,1097.150674,0.0,0.0,128.941052,0.0
delay_intervention,84,2816.714788,1146.640056,0.0,0.0,134.75722,0.0
delay_intervention,85,2943.768869,1198.361764,0.0,0.0,140.835739,0.0
delay_intervention,86,3076.554002,1252.416493,0.0,0.0,147.188443,0.0
delay_intervention,87,3215.328699,1308.909479,0.0,0.0,153.8277,0.0
delay_intervention,88,3360.363132,1367.950704,0.0,0.0,160.766435,0.0
delay_intervention,89,3511.93966,1429.655113,0.0,0.0,168.018157,0.0
delay_intervention,90,3670.35338,1494.142834,0.0,0.0,175.596983,0.0
delay_intervention,91,3835.912697,1561.539415,0.0,0.0,183.517669,0.0
delay_intervention,92,4008.939929,1631.976066,0.0,0.0,191.795635,0.0
delay_intervention,93,4189.771933,1705.589916,0.0,0.0,200.446996,0.0
delay_intervention,94,4378.76076,1782.52428,0.0,0.0,209.488597,0.0
