time,process,state,target,delay,correction_strength
15,stock_flow,56.7483,60.0,0,0.08
16,reinforcing,8.354496,,0,
16,balancing,18.427624,20.0,0,0.15
16,logistic,8.25068,,0,
16,stock_flow,57.036055,60.0,0,0.08
17,reinforcing,9.189946,,0,
17,balancing,18.66348,20.0,0,0.15
17,logistic,8.914008,,0,
17,stock_flow,57.280646,60.0,0,0.08
18,reinforcing,10.108941,,0,
18,balancing,18.863958,20.0,0,0.15
18,logistic,9.602283,,0,
18,stock_flow,57.488549,60.0,0,0.08
19,reinforcing,11.119835,,0,
19,balancing,19.034365,20.0,0,0.15
19,logistic,10.311979,,0,
19,stock_flow,57.665267,60.0,0,0.08
20,reinforcing,12.231818,,0,
20,balancing,19.17921,20.0,0,0.15
20,logistic,11.038999,,0,
20,stock_flow,57.815477,60.0,0,0.08
21,reinforcing,13.455,,0,
21,balancing,19.302328,20.0,0,0.15
21,logistic,11.778753,,0,
21,stock_flow,57.943155,60.0,0,0.08
22,reinforcing,14.8005,,0,
22,balancing,19.406979,20.0,0,0.15
22,logistic,12.526256,,0,
22,stock_flow,58.051682,60.0,0,0.08
23,reinforcing,16.28055,,0,
23,balancing,19.495932,20.0,0,0.15
23,logistic,13.276253,,0,
23,stock_flow,58.14393,60.0,0,0.08
24,reinforcing,17.908605,,0,
24,balancing,19.571542,20.0,0,0.15
24,logistic,14.023361,,0,
24,stock_flow,58.22234,60.0,0,0.08
25,reinforcing,19.699465,,0,
25,balancing,19.635811,20.0,0,0.15
25,logistic,14.762222,,0,
25,stock_flow,58.288989,60.0,0,0.08
26,reinforcing,21.669412,,0,
26,balancing,19.690439,20.0,0,0.15
26,logistic,15.487657,,0,
26,stock_flow,58.345641,60.0,0,0.08
27,reinforcing,23.836353,,0,
27,balancing,19.736874,20.0,0,0.15
27,logistic,16.194812,,0,
27,stock_flow,58.393795,60.0,0,0.08
28,reinforcing,26.219988,,0,
28,balancing,19.776342,20.0,0,0.15
28,logistic,16.879284,,0,
28,stock_flow,58.434726,60.0,0,0.08
29,reinforcing,28.841987,,0,
29,balancing,19.809891,20.0,0,0.15
29,logistic,17.537229,,0,
29,stock_flow,58.469517,60.0,0,0.08
30,reinforcing,31.726186,,0,
30,balancing,19.838407,20.0,0,0.15
30,logistic,18.165435,,0,
30,stock_flow,58.499089,60.0,0,0.08
31,reinforcing,34.898805,,0,
31,balancing,19.862646,20.0,0,0.15
31,logistic,18.761369,,0,
31,stock_flow,58.524226,60.0,0,0.08
32,reinforcing,38.388685,,0,
32,balancing,19.883249,20.0,0,0.15
32,logistic,19.323186,,0,
32,stock_flow,58.545592,60.0,0,0.08
33,reinforcing,42.227553,,0,
33,balancing,19.900762,20.0,0,0.15
33,logistic,19.849718,,0,
33,stock_flow,58.563753,60.0,0,0.08
34,reinforcing,46.450309,,0,
34,balancing,19.915648,20.0,0,0.15
34,logistic,20.34043,,0,
34,stock_flow,58.57919,60.0,0,0.08
35,reinforcing,51.09534,,0,
35,balancing,19.928301,20.0,0,0.15
35,logistic,20.795363,,0,
35,stock_flow,58.592312,60.0,0,0.08
36,reinforcing,56.204874,,0,
36,balancing,19.939055,20.0,0,0.15
36,logistic,21.21506,,0,
36,stock_flow,58.603465,60.0,0,0.08
37,reinforcing,61.825361,,0,
37,balancing,19.948197,20.0,0,0.15
37,logistic,21.600489,,0,
37,stock_flow,58.612945,60.0,0,0.08
38,reinforcing,68.007897,,0,
38,balancing,19.955968,20.0,0,0.15
38,logistic,21.952958,,0,
38,stock_flow,58.621003,60.0,0,0.08
39,reinforcing,74.808687,,0,
39,balancing,19.962572,20.0,0,0.15
39,logistic,22.274038,,0,
39,stock_flow,58.627853,60.0,0,0.08
40,reinforcing,82.289556,,0,
40,balancing,19.968187,20.0,0,0.15
40,logistic,22.565485,,0,
40,stock_flow,58.633675,60.0,0,0.08
41,reinforcing,90.518511,,0,
41,balancing,19.972959,20.0,0,0.15
41,logistic,22.829178,,0,
41,stock_flow,58.638624,60.0,0,0.08
42,reinforcing,99.570362,,0,
42,balancing,19.977015,20.0,0,0.15
42,logistic,23.067057,,0,
42,stock_flow,58.64283,60.0,0,0.08
43,reinforcing,109.527398,,0,
43,balancing,19.980463,20.0,0,0.15
43,logistic,23.281076,,0,
43,stock_flow,58.646406,60.0,0,0.08
44,reinforcing,120.480138,,0,
44,balancing,19.983393,20.0,0,0.15
44,logistic,23.473164,,0,
44,stock_flow,58.649445,60.0,0,0.08
45,reinforcing,132.528152,,0,
45,balancing,19.985884,20.0,0,0.15
45,logistic,23.645195,,0,
45,stock_flow,58.652028,60.0,0,0.08
46,reinforcing,145.780967,,0,
46,balancing,19.988002,20.0,0,0.15
46,logistic,23.798961,,0,
46,stock_flow,58.654224,60.0,0,0.08
47,reinforcing,160.359064,,0,
47,balancing,19.989801,20.0,0,0.15
47,logistic,23.936162,,0,
47,stock_flow,58.65609,60.0,0,0.08
48,reinforcing,176.394971,,0,
48,balancing,19.991331,20.0,0,0.15
48,logistic,24.05839,,0,
48,stock_flow,58.657677,60.0,0,0.08
49,reinforcing,194.034468,,0,
49,balancing,19.992631,20.0,0,0.15
49,logistic,24.167127,,0,
49,stock_flow,58.659025,60.0,0,0.08
50,reinforcing,213.437914,,0,
50,balancing,19.993737,20.0,0,0.15
50,logistic,24.263742,,0,
50,stock_flow,58.660171,60.0,0,0.08
51,reinforcing,234.781706,,0,
51,balancing,19.994676,20.0,0,0.15
51,logistic,24.349491,,0,
51,stock_flow,58.661146,60.0,0,0.08
52,reinforcing,258.259876,,0,
52,balancing,19.995475,20.0,0,0.15
52,logistic,24.425521,,0,
52,stock_flow,58.661974,60.0,0,0.08
53,reinforcing,284.085864,,0,
53,balancing,19.996154,20.0,0,0.15
53,logistic,24.492874,,0,
53,stock_flow,58.662678,60.0,0,0.08
54,reinforcing,312.49445,,0,
54,balancing,19.996731,20.0,0,0.15
54,logistic,24.552495,,0,
54,stock_flow,58.663276,60.0,0,0.08
55,reinforcing,343.743895,,0,
55,balancing,19.997221,20.0,0,0.15
55,logistic,24.605234,,0,
55,stock_flow,58.663785,60.0,0,0.08
56,reinforcing,378.118285,,0,
56,balancing,19.997638,20.0,0,0.15
56,logistic,24.651858,,0,
56,stock_flow,58.664217,60.0,0,0.08
57,reinforcing,415.930113,,0,
57,balancing,19.997992,20.0,0,0.15
57,logistic,24.693053,,0,
57,stock_flow,58.664584,60.0,0,0.08
58,reinforcing,457.523125,,0,
58,balancing,19.998293,20.0,0,0.15
58,logistic,24.729435,,0,
58,stock_flow,58.664897,60.0,0,0.08
59,reinforcing,503.275437,,0,
59,balancing,19.998549,20.0,0,0.15
59,logistic,24.761551,,0,
59,stock_flow,58.665162,60.0,0,0.08
60,reinforcing,553.602981,,0,
60,balancing,19.998767,20.0,0,0.15
60,logistic,24.789892,,0,
60,stock_flow,58.665388,60.0,0,0.08
61,reinforcing,608.963279,,0,
61,balancing,19.998952,20.0,0,0.15
61,logistic,24.814893,,0,
61,stock_flow,58.66558,60.0,0,0.08
62,reinforcing,669.859607,,0,
62,balancing,19.999109,20.0,0,0.15
62,logistic,24.836942,,0,
62,stock_flow,58.665743,60.0,0,0.08
63,reinforcing,736.845568,,0,
63,balancing,19.999243,20.0,0,0.15
63,logistic,24.856381,,0,
63,stock_flow,58.665881,60.0,0,0.08
64,reinforcing,810.530124,,0,
64,balancing,19.999356,20.0,0,0.15
64,logistic,24.873516,,0,
64,stock_flow,58.665999,60.0,0,0.08
65,reinforcing,891.583137,,0,
65,balancing,19.999453,20.0,0,0.15
65,logistic,24.888618,,0,
65,stock_flow,58.666099,60.0,0,0.08
66,reinforcing,980.741451,,0,
66,balancing,19.999535,20.0,0,0.15
66,logistic,24.901924,,0,
66,stock_flow,58.666184,60.0,0,0.08
67,reinforcing,1078.815596,,0,
67,balancing,19.999605,20.0,0,0.15
67,logistic,24.913647,,0,
67,stock_flow,58.666257,60.0,0,0.08
68,reinforcing,1186.697155,,0,
68,balancing,19.999664,20.0,0,0.15
68,logistic,24.923973,,0,
68,stock_flow,58.666318,60.0,0,0.08
69,reinforcing,1305.366871,,0,
69,balancing,19.999714,20.0,0,0.15
69,logistic,24.933069,,0,
69,stock_flow,58.66637,60.0,0,0.08
70,reinforcing,1435.903558,,0,
70,balancing,19.999757,20.0,0,0.15
70,logistic,24.941079,,0,
70,stock_flow,58.666415,60.0,0,0.08
71,reinforcing,1579.493914,,0,
71,balancing,19.999794,20.0,0,0.15
71,logistic,24.948133,,0,
71,stock_flow,58.666453,60.0,0,0.08
72,reinforcing,1737.443305,,0,
72,balancing,19.999825,20.0,0,0.15
72,logistic,24.954344,,0,
72,stock_flow,58.666485,60.0,0,0.08
73,reinforcing,1911.187635,,0,
73,balancing,19.999851,20.0,0,0.15
73,logistic,24.959813,,0,
73,stock_flow,58.666512,60.0,0,0.08
74,reinforcing,2102.306399,,0,
74,balancing,19.999873,20.0,0,0.15
74,logistic,24.964627,,0,
74,stock_flow,58.666535,60.0,0,0.08
75,reinforcing,2312.537039,,0,
75,balancing,19.999892,20.0,0,0.15
75,logistic,24.968866,,0,
75,stock_flow,58.666555,60.0,0,0.08
76,reinforcing,2543.790743,,0,
76,balancing,19.999908,20.0,0,0.15
76,logistic,24.972598,,0,
76,stock_flow,58.666572,60.0,0,0.08
77,reinforcing,2798.169817,,0,
77,balancing,19.999922,20.0,0,0.15
77,logistic,24.975882,,0,
77,stock_flow,58.666586,60.0,0,0.08
78,reinforcing,3077.986799,,0,
78,balancing,19.999934,20.0,0,0.15
78,logistic,24.978774,,0,
78,stock_flow,58.666598,60.0,0,0.08
79,reinforcing,3385.785479,,0,
79,balancing,19.999944,20.0,0,0.15
79,logistic,24.981319,,0,
79,stock_flow,58.666608,60.0,0,0.08
80,reinforcing,3724.364027,,0,
80,balancing,19.999952,20.0,0,0.15
80,logistic,24.983559,,0,
80,stock_flow,58.666617,60.0,0,0.08
81,reinforcing,4096.800429,,0,
81,balancing,19.999959,20.0,0,0.15
81,logistic,24.98553,,0,
81,stock_flow,58.666625,60.0,0,0.08
82,reinforcing,4506.480472,,0,
82,balancing,19.999965,20.0,0,0.15
82,logistic,24.987266,,0,
82,stock_flow,58.666631,60.0,0,0.08
83,reinforcing,4957.128519,,0,
83,balancing,19.999971,20.0,0,0.15
83,logistic,24.988793,,0,
83,stock_flow,58.666636,60.0,0,0.08
84,reinforcing,5452.841371,,0,
84,balancing,19.999975,20.0,0,0.15
84,logistic,24.990137,,0,
84,stock_flow,58.666641,60.0,0,0.08
85,reinforcing,5998.125508,,0,
85,balancing,19.999979,20.0,0,0.15
85,logistic,24.99132,,0,
85,stock_flow,58.666645,60.0,0,0.08
86,reinforcing,6597.938059,,0,
86,balancing,19.999982,20.0,0,0.15
86,logistic,24.992362,,0,
86,stock_flow,58.666648,60.0,0,0.08
87,reinforcing,7257.731865,,0,
87,balancing,19.999985,20.0,0,0.15
87,logistic,24.993278,,0,
87,stock_flow,58.666651,60.0,0,0.08
88,reinforcing,7983.505052,,0,
88,balancing,19.999987,20.0,0,0.15
88,logistic,24.994084,,0,
88,stock_flow,58.666653,60.0,0,0.08
89,reinforcing,8781.855557,,0,
89,balancing,19.999989,20.0,0,0.15
89,logistic,24.994794,,0,
89,stock_flow,58.666655,60.0,0,0.08
90,reinforcing,9660.041112,,0,
90,balancing,19.999991,20.0,0,0.15
90,logistic,24.995419,,0,
90,stock_flow,58.666657,60.0,0,0.08
