scenario,time,policy_pressure,intervention_strength,behavioral_response,implementation_delay
metric_targeting,71,62.5,0.3,0.35,3
metric_targeting,72,62.5,0.3,0.35,3
maintenance_push,1,100.0,0.42,0.12,5
maintenance_push,2,98.5,0.42,0.12,5
maintenance_push,3,97.2025,0.42,0.12,5
maintenance_push,4,96.080163,0.42,0.12,5
maintenance_push,5,95.109341,0.42,0.12,5
maintenance_push,6,59.117167,0.42,0.12,5
maintenance_push,7,41.286645,0.42,0.12,5
maintenance_push,8,32.453404,0.42,0.12,5
maintenance_push,9,28.077416,0.42,0.12,5
maintenance_push,10,25.909552,0.42,0.12,5
maintenance_push,11,24.835592,0.42,0.12,5
maintenance_push,12,24.303552,0.42,0.12,5
maintenance_push,13,24.03998,0.42,0.12,5
maintenance_push,14,23.909406,0.42,0.12,5
maintenance_push,15,23.84472,0.42,0.12,5
maintenance_push,16,23.812674,0.42,0.12,5
maintenance_push,17,23.796799,0.42,0.12,5
maintenance_push,18,23.788934,0.42,0.12,5
maintenance_push,19,23.785038,0.42,0.12,5
maintenance_push,20,23.783108,0.42,0.12,5
maintenance_push,21,23.782152,0.42,0.12,5
maintenance_push,22,23.781678,0.42,0.12,5
maintenance_push,23,23.781443,0.42,0.12,5
maintenance_push,24,23.781327,0.42,0.12,5
maintenance_push,25,23.781269,0.42,0.12,5
maintenance_push,26,23.781241,0.42,0.12,5
maintenance_push,27,23.781227,0.42,0.12,5
maintenance_push,28,23.78122,0.42,0.12,5
maintenance_push,29,23.781216,0.42,0.12,5
maintenance_push,30,23.781215,0.42,0.12,5
maintenance_push,31,23.781214,0.42,0.12,5
maintenance_push,32,23.781213,0.42,0.12,5
maintenance_push,33,23.781213,0.42,0.12,5
maintenance_push,34,23.781213,0.42,0.12,5
maintenance_push,35,23.781213,0.42,0.12,5
maintenance_push,36,23.781213,0.42,0.12,5
maintenance_push,37,23.781213,0.42,0.12,5
maintenance_push,38,23.781213,0.42,0.12,5
maintenance_push,39,23.781213,0.42,0.12,5
maintenance_push,40,23.781213,0.42,0.12,5
maintenance_push,41,23.781213,0.42,0.12,5
maintenance_push,42,23.781213,0.42,0.12,5
maintenance_push,43,23.781213,0.42,0.12,5
maintenance_push,44,23.781213,0.42,0.12,5
maintenance_push,45,23.781213,0.42,0.12,5
maintenance_push,46,23.781213,0.42,0.12,5
maintenance_push,47,23.781213,0.42,0.12,5
maintenance_push,48,23.781213,0.42,0.12,5
maintenance_push,49,23.781213,0.42,0.12,5
maintenance_push,50,23.781213,0.42,0.12,5
maintenance_push,51,23.781213,0.42,0.12,5
maintenance_push,52,23.781213,0.42,0.12,5
maintenance_push,53,23.781213,0.42,0.12,5
maintenance_push,54,23.781213,0.42,0.12,5
maintenance_push,55,23.781213,0.42,0.12,5
maintenance_push,56,23.781213,0.42,0.12,5
maintenance_push,57,23.781213,0.42,0.12,5
maintenance_push,58,23.781213,0.42,0.12,5
maintenance_push,59,23.781213,0.42,0.12,5
maintenance_push,60,23.781213,0.42,0.12,5
maintenance_push,61,23.781213,0.42,0.12,5
maintenance_push,62,23.781213,0.42,0.12,5
maintenance_push,63,23.781213,0.42,0.12,5
maintenance_push,64,23.781213,0.42,0.12,5
maintenance_push,65,23.781213,0.42,0.12,5
maintenance_push,66,23.781213,0.42,0.12,5
maintenance_push,67,23.781213,0.42,0.12,5
maintenance_push,68,23.781213,0.42,0.12,5
maintenance_push,69,23.781213,0.42,0.12,5
maintenance_push,70,23.781213,0.42,0.12,5
maintenance_push,71,23.781213,0.42,0.12,5
maintenance_push,72,23.781213,0.42,0.12,5
congestion_pricing,1,100.0,0.28,-0.1,2
congestion_pricing,2,98.5,0.28,-0.1,2
congestion_pricing,3,69.2925,0.28,-0.1,2
congestion_pricing,4,45.780462,0.28,-0.1,2
congestion_pricing,5,26.853272,0.28,-0.1,2
congestion_pricing,6,11.616884,0.28,-0.1,2
congestion_pricing,7,0.0,0.28,-0.1,2
congestion_pricing,8,0.0,0.28,-0.1,2
congestion_pricing,9,0.0,0.28,-0.1,2
congestion_pricing,10,0.0,0.28,-0.1,2
congestion_pricing,11,0.0,0.28,-0.1,2
congestion_pricing,12,0.0,0.28,-0.1,2
congestion_pricing,13,0.0,0.28,-0.1,2
congestion_pricing,14,0.0,0.28,-0.1,2
congestion_pricing,15,0.0,0.28,-0.1,2
congestion_pricing,16,0.0,0.28,-0.1,2
congestion_pricing,17,0.0,0.28,-0.1,2
congestion_pricing,18,0.0,0.28,-0.1,2
congestion_pricing,19,0.0,0.28,-0.1,2
congestion_pricing,20,0.0,0.28,-0.1,2
congestion_pricing,21,0.0,0.28,-0.1,2
congestion_pricing,22,0.0,0.28,-0.1,2
congestion_pricing,23,0.0,0.28,-0.1,2
congestion_pricing,24,0.0,0.28,-0.1,2
congestion_pricing,25,0.0,0.28,-0.1,2
congestion_pricing,26,0.0,0.28,-0.1,2
congestion_pricing,27,0.0,0.28,-0.1,2
congestion_pricing,28,0.0,0.28,-0.1,2
congestion_pricing,29,0.0,0.28,-0.1,2
congestion_pricing,30,0.0,0.28,-0.1,2
congestion_pricing,31,0.0,0.28,-0.1,2
congestion_pricing,32,0.0,0.28,-0.1,2
congestion_pricing,33,0.0,0.28,-0.1,2
congestion_pricing,34,0.0,0.28,-0.1,2
congestion_pricing,35,0.0,0.28,-0.1,2
congestion_pricing,36,0.0,0.28,-0.1,2
congestion_pricing,37,0.0,0.28,-0.1,2
congestion_pricing,38,0.0,0.28,-0.1,2
congestion_pricing,39,0.0,0.28,-0.1,2
congestion_pricing,40,0.0,0.28,-0.1,2
congestion_pricing,41,0.0,0.28,-0.1,2
congestion_pricing,42,0.0,0.28,-0.1,2
congestion_pricing,43,0.0,0.28,-0.1,2
congestion_pricing,44,0.0,0.28,-0.1,2
congestion_pricing,45,0.0,0.28,-0.1,2
congestion_pricing,46,0.0,0.28,-0.1,2
congestion_pricing,47,0.0,0.28,-0.1,2
congestion_pricing,48,0.0,0.28,-0.1,2
congestion_pricing,49,0.0,0.28,-0.1,2
congestion_pricing,50,0.0,0.28,-0.1,2
congestion_pricing,51,0.0,0.28,-0.1,2
congestion_pricing,52,0.0,0.28,-0.1,2
congestion_pricing,53,0.0,0.28,-0.1,2
congestion_pricing,54,0.0,0.28,-0.1,2
congestion_pricing,55,0.0,0.28,-0.1,2
congestion_pricing,56,0.0,0.28,-0.1,2
congestion_pricing,57,0.0,0.28,-0.1,2
congestion_pricing,58,0.0,0.28,-0.1,2
congestion_pricing,59,0.0,0.28,-0.1,2
congestion_pricing,60,0.0,0.28,-0.1,2
congestion_pricing,61,0.0,0.28,-0.1,2
congestion_pricing,62,0.0,0.28,-0.1,2
congestion_pricing,63,0.0,0.28,-0.1,2
congestion_pricing,64,0.0,0.28,-0.1,2
congestion_pricing,65,0.0,0.28,-0.1,2
congestion_pricing,66,0.0,0.28,-0.1,2
congestion_pricing,67,0.0,0.28,-0.1,2
congestion_pricing,68,0.0,0.28,-0.1,2
congestion_pricing,69,0.0,0.28,-0.1,2
congestion_pricing,70,0.0,0.28,-0.1,2
congestion_pricing,71,0.0,0.28,-0.1,2
congestion_pricing,72,0.0,0.28,-0.1,2
trust_rebuilding,1,100.0,0.22,-0.18,8
trust_rebuilding,2,98.5,0.22,-0.18,8
trust_rebuilding,3,96.7525,0.22,-0.18,8
trust_rebuilding,4,94.716662,0.22,-0.18,8
trust_rebuilding,5,92.344912,0.22,-0.18,8
trust_rebuilding,6,89.581822,0.22,-0.18,8
trust_rebuilding,7,86.362823,0.22,-0.18,8
trust_rebuilding,8,82.612689,0.22,-0.18,8
trust_rebuilding,9,60.068991,0.22,-0.18,8
trust_rebuilding,10,38.765196,0.22,-0.18,8
trust_rebuilding,11,18.633111,0.22,-0.18,8
trust_rebuilding,12,0.0,0.22,-0.18,8
trust_rebuilding,13,0.0,0.22,-0.18,8
trust_rebuilding,14,0.0,0.22,-0.18,8
trust_rebuilding,15,0.0,0.22,-0.18,8
trust_rebuilding,16,0.0,0.22,-0.18,8
trust_rebuilding,17,0.0,0.22,-0.18,8
trust_rebuilding,18,0.0,0.22,-0.18,8
trust_rebuilding,19,0.0,0.22,-0.18,8
trust_rebuilding,20,0.0,0.22,-0.18,8
trust_rebuilding,21,0.0,0.22,-0.18,8
trust_rebuilding,22,0.0,0.22,-0.18,8
trust_rebuilding,23,0.0,0.22,-0.18,8
trust_rebuilding,24,0.0,0.22,-0.18,8
trust_rebuilding,25,0.0,0.22,-0.18,8
trust_rebuilding,26,0.0,0.22,-0.18,8
trust_rebuilding,27,0.0,0.22,-0.18,8
trust_rebuilding,28,0.0,0.22,-0.18,8
trust_rebuilding,29,0.0,0.22,-0.18,8
trust_rebuilding,30,0.0,0.22,-0.18,8
trust_rebuilding,31,0.0,0.22,-0.18,8
trust_rebuilding,32,0.0,0.22,-0.18,8
trust_rebuilding,33,0.0,0.22,-0.18,8
trust_rebuilding,34,0.0,0.22,-0.18,8
trust_rebuilding,35,0.0,0.22,-0.18,8
trust_rebuilding,36,0.0,0.22,-0.18,8
trust_rebuilding,37,0.0,0.22,-0.18,8
trust_rebuilding,38,0.0,0.22,-0.18,8
trust_rebuilding,39,0.0,0.22,-0.18,8
trust_rebuilding,40,0.0,0.22,-0.18,8
trust_rebuilding,41,0.0,0.22,-0.18,8
trust_rebuilding,42,0.0,0.22,-0.18,8
trust_rebuilding,43,0.0,0.22,-0.18,8
trust_rebuilding,44,0.0,0.22,-0.18,8
trust_rebuilding,45,0.0,0.22,-0.18,8
trust_rebuilding,46,0.0,0.22,-0.18,8
trust_rebuilding,47,0.0,0.22,-0.18,8
trust_rebuilding,48,0.0,0.22,-0.18,8
trust_rebuilding,49,0.0,0.22,-0.18,8
trust_rebuilding,50,0.0,0.22,-0.18,8
trust_rebuilding,51,0.0,0.22,-0.18,8
trust_rebuilding,52,0.0,0.22,-0.18,8
trust_rebuilding,53,0.0,0.22,-0.18,8
trust_rebuilding,54,0.0,0.22,-0.18,8
trust_rebuilding,55,0.0,0.22,-0.18,8
trust_rebuilding,56,0.0,0.22,-0.18,8
trust_rebuilding,57,0.0,0.22,-0.18,8
trust_rebuilding,58,0.0,0.22,-0.18,8
trust_rebuilding,59,0.0,0.22,-0.18,8
trust_rebuilding,60,0.0,0.22,-0.18,8
trust_rebuilding,61,0.0,0.22,-0.18,8
trust_rebuilding,62,0.0,0.22,-0.18,8
trust_rebuilding,63,0.0,0.22,-0.18,8
trust_rebuilding,64,0.0,0.22,-0.18,8
trust_rebuilding,65,0.0,0.22,-0.18,8
trust_rebuilding,66,0.0,0.22,-0.18,8
trust_rebuilding,67,0.0,0.22,-0.18,8
trust_rebuilding,68,0.0,0.22,-0.18,8
trust_rebuilding,69,0.0,0.22,-0.18,8
trust_rebuilding,70,0.0,0.22,-0.18,8
trust_rebuilding,71,0.0,0.22,-0.18,8
trust_rebuilding,72,0.0,0.22,-0.18,8
