run_id,n_agents,n_steps,initial_adopters,threshold_low,threshold_high,neighbor_radius,initial_adoption_rate,final_adoption_rate,peak_new_adopters,time_to_half_adoption,mean_threshold
205,180,50,34,0.343444,0.700440,3,0.188889,0.294444,8,0,0.513807
206,180,50,33,0.085824,0.350323,5,0.183333,1.000000,64,2,0.226894
207,180,50,4,0.308443,0.850074,2,0.022222,0.022222,0,0,0.571305
208,180,50,23,0.190303,0.509818,2,0.127778,1.000000,24,3,0.344718
209,180,50,21,0.318268,0.519837,5,0.116667,0.238889,4,0,0.423080
210,180,50,5,0.211296,0.684832,3,0.027778,0.027778,0,0,0.451655
211,180,50,7,0.036023,0.549447,5,0.038889,1.000000,23,5,0.276867
212,180,50,25,0.263484,0.468873,1,0.138889,1.000000,41,2,0.368085
213,180,50,4,0.122911,0.382123,2,0.022222,1.000000,11,14,0.251325
214,180,50,22,0.133998,0.376495,5,0.122222,1.000000,39,3,0.248225
215,180,50,26,0.060422,0.542436,2,0.144444,1.000000,34,2,0.300556
216,180,50,25,0.233404,0.504669,1,0.138889,0.955556,40,3,0.372751
217,180,50,13,0.150718,0.363096,2,0.072222,1.000000,27,4,0.259148
218,180,50,20,0.151404,0.673109,4,0.111111,0.366667,10,0,0.416345
219,180,50,13,0.187775,0.684569,3,0.072222,0.166667,5,0,0.438338
220,180,50,33,0.317259,0.804129,4,0.183333,0.322222,6,0,0.576190
221,180,50,34,0.277307,0.750059,2,0.188889,0.388889,13,0,0.499374
222,180,50,25,0.259516,0.674752,3,0.138889,0.322222,10,0,0.469884
223,180,50,9,0.047321,0.404185,1,0.050000,1.000000,16,6,0.234769
224,180,50,29,0.199514,0.575237,4,0.161111,0.800000,21,4,0.390069
225,180,50,20,0.200767,0.646060,3,0.111111,0.494444,13,0,0.416944
226,180,50,14,0.147815,0.454423,4,0.077778,1.000000,12,9,0.304228
227,180,50,29,0.198713,0.408419,5,0.161111,1.000000,36,3,0.306930
228,180,50,11,0.302493,0.743044,4,0.061111,0.061111,0,0,0.532250
229,180,50,9,0.114198,0.391361,1,0.050000,1.000000,18,7,0.261270
230,180,50,34,0.275746,0.701769,1,0.188889,0.505556,23,5,0.474268
231,180,50,24,0.064367,0.348973,1,0.133333,1.000000,38,2,0.211465
232,180,50,4,0.050601,0.438784,4,0.022222,1.000000,11,15,0.259572
233,180,50,23,0.035692,0.266765,3,0.127778,1.000000,62,2,0.156904
234,180,50,19,0.298562,0.698551,3,0.105556,0.205556,7,0,0.495110
235,180,50,22,0.168844,0.577736,3,0.122222,0.605556,11,11,0.365954
236,180,50,28,0.081257,0.473449,5,0.155556,1.000000,43,2,0.276799
237,180,50,4,0.049673,0.451509,3,0.022222,1.000000,15,8,0.239248
238,180,50,24,0.199692,0.681654,3,0.133333,0.350000,8,0,0.455906
239,180,50,34,0.162172,0.474300,5,0.188889,1.000000,33,2,0.334821
240,180,50,35,0.143807,0.605418,4,0.194444,1.000000,27,3,0.374877
241,180,50,15,0.127685,0.662032,1,0.083333,0.466667,21,0,0.386076
242,180,50,27,0.186015,0.434981,3,0.150000,1.000000,31,3,0.310778
243,180,50,18,0.229008,0.644393,1,0.100000,0.283333,15,0,0.430988
244,180,50,21,0.045516,0.322926,4,0.116667,1.000000,54,2,0.178348
245,180,50,32,0.148281,0.366584,2,0.177778,1.000000,50,2,0.252393
246,180,50,19,0.319591,0.650801,5,0.105556,0.105556,0,0,0.466784
247,180,50,16,0.250641,0.799337,5,0.088889,0.088889,0,0,0.523807
248,180,50,10,0.317129,0.761053,4,0.055556,0.055556,0,0,0.552318
249,180,50,5,0.152714,0.471384,4,0.027778,1.000000,6,23,0.321871
250,180,50,33,0.319533,0.747791,3,0.183333,0.411111,8,0,0.520193
251,180,50,33,0.050246,0.519640,2,0.183333,1.000000,44,2,0.278654
252,180,50,19,0.076961,0.586672,3,0.105556,0.894444,27,3,0.327894
253,180,50,12,0.253729,0.504715,2,0.066667,0.722222,6,24,0.379888
254,180,50,35,0.295820,0.730189,5,0.194444,0.361111,7,0,0.517240
255,180,50,7,0.341456,0.569577,5,0.038889,0.038889,0,0,0.445735
256,180,50,14,0.282440,0.769124,5,0.077778,0.077778,0,0,0.517122
257,180,50,26,0.312600,0.651991,5,0.144444,0.227778,6,0,0.485883
258,180,50,18,0.277063,0.606768,3,0.100000,0.172222,5,0,0.442701
259,180,50,8,0.318575,0.553529,4,0.044444,0.044444,0,0,0.431084
260,180,50,15,0.267705,0.728634,4,0.083333,0.083333,0,0,0.491940
261,180,50,32,0.216192,0.705913,3,0.177778,0.411111,9,0,0.481460
262,180,50,35,0.267070,0.580731,4,0.194444,0.766667,19,4,0.423341
263,180,50,18,0.071300,0.438687,4,0.100000,1.000000,44,3,0.266787
264,180,50,23,0.210603,0.528190,2,0.127778,0.827778,24,4,0.374090
265,180,50,23,0.170387,0.720387,1,0.127778,0.411111,21,0,0.442758
266,180,50,6,0.274326,0.661817,3,0.033333,0.033333,0,0,0.474209
267,180,50,4,0.143883,0.522523,1,0.022222,0.477778,8,0,0.323830
268,180,50,14,0.199134,0.717261,3,0.077778,0.116667,3,0,0.460036
269,180,50,17,0.330588,0.585499,3,0.094444,0.166667,4,0,0.463048
270,180,50,20,0.065300,0.423271,1,0.111111,1.000000,38,2,0.253698
271,180,50,16,0.122805,0.415413,5,0.088889,1.000000,34,3,0.269111
272,180,50,11,0.223799,0.616948,2,0.061111,0.211111,5,0,0.417784
273,180,50,9,0.250941,0.788367,2,0.050000,0.061111,1,0,0.507306
274,180,50,24,0.346392,0.610502,2,0.133333,0.300000,9,0,0.478499
275,180,50,20,0.324110,0.682428,4,0.111111,0.111111,0,0,0.508241
276,180,50,19,0.250718,0.521783,5,0.105556,1.000000,7,19,0.376199
277,180,50,6,0.104571,0.595906,4,0.033333,0.255556,7,0,0.338222
278,180,50,10,0.277213,0.537363,1,0.055556,0.311111,13,0,0.407227
279,180,50,20,0.210369,0.643970,2,0.111111,0.305556,9,0,0.400628
280,180,50,4,0.333405,0.735248,4,0.022222,0.022222,0,0,0.544786
281,180,50,20,0.102257,0.526905,5,0.111111,1.000000,14,7,0.313046
282,180,50,24,0.171219,0.402544,2,0.133333,1.000000,36,2,0.295469
283,180,50,12,0.158683,0.535025,1,0.066667,0.566667,22,7,0.342172
284,180,50,11,0.038621,0.350004,3,0.061111,1.000000,40,3,0.191114
285,180,50,11,0.196651,0.720289,2,0.061111,0.144444,6,0,0.470447
286,180,50,23,0.278769,0.678997,3,0.127778,0.222222,3,0,0.478452
287,180,50,35,0.225995,0.635899,3,0.194444,0.622222,24,3,0.430170
288,180,50,27,0.078701,0.438329,2,0.150000,1.000000,48,2,0.249640
289,180,50,30,0.124793,0.502754,2,0.166667,1.000000,27,3,0.311861
290,180,50,9,0.035818,0.438981,4,0.050000,1.000000,27,5,0.236271
291,180,50,19,0.033376,0.328314,3,0.105556,1.000000,42,2,0.181418
292,180,50,27,0.334783,0.627709,4,0.150000,0.300000,7,0,0.481538
293,180,50,14,0.182502,0.594000,5,0.077778,0.077778,0,0,0.405990
294,180,50,17,0.064609,0.369096,5,0.094444,1.000000,49,2,0.210481
295,180,50,9,0.184645,0.730805,2,0.050000,0.188889,7,0,0.442589
296,180,50,16,0.329741,0.643444,2,0.088889,0.116667,3,0,0.479707
297,180,50,8,0.242513,0.468729,2,0.044444,0.850000,5,21,0.354190
298,180,50,20,0.116071,0.377606,4,0.111111,1.000000,31,3,0.252162
299,180,50,30,0.307868,0.627854,4,0.166667,0.400000,6,0,0.467341
300,180,50,18,0.054465,0.296249,3,0.100000,1.000000,42,2,0.171794
