scenario,step,occupied_agents,unhappy_agents,satisfied_share,clustering_index,empty_cells
fewer_empty_cells,12,513,5,0.990253,0.877813,63
fewer_empty_cells,13,513,3,0.994152,0.88535,63
fewer_empty_cells,14,513,2,0.996101,0.886424,63
fewer_empty_cells,15,513,1,0.998051,0.889151,63
fewer_empty_cells,16,513,1,0.998051,0.888796,63
fewer_empty_cells,17,513,0,1.0,0.889799,63
more_empty_cells,0,422,175,0.585308,0.503676,154
more_empty_cells,1,422,103,0.755924,0.629824,154
more_empty_cells,2,422,64,0.848341,0.710424,154
more_empty_cells,3,422,39,0.907583,0.765617,154
more_empty_cells,4,422,27,0.936019,0.790191,154
more_empty_cells,5,422,24,0.943128,0.806697,154
more_empty_cells,6,422,21,0.950237,0.81395,154
more_empty_cells,7,422,20,0.952607,0.818768,154
more_empty_cells,8,422,20,0.952607,0.819541,154
more_empty_cells,9,422,19,0.954976,0.829028,154
more_empty_cells,10,422,15,0.964455,0.840724,154
more_empty_cells,11,422,16,0.962085,0.843049,154
more_empty_cells,12,422,14,0.966825,0.846764,154
more_empty_cells,13,422,12,0.971564,0.850398,154
more_empty_cells,14,422,11,0.973934,0.8531,154
more_empty_cells,15,422,10,0.976303,0.855588,154
more_empty_cells,16,422,9,0.978673,0.859154,154
more_empty_cells,17,422,10,0.976303,0.856641,154
more_empty_cells,18,422,10,0.976303,0.854883,154
more_empty_cells,19,422,9,0.978673,0.857208,154
more_empty_cells,20,422,10,0.976303,0.856573,154
more_empty_cells,21,422,10,0.976303,0.854945,154
more_empty_cells,22,422,9,0.978673,0.859544,154
more_empty_cells,23,422,9,0.978673,0.856948,154
more_empty_cells,24,422,8,0.981043,0.860136,154
more_empty_cells,25,422,8,0.981043,0.860785,154
more_empty_cells,26,422,7,0.983412,0.861783,154
more_empty_cells,27,422,6,0.985782,0.86593,154
more_empty_cells,28,422,6,0.985782,0.86909,154
more_empty_cells,29,422,5,0.988152,0.865544,154
more_empty_cells,30,422,4,0.990521,0.867756,154
more_empty_cells,31,422,4,0.990521,0.865905,154
more_empty_cells,32,422,4,0.990521,0.869967,154
more_empty_cells,33,422,5,0.988152,0.870695,154
more_empty_cells,34,422,3,0.992891,0.8721,154
more_empty_cells,35,422,3,0.992891,0.870249,154
more_empty_cells,36,422,3,0.992891,0.870568,154
more_empty_cells,37,422,2,0.995261,0.874258,154
more_empty_cells,38,422,2,0.995261,0.875939,154
more_empty_cells,39,422,3,0.992891,0.876707,154
more_empty_cells,40,422,2,0.995261,0.88284,154
more_empty_cells,41,422,3,0.992891,0.884916,154
more_empty_cells,42,422,2,0.995261,0.886654,154
more_empty_cells,43,422,2,0.995261,0.885136,154
more_empty_cells,44,422,2,0.995261,0.887427,154
more_empty_cells,45,422,2,0.995261,0.886693,154
more_empty_cells,46,422,3,0.992891,0.888154,154
more_empty_cells,47,422,2,0.995261,0.887562,154
more_empty_cells,48,422,1,0.99763,0.890992,154
more_empty_cells,49,422,0,1.0,0.895359,154
larger_grid,0,845,355,0.579882,0.507691,179
larger_grid,1,845,204,0.75858,0.632957,179
larger_grid,2,845,124,0.853254,0.710868,179
larger_grid,3,845,80,0.905325,0.77461,179
larger_grid,4,845,56,0.933728,0.804863,179
larger_grid,5,845,35,0.95858,0.829328,179
larger_grid,6,845,22,0.973964,0.843466,179
larger_grid,7,845,19,0.977515,0.848408,179
larger_grid,8,845,18,0.978698,0.853147,179
larger_grid,9,845,15,0.982249,0.855982,179
larger_grid,10,845,13,0.984615,0.859625,179
larger_grid,11,845,11,0.986982,0.863752,179
larger_grid,12,845,9,0.989349,0.866189,179
larger_grid,13,845,6,0.992899,0.868814,179
larger_grid,14,845,6,0.992899,0.869327,179
larger_grid,15,845,7,0.991716,0.86798,179
larger_grid,16,845,7,0.991716,0.869152,179
larger_grid,17,845,9,0.989349,0.869427,179
larger_grid,18,845,8,0.990533,0.869349,179
larger_grid,19,845,6,0.992899,0.872736,179
larger_grid,20,845,6,0.992899,0.871726,179
larger_grid,21,845,6,0.992899,0.870872,179
larger_grid,22,845,6,0.992899,0.872108,179
larger_grid,23,845,4,0.995266,0.873067,179
larger_grid,24,845,4,0.995266,0.872997,179
larger_grid,25,845,3,0.99645,0.874235,179
larger_grid,26,845,2,0.997633,0.874573,179
larger_grid,27,845,1,0.998817,0.875962,179
larger_grid,28,845,0,1.0,0.878278,179
