time,system_state,performance_gap,policy_intensity,institutional_capacity,trust,administrative_burden,uptake,side_effect
26,   13.020193,    2.979807,    2.000000,   11.427623,    0.641250,    0.000000,    1.000000,    2.009099
27,   13.129151,    2.870849,    2.000000,   11.570954,    0.635764,    0.000000,    1.000000,    2.048553
28,   13.232201,    2.767799,    2.000000,   11.711192,    0.629908,    0.000000,    1.000000,    2.085640
29,   13.329896,    2.670104,    2.000000,   11.848082,    0.623703,    0.000000,    1.000000,    2.120502
30,   13.422713,    2.577287,    2.000000,   11.981446,    0.617170,    0.000000,    1.000000,    2.153271
31,   13.511059,    2.488941,    2.000000,   12.111160,    0.610329,    0.000000,    1.000000,    2.184075
32,   13.595290,    2.404710,    2.000000,   12.237151,    0.603199,    0.000000,    1.000000,    2.213031
33,   13.675713,    2.324287,    2.000000,   12.359383,    0.595796,    0.000000,    1.000000,    2.240249
34,   13.752597,    2.247403,    2.000000,   12.477853,    0.588138,    0.000000,    1.000000,    2.265834
35,   13.826178,    2.173822,    2.000000,   12.592580,    0.580239,    0.000000,    1.000000,    2.289884
36,   13.896665,    2.103335,    2.000000,   12.703604,    0.572114,    0.000000,    1.000000,    2.312491
37,   13.964246,    2.035754,    2.000000,   12.810979,    0.563777,    0.000000,    1.000000,    2.333741
38,   14.029085,    1.970915,    2.000000,   12.914773,    0.555240,    0.000000,    1.000000,    2.353717
39,   14.091334,    1.908666,    2.000000,   13.015061,    0.546515,    0.000000,    1.000000,    2.372494
40,   14.151127,    1.848873,    2.000000,   13.111926,    0.537613,    0.000000,    1.000000,    2.390144
41,   14.208588,    1.791412,    2.000000,   13.205454,    0.528546,    0.000000,    1.000000,    2.406736
42,   14.263830,    1.736170,    2.000000,   13.295736,    0.519323,    0.000000,    1.000000,    2.422331
43,   14.316957,    1.683043,    2.000000,   13.382864,    0.509953,    0.000000,    1.000000,    2.436992
44,   14.368065,    1.631935,    2.000000,   13.466933,    0.500445,    0.000000,    1.000000,    2.450772
45,   14.417244,    1.582756,    2.000000,   13.548035,    0.490808,    0.000000,    1.000000,    2.463726
46,   14.464577,    1.535423,    2.000000,   13.626263,    0.481049,    0.000000,    1.000000,    2.475902
47,   14.510141,    1.489859,    2.000000,   13.701712,    0.471175,    0.000000,    1.000000,    2.487348
48,   14.554009,    1.445991,    2.000000,   13.774470,    0.461194,    0.000000,    1.000000,    2.498107
49,   14.596252,    1.403748,    2.000000,   13.844629,    0.451112,    0.000000,    1.000000,    2.508221
50,   14.636933,    1.363067,    2.000000,   13.912275,    0.440935,    0.000000,    1.000000,    2.517728
51,   14.676115,    1.323885,    2.000000,   13.977494,    0.430668,    0.000000,    1.000000,    2.526664
52,   14.713856,    1.286144,    2.000000,   14.040370,    0.420318,    0.000000,    1.000000,    2.535064
53,   14.750211,    1.249789,    2.000000,   14.100984,    0.409888,    0.000000,    1.000000,    2.542960
54,   14.785235,    1.214765,    2.000000,   14.159414,    0.399384,    0.000000,    1.000000,    2.550383
55,   14.818978,    1.181022,    2.000000,   14.215738,    0.388810,    0.000000,    1.000000,    2.557360
56,   14.851487,    1.148513,    2.000000,   14.270030,    0.378171,    0.000000,    1.000000,    2.563918
57,   14.882810,    1.117190,    2.000000,   14.322361,    0.367470,    0.000000,    1.000000,    2.570083
58,   14.912991,    1.087009,    2.000000,   14.372801,    0.356712,    0.000000,    1.000000,    2.575878
59,   14.942072,    1.057928,    2.000000,   14.421418,    0.345898,    0.000000,    1.000000,    2.581325
60,   14.970095,    1.029905,    2.000000,   14.468277,    0.335034,    0.000000,    1.000000,    2.586446
61,   14.997097,    1.002903,    2.000000,   14.513441,    0.324121,    0.000000,    1.000000,    2.591259
62,   15.023117,    0.976883,    2.000000,   14.556970,    0.313164,    0.000000,    1.000000,    2.595784
63,   15.048192,    0.951808,    2.000000,   14.598923,    0.302163,    0.000000,    1.000000,    2.600036
64,   15.072355,    0.927645,    2.000000,   14.639357,    0.291123,    0.000000,    1.000000,    2.604034
65,   15.095640,    0.904360,    2.000000,   14.678327,    0.280045,    0.000000,    1.000000,    2.607792
66,   15.118080,    0.881920,    2.000000,   14.715885,    0.268932,    0.000000,    1.000000,    2.611325
67,   15.139704,    0.860296,    2.000000,   14.752083,    0.257785,    0.000000,    1.000000,    2.614645
68,   15.160544,    0.839456,    2.000000,   14.786969,    0.246608,    0.000000,    1.000000,    2.617767
69,   15.180627,    0.819373,    2.000000,   14.820591,    0.235401,    0.000000,    1.000000,    2.620701
70,   15.199981,    0.800019,    2.000000,   14.852994,    0.224166,    0.000000,    1.000000,    2.623458
71,   15.218633,    0.781367,    2.000000,   14.884223,    0.212905,    0.000000,    1.000000,    2.626051
72,   15.236609,    0.763391,    2.000000,   14.914320,    0.201621,    0.000000,    1.000000,    2.628488
73,   15.253931,    0.746069,    2.000000,   14.943326,    0.190313,    0.000000,    1.000000,    2.630779
74,   15.270626,    0.729374,    2.000000,   14.971280,    0.178983,    0.000000,    0.997690,    2.632932
75,   15.284174,    0.715826,    2.000000,   14.998221,    0.167599,    0.000000,    0.995218,    2.634956
76,   15.294723,    0.705277,    2.000000,   15.023957,    0.156159,    0.000000,    0.992686,    2.636859
77,   15.302509,    0.697491,    2.000000,   15.048326,    0.144663,    0.000000,    0.990090,    2.638647
78,   15.307724,    0.692276,    2.000000,   15.071202,    0.133111,    0.000000,    0.987425,    2.640328
79,   15.310525,    0.689475,    2.000000,   15.092489,    0.121503,    0.000000,    0.984688,    2.641909
80,   15.311043,    0.688957,    2.000000,   15.112113,    0.109839,    0.000000,    0.981876,    2.643394
81,   15.309387,    0.690613,    2.000000,   15.130016,    0.098120,    0.000000,    0.978986,    2.644790
82,   15.305646,    0.694354,    2.000000,   15.146160,    0.086343,    0.000000,    0.976019,    2.646103
83,   15.299897,    0.700103,    2.000000,   15.160513,    0.074510,    0.000000,    0.972971,    2.647337
84,   15.292204,    0.707796,    2.000000,   15.173058,    0.062620,    0.000000,    0.969843,    2.648497
85,   15.282619,    0.717381,    2.000000,   15.183781,    0.050672,    0.000000,    0.966634,    2.649587
86,   15.271191,    0.728809,    2.000000,   15.192677,    0.038665,    0.000000,    0.963343,    2.650612
87,   15.257960,    0.742040,    2.000000,   15.199743,    0.026600,    0.000000,    0.959971,    2.651575
88,   15.242960,    0.757040,    2.000000,   15.204982,    0.014474,    0.000000,    0.956517,    2.652480
89,   15.226222,    0.773778,    2.000000,   15.208400,    0.002289,    0.000000,    0.952981,    2.653332
90,   15.207774,    0.792226,    2.000000,   15.210004,    0.000000,    0.000000,    0.952350,    2.654132
91,   15.190927,    0.809073,    2.000000,   15.209804,    0.000000,    0.000000,    0.952343,    2.654884
92,   15.176083,    0.823917,    2.000000,   15.208105,    0.000000,    0.000000,    0.952284,    2.655591
93,   15.162870,    0.837130,    2.000000,   15.205223,    0.000000,    0.000000,    0.952183,    2.656255
94,   15.150988,    0.849012,    2.000000,   15.201411,    0.000000,    0.000000,    0.952049,    2.656880
95,   15.140194,    0.859806,    2.000000,   15.196873,    0.000000,    0.000000,    0.951891,    2.657467
96,   15.130294,    0.869706,    2.000000,   15.191772,    0.000000,    0.000000,    0.951712,    2.658019
97,   15.121131,    0.878869,    2.000000,   15.186239,    0.000000,    0.000000,    0.951518,    2.658538
98,   15.112577,    0.887423,    2.000000,   15.180379,    0.000000,    0.000000,    0.951313,    2.659026
99,   15.104532,    0.895468,    2.000000,   15.174277,    0.000000,    0.000000,    0.951100,    2.659484
