scenario,time,system_state,performance_gap,policy_intensity,institutional_capacity,trust,administrative_burden,uptake,side_effect
baseline_adaptive_policy,67,15.139704,0.860296,2.000000,14.752083,0.257785,0.000000,1.000000,2.614645
baseline_adaptive_policy,68,15.160544,0.839456,2.000000,14.786969,0.246608,0.000000,1.000000,2.617767
baseline_adaptive_policy,69,15.180627,0.819373,2.000000,14.820591,0.235401,0.000000,1.000000,2.620701
baseline_adaptive_policy,70,15.199981,0.800019,2.000000,14.852994,0.224166,0.000000,1.000000,2.623458
baseline_adaptive_policy,71,15.218633,0.781367,2.000000,14.884223,0.212905,0.000000,1.000000,2.626051
baseline_adaptive_policy,72,15.236609,0.763391,2.000000,14.914320,0.201621,0.000000,1.000000,2.628488
baseline_adaptive_policy,73,15.253931,0.746069,2.000000,14.943326,0.190313,0.000000,1.000000,2.630779
baseline_adaptive_policy,74,15.270626,0.729374,2.000000,14.971280,0.178983,0.000000,0.997690,2.632932
baseline_adaptive_policy,75,15.284174,0.715826,2.000000,14.998221,0.167599,0.000000,0.995218,2.634956
baseline_adaptive_policy,76,15.294723,0.705277,2.000000,15.023957,0.156159,0.000000,0.992686,2.636859
baseline_adaptive_policy,77,15.302509,0.697491,2.000000,15.048326,0.144663,0.000000,0.990090,2.638647
baseline_adaptive_policy,78,15.307724,0.692276,2.000000,15.071202,0.133111,0.000000,0.987425,2.640328
baseline_adaptive_policy,79,15.310525,0.689475,2.000000,15.092489,0.121503,0.000000,0.984688,2.641909
baseline_adaptive_policy,80,15.311043,0.688957,2.000000,15.112113,0.109839,0.000000,0.981876,2.643394
baseline_adaptive_policy,81,15.309387,0.690613,2.000000,15.130016,0.098120,0.000000,0.978986,2.644790
baseline_adaptive_policy,82,15.305646,0.694354,2.000000,15.146160,0.086343,0.000000,0.976019,2.646103
baseline_adaptive_policy,83,15.299897,0.700103,2.000000,15.160513,0.074510,0.000000,0.972971,2.647337
baseline_adaptive_policy,84,15.292204,0.707796,2.000000,15.173058,0.062620,0.000000,0.969843,2.648497
baseline_adaptive_policy,85,15.282619,0.717381,2.000000,15.183781,0.050672,0.000000,0.966634,2.649587
baseline_adaptive_policy,86,15.271191,0.728809,2.000000,15.192677,0.038665,0.000000,0.963343,2.650612
baseline_adaptive_policy,87,15.257960,0.742040,2.000000,15.199743,0.026600,0.000000,0.959971,2.651575
baseline_adaptive_policy,88,15.242960,0.757040,2.000000,15.204982,0.014474,0.000000,0.956517,2.652480
baseline_adaptive_policy,89,15.226222,0.773778,2.000000,15.208400,0.002289,0.000000,0.952981,2.653332
baseline_adaptive_policy,90,15.207774,0.792226,2.000000,15.210004,0.000000,0.000000,0.952350,2.654132
baseline_adaptive_policy,91,15.190927,0.809073,2.000000,15.209804,0.000000,0.000000,0.952343,2.654884
baseline_adaptive_policy,92,15.176083,0.823917,2.000000,15.208105,0.000000,0.000000,0.952284,2.655591
baseline_adaptive_policy,93,15.162870,0.837130,2.000000,15.205223,0.000000,0.000000,0.952183,2.656255
baseline_adaptive_policy,94,15.150988,0.849012,2.000000,15.201411,0.000000,0.000000,0.952049,2.656880
baseline_adaptive_policy,95,15.140194,0.859806,2.000000,15.196873,0.000000,0.000000,0.951891,2.657467
baseline_adaptive_policy,96,15.130294,0.869706,2.000000,15.191772,0.000000,0.000000,0.951712,2.658019
baseline_adaptive_policy,97,15.121131,0.878869,2.000000,15.186239,0.000000,0.000000,0.951518,2.658538
baseline_adaptive_policy,98,15.112577,0.887423,2.000000,15.180379,0.000000,0.000000,0.951313,2.659026
baseline_adaptive_policy,99,15.104532,0.895468,2.000000,15.174277,0.000000,0.000000,0.951100,2.659484
aggressive_policy_rule,0,12.000000,4.000000,1.140000,7.000000,0.580000,0.250000,0.726500,0.000000
aggressive_policy_rule,1,11.365516,4.634484,1.280000,7.450000,0.587609,0.132000,0.797633,0.091200
aggressive_policy_rule,2,10.935687,5.064313,1.420000,7.802396,0.597517,0.009750,0.867952,0.188128
aggressive_policy_rule,3,10.691395,5.308605,1.560000,8.084393,0.607632,0.000000,0.885243,0.290440
aggressive_policy_rule,4,10.572186,5.427814,1.700000,8.319023,0.616933,0.000000,0.896246,0.397814
aggressive_policy_rule,5,10.557464,5.442536,1.840000,8.521807,0.625277,0.000000,0.905846,0.509945
aggressive_policy_rule,6,10.633375,5.366625,1.980000,8.705017,0.632599,0.000000,0.914455,0.626548
aggressive_policy_rule,7,10.788463,5.211537,2.120000,8.878569,0.638842,0.000000,0.922403,0.747355
aggressive_policy_rule,8,11.013297,4.986703,2.260000,9.050459,0.643957,0.000000,0.929953,0.872114
aggressive_policy_rule,9,11.300156,4.699844,2.400000,9.227115,0.647901,0.000000,0.937319,1.000587
aggressive_policy_rule,10,11.642755,4.357245,2.400000,9.413688,0.650635,0.000000,0.944670,1.132552
aggressive_policy_rule,11,11.963272,4.036728,2.400000,9.614304,0.652239,0.000000,0.952172,1.256599
aggressive_policy_rule,12,12.265262,3.734738,2.400000,9.825712,0.652790,0.000000,0.959737,1.373203
aggressive_policy_rule,13,12.551569,3.448431,2.400000,10.045271,0.652357,0.000000,0.967292,1.482811
aggressive_policy_rule,14,12.824469,3.175531,2.400000,10.270838,0.651008,0.000000,0.974782,1.585842
aggressive_policy_rule,15,13.085787,2.914213,2.400000,10.500665,0.648803,0.000000,0.982164,1.682692
aggressive_policy_rule,16,13.336983,2.663017,2.400000,10.733326,0.645798,0.000000,0.989406,1.773730
aggressive_policy_rule,17,13.579227,2.420773,2.400000,10.967655,0.642046,0.000000,0.996482,1.859306
aggressive_policy_rule,18,13.813458,2.186542,2.400000,11.202696,0.637596,0.000000,1.000000,1.939748
aggressive_policy_rule,19,14.035978,1.964022,2.400000,11.437665,0.632443,0.000000,1.000000,2.015363
aggressive_policy_rule,20,14.243544,1.756456,2.400000,11.671513,0.626578,0.000000,1.000000,2.086441
aggressive_policy_rule,21,14.437894,1.562106,2.400000,11.902996,0.620046,0.000000,1.000000,2.153255
aggressive_policy_rule,22,14.620497,1.379503,2.400000,12.131137,0.612885,0.000000,1.000000,2.216060
aggressive_policy_rule,23,14.792594,1.207406,2.400000,12.355179,0.605134,0.000000,1.000000,2.275096
aggressive_policy_rule,24,14.955242,1.044758,2.400000,12.574547,0.596828,0.000000,1.000000,2.330590
aggressive_policy_rule,25,15.109340,0.890660,2.400000,12.788809,0.588001,0.000000,1.000000,2.382755
aggressive_policy_rule,26,15.255660,0.744340,2.400000,12.997657,0.578683,0.000000,1.000000,2.431789
aggressive_policy_rule,27,15.394863,0.605137,2.400000,13.200877,0.568904,0.000000,1.000000,2.477882
aggressive_policy_rule,28,15.527524,0.472476,2.400000,13.398336,0.558692,0.000000,1.000000,2.521209
aggressive_policy_rule,29,15.654138,0.345862,2.400000,13.589963,0.548072,0.000000,1.000000,2.561937
aggressive_policy_rule,30,15.775139,0.224861,2.400000,13.775739,0.537070,0.000000,1.000000,2.600220
aggressive_policy_rule,31,15.890909,0.109091,2.400000,13.955685,0.525708,0.000000,1.000000,2.636207
aggressive_policy_rule,32,16.001785,-0.001785,2.350000,14.129855,0.514008,0.000000,1.000000,2.670035
aggressive_policy_rule,33,16.080563,-0.080563,2.300000,14.298329,0.502029,0.000000,1.000000,2.697833
aggressive_policy_rule,34,16.130812,-0.130812,2.250000,14.458730,0.489830,0.000000,1.000000,2.719963
aggressive_policy_rule,35,16.155551,-0.155551,2.200000,14.609217,0.477462,0.000000,1.000000,2.736765
aggressive_policy_rule,36,16.157346,-0.157346,2.150000,14.748387,0.464977,0.000000,1.000000,2.748559
aggressive_policy_rule,37,16.138384,-0.138384,2.100000,14.875193,0.452420,0.000000,1.000000,2.755646
aggressive_policy_rule,38,16.100537,-0.100537,2.050000,14.988881,0.439837,0.000000,1.000000,2.758307
aggressive_policy_rule,39,16.045417,-0.045417,2.000000,15.088930,0.427269,0.000000,1.000000,2.756808
aggressive_policy_rule,40,15.974413,0.025587,2.140000,15.175013,0.414755,0.000000,1.000000,2.751400
aggressive_policy_rule,41,15.993234,0.006766,2.280000,15.246959,0.402180,0.000000,1.000000,2.757516
aggressive_policy_rule,42,16.090394,-0.090394,2.230000,15.314124,0.389435,0.000000,1.000000,2.774465
aggressive_policy_rule,43,16.151753,-0.151753,2.180000,15.383988,0.376571,0.000000,1.000000,2.786397
aggressive_policy_rule,44,16.181742,-0.181742,2.130000,15.453087,0.363635,0.000000,1.000000,2.793613
aggressive_policy_rule,45,16.184087,-0.184087,2.080000,15.518666,0.350671,0.000000,1.000000,2.796396
aggressive_policy_rule,46,16.161930,-0.161930,2.030000,15.578554,0.337721,0.000000,1.000000,2.795013
aggressive_policy_rule,47,16.117926,-0.117926,1.980000,15.631058,0.324824,0.000000,1.000000,2.789712
aggressive_policy_rule,48,16.054328,-0.054328,1.930000,15.674876,0.312017,0.000000,1.000000,2.780729
aggressive_policy_rule,49,15.973053,0.026947,2.070000,15.709027,0.299334,0.000000,1.000000,2.768285
aggressive_policy_rule,50,15.980238,0.019762,2.210000,15.732789,0.286656,0.000000,1.000000,2.767788
aggressive_policy_rule,51,16.064749,-0.064749,2.160000,15.755059,0.273871,0.000000,1.000000,2.778521
aggressive_policy_rule,52,16.112732,-0.112732,2.110000,15.782932,0.261025,0.000000,1.000000,2.784610
aggressive_policy_rule,53,16.128850,-0.128850,2.060000,15.812614,0.248161,0.000000,1.000000,2.786333
aggressive_policy_rule,54,16.117019,-0.117019,2.010000,15.841075,0.235322,0.000000,1.000000,2.783953
aggressive_policy_rule,55,16.080531,-0.080531,1.960000,15.865910,0.222544,0.000000,1.000000,2.777716
aggressive_policy_rule,56,16.022162,-0.022162,1.910000,15.885226,0.209866,0.000000,1.000000,2.767853
aggressive_policy_rule,57,15.944264,0.055736,2.050000,15.897550,0.197320,0.000000,1.000000,2.754582
aggressive_policy_rule,58,15.953330,0.046670,2.190000,15.901754,0.184787,0.000000,1.000000,2.753307
aggressive_policy_rule,59,16.038518,-0.038518,2.140000,15.906396,0.172154,0.000000,1.000000,2.763309
aggressive_policy_rule,60,16.086216,-0.086216,2.090000,15.918287,0.159467,0.000000,1.000000,2.768710
aggressive_policy_rule,61,16.101284,-0.101284,2.040000,15.933401,0.146769,0.000000,1.000000,2.769787
aggressive_policy_rule,62,16.087800,-0.087800,1.990000,15.948510,0.134101,0.000000,1.000000,2.766800
aggressive_policy_rule,63,16.049190,-0.049190,1.940000,15.961046,0.121501,0.000000,1.000000,2.759992
aggressive_policy_rule,64,15.988339,0.011661,2.080000,15.968979,0.109005,0.000000,1.000000,2.749593
aggressive_policy_rule,65,16.012187,-0.012187,2.030000,15.970722,0.096495,0.000000,1.000000,2.751017
aggressive_policy_rule,66,16.005761,-0.005761,1.980000,15.974453,0.084011,0.000000,1.000000,2.748356
aggressive_policy_rule,67,15.972792,0.027208,2.120000,15.977271,0.071593,0.000000,1.000000,2.741855
aggressive_policy_rule,68,16.020921,-0.020921,2.070000,15.976868,0.059123,0.000000,0.996927,2.746943
aggressive_policy_rule,69,16.032256,-0.032256,2.020000,15.980833,0.046600,0.000000,0.993309,2.747727
aggressive_policy_rule,70,16.010993,-0.010993,1.970000,15.985461,0.034055,0.000000,0.989708,2.744463
aggressive_policy_rule,71,15.961295,0.038705,2.110000,15.987759,0.021527,0.000000,0.986030,2.737395
aggressive_policy_rule,72,15.989615,0.010385,2.250000,15.985377,0.008898,0.000000,0.982158,2.741952
aggressive_policy_rule,73,16.085550,-0.085550,2.200000,15.985758,0.000000,0.000000,0.979502,2.757435
aggressive_policy_rule,74,16.139769,-0.139769,2.150000,15.994740,0.000000,0.000000,0.979816,2.767988
aggressive_policy_rule,75,16.161366,-0.161366,2.100000,16.007792,0.000000,0.000000,0.980273,2.773909
aggressive_policy_rule,76,16.154607,-0.154607,2.050000,16.021614,0.000000,0.000000,0.980756,2.775475
aggressive_policy_rule,77,16.122937,-0.122937,2.000000,16.033583,0.000000,0.000000,0.981175,2.772946
aggressive_policy_rule,78,16.069157,-0.069157,1.950000,16.041625,0.000000,0.000000,0.981457,2.766569
aggressive_policy_rule,79,15.995552,0.004448,2.090000,16.044103,0.000000,0.000000,0.981544,2.756575
aggressive_policy_rule,80,16.006575,-0.006575,2.040000,16.039733,0.000000,0.000000,0.981391,2.758381
aggressive_policy_rule,81,15.988893,0.011107,2.180000,16.036749,0.000000,0.000000,0.981286,2.756078
aggressive_policy_rule,82,16.048626,-0.048626,2.130000,16.032442,0.000000,0.000000,0.981135,2.765113
aggressive_policy_rule,83,16.073813,-0.073813,2.080000,16.033899,0.000000,0.000000,0.981186,2.769606
aggressive_policy_rule,84,16.069128,-0.069128,2.030000,16.037491,0.000000,0.000000,0.981312,2.769830
aggressive_policy_rule,85,16.038342,-0.038342,1.980000,16.040338,0.000000,0.000000,0.981412,2.766040
aggressive_policy_rule,86,15.984515,0.015485,2.120000,16.040159,0.000000,0.000000,0.981406,2.758478
aggressive_policy_rule,87,16.012700,-0.012700,2.070000,16.035151,0.000000,0.000000,0.981230,2.762569
aggressive_policy_rule,88,16.010064,-0.010064,2.020000,16.033130,0.000000,0.000000,0.981160,2.762415
aggressive_policy_rule,89,15.980581,0.019419,2.160000,16.031054,0.000000,0.000000,0.981087,2.758270
aggressive_policy_rule,90,16.029996,-0.029996,2.110000,16.026512,0.000000,0.000000,0.980928,2.765574
aggressive_policy_rule,91,16.046089,-0.046089,2.060000,16.026825,0.000000,0.000000,0.980939,2.768439
aggressive_policy_rule,92,16.033303,-0.033303,2.010000,16.028559,0.000000,0.000000,0.981000,2.767133
aggressive_policy_rule,93,15.995230,0.004770,2.150000,16.028986,0.000000,0.000000,0.981015,2.761905
aggressive_policy_rule,94,16.037301,-0.037301,2.100000,16.025948,0.000000,0.000000,0.980908,2.768191
aggressive_policy_rule,95,16.047071,-0.047071,2.050000,16.026970,0.000000,0.000000,0.980944,2.770099
aggressive_policy_rule,96,16.028785,-0.028785,2.000000,16.028779,0.000000,0.000000,0.981007,2.767893
aggressive_policy_rule,97,15.985878,0.014122,2.140000,16.028779,0.000000,0.000000,0.981007,2.761820
aggressive_policy_rule,98,16.023657,-0.023657,2.090000,16.024918,0.000000,0.000000,0.980872,2.767311
aggressive_policy_rule,99,16.029577,-0.029577,2.040000,16.024805,0.000000,0.000000,0.980868,2.768472
high_burden_design,0,12.000000,4.000000,1.080000,7.000000,0.580000,0.250000,0.726500,0.000000
high_burden_design,1,11.341541,4.658459,1.160000,7.450000,0.586739,0.183000,0.774422,0.086400
high_burden_design,2,10.847137,5.152863,1.240000,7.800239,0.594586,0.112750,0.820647,0.174016
high_burden_design,3,10.495174,5.504826,1.320000,8.074460,0.603517,0.041744,0.864876,0.262775
high_burden_design,4,10.267376,5.732624,1.400000,8.292324,0.612964,0.000000,0.894120,0.352609
high_burden_design,5,10.138380,5.861620,1.480000,8.470079,0.621941,0.000000,0.903035,0.443452
high_burden_design,6,10.080349,5.919651,1.560000,8.620226,0.630134,0.000000,0.910748,0.535245
high_burden_design,7,10.083140,5.916860,1.640000,8.751637,0.637516,0.000000,0.917562,0.627930
high_burden_design,8,10.138386,5.861614,1.720000,8.871472,0.644065,0.000000,0.923721,0.721454
high_burden_design,9,10.239193,5.760807,1.800000,8.985494,0.649763,0.000000,0.929421,0.815767
high_burden_design,10,10.379892,5.620108,1.880000,9.098327,0.654596,0.000000,0.934820,0.910821
high_burden_design,11,10.555826,5.444174,1.960000,9.213668,0.658553,0.000000,0.940044,1.006572
high_burden_design,12,10.763178,5.236822,2.000000,9.334462,0.661624,0.000000,0.945193,1.102978
high_burden_design,13,10.978032,5.021968,2.000000,9.463047,0.663834,0.000000,0.950357,1.196799
high_burden_design,14,11.179213,4.820787,2.000000,9.599395,0.665239,0.000000,0.955551,1.284991
high_burden_design,15,11.368783,4.631217,2.000000,9.741579,0.665893,0.000000,0.960723,1.367891
high_burden_design,16,11.548403,4.451597,2.000000,9.888027,0.665846,0.000000,0.965835,1.445818
high_burden_design,17,11.719414,4.280586,2.000000,10.037461,0.665143,0.000000,0.970854,1.519069
high_burden_design,18,11.882897,4.117103,2.000000,10.188837,0.663826,0.000000,0.975757,1.587925
high_burden_design,19,12.039724,3.960276,2.000000,10.341302,0.661936,0.000000,0.980526,1.652649
high_burden_design,20,12.190602,3.809398,2.000000,10.494160,0.659509,0.000000,0.985148,1.713490
high_burden_design,21,12.336101,3.663899,2.000000,10.646840,0.656580,0.000000,0.989613,1.770681
high_burden_design,22,12.476685,3.523315,2.000000,10.798873,0.653180,0.000000,0.993914,1.824440
high_burden_design,23,12.612733,3.387267,2.000000,10.949877,0.649338,0.000000,0.998047,1.874974
high_burden_design,24,12.744550,3.255450,2.000000,11.099534,0.645084,0.000000,1.000000,1.922475
high_burden_design,25,12.870181,3.129819,2.000000,11.247585,0.640413,0.000000,1.000000,1.967127
high_burden_design,26,12.988139,3.011861,2.000000,11.393619,0.635322,0.000000,1.000000,2.009099
high_burden_design,27,13.099243,2.900757,2.000000,11.537126,0.629837,0.000000,1.000000,2.048553
high_burden_design,28,13.204190,2.795810,2.000000,11.677716,0.623980,0.000000,1.000000,2.085640
high_burden_design,29,13.303573,2.696427,2.000000,11.815099,0.617775,0.000000,1.000000,2.120502
high_burden_design,30,13.397899,2.602101,2.000000,11.949061,0.611243,0.000000,1.000000,2.153271
high_burden_design,31,13.487604,2.512396,2.000000,12.079457,0.604402,0.000000,1.000000,2.184075
high_burden_design,32,13.573065,2.426935,2.000000,12.206190,0.597271,0.000000,1.000000,2.213031
high_burden_design,33,13.654606,2.345394,2.000000,12.329209,0.589869,0.000000,1.000000,2.240249
high_burden_design,34,13.732514,2.267486,2.000000,12.448495,0.582211,0.000000,1.000000,2.265834
high_burden_design,35,13.807037,2.192963,2.000000,12.564056,0.574312,0.000000,1.000000,2.289884
high_burden_design,36,13.878395,2.121605,2.000000,12.675925,0.566187,0.000000,1.000000,2.312491
high_burden_design,37,13.946784,2.053216,2.000000,12.784147,0.557849,0.000000,1.000000,2.333741
high_burden_design,38,14.012378,1.987622,2.000000,12.888784,0.549312,0.000000,1.000000,2.353717
high_burden_design,39,14.075331,1.924669,2.000000,12.989908,0.540587,0.000000,1.000000,2.372494
high_burden_design,40,14.135787,1.864213,2.000000,13.087596,0.531686,0.000000,1.000000,2.390144
high_burden_design,41,14.193872,1.806128,2.000000,13.181933,0.522619,0.000000,1.000000,2.406736
high_burden_design,42,14.249704,1.750296,2.000000,13.273008,0.513395,0.000000,1.000000,2.422331
high_burden_design,43,14.303390,1.696610,2.000000,13.360910,0.504025,0.000000,1.000000,2.436992
high_burden_design,44,14.355029,1.644971,2.000000,13.445734,0.494518,0.000000,1.000000,2.450772
high_burden_design,45,14.404712,1.595288,2.000000,13.527570,0.484880,0.000000,1.000000,2.463726
high_burden_design,46,14.452525,1.547475,2.000000,13.606513,0.475121,0.000000,1.000000,2.475902
high_burden_design,47,14.498548,1.501452,2.000000,13.682654,0.465248,0.000000,1.000000,2.487348
high_burden_design,48,14.542855,1.457145,2.000000,13.756084,0.455267,0.000000,1.000000,2.498107
high_burden_design,49,14.585516,1.414484,2.000000,13.826894,0.445185,0.000000,1.000000,2.508221
high_burden_design,50,14.626599,1.373401,2.000000,13.895170,0.435007,0.000000,1.000000,2.517728
high_burden_design,51,14.666166,1.333834,2.000000,13.960998,0.424741,0.000000,1.000000,2.526664
high_burden_design,52,14.704276,1.295724,2.000000,14.024463,0.414390,0.000000,1.000000,2.535064
high_burden_design,53,14.740986,1.259014,2.000000,14.085647,0.403960,0.000000,1.000000,2.542960
high_burden_design,54,14.776350,1.223650,2.000000,14.144627,0.393457,0.000000,1.000000,2.550383
high_burden_design,55,14.810419,1.189581,2.000000,14.201482,0.382883,0.000000,1.000000,2.557360
high_burden_design,56,14.843243,1.156757,2.000000,14.256287,0.372244,0.000000,1.000000,2.563918
high_burden_design,57,14.874868,1.125132,2.000000,14.309113,0.361543,0.000000,1.000000,2.570083
high_burden_design,58,14.905340,1.094660,2.000000,14.360031,0.350784,0.000000,1.000000,2.575878
high_burden_design,59,14.934700,1.065300,2.000000,14.409108,0.339971,0.000000,1.000000,2.581325
high_burden_design,60,14.962992,1.037008,2.000000,14.456412,0.329107,0.000000,1.000000,2.586446
high_burden_design,61,14.990253,1.009747,2.000000,14.502004,0.318194,0.000000,1.000000,2.591259
high_burden_design,62,15.016523,0.983477,2.000000,14.545946,0.307236,0.000000,1.000000,2.595784
high_burden_design,63,15.041838,0.958162,2.000000,14.588298,0.296236,0.000000,1.000000,2.600036
