scenario_id,uncertainty_class,policy,growth,shock_intensity,shock_timing,policy_strength,adaptive_capacity,final_state,maximum_state,minimum_state,cumulative_stress,resilience_score,regret
4,moderate_future,Policy_C_high_adaptation,0.07043,0.762784,22,0.035,0.045,79.111562,79.111562,20.0,834.730391,0.0,59.813027
4,moderate_future,Policy_D_precautionary,0.07043,0.762784,22,0.055,0.04,44.150872,44.150872,20.0,26.587312,59.813027,0.0
5,moderate_future,Policy_A_low_control,0.048118,12.128527,20,0.025,0.01,47.65467,47.65467,19.461272,35.268118,55.966719,36.624644
5,moderate_future,Policy_B_balanced,0.048118,12.128527,20,0.045,0.02,10.370798,21.218796,9.156435,0.0,88.472822,4.118541
5,moderate_future,Policy_C_high_adaptation,0.048118,12.128527,20,0.035,0.045,23.288415,25.619631,13.827189,0.0,79.622043,12.96932
5,moderate_future,Policy_D_precautionary,0.048118,12.128527,20,0.055,0.04,4.014394,20.0,4.014394,0.0,92.591363,0.0
6,stressful_future,Policy_A_low_control,0.068675,17.184471,42,0.025,0.01,173.059397,173.059397,20.0,2389.942073,0.0,77.332285
6,stressful_future,Policy_B_balanced,0.068675,17.184471,42,0.045,0.02,48.492526,49.581182,20.0,103.597716,48.149417,29.182868
6,stressful_future,Policy_C_high_adaptation,0.068675,17.184471,42,0.035,0.045,61.373356,61.373356,20.0,458.650802,1.967568,75.364717
6,stressful_future,Policy_D_precautionary,0.068675,17.184471,42,0.055,0.04,23.236267,34.90382,18.196648,0.0,77.332285,0.0
7,moderate_future,Policy_A_low_control,0.067696,5.290575,38,0.025,0.01,183.336764,183.336764,20.0,2489.262881,0.0,69.701081
7,moderate_future,Policy_B_balanced,0.067696,5.290575,38,0.045,0.02,58.55879,58.55879,20.0,230.541428,27.170885,42.530196
7,moderate_future,Policy_C_high_adaptation,0.067696,5.290575,38,0.035,0.045,69.092574,69.092574,20.0,591.149762,0.0,69.701081
7,moderate_future,Policy_D_precautionary,0.067696,5.290575,38,0.055,0.04,35.645787,35.645787,20.0,0.0,69.701081,0.0
8,stressful_future,Policy_A_low_control,0.051691,20.863208,44,0.025,0.01,58.147351,59.262186,20.0,308.035199,19.492523,75.507477
8,stressful_future,Policy_B_balanced,0.051691,20.863208,44,0.045,0.02,6.628384,26.642453,5.957521,0.0,89.362357,5.637643
8,stressful_future,Policy_C_high_adaptation,0.051691,20.863208,44,0.035,0.045,25.247147,39.787018,19.372497,0.0,74.904957,20.095043
8,stressful_future,Policy_D_precautionary,0.051691,20.863208,44,0.055,0.04,0.0,20.0,0.0,0.0,95.0,0.0
9,stressful_future,Policy_A_low_control,0.083349,16.755345,30,0.025,0.01,374.197199,374.197199,20.0,5336.878591,0.0,40.668465
9,stressful_future,Policy_B_balanced,0.083349,16.755345,30,0.045,0.02,99.11808,99.11808,20.0,951.733986,0.0,40.668465
9,stressful_future,Policy_C_high_adaptation,0.083349,16.755345,30,0.035,0.045,104.725394,104.725394,20.0,1329.459205,0.0,40.668465
9,stressful_future,Policy_D_precautionary,0.083349,16.755345,30,0.055,0.04,54.01244,54.01244,20.0,134.209613,40.668465,0.0
10,low_pressure_future,Policy_A_low_control,0.051672,5.16753,44,0.025,0.01,78.522215,78.522215,20.0,611.833113,0.0,88.114685
10,low_pressure_future,Policy_B_balanced,0.051672,5.16753,44,0.045,0.02,24.059203,26.620655,20.0,0.0,78.909315,9.20537
10,low_pressure_future,Policy_C_high_adaptation,0.051672,5.16753,44,0.035,0.045,42.620885,42.620885,20.0,10.002987,62.771949,25.342736
10,low_pressure_future,Policy_D_precautionary,0.051672,5.16753,44,0.055,0.04,11.475524,20.0,11.475524,0.0,88.114685,0.0
11,moderate_future,Policy_A_low_control,0.055196,2.2259,23,0.025,0.01,97.241391,97.241391,20.0,906.468783,0.0,84.181974
11,moderate_future,Policy_B_balanced,0.055196,2.2259,23,0.045,0.02,33.518973,33.518973,20.0,0.0,71.508873,12.673101
11,moderate_future,Policy_C_high_adaptation,0.055196,2.2259,23,0.035,0.045,49.519899,49.519899,20.0,111.730072,46.735079,37.446895
11,moderate_future,Policy_D_precautionary,0.055196,2.2259,23,0.055,0.04,17.994095,20.086273,17.864303,0.0,84.181974,0.0
12,moderate_future,Policy_A_low_control,0.056539,8.254937,28,0.025,0.01,92.793621,92.793621,20.0,772.886769,0.0,86.831083
12,moderate_future,Policy_B_balanced,0.056539,8.254937,28,0.045,0.02,27.892382,27.892382,19.32167,0.0,76.291475,10.539608
12,moderate_future,Policy_C_high_adaptation,0.056539,8.254937,28,0.035,0.045,47.887753,47.887753,20.0,64.332152,52.862195,33.968888
12,moderate_future,Policy_D_precautionary,0.056539,8.254937,28,0.055,0.04,13.261625,20.847769,12.624911,0.0,86.831083,0.0
13,stressful_future,Policy_A_low_control,0.083428,17.513563,37,0.025,0.01,393.159163,393.159163,20.0,5751.073496,0.0,37.038914
13,stressful_future,Policy_B_balanced,0.083428,17.513563,37,0.045,0.02,101.835429,101.835429,20.0,1129.280068,0.0,37.038914
13,stressful_future,Policy_C_high_adaptation,0.083428,17.513563,37,0.035,0.045,104.649014,104.649014,20.0,1446.187294,0.0,37.038914
13,stressful_future,Policy_D_precautionary,0.083428,17.513563,37,0.055,0.04,53.523358,53.523358,20.0,174.662311,37.038914,0.0
14,stressful_future,Policy_A_low_control,0.04249,22.135089,22,0.025,0.01,13.823551,28.784539,7.152879,0.0,84.509735,10.490265
14,stressful_future,Policy_B_balanced,0.04249,22.135089,22,0.045,0.02,0.0,20.0,0.0,0.0,95.0,0.0
14,stressful_future,Policy_C_high_adaptation,0.04249,22.135089,22,0.035,0.045,1.902625,23.392774,1.432887,0.0,93.010231,1.989769
14,stressful_future,Policy_D_precautionary,0.04249,22.135089,22,0.055,0.04,0.0,20.0,0.0,0.0,95.0,0.0
15,stressful_future,Policy_A_low_control,0.068122,19.905712,39,0.025,0.01,158.978405,158.978405,20.0,2110.1119,0.0,81.26287
15,stressful_future,Policy_B_balanced,0.068122,19.905712,39,0.045,0.02,43.038311,46.155051,20.0,32.997701,59.338481,21.924389
15,stressful_future,Policy_C_high_adaptation,0.068122,19.905712,39,0.035,0.045,58.602853,58.602853,20.0,338.741674,16.313407,64.949463
15,stressful_future,Policy_D_precautionary,0.068122,19.905712,39,0.055,0.04,17.552136,32.823394,13.348405,0.0,81.26287,0.0
16,stressful_future,Policy_A_low_control,0.088127,8.679241,26,0.025,0.01,521.442856,521.442856,20.0,7440.002749,0.0,0.0
16,stressful_future,Policy_B_balanced,0.088127,8.679241,26,0.045,0.02,140.890695,140.890695,20.0,1781.066698,0.0,0.0
16,stressful_future,Policy_C_high_adaptation,0.088127,8.679241,26,0.035,0.045,135.458298,135.458298,20.0,2034.298339,0.0,0.0
16,stressful_future,Policy_D_precautionary,0.088127,8.679241,26,0.055,0.04,71.276576,71.276576,20.0,522.283258,0.0,0.0
17,moderate_future,Policy_A_low_control,0.077274,1.099785,27,0.025,0.01,316.796007,316.796007,20.0,4611.632188,0.0,31.861746
17,moderate_future,Policy_B_balanced,0.077274,1.099785,27,0.045,0.02,95.661056,95.661056,20.0,988.715045,0.0,31.861746
17,moderate_future,Policy_C_high_adaptation,0.077274,1.099785,27,0.035,0.045,98.669984,98.669984,20.0,1304.974733,0.0,31.861746
17,moderate_future,Policy_D_precautionary,0.077274,1.099785,27,0.055,0.04,54.681013,54.681013,20.0,216.593926,31.861746,0.0
18,compound_stress_future,Policy_A_low_control,0.081384,23.645316,27,0.025,0.01,293.711728,293.711728,20.0,3982.414364,0.0,67.265392
18,compound_stress_future,Policy_B_balanced,0.081384,23.645316,27,0.045,0.02,75.525886,75.525886,20.0,419.378959,0.0,67.265392
18,compound_stress_future,Policy_C_high_adaptation,0.081384,23.645316,27,0.035,0.045,90.162704,90.162704,20.0,876.63831,0.0,67.265392
18,compound_stress_future,Policy_D_precautionary,0.081384,23.645316,27,0.055,0.04,38.28146,39.062927,16.285734,0.0,67.265392,0.0
19,stressful_future,Policy_A_low_control,0.086989,9.123029,34,0.025,0.01,504.090636,504.090636,20.0,7301.852148,0.0,0.0
19,stressful_future,Policy_B_balanced,0.086989,9.123029,34,0.045,0.02,135.434009,135.434009,20.0,1756.187946,0.0,0.0
19,stressful_future,Policy_C_high_adaptation,0.086989,9.123029,34,0.035,0.045,129.852339,129.852339,20.0,1985.260116,0.0,0.0
19,stressful_future,Policy_D_precautionary,0.086989,9.123029,34,0.055,0.04,67.843691,67.843691,20.0,493.206375,0.0,0.0
20,moderate_future,Policy_A_low_control,0.073141,8.755972,31,0.025,0.01,232.247879,232.247879,20.0,3238.02607,0.0,63.578976
20,moderate_future,Policy_B_balanced,0.073141,8.755972,31,0.045,0.02,70.046374,70.046374,20.0,412.078503,0.0,63.578976
20,moderate_future,Policy_C_high_adaptation,0.073141,8.755972,31,0.035,0.045,79.714025,79.714025,20.0,798.546937,0.0,63.578976
20,moderate_future,Policy_D_precautionary,0.073141,8.755972,31,0.055,0.04,42.163785,42.163785,20.0,5.818067,63.578976,0.0
21,stressful_future,Policy_A_low_control,0.056316,16.084204,42,0.025,0.01,84.37543,84.37543,20.0,767.844431,0.0,91.61924
21,stressful_future,Policy_B_balanced,0.056316,16.084204,42,0.045,0.02,19.591585,31.724608,15.999407,0.0,80.313897,11.305343
21,stressful_future,Policy_C_high_adaptation,0.056316,16.084204,42,0.035,0.045,40.83008,44.228185,20.0,18.977626,62.547143,29.072097
21,stressful_future,Policy_D_precautionary,0.056316,16.084204,42,0.055,0.04,5.172841,21.108224,5.051803,0.0,91.61924,0.0
22,stressful_future,Policy_A_low_control,0.091199,15.552849,39,0.025,0.01,624.901245,624.901245,20.0,8996.193812,0.0,0.0
22,stressful_future,Policy_B_balanced,0.091199,15.552849,39,0.045,0.02,157.917664,157.917664,20.0,2237.270979,0.0,0.0
22,stressful_future,Policy_C_high_adaptation,0.091199,15.552849,39,0.035,0.045,145.411829,145.411829,20.0,2373.441716,0.0,0.0
22,stressful_future,Policy_D_precautionary,0.091199,15.552849,39,0.055,0.04,72.344807,72.344807,20.0,659.484432,0.0,0.0
23,moderate_future,Policy_A_low_control,0.073099,12.819357,27,0.025,0.01,213.570165,213.570165,20.0,2841.774339,0.0,69.824504
23,moderate_future,Policy_B_balanced,0.073099,12.819357,27,0.045,0.02,63.637502,63.637502,20.0,256.710112,20.237112,49.587392
23,moderate_future,Policy_C_high_adaptation,0.073099,12.819357,27,0.035,0.045,76.565947,76.565947,20.0,647.545238,0.0,69.824504
23,moderate_future,Policy_D_precautionary,0.073099,12.819357,27,0.055,0.04,35.500584,35.500584,19.641262,0.0,69.824504,0.0
24,moderate_future,Policy_A_low_control,0.044804,9.106931,40,0.025,0.01,49.322378,49.322378,20.0,64.972302,51.578748,41.384378
24,moderate_future,Policy_B_balanced,0.044804,9.106931,40,0.045,0.02,10.695007,20.0,10.695007,0.0,88.582996,4.38013
24,moderate_future,Policy_C_high_adaptation,0.044804,9.106931,40,0.035,0.045,24.84444,29.260307,20.0,0.0,77.778259,15.184867
24,moderate_future,Policy_D_precautionary,0.044804,9.106931,40,0.055,0.04,3.39479,20.0,3.39479,0.0,92.963126,0.0
25,moderate_future,Policy_A_low_control,0.07629,5.270764,30,0.025,0.01,287.066867,287.066867,20.0,4122.79705,0.0,46.010562
25,moderate_future,Policy_B_balanced,0.07629,5.270764,30,0.045,0.02,85.767641,85.767641,20.0,756.007037,0.0,46.010562
25,moderate_future,Policy_C_high_adaptation,0.07629,5.270764,30,0.035,0.045,91.704655,91.704655,20.0,1109.826411,0.0,46.010562
25,moderate_future,Policy_D_precautionary,0.07629,5.270764,30,0.055,0.04,50.490934,50.490934,20.0,110.721449,46.010562,0.0
26,compound_stress_future,Policy_A_low_control,0.085571,18.623998,27,0.025,0.01,404.092304,404.092304,20.0,5670.627332,0.0,36.50053
26,compound_stress_future,Policy_B_balanced,0.085571,18.623998,27,0.045,0.02,105.370082,105.370082,20.0,1007.143553,0.0,36.50053
26,compound_stress_future,Policy_C_high_adaptation,0.085571,18.623998,27,0.035,0.045,111.228143,111.228143,20.0,1406.31123,0.0,36.50053
26,compound_stress_future,Policy_D_precautionary,0.085571,18.623998,27,0.055,0.04,56.275138,56.275138,20.0,156.656031,36.50053,0.0
27,compound_stress_future,Policy_A_low_control,0.084308,19.321099,32,0.025,0.01,392.130703,392.130703,20.0,5626.885731,0.0,40.713174
27,compound_stress_future,Policy_B_balanced,0.084308,19.321099,32,0.045,0.02,100.787187,100.787187,20.0,1011.921114,0.0,40.713174
27,compound_stress_future,Policy_C_high_adaptation,0.084308,19.321099,32,0.035,0.045,105.793214,105.793214,20.0,1375.528551,0.0,40.713174
27,compound_stress_future,Policy_D_precautionary,0.084308,19.321099,32,0.055,0.04,53.634891,53.634891,20.0,136.971686,40.713174,0.0
28,low_pressure_future,Policy_A_low_control,0.051064,5.063588,38,0.025,0.01,75.492165,75.492165,20.0,523.87907,0.0,88.313998
28,low_pressure_future,Policy_B_balanced,0.051064,5.063588,38,0.045,0.02,22.962084,25.014093,20.0,0.0,79.969226,8.344772
28,low_pressure_future,Policy_C_high_adaptation,0.051064,5.063588,38,0.035,0.045,42.072143,42.072143,20.0,6.684283,63.57025,24.743748
28,low_pressure_future,Policy_D_precautionary,0.051064,5.063588,38,0.055,0.04,11.143336,20.0,11.143336,0.0,88.313998,0.0
29,stressful_future,Policy_A_low_control,0.087582,7.552269,40,0.025,0.01,534.43116,534.43116,20.0,7775.385059,0.0,0.0
29,stressful_future,Policy_B_balanced,0.087582,7.552269,40,0.045,0.02,143.942957,143.942957,20.0,1966.700986,0.0,0.0
29,stressful_future,Policy_C_high_adaptation,0.087582,7.552269,40,0.035,0.045,135.143344,135.143344,20.0,2150.615342,0.0,0.0
29,stressful_future,Policy_D_precautionary,0.087582,7.552269,40,0.055,0.04,70.228152,70.228152,20.0,603.888387,0.0,0.0
30,stressful_future,Policy_A_low_control,0.064954,21.232396,40,0.025,0.01,129.943426,129.943426,20.0,1617.09849,0.0,86.43214
30,stressful_future,Policy_B_balanced,0.064954,21.232396,40,0.045,0.02,32.539825,42.452537,20.0,5.621576,69.300813,17.131327
30,stressful_future,Policy_C_high_adaptation,0.064954,21.232396,40,0.035,0.045,51.473477,53.254449,20.0,192.809676,36.521334,49.910806
30,stressful_future,Policy_D_precautionary,0.064954,21.232396,40,0.055,0.04,10.350605,29.429986,8.490533,0.0,86.43214,0.0
31,moderate_future,Policy_A_low_control,0.062531,6.357124,27,0.025,0.01,132.838861,132.838861,20.0,1527.314726,0.0,79.985837
31,moderate_future,Policy_B_balanced,0.062531,6.357124,27,0.045,0.02,44.073081,44.073081,20.0,16.014417,60.936439,19.049398
31,moderate_future,Policy_C_high_adaptation,0.062531,6.357124,27,0.035,0.045,59.042235,59.042235,20.0,287.915638,21.022537,58.9633
31,moderate_future,Policy_D_precautionary,0.062531,6.357124,27,0.055,0.04,23.228585,24.308049,18.133991,0.0,79.985837,0.0
32,moderate_future,Policy_A_low_control,0.079699,12.935455,43,0.025,0.01,337.909471,337.909471,20.0,5005.695086,0.0,43.805258
32,moderate_future,Policy_B_balanced,0.079699,12.935455,43,0.045,0.02,91.882208,91.882208,20.0,994.841526,0.0,43.805258
32,moderate_future,Policy_C_high_adaptation,0.079699,12.935455,43,0.035,0.045,95.46193,95.46193,20.0,1308.600854,0.0,43.805258
32,moderate_future,Policy_D_precautionary,0.079699,12.935455,43,0.055,0.04,49.64175,49.64175,20.0,139.992549,43.805258,0.0
33,stressful_future,Policy_A_low_control,0.070075,21.547749,32,0.025,0.01,163.20352,163.20352,20.0,2038.778313,0.0,82.2563
33,stressful_future,Policy_B_balanced,0.070075,21.547749,32,0.045,0.02,43.091728,43.091728,20.0,11.712254,62.200806,20.055494
33,stressful_future,Policy_C_high_adaptation,0.070075,21.547749,32,0.035,0.045,62.197203,62.197203,20.0,320.146175,15.11776,67.13854
33,stressful_future,Policy_D_precautionary,0.070075,21.547749,32,0.055,0.04,16.321396,31.803447,10.73514,0.0,82.2563,0.0
34,stressful_future,Policy_A_low_control,0.05672,23.935819,24,0.025,0.01,54.51845,54.51845,18.196232,83.062688,45.353048,49.44539
34,stressful_future,Policy_B_balanced,0.05672,23.935819,24,0.045,0.02,3.829066,26.146623,2.517237,0.0,91.165905,3.632533
34,stressful_future,Policy_C_high_adaptation,0.05672,23.935819,24,0.035,0.045,20.721075,32.783966,9.560208,0.0,79.371364,15.427074
34,stressful_future,Policy_D_precautionary,0.05672,23.935819,24,0.055,0.04,0.0,20.806249,0.0,0.0,94.798438,0.0
35,moderate_future,Policy_A_low_control,0.065572,2.181826,21,0.025,0.01,166.686382,166.686382,20.0,2153.893302,0.0,70.84462
35,moderate_future,Policy_B_balanced,0.065572,2.181826,21,0.045,0.02,55.969837,55.969837,20.0,182.984909,34.127147,36.717473
35,moderate_future,Policy_C_high_adaptation,0.065572,2.181826,21,0.035,0.045,67.297281,67.297281,20.0,524.48867,0.0,70.84462
35,moderate_future,Policy_D_precautionary,0.065572,2.181826,21,0.055,0.04,34.300447,34.300447,20.0,0.0,70.84462,0.0
36,stressful_future,Policy_A_low_control,0.086666,3.668192,25,0.025,0.01,507.582967,507.582967,20.0,7324.938189,0.0,0.0
36,stressful_future,Policy_B_balanced,0.086666,3.668192,25,0.045,0.02,141.465809,141.465809,20.0,1848.580624,0.0,0.0
36,stressful_future,Policy_C_high_adaptation,0.086666,3.668192,25,0.035,0.045,134.479416,134.479416,20.0,2070.815561,0.0,0.0
36,stressful_future,Policy_D_precautionary,0.086666,3.668192,25,0.055,0.04,71.713904,71.713904,20.0,582.985446,0.0,0.0
37,stressful_future,Policy_A_low_control,0.082525,10.131839,22,0.025,0.01,365.1142,365.1142,20.0,5125.352534,0.0,30.267945
37,stressful_future,Policy_B_balanced,0.082525,10.131839,22,0.045,0.02,103.653853,103.653853,20.0,1005.501401,0.0,30.267945
37,stressful_future,Policy_C_high_adaptation,0.082525,10.131839,22,0.035,0.045,108.515527,108.515527,20.0,1381.781381,0.0,30.267945
37,stressful_future,Policy_D_precautionary,0.082525,10.131839,22,0.055,0.04,57.427384,57.427384,20.0,209.187785,30.267945,0.0
38,moderate_future,Policy_A_low_control,0.058086,14.301322,34,0.025,0.01,92.203514,92.203514,20.0,801.467546,0.0,89.324509
38,moderate_future,Policy_B_balanced,0.058086,14.301322,34,0.045,0.02,23.579406,30.715593,16.816216,0.0,78.173458,11.151051
38,moderate_future,Policy_C_high_adaptation,0.058086,14.301322,34,0.035,0.045,45.843243,45.843243,20.0,32.499749,57.783268,31.541241
38,moderate_future,Policy_D_precautionary,0.058086,14.301322,34,0.055,0.04,8.567219,22.140638,7.907642,0.0,89.324509,0.0
39,stressful_future,Policy_A_low_control,0.066747,23.305881,20,0.025,0.01,100.619973,100.619973,20.0,696.773987,0.0,91.885359
39,stressful_future,Policy_B_balanced,0.066747,23.305881,20,0.045,0.02,17.6099,30.099059,7.447738,0.0,81.909295,9.976064
39,stressful_future,Policy_C_high_adaptation,0.066747,23.305881,20,0.035,0.045,46.136134,46.136134,14.002163,21.981334,58.586152,33.299207
39,stressful_future,Policy_D_precautionary,0.066747,23.305881,20,0.055,0.04,3.120789,24.968672,1.956094,0.0,91.885359,0.0
40,moderate_future,Policy_A_low_control,0.075817,2.749242,37,0.025,0.01,290.388721,290.388721,20.0,4218.02399,0.0,43.269659
40,moderate_future,Policy_B_balanced,0.075817,2.749242,37,0.045,0.02,87.700237,87.700237,20.0,835.947846,0.0,43.269659
40,moderate_future,Policy_C_high_adaptation,0.075817,2.749242,37,0.035,0.045,92.410338,92.410338,20.0,1165.900958,0.0,43.269659
40,moderate_future,Policy_D_precautionary,0.075817,2.749242,37,0.055,0.04,51.113053,51.113053,20.0,132.842463,43.269659,0.0
41,compound_stress_future,Policy_A_low_control,0.080053,18.44637,30,0.025,0.01,302.830968,302.830968,20.0,4258.784453,0.0,59.653927
41,compound_stress_future,Policy_B_balanced,0.080053,18.44637,30,0.045,0.02,81.323724,81.323724,20.0,583.893307,0.0,59.653927
41,compound_stress_future,Policy_C_high_adaptation,0.080053,18.44637,30,0.035,0.045,91.194258,91.194258,20.0,999.146072,0.0,59.653927
41,compound_stress_future,Policy_D_precautionary,0.080053,18.44637,30,0.055,0.04,45.094271,45.094271,20.0,20.15942,59.653927,0.0
42,moderate_future,Policy_A_low_control,0.041693,10.434366,34,0.025,0.01,37.899015,37.899015,20.0,0.0,67.785837,26.261801
42,moderate_future,Policy_B_balanced,0.041693,10.434366,34,0.045,0.02,6.821889,20.0,6.821889,0.0,90.906866,3.140772
42,moderate_future,Policy_C_high_adaptation,0.041693,10.434366,34,0.035,0.045,17.433406,24.92496,14.65742,0.0,83.308716,10.738922
42,moderate_future,Policy_D_precautionary,0.041693,10.434366,34,0.055,0.04,1.587271,20.0,1.587271,0.0,94.047638,0.0
43,stressful_future,Policy_A_low_control,0.035195,17.330209,43,0.025,0.01,16.16501,30.622732,13.604713,0.0,82.645311,12.354689
43,stressful_future,Policy_B_balanced,0.035195,17.330209,43,0.045,0.02,0.0,20.0,0.0,0.0,95.0,0.0
43,stressful_future,Policy_C_high_adaptation,0.035195,17.330209,43,0.035,0.045,2.847344,20.164219,2.837935,0.0,93.250539,1.749461
43,stressful_future,Policy_D_precautionary,0.035195,17.330209,43,0.055,0.04,0.0,20.0,0.0,0.0,95.0,0.0
44,moderate_future,Policy_A_low_control,0.050803,12.014067,25,0.025,0.01,59.793664,59.793664,20.0,176.521525,31.523233,60.374708
44,moderate_future,Policy_B_balanced,0.050803,12.014067,25,0.045,0.02,13.590643,22.97967,11.098962,0.0,86.100697,5.797244
44,moderate_future,Policy_C_high_adaptation,0.050803,12.014067,25,0.035,0.045,30.441621,30.441621,17.584518,0.0,74.124622,17.773319
44,moderate_future,Policy_D_precautionary,0.050803,12.014067,25,0.055,0.04,5.170098,20.0,5.170098,0.0,91.897941,0.0
45,moderate_future,Policy_A_low_control,0.065461,2.55386,40,0.025,0.01,168.096022,168.096022,20.0,2229.767359,0.0,70.93211
45,moderate_future,Policy_B_balanced,0.065461,2.55386,40,0.045,0.02,55.770828,55.770828,20.0,187.914327,33.803364,37.128746
45,moderate_future,Policy_C_high_adaptation,0.065461,2.55386,40,0.035,0.045,66.401562,66.401562,20.0,530.5295,0.0,70.93211
45,moderate_future,Policy_D_precautionary,0.065461,2.55386,40,0.055,0.04,34.197518,34.197518,20.0,0.0,70.93211,0.0
46,moderate_future,Policy_A_low_control,0.052907,15.334788,39,0.025,0.01,68.4779,68.4779,20.0,407.53873,1.039912,92.182619
46,moderate_future,Policy_B_balanced,0.052907,15.334788,39,0.045,0.02,13.988374,26.977544,11.856059,0.0,84.86259,8.359941
46,moderate_future,Policy_C_high_adaptation,0.052907,15.334788,39,0.035,0.045,34.771724,38.762949,20.0,0.0,69.446229,23.776302
46,moderate_future,Policy_D_precautionary,0.052907,15.334788,39,0.055,0.04,2.962448,20.0,2.962448,0.0,93.222531,0.0
47,moderate_future,Policy_A_low_control,0.046935,8.973932,25,0.025,0.01,52.495426,52.495426,20.0,91.132573,46.265631,45.407989
47,moderate_future,Policy_B_balanced,0.046935,8.973932,25,0.045,0.02,12.85719,20.949597,12.016195,0.0,87.048287,4.625333
47,moderate_future,Policy_C_high_adaptation,0.046935,8.973932,25,0.035,0.045,27.161641,27.161641,17.931616,0.0,76.912605,14.761015
47,moderate_future,Policy_D_precautionary,0.046935,8.973932,25,0.055,0.04,5.543966,20.0,5.543966,0.0,91.67362,0.0
48,stressful_future,Policy_A_low_control,0.067363,18.687035,36,0.025,0.01,150.589975,150.589975,20.0,1907.182155,0.0,82.289782
48,stressful_future,Policy_B_balanced,0.067363,18.687035,36,0.045,0.02,41.620112,42.666388,20.0,8.352398,63.526096,18.763686
48,stressful_future,Policy_C_high_adaptation,0.067363,18.687035,36,0.035,0.045,58.603461,58.603461,20.0,289.901323,21.196926,61.092856
48,stressful_future,Policy_D_precautionary,0.067363,18.687035,36,0.055,0.04,16.705998,30.746477,12.439552,0.0,82.289782,0.0
49,stressful_future,Policy_A_low_control,0.09011,14.37467,35,0.025,0.01,580.838938,580.838938,20.0,8344.365365,0.0,0.0
49,stressful_future,Policy_B_balanced,0.09011,14.37467,35,0.045,0.02,148.678133,148.678133,20.0,2007.279913,0.0,0.0
49,stressful_future,Policy_C_high_adaptation,0.09011,14.37467,35,0.035,0.045,139.828844,139.828844,20.0,2195.892488,0.0,0.0
49,stressful_future,Policy_D_precautionary,0.09011,14.37467,35,0.055,0.04,70.818471,70.818471,20.0,561.826391,0.0,0.0
50,stressful_future,Policy_A_low_control,0.036169,22.298367,45,0.025,0.01,12.6037,32.603737,10.669508,0.0,84.286846,10.713154
50,stressful_future,Policy_B_balanced,0.036169,22.298367,45,0.045,0.02,0.0,20.0,0.0,0.0,95.0,0.0
50,stressful_future,Policy_C_high_adaptation,0.036169,22.298367,45,0.035,0.045,0.0,21.054638,0.0,0.0,94.736341,0.263659
50,stressful_future,Policy_D_precautionary,0.036169,22.298367,45,0.055,0.04,0.0,20.0,0.0,0.0,95.0,0.0
51,low_pressure_future,Policy_A_low_control,0.053451,1.390204,38,0.025,0.01,91.195413,91.195413,20.0,825.277192,0.0,84.872062
51,low_pressure_future,Policy_B_balanced,0.053451,1.390204,38,0.045,0.02,31.464122,31.464122,20.0,0.0,73.255497,11.616565
51,low_pressure_future,Policy_C_high_adaptation,0.053451,1.390204,38,0.035,0.045,47.523322,47.523322,20.0,78.393945,51.765781,33.106281
51,low_pressure_future,Policy_D_precautionary,0.053451,1.390204,38,0.055,0.04,16.879897,20.0,16.879897,0.0,84.872062,0.0
