scenario_id,growth,shock_intensity,shock_timing,uncertainty_class
235,0.06053,17.90245,30,stressful_future
236,0.056109,10.889886,29,moderate_future
237,0.050084,2.895741,26,low_pressure_future
238,0.053933,17.829146,44,stressful_future
239,0.07641,4.596983,43,moderate_future
240,0.064052,17.39004,44,stressful_future
241,0.066478,6.791969,23,moderate_future
242,0.084958,7.109915,31,stressful_future
243,0.045766,0.339561,37,low_pressure_future
244,0.042595,1.092377,21,low_pressure_future
245,0.068202,16.738017,24,stressful_future
246,0.073272,18.067012,23,stressful_future
247,0.087363,13.777541,35,stressful_future
248,0.063723,8.176942,21,moderate_future
249,0.050149,20.681351,23,stressful_future
250,0.084327,9.616979,22,stressful_future
251,0.069621,16.474824,24,stressful_future
252,0.043952,13.50815,29,moderate_future
253,0.040111,5.956583,37,low_pressure_future
254,0.080867,14.551624,45,stressful_future
255,0.072105,18.616645,32,stressful_future
256,0.062031,10.625304,38,moderate_future
257,0.094402,7.329126,39,stressful_future
258,0.038614,23.042611,23,stressful_future
259,0.091855,4.98691,26,stressful_future
260,0.050879,1.948499,27,low_pressure_future
261,0.045429,1.801557,20,low_pressure_future
262,0.059511,16.544907,35,stressful_future
263,0.052476,5.55543,42,low_pressure_future
264,0.051963,20.630562,22,stressful_future
265,0.076243,22.173865,45,compound_stress_future
266,0.082475,14.15495,45,stressful_future
267,0.09102,10.203335,37,stressful_future
268,0.048489,3.575746,28,low_pressure_future
269,0.084598,1.713836,25,stressful_future
270,0.082558,14.281057,38,stressful_future
271,0.090272,10.539683,34,stressful_future
272,0.076321,16.793608,28,stressful_future
273,0.065028,11.851085,22,moderate_future
274,0.070882,21.346149,43,stressful_future
275,0.054339,6.00883,22,moderate_future
276,0.048735,16.183161,38,stressful_future
277,0.070227,0.497891,44,moderate_future
278,0.075337,6.468265,21,moderate_future
279,0.080787,4.204577,36,stressful_future
280,0.074091,21.985747,25,stressful_future
281,0.094817,10.46124,35,stressful_future
282,0.093143,11.280249,33,stressful_future
283,0.054999,16.083204,25,stressful_future
284,0.054788,16.648168,29,stressful_future
285,0.074755,9.610854,44,moderate_future
286,0.068006,10.915822,30,moderate_future
287,0.050144,2.782118,44,low_pressure_future
288,0.059251,12.35031,20,moderate_future
289,0.07446,13.022246,33,moderate_future
290,0.038252,12.442545,39,moderate_future
291,0.080387,15.00981,44,stressful_future
292,0.038097,6.40935,24,moderate_future
293,0.09066,10.514786,42,stressful_future
294,0.064083,0.692867,40,moderate_future
295,0.071532,5.743139,25,moderate_future
296,0.053645,0.328187,33,low_pressure_future
297,0.040593,23.814171,23,stressful_future
298,0.062687,2.819188,24,moderate_future
299,0.064903,17.19848,36,stressful_future
300,0.077325,9.971768,35,moderate_future
301,0.093815,5.849542,37,stressful_future
302,0.043679,4.574649,39,low_pressure_future
303,0.065494,21.10383,22,stressful_future
304,0.051575,18.960148,33,stressful_future
305,0.055393,18.905218,28,stressful_future
306,0.084233,6.788136,29,stressful_future
307,0.085249,13.918161,41,stressful_future
308,0.064378,3.56629,37,moderate_future
309,0.06406,7.978559,44,moderate_future
310,0.067606,10.928271,30,moderate_future
311,0.087176,23.538591,27,compound_stress_future
312,0.069308,5.605499,44,moderate_future
313,0.059647,7.636232,35,moderate_future
314,0.077314,19.473814,32,compound_stress_future
315,0.094305,19.017448,40,compound_stress_future
316,0.093849,11.887888,21,stressful_future
317,0.042575,23.168486,30,stressful_future
318,0.087182,20.980569,34,compound_stress_future
319,0.040983,21.8506,20,stressful_future
320,0.078347,9.839487,40,moderate_future
321,0.093197,1.795878,45,stressful_future
322,0.093152,8.12547,42,stressful_future
323,0.058849,1.927568,30,moderate_future
324,0.08614,20.624212,32,compound_stress_future
325,0.092248,15.04318,44,stressful_future
326,0.064277,12.984384,39,moderate_future
327,0.039105,15.147864,29,moderate_future
328,0.094846,17.922393,33,stressful_future
329,0.0937,18.248873,42,compound_stress_future
330,0.087355,10.648285,42,stressful_future
331,0.052968,0.694734,30,low_pressure_future
332,0.082769,7.040827,31,stressful_future
333,0.060841,5.860738,33,moderate_future
334,0.068956,19.020467,25,stressful_future
335,0.045504,14.627803,32,moderate_future
336,0.072183,5.779915,38,moderate_future
337,0.043587,11.067598,28,moderate_future
338,0.062574,16.004177,45,stressful_future
339,0.062915,6.90316,37,moderate_future
340,0.044479,10.601515,31,moderate_future
341,0.094259,7.179702,33,stressful_future
342,0.076419,10.96406,29,moderate_future
343,0.046953,9.232638,35,moderate_future
344,0.041399,9.152743,31,moderate_future
345,0.069489,23.824609,29,stressful_future
346,0.036316,19.920901,32,stressful_future
347,0.051469,13.582296,41,moderate_future
348,0.081699,23.366468,39,compound_stress_future
349,0.07971,19.988134,29,compound_stress_future
350,0.081544,5.522841,45,stressful_future
351,0.056139,15.278829,39,moderate_future
352,0.050038,18.133856,44,stressful_future
353,0.074551,20.120091,40,stressful_future
354,0.04083,15.058995,21,moderate_future
355,0.053536,10.579757,38,moderate_future
356,0.056892,3.153883,29,moderate_future
357,0.054603,9.972074,26,moderate_future
358,0.04293,12.945786,31,moderate_future
359,0.066851,21.923687,25,stressful_future
360,0.050418,19.792556,35,stressful_future
361,0.093043,7.083395,30,stressful_future
362,0.083254,11.239953,22,stressful_future
363,0.043445,23.196005,41,stressful_future
364,0.078453,23.518614,45,compound_stress_future
365,0.068439,2.167269,32,moderate_future
366,0.035835,12.877735,34,moderate_future
367,0.057115,17.976278,28,stressful_future
368,0.070074,19.738015,31,stressful_future
369,0.041501,5.611726,20,low_pressure_future
370,0.072173,22.636059,30,stressful_future
371,0.089915,5.312813,22,stressful_future
372,0.073124,11.142421,42,moderate_future
373,0.053131,9.799101,24,moderate_future
374,0.037721,0.893091,35,low_pressure_future
375,0.041967,5.635201,37,low_pressure_future
376,0.04314,10.88745,41,moderate_future
377,0.091963,16.715616,37,stressful_future
378,0.060148,17.814456,24,stressful_future
379,0.088125,15.718126,35,stressful_future
380,0.071939,22.537274,28,stressful_future
381,0.036963,8.892719,34,moderate_future
382,0.061682,5.666703,31,moderate_future
383,0.040961,16.456326,37,stressful_future
384,0.089102,15.475843,21,stressful_future
385,0.058888,4.555405,23,moderate_future
386,0.091941,19.780586,22,compound_stress_future
387,0.074766,15.400907,39,moderate_future
388,0.093266,1.213884,30,stressful_future
389,0.049614,3.022173,38,low_pressure_future
390,0.047312,19.915628,37,stressful_future
391,0.047429,5.182832,27,low_pressure_future
392,0.054714,3.5413,39,low_pressure_future
393,0.03517,20.601747,24,stressful_future
394,0.094252,12.965171,45,stressful_future
395,0.04547,15.865383,20,moderate_future
396,0.042908,8.597815,45,moderate_future
397,0.049276,7.770515,25,moderate_future
398,0.050922,3.042205,33,low_pressure_future
399,0.066565,17.895967,35,stressful_future
400,0.061897,8.688935,38,moderate_future
401,0.041543,12.092129,39,moderate_future
402,0.037602,18.797448,41,stressful_future
403,0.066287,10.993021,20,moderate_future
404,0.03865,11.495566,32,moderate_future
405,0.060576,2.591084,42,moderate_future
406,0.089582,1.763777,22,stressful_future
407,0.054327,3.560012,24,low_pressure_future
408,0.051501,15.193841,37,moderate_future
409,0.077729,9.141706,39,moderate_future
410,0.066833,10.88917,39,moderate_future
411,0.060812,19.034306,23,stressful_future
412,0.086168,15.622,44,stressful_future
413,0.06808,20.771816,33,stressful_future
414,0.062093,5.483846,30,moderate_future
415,0.084645,9.569524,43,stressful_future
416,0.040705,10.242336,41,moderate_future
417,0.050293,22.88622,41,stressful_future
418,0.090379,1.611199,22,stressful_future
419,0.040594,2.317546,43,low_pressure_future
420,0.057359,3.122771,21,moderate_future
421,0.070188,13.478074,30,moderate_future
422,0.075201,9.859407,41,moderate_future
423,0.091468,10.150485,43,stressful_future
424,0.038087,6.903106,29,moderate_future
425,0.056099,13.870044,26,moderate_future
426,0.044284,11.572546,23,moderate_future
427,0.056007,13.350371,23,moderate_future
428,0.080756,13.7784,45,stressful_future
429,0.060747,13.463177,44,moderate_future
430,0.084106,14.725759,40,stressful_future
431,0.068404,14.615878,41,moderate_future
432,0.084768,6.418745,25,stressful_future
433,0.051396,18.297828,30,stressful_future
434,0.056061,4.353733,24,moderate_future
435,0.068979,9.618824,24,moderate_future
436,0.079458,23.323448,22,compound_stress_future
437,0.079767,5.163189,33,moderate_future
438,0.062219,3.777823,29,moderate_future
439,0.078296,18.644055,38,compound_stress_future
440,0.070773,21.200212,24,stressful_future
441,0.044445,14.828116,41,moderate_future
442,0.039895,10.634711,33,moderate_future
443,0.06414,10.60906,28,moderate_future
444,0.047934,12.296311,31,moderate_future
445,0.060795,6.797915,41,moderate_future
446,0.070588,12.646419,29,moderate_future
447,0.037725,9.486322,39,moderate_future
448,0.038287,4.906155,26,low_pressure_future
449,0.081041,18.339861,29,compound_stress_future
450,0.054687,0.185518,43,low_pressure_future
451,0.060839,3.100457,37,moderate_future
452,0.07722,12.006296,41,moderate_future
453,0.083372,1.729812,43,stressful_future
454,0.037538,0.449797,22,low_pressure_future
455,0.086727,13.81822,38,stressful_future
456,0.059265,15.3634,29,moderate_future
457,0.04191,0.500557,30,low_pressure_future
458,0.045312,22.742743,34,stressful_future
459,0.084922,22.074474,22,compound_stress_future
460,0.061203,2.540715,33,moderate_future
461,0.070332,12.575101,32,moderate_future
462,0.087231,17.899316,27,stressful_future
463,0.054984,4.035185,36,low_pressure_future
464,0.072993,12.734516,26,moderate_future
465,0.089355,8.385006,43,stressful_future
466,0.092493,15.490631,24,stressful_future
467,0.049176,3.514661,26,low_pressure_future
468,0.04541,3.668875,44,low_pressure_future
469,0.074331,4.251507,44,moderate_future
470,0.072677,11.134874,38,moderate_future
471,0.080593,10.773726,38,stressful_future
472,0.07358,23.676767,30,stressful_future
473,0.086855,15.053218,24,stressful_future
474,0.061386,11.254106,40,moderate_future
475,0.053169,6.592168,21,moderate_future
476,0.056117,1.780576,34,moderate_future
477,0.062115,1.365361,29,moderate_future
478,0.039604,20.742001,22,stressful_future
479,0.071901,12.169628,34,moderate_future
480,0.06982,22.901555,43,stressful_future
481,0.088753,10.793609,45,stressful_future
482,0.069299,4.517747,39,moderate_future
483,0.063538,3.620666,21,moderate_future
484,0.062031,19.463203,30,stressful_future
485,0.093943,2.023899,40,stressful_future
486,0.045354,5.945849,34,low_pressure_future
487,0.094459,12.577645,39,stressful_future
488,0.044525,8.948448,29,moderate_future
489,0.058245,18.587155,41,stressful_future
490,0.070873,18.941446,40,stressful_future
491,0.055079,7.912578,37,moderate_future
492,0.075703,6.819527,43,moderate_future
493,0.086094,23.145841,39,compound_stress_future
494,0.087397,8.000689,38,stressful_future
495,0.074817,22.001915,29,stressful_future
496,0.093062,16.763519,32,stressful_future
497,0.042737,17.012016,22,stressful_future
498,0.053575,9.040303,45,moderate_future
499,0.054709,3.06705,42,low_pressure_future
500,0.084738,17.730592,41,stressful_future
