time,state,absolute_state,adaptive_capacity,shock,performance
89,    0.000988,    0.000988,    0.192803,    0.000000,    0.999753
90,    2.000798,    2.000798,    0.192602,    2.000000,    0.499800
91,    1.617240,    1.617240,    0.191702,    0.000000,    0.595690
92,    1.308667,    1.308667,    0.190802,    0.000000,    0.672833
93,    1.060148,    1.060148,    0.189902,    0.000000,    0.734963
94,    0.859777,    0.859777,    0.189002,    0.000000,    0.785056
95,    0.697966,    0.697966,    0.188201,    0.000000,    0.825508
96,    0.567089,    0.567089,    0.187512,    0.000000,    0.858228
97,    0.461092,    0.461092,    0.186915,    0.000000,    0.884727
98,    0.375148,    0.375148,    0.186392,    0.000000,    0.906213
99,    0.305397,    0.305397,    0.185930,    0.000000,    0.923651
100,    0.248741,    0.248741,    0.185516,    0.000000,    0.937815
101,    0.202688,    0.202688,    0.185142,    0.000000,    0.949328
102,    0.165232,    0.165232,    0.184800,    0.000000,    0.958692
103,    0.134749,    0.134749,    0.184484,    0.000000,    0.966313
104,    0.109930,    0.109930,    0.184190,    0.000000,    0.972518
105,    0.089712,    0.089712,    0.183913,    0.000000,    0.977572
106,    0.073236,    0.073236,    0.183650,    0.000000,    0.981691
107,    0.059805,    0.059805,    0.183399,    0.000000,    0.985049
108,    0.048851,    0.048851,    0.183157,    0.000000,    0.987787
109,    0.039915,    0.039915,    0.182923,    0.000000,    0.990021
110,    0.032623,    0.032623,    0.182695,    0.000000,    0.991844
111,    0.026670,    0.026670,    0.182472,    0.000000,    0.993332
112,    0.021809,    0.021809,    0.182253,    0.000000,    0.994548
113,    0.017839,    0.017839,    0.182038,    0.000000,    0.995540
114,    0.014596,    0.014596,    0.181826,    0.000000,    0.996351
115,    0.011945,    0.011945,    0.181615,    0.000000,    0.997014
116,    0.009778,    0.009778,    0.181407,    0.000000,    0.997556
117,    0.008006,    0.008006,    0.181200,    0.000000,    0.997998
118,    0.006557,    0.006557,    0.180995,    0.000000,    0.998361
119,    0.005372,    0.005372,    0.180790,    0.000000,    0.998657
120,    0.004402,    0.004402,    0.180586,    0.000000,    0.998900
121,    0.003608,    0.003608,    0.180383,    0.000000,    0.999098
122,    0.002958,    0.002958,    0.180181,    0.000000,    0.999261
123,    0.002425,    0.002425,    0.179979,    0.000000,    0.999394
124,    0.001989,    0.001989,    0.179777,    0.000000,    0.999503
125,    2.201632,    2.201632,    0.179576,    2.200000,    0.449592
126,    1.808254,    1.808254,    0.178676,    0.000000,    0.547936
127,    1.486791,    1.486791,    0.177776,    0.000000,    0.628302
128,    1.223814,    1.223814,    0.176876,    0.000000,    0.694047
129,    1.008453,    1.008453,    0.175976,    0.000000,    0.747887
130,    0.831897,    0.831897,    0.175076,    0.000000,    0.792026
131,    0.686903,    0.686903,    0.174293,    0.000000,    0.828274
132,    0.567648,    0.567648,    0.173612,    0.000000,    0.858088
133,    0.469437,    0.469437,    0.173015,    0.000000,    0.882641
134,    0.388465,    0.388465,    0.172486,    0.000000,    0.902884
135,    0.321644,    0.321644,    0.172015,    0.000000,    0.919589
136,    0.266453,    0.266453,    0.171589,    0.000000,    0.933387
137,    0.220835,    0.220835,    0.171203,    0.000000,    0.944791
138,    0.183106,    0.183106,    0.170848,    0.000000,    0.954223
139,    0.151883,    0.151883,    0.170520,    0.000000,    0.962029
140,    0.126030,    0.126030,    0.170214,    0.000000,    0.968492
141,    0.104615,    0.104615,    0.169926,    0.000000,    0.973846
142,    0.086866,    0.086866,    0.169652,    0.000000,    0.978283
143,    0.072152,    0.072152,    0.169392,    0.000000,    0.981962
144,    0.059948,    0.059948,    0.169141,    0.000000,    0.985013
145,    0.049823,    0.049823,    0.168899,    0.000000,    0.987544
146,    0.041420,    0.041420,    0.168664,    0.000000,    0.989645
147,    0.034443,    0.034443,    0.168435,    0.000000,    0.991389
148,    0.028649,    0.028649,    0.168211,    0.000000,    0.992838
149,    0.023837,    0.023837,    0.167991,    0.000000,    0.994041
150,    0.019837,    0.019837,    0.167774,    0.000000,    0.995041
151,    0.016513,    0.016513,    0.167560,    0.000000,    0.995872
152,    0.013750,    0.013750,    0.167349,    0.000000,    0.996563
153,    0.011452,    0.011452,    0.167139,    0.000000,    0.997137
154,    0.009540,    0.009540,    0.166931,    0.000000,    0.997615
155,    2.507950,    2.507950,    0.166725,    2.500000,    0.373013
156,    2.092070,    2.092070,    0.165825,    0.000000,    0.476983
157,    1.747036,    1.747036,    0.164925,    0.000000,    0.563241
158,    1.460479,    1.460479,    0.164025,    0.000000,    0.634880
159,    1.222239,    1.222239,    0.163125,    0.000000,    0.694440
160,    1.023962,    1.023962,    0.162225,    0.000000,    0.744009
161,    0.858772,    0.858772,    0.161325,    0.000000,    0.785307
162,    0.720919,    0.720919,    0.160523,    0.000000,    0.819770
163,    0.605703,    0.605703,    0.159819,    0.000000,    0.848574
164,    0.509278,    0.509278,    0.159195,    0.000000,    0.872681
165,    0.428487,    0.428487,    0.158638,    0.000000,    0.892878
166,    0.360727,    0.360727,    0.158138,    0.000000,    0.909818
167,    0.303845,    0.303845,    0.157686,    0.000000,    0.924039
168,    0.256059,    0.256059,    0.157273,    0.000000,    0.935985
169,    0.215885,    0.215885,    0.156894,    0.000000,    0.946029
170,    0.182089,    0.182089,    0.156543,    0.000000,    0.954478
171,    0.153644,    0.153644,    0.156215,    0.000000,    0.961589
172,    0.129690,    0.129690,    0.155908,    0.000000,    0.967578
173,    0.109508,    0.109508,    0.155617,    0.000000,    0.972623
174,    0.092497,    0.092497,    0.155340,    0.000000,    0.976876
175,    0.078153,    0.078153,    0.155076,    0.000000,    0.980462
176,    0.066053,    0.066053,    0.154821,    0.000000,    0.983487
177,    0.055843,    0.055843,    0.154575,    0.000000,    0.986039
178,    0.047224,    0.047224,    0.154336,    0.000000,    0.988194
179,    0.039947,    0.039947,    0.154102,    0.000000,    0.990013
180,    0.033800,    0.033800,    0.153875,    0.000000,    0.991550
