scenario,path,step,control_parameter,system_state,jump_size,transition_flag,rolling_variance_20,rolling_autocorrelation_20,dt,transition_jump_threshold
baseline_hysteresis,forward_forcing,31,-0.959197,-1.321699,0.001775,0,3e-05,0.917043,0.05,0.15
baseline_hysteresis,forward_forcing,32,-0.951171,-1.319899,0.001799,0,3.4e-05,0.963197,0.05,0.15
baseline_hysteresis,forward_forcing,33,-0.943144,-1.318079,0.00182,0,4.3e-05,0.986297,0.05,0.15
baseline_hysteresis,forward_forcing,34,-0.935117,-1.316242,0.001837,0,5.4e-05,0.994667,0.05,0.15
baseline_hysteresis,forward_forcing,35,-0.92709,-1.31439,0.001852,0,6.5e-05,0.997733,0.05,0.15
baseline_hysteresis,forward_forcing,36,-0.919064,-1.312524,0.001866,0,7.5e-05,0.998956,0.05,0.15
baseline_hysteresis,forward_forcing,37,-0.911037,-1.310646,0.001877,0,8.4e-05,0.999488,0.05,0.15
baseline_hysteresis,forward_forcing,38,-0.90301,-1.308758,0.001888,0,9.1e-05,0.999737,0.05,0.15
baseline_hysteresis,forward_forcing,39,-0.894983,-1.30686,0.001898,0,9.8e-05,0.99986,0.05,0.15
baseline_hysteresis,forward_forcing,40,-0.886957,-1.304953,0.001907,0,0.000103,0.999923,0.05,0.15
baseline_hysteresis,forward_forcing,41,-0.87893,-1.303037,0.001916,0,0.000108,0.999957,0.05,0.15
baseline_hysteresis,forward_forcing,42,-0.870903,-1.301112,0.001925,0,0.000111,0.999975,0.05,0.15
baseline_hysteresis,forward_forcing,43,-0.862876,-1.299179,0.001933,0,0.000115,0.999986,0.05,0.15
baseline_hysteresis,forward_forcing,44,-0.854849,-1.297239,0.001941,0,0.000117,0.999992,0.05,0.15
baseline_hysteresis,forward_forcing,45,-0.846823,-1.29529,0.001948,0,0.00012,0.999995,0.05,0.15
baseline_hysteresis,forward_forcing,46,-0.838796,-1.293334,0.001956,0,0.000122,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,47,-0.830769,-1.29137,0.001964,0,0.000123,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,48,-0.822742,-1.289399,0.001971,0,0.000125,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,49,-0.814716,-1.28742,0.001979,0,0.000127,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,50,-0.806689,-1.285434,0.001986,0,0.000128,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,51,-0.798662,-1.28344,0.001994,0,0.000129,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,52,-0.790635,-1.281439,0.002002,0,0.00013,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,53,-0.782609,-1.279429,0.002009,0,0.000132,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,54,-0.774582,-1.277413,0.002017,0,0.000133,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,55,-0.766555,-1.275388,0.002025,0,0.000134,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,56,-0.758528,-1.273356,0.002032,0,0.000135,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,57,-0.750502,-1.271315,0.00204,0,0.000136,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,58,-0.742475,-1.269267,0.002048,0,0.000137,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,59,-0.734448,-1.267211,0.002056,0,0.000138,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,60,-0.726421,-1.265147,0.002064,0,0.000139,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,61,-0.718395,-1.263074,0.002072,0,0.00014,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,62,-0.710368,-1.260994,0.002081,0,0.000141,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,63,-0.702341,-1.258905,0.002089,0,0.000142,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,64,-0.694314,-1.256808,0.002097,0,0.000144,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,65,-0.686288,-1.254702,0.002106,0,0.000145,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,66,-0.678261,-1.252588,0.002114,0,0.000146,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,67,-0.670234,-1.250465,0.002123,0,0.000147,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,68,-0.662207,-1.248333,0.002132,0,0.000148,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,69,-0.654181,-1.246193,0.00214,0,0.000149,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,70,-0.646154,-1.244043,0.002149,0,0.00015,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,71,-0.638127,-1.241885,0.002158,0,0.000152,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,72,-0.6301,-1.239718,0.002167,0,0.000153,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,73,-0.622074,-1.237541,0.002177,0,0.000154,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,74,-0.614047,-1.235355,0.002186,0,0.000155,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,75,-0.60602,-1.23316,0.002195,0,0.000157,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,76,-0.597993,-1.230955,0.002205,0,0.000158,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,77,-0.589967,-1.228741,0.002214,0,0.000159,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,78,-0.58194,-1.226517,0.002224,0,0.00016,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,79,-0.573913,-1.224284,0.002234,0,0.000162,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,80,-0.565886,-1.22204,0.002244,0,0.000163,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,81,-0.55786,-1.219786,0.002254,0,0.000165,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,82,-0.549833,-1.217523,0.002264,0,0.000166,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,83,-0.541806,-1.215249,0.002274,0,0.000167,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,84,-0.533779,-1.212964,0.002284,0,0.000169,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,85,-0.525753,-1.210669,0.002295,0,0.00017,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,86,-0.517726,-1.208364,0.002305,0,0.000172,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,87,-0.509699,-1.206048,0.002316,0,0.000173,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,88,-0.501672,-1.203721,0.002327,0,0.000175,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,89,-0.493645,-1.201383,0.002338,0,0.000176,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,90,-0.485619,-1.199034,0.002349,0,0.000178,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,91,-0.477592,-1.196674,0.00236,0,0.00018,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,92,-0.469565,-1.194302,0.002372,0,0.000181,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,93,-0.461538,-1.191919,0.002383,0,0.000183,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,94,-0.453512,-1.189524,0.002395,0,0.000185,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,95,-0.445485,-1.187118,0.002407,0,0.000186,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,96,-0.437458,-1.1847,0.002418,0,0.000188,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,97,-0.429431,-1.182269,0.002431,0,0.00019,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,98,-0.421405,-1.179826,0.002443,0,0.000192,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,99,-0.413378,-1.177371,0.002455,0,0.000193,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,100,-0.405351,-1.174904,0.002468,0,0.000195,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,101,-0.397324,-1.172423,0.00248,0,0.000197,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,102,-0.389298,-1.16993,0.002493,0,0.000199,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,103,-0.381271,-1.167424,0.002506,0,0.000201,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,104,-0.373244,-1.164904,0.002519,0,0.000203,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,105,-0.365217,-1.162372,0.002533,0,0.000205,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,106,-0.357191,-1.159825,0.002546,0,0.000207,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,107,-0.349164,-1.157265,0.00256,0,0.000209,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,108,-0.341137,-1.154691,0.002574,0,0.000211,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,109,-0.33311,-1.152103,0.002588,0,0.000213,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,110,-0.325084,-1.149501,0.002602,0,0.000216,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,111,-0.317057,-1.146884,0.002617,0,0.000218,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,112,-0.30903,-1.144252,0.002632,0,0.00022,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,113,-0.301003,-1.141606,0.002646,0,0.000223,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,114,-0.292977,-1.138944,0.002662,0,0.000225,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,115,-0.28495,-1.136267,0.002677,0,0.000227,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,116,-0.276923,-1.133575,0.002692,0,0.00023,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,117,-0.268896,-1.130867,0.002708,0,0.000232,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,118,-0.26087,-1.128143,0.002724,0,0.000235,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,119,-0.252843,-1.125402,0.00274,0,0.000237,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,120,-0.244816,-1.122645,0.002757,0,0.00024,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,121,-0.236789,-1.119872,0.002774,0,0.000243,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,122,-0.228763,-1.117081,0.002791,0,0.000246,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,123,-0.220736,-1.114273,0.002808,0,0.000248,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,124,-0.212709,-1.111448,0.002825,0,0.000251,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,125,-0.204682,-1.108605,0.002843,0,0.000254,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,126,-0.196656,-1.105744,0.002861,0,0.000257,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,127,-0.188629,-1.102865,0.002879,0,0.00026,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,128,-0.180602,-1.099967,0.002898,0,0.000263,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,129,-0.172575,-1.09705,0.002917,0,0.000267,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,130,-0.164548,-1.094114,0.002936,0,0.00027,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,131,-0.156522,-1.091158,0.002956,0,0.000273,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,132,-0.148495,-1.088183,0.002975,0,0.000277,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,133,-0.140468,-1.085187,0.002996,0,0.00028,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,134,-0.132441,-1.082171,0.003016,0,0.000284,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,135,-0.124415,-1.079134,0.003037,0,0.000287,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,136,-0.116388,-1.076076,0.003058,0,0.000291,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,137,-0.108361,-1.072996,0.00308,0,0.000295,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,138,-0.100334,-1.069895,0.003102,0,0.000298,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,139,-0.092308,-1.066771,0.003124,0,0.000302,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,140,-0.084281,-1.063624,0.003147,0,0.000306,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,141,-0.076254,-1.060454,0.00317,0,0.000311,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,142,-0.068227,-1.057261,0.003193,0,0.000315,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,143,-0.060201,-1.054044,0.003217,0,0.000319,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,144,-0.052174,-1.050802,0.003242,0,0.000324,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,145,-0.044147,-1.047536,0.003267,0,0.000328,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,146,-0.03612,-1.044244,0.003292,0,0.000333,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,147,-0.028094,-1.040926,0.003318,0,0.000338,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,148,-0.020067,-1.037582,0.003344,0,0.000343,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,149,-0.01204,-1.034211,0.003371,0,0.000348,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,150,-0.004013,-1.030813,0.003398,0,0.000353,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,151,0.004013,-1.027387,0.003426,0,0.000358,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,152,0.01204,-1.023933,0.003454,0,0.000363,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,153,0.020067,-1.02045,0.003483,0,0.000369,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,154,0.028094,-1.016937,0.003513,0,0.000375,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,155,0.03612,-1.013394,0.003543,0,0.000381,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,156,0.044147,-1.00982,0.003574,0,0.000387,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,157,0.052174,-1.006215,0.003605,0,0.000393,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,158,0.060201,-1.002578,0.003637,0,0.000399,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,159,0.068227,-0.998908,0.00367,0,0.000406,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,160,0.076254,-0.995204,0.003704,0,0.000412,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,161,0.084281,-0.991466,0.003738,0,0.000419,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,162,0.092308,-0.987693,0.003773,0,0.000426,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,163,0.100334,-0.983884,0.003809,0,0.000434,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,164,0.108361,-0.980039,0.003845,0,0.000441,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,165,0.116388,-0.976157,0.003883,0,0.000449,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,166,0.124415,-0.972236,0.003921,0,0.000457,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,167,0.132441,-0.968275,0.00396,0,0.000465,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,168,0.140468,-0.964275,0.004,0,0.000474,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,169,0.148495,-0.960234,0.004041,0,0.000482,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,170,0.156522,-0.95615,0.004084,0,0.000491,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,171,0.164548,-0.952023,0.004127,0,0.000501,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,172,0.172575,-0.947853,0.004171,0,0.00051,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,173,0.180602,-0.943636,0.004216,0,0.00052,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,174,0.188629,-0.939374,0.004263,0,0.00053,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,175,0.196656,-0.935063,0.00431,0,0.000541,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,176,0.204682,-0.930704,0.004359,0,0.000552,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,177,0.212709,-0.926295,0.00441,0,0.000563,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,178,0.220736,-0.921834,0.004461,0,0.000575,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,179,0.228763,-0.917319,0.004514,0,0.000587,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,180,0.236789,-0.912751,0.004569,0,0.0006,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,181,0.244816,-0.908126,0.004625,0,0.000613,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,182,0.252843,-0.903444,0.004682,0,0.000626,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,183,0.26087,-0.898703,0.004741,0,0.00064,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,184,0.268896,-0.893901,0.004802,0,0.000655,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,185,0.276923,-0.889036,0.004865,0,0.00067,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,186,0.28495,-0.884106,0.00493,0,0.000685,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,187,0.292977,-0.87911,0.004996,0,0.000702,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,188,0.301003,-0.874045,0.005065,0,0.000718,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,189,0.30903,-0.868909,0.005136,0,0.000736,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,190,0.317057,-0.8637,0.005209,0,0.000754,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,191,0.325084,-0.858416,0.005284,0,0.000774,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,192,0.33311,-0.853054,0.005362,0,0.000793,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,193,0.341137,-0.847611,0.005443,0,0.000814,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,194,0.349164,-0.842085,0.005526,0,0.000836,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,195,0.357191,-0.836474,0.005612,0,0.000858,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,196,0.365217,-0.830773,0.005701,0,0.000882,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,197,0.373244,-0.82498,0.005793,0,0.000907,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,198,0.381271,-0.819092,0.005888,0,0.000932,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,199,0.389298,-0.813105,0.005987,0,0.00096,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,200,0.397324,-0.807015,0.00609,0,0.000988,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,201,0.405351,-0.800819,0.006196,0,0.001018,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,202,0.413378,-0.794512,0.006307,0,0.001049,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,203,0.421405,-0.788091,0.006421,0,0.001081,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,204,0.429431,-0.78155,0.006541,0,0.001116,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,205,0.437458,-0.774885,0.006665,0,0.001152,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,206,0.445485,-0.768091,0.006794,0,0.00119,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,207,0.453512,-0.761163,0.006928,0,0.00123,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,208,0.461538,-0.754095,0.007068,0,0.001272,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,209,0.469565,-0.74688,0.007215,0,0.001317,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,210,0.477592,-0.739513,0.007367,0,0.001364,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,211,0.485619,-0.731986,0.007527,0,0.001414,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,212,0.493645,-0.724293,0.007693,0,0.001467,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,213,0.501672,-0.716426,0.007867,0,0.001523,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,214,0.509699,-0.708376,0.00805,0,0.001582,1.0,0.05,0.15
baseline_hysteresis,forward_forcing,215,0.517726,-0.700136,0.008241,0,0.001645,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,216,0.525753,-0.691695,0.008441,0,0.001712,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,217,0.533779,-0.683044,0.008651,0,0.001784,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,218,0.541806,-0.674172,0.008872,0,0.00186,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,219,0.549833,-0.665068,0.009104,0,0.001941,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,220,0.55786,-0.65572,0.009348,0,0.002027,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,221,0.565886,-0.646115,0.009605,0,0.00212,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,222,0.573913,-0.636239,0.009876,0,0.002219,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,223,0.58194,-0.626076,0.010163,0,0.002326,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,224,0.589967,-0.615611,0.010465,0,0.00244,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,225,0.597993,-0.604827,0.010784,0,0.002563,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,226,0.60602,-0.593705,0.011122,0,0.002696,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,227,0.614047,-0.582224,0.011481,0,0.002839,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,228,0.622074,-0.570363,0.011861,0,0.002993,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,229,0.6301,-0.558099,0.012264,0,0.00316,0.999999,0.05,0.15
baseline_hysteresis,forward_forcing,230,0.638127,-0.545406,0.012693,0,0.003342,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,231,0.646154,-0.532257,0.013149,0,0.003539,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,232,0.654181,-0.518621,0.013636,0,0.003753,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,233,0.662207,-0.504467,0.014154,0,0.003986,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,234,0.670234,-0.48976,0.014707,0,0.004241,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,235,0.678261,-0.474461,0.015299,0,0.00452,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,236,0.686288,-0.458529,0.015932,0,0.004826,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,237,0.694314,-0.44192,0.01661,0,0.005161,0.999998,0.05,0.15
baseline_hysteresis,forward_forcing,238,0.702341,-0.424583,0.017336,0,0.005531,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,239,0.710368,-0.406467,0.018116,0,0.005938,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,240,0.718395,-0.387513,0.018954,0,0.006389,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,241,0.726421,-0.367658,0.019855,0,0.006888,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,242,0.734448,-0.346834,0.020824,0,0.007441,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,243,0.742475,-0.324966,0.021868,0,0.008057,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,244,0.750502,-0.301973,0.022993,0,0.008743,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,245,0.758528,-0.277768,0.024205,0,0.009509,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,246,0.766555,-0.252257,0.025511,0,0.010366,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,247,0.774582,-0.225339,0.026919,0,0.011328,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,248,0.782609,-0.196903,0.028436,0,0.012409,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,249,0.790635,-0.166835,0.030068,0,0.013626,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,250,0.798662,-0.135011,0.031824,0,0.014998,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,251,0.806689,-0.101304,0.033707,0,0.016547,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,252,0.814716,-0.065582,0.035723,0,0.018299,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,253,0.822742,-0.02771,0.037872,0,0.020281,0.999996,0.05,0.15
baseline_hysteresis,forward_forcing,254,0.830769,0.012445,0.040154,0,0.022525,0.999997,0.05,0.15
baseline_hysteresis,forward_forcing,255,0.838796,0.055006,0.042562,0,0.025066,0.999997,0.05,0.15
