time,backlog,resource,infrastructure_condition,backlog_net_flow,resource_net_flow,condition_net_flow
110,   14.547817,    0.000000,   10.513353,   -0.178071,  -12.000000,    0.322293
111,   14.383992,    0.000000,   10.839513,   -0.163825,  -12.000000,    0.326160
112,   14.233272,    0.000000,   11.169587,   -0.150719,  -12.000000,    0.330074
113,   14.094611,    0.000000,   11.503622,   -0.138662,  -12.000000,    0.334035
114,   13.967042,    0.000000,   11.841666,   -0.127569,  -12.000000,    0.338043
115,   13.849678,    0.000000,   12.183766,   -0.117363,  -12.000000,    0.342100
116,   13.741704,    0.000000,   12.529971,   -0.107974,  -12.000000,    0.346205
117,   13.642368,    0.000000,   12.880330,   -0.099336,  -12.000000,    0.350360
118,   13.550978,    0.000000,   13.234894,   -0.091389,  -12.000000,    0.354564
119,   13.466900,    0.000000,   13.593713,   -0.084078,  -12.000000,    0.358819
120,   13.389548,    0.000000,   13.956838,   -0.077352,  -12.000000,    0.363125
