scenario,time,backlog,backlog_arrivals,backlog_completions,backlog_net_flow,resource,resource_regeneration,resource_extraction,resource_net_flow,infrastructure_condition,condition_maintenance,condition_wear,condition_net_flow
baseline,47,75.099311,18.0,18.008636,-0.008636,0.0,0.0,24.0,-24.0,19.624722,0.9,2.347138,-1.447138
baseline,48,75.091366,18.0,18.007945,-0.007945,0.0,0.0,24.0,-24.0,18.160219,0.9,2.364503,-1.464503
baseline,49,75.084057,18.0,18.007309,-0.007309,0.0,0.0,24.0,-24.0,16.678141,0.9,2.382077,-1.482077
baseline,50,75.077332,18.0,18.006725,-0.006725,0.0,0.0,24.0,-24.0,15.178279,0.9,2.399862,-1.499862
baseline,51,75.071146,18.0,18.006187,-0.006187,0.0,0.0,24.0,-24.0,13.660418,0.9,2.417861,-1.517861
baseline,52,75.065454,18.0,18.005692,-0.005692,0.0,0.0,24.0,-24.0,12.124343,0.9,2.436075,-1.536075
baseline,53,75.060218,18.0,18.005236,-0.005236,0.0,0.0,24.0,-24.0,10.569836,0.9,2.454508,-1.554508
baseline,54,75.0554,18.0,18.004817,-0.004817,0.0,0.0,24.0,-24.0,8.996674,0.9,2.473162,-1.573162
baseline,55,75.050968,18.0,18.004432,-0.004432,0.0,0.0,24.0,-24.0,7.404634,0.9,2.49204,-1.59204
baseline,56,75.046891,18.0,18.004077,-0.004077,0.0,0.0,24.0,-24.0,5.793489,0.9,2.511144,-1.611144
baseline,57,75.04314,18.0,18.003751,-0.003751,0.0,0.0,24.0,-24.0,4.163011,0.9,2.530478,-1.630478
baseline,58,75.039688,18.0,18.003451,-0.003451,0.0,0.0,24.0,-24.0,2.512967,0.9,2.550044,-1.650044
baseline,59,75.036513,18.0,18.003175,-0.003175,0.0,0.0,24.0,-24.0,0.843123,0.9,2.569844,-1.669844
baseline,60,75.033592,18.0,18.002921,-0.002921,0.0,0.0,24.0,-24.0,0.0,0.9,2.589883,-1.689883
baseline,61,75.030905,18.0,18.002687,-0.002687,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,62,75.028433,18.0,18.002472,-0.002472,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,63,75.026158,18.0,18.002275,-0.002275,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,64,75.024065,18.0,18.002093,-0.002093,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,65,75.02214,18.0,18.001925,-0.001925,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,66,75.020369,18.0,18.001771,-0.001771,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,67,75.018739,18.0,18.00163,-0.00163,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,68,75.01724,18.0,18.001499,-0.001499,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,69,75.015861,18.0,18.001379,-0.001379,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,70,75.014592,18.0,18.001269,-0.001269,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,71,75.013425,18.0,18.001167,-0.001167,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,72,75.012351,18.0,18.001074,-0.001074,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,73,75.011363,18.0,18.000988,-0.000988,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,74,75.010454,18.0,18.000909,-0.000909,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,75,75.009617,18.0,18.000836,-0.000836,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,76,75.008848,18.0,18.000769,-0.000769,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,77,75.00814,18.0,18.000708,-0.000708,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,78,75.007489,18.0,18.000651,-0.000651,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,79,75.00689,18.0,18.000599,-0.000599,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,80,75.006339,18.0,18.000551,-0.000551,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,81,75.005832,18.0,18.000507,-0.000507,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,82,75.005365,18.0,18.000467,-0.000467,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,83,75.004936,18.0,18.000429,-0.000429,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,84,75.004541,18.0,18.000395,-0.000395,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,85,75.004178,18.0,18.000363,-0.000363,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,86,75.003843,18.0,18.000334,-0.000334,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,87,75.003536,18.0,18.000307,-0.000307,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,88,75.003253,18.0,18.000283,-0.000283,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,89,75.002993,18.0,18.00026,-0.00026,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,90,75.002753,18.0,18.000239,-0.000239,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,91,75.002533,18.0,18.00022,-0.00022,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,92,75.002331,18.0,18.000203,-0.000203,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,93,75.002144,18.0,18.000186,-0.000186,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,94,75.001973,18.0,18.000172,-0.000172,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,95,75.001815,18.0,18.000158,-0.000158,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,96,75.00167,18.0,18.000145,-0.000145,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,97,75.001536,18.0,18.000134,-0.000134,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,98,75.001413,18.0,18.000123,-0.000123,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,99,75.0013,18.0,18.000113,-0.000113,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,100,75.001196,18.0,18.000104,-0.000104,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,101,75.0011,18.0,18.000096,-9.6e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,102,75.001012,18.0,18.000088,-8.8e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,103,75.000931,18.0,18.000081,-8.1e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,104,75.000857,18.0,18.000075,-7.5e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,105,75.000788,18.0,18.000069,-6.9e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,106,75.000725,18.0,18.000063,-6.3e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,107,75.000667,18.0,18.000058,-5.8e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,108,75.000614,18.0,18.000053,-5.3e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,109,75.000565,18.0,18.000049,-4.9e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,110,75.00052,18.0,18.000045,-4.5e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,111,75.000478,18.0,18.000042,-4.2e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,112,75.00044,18.0,18.000038,-3.8e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,113,75.000405,18.0,18.000035,-3.5e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,114,75.000372,18.0,18.000032,-3.2e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,115,75.000342,18.0,18.00003,-3e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,116,75.000315,18.0,18.000027,-2.7e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,117,75.00029,18.0,18.000025,-2.5e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,118,75.000267,18.0,18.000023,-2.3e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,119,75.000245,18.0,18.000021,-2.1e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
baseline,120,75.000226,18.0,18.00002,-2e-05,0.0,0.0,24.0,-24.0,0.0,0.9,2.6,-1.7
capacity_and_conservation,1,74.9,15.3,20.4,-5.1,588.8,10.8,22.0,-11.2,71.464,1.2,1.736,-0.536
capacity_and_conservation,2,70.208,15.3,19.992,-4.692,577.695155,10.895155,22.0,-11.104845,70.921568,1.2,1.742432,-0.542432
capacity_and_conservation,3,65.89136,15.3,19.61664,-4.31664,566.673511,10.978356,22.0,-11.021644,70.372627,1.2,1.748941,-0.548941
capacity_and_conservation,4,61.920051,15.3,19.271309,-3.971309,555.72347,11.049959,22.0,-10.950041,69.817098,1.2,1.755528,-0.555528
capacity_and_conservation,5,58.266447,15.3,18.953604,-3.653604,544.83374,11.11027,22.0,-10.88973,69.254904,1.2,1.762195,-0.562195
capacity_and_conservation,6,54.905131,15.3,18.661316,-3.361316,533.993287,11.159547,22.0,-10.840453,68.685962,1.2,1.768941,-0.568941
capacity_and_conservation,7,51.812721,15.3,18.392411,-3.092411,523.191288,11.198001,22.0,-10.801999,68.110194,1.2,1.775768,-0.575768
capacity_and_conservation,8,48.967703,15.3,18.145018,-2.845018,512.417085,11.225797,22.0,-10.774203,67.527516,1.2,1.782678,-0.582678
capacity_and_conservation,9,46.350287,15.3,17.917416,-2.617416,501.660147,11.243062,22.0,-10.756938,66.937846,1.2,1.78967,-0.58967
capacity_and_conservation,10,43.942264,15.3,17.708023,-2.408023,490.910023,11.249876,22.0,-10.750124,66.341101,1.2,1.796746,-0.596746
capacity_and_conservation,11,41.726883,15.3,17.515381,-2.215381,480.156305,11.246282,22.0,-10.753718,65.737194,1.2,1.803907,-0.603907
capacity_and_conservation,12,39.688732,15.3,17.338151,-2.038151,469.388585,11.23228,22.0,-10.76772,65.12604,1.2,1.811154,-0.611154
capacity_and_conservation,13,37.813634,15.3,17.175099,-1.875099,458.596417,11.207832,22.0,-10.792168,64.507553,1.2,1.818488,-0.618488
capacity_and_conservation,14,36.088543,15.3,17.025091,-1.725091,447.769276,11.172858,22.0,-10.827142,63.881643,1.2,1.825909,-0.625909
capacity_and_conservation,15,34.50146,15.3,16.887083,-1.587083,436.896514,11.127238,22.0,-10.872762,63.248223,1.2,1.83342,-0.63342
capacity_and_conservation,16,33.041343,15.3,16.760117,-1.460117,425.967321,11.070808,22.0,-10.929192,62.607202,1.2,1.841021,-0.641021
capacity_and_conservation,17,31.698035,15.3,16.643307,-1.343307,414.970684,11.003362,22.0,-10.996638,61.958488,1.2,1.848714,-0.648714
capacity_and_conservation,18,30.462193,15.3,16.535843,-1.235843,403.895334,10.924651,22.0,-11.075349,61.30199,1.2,1.856498,-0.656498
capacity_and_conservation,19,29.325217,15.3,16.436975,-1.136975,392.72971,10.834375,22.0,-11.165625,60.637614,1.2,1.864376,-0.664376
capacity_and_conservation,20,28.2792,15.3,16.346017,-1.046017,381.461898,10.732189,22.0,-11.267811,59.965265,1.2,1.872349,-0.672349
capacity_and_conservation,21,27.316864,15.3,16.262336,-0.962336,370.079591,10.617692,22.0,-11.382308,59.284848,1.2,1.880417,-0.680417
capacity_and_conservation,22,26.431515,15.3,16.185349,-0.885349,358.570022,10.490431,22.0,-11.509569,58.596267,1.2,1.888582,-0.688582
capacity_and_conservation,23,25.616993,15.3,16.114521,-0.814521,346.919912,10.34989,22.0,-11.65011,57.899422,1.2,1.896845,-0.696845
capacity_and_conservation,24,24.867634,15.3,16.049359,-0.749359,335.115404,10.195492,22.0,-11.804508,57.194215,1.2,1.905207,-0.705207
capacity_and_conservation,25,24.178223,15.3,15.989411,-0.689411,323.141992,10.026588,22.0,-11.973412,56.480545,1.2,1.913669,-0.713669
capacity_and_conservation,26,23.543965,15.3,15.934258,-0.634258,310.984448,9.842456,22.0,-12.157544,55.758312,1.2,1.922233,-0.722233
capacity_and_conservation,27,22.960448,15.3,15.883517,-0.583517,298.626738,9.64229,22.0,-12.35771,55.027412,1.2,1.9309,-0.7309
capacity_and_conservation,28,22.423612,15.3,15.836836,-0.536836,286.051935,9.425196,22.0,-12.574804,54.287741,1.2,1.939671,-0.739671
capacity_and_conservation,29,21.929723,15.3,15.793889,-0.493889,273.242115,9.19018,22.0,-12.80982,53.539193,1.2,1.948547,-0.748547
capacity_and_conservation,30,21.475345,15.3,15.754378,-0.454378,260.178254,8.936139,22.0,-13.063861,52.781664,1.2,1.95753,-0.75753
capacity_and_conservation,31,21.057318,15.3,15.718028,-0.418028,246.840103,8.661849,22.0,-13.338151,52.015044,1.2,1.96662,-0.76662
capacity_and_conservation,32,20.672732,15.3,15.684585,-0.384585,233.206056,8.365953,22.0,-13.634047,51.239224,1.2,1.975819,-0.775819
capacity_and_conservation,33,20.318914,15.3,15.653819,-0.353819,219.253,8.046945,22.0,-13.953055,50.454095,1.2,1.985129,-0.785129
capacity_and_conservation,34,19.993401,15.3,15.625513,-0.325513,204.956151,7.70315,22.0,-14.29685,49.659544,1.2,1.994551,-0.794551
capacity_and_conservation,35,19.693929,15.3,15.599472,-0.299472,190.288861,7.332711,22.0,-14.667289,48.855459,1.2,2.004085,-0.804085
capacity_and_conservation,36,19.418414,15.3,15.575514,-0.275514,175.222417,6.933555,22.0,-15.066445,48.041724,1.2,2.013734,-0.813734
capacity_and_conservation,37,19.164941,15.3,15.553473,-0.253473,159.725795,6.503378,22.0,-15.496622,47.218225,1.2,2.023499,-0.823499
capacity_and_conservation,38,18.931746,15.3,15.533195,-0.233195,143.765401,6.039606,22.0,-15.960394,46.384844,1.2,2.033381,-0.833381
capacity_and_conservation,39,18.717206,15.3,15.51454,-0.21454,127.304762,5.539361,22.0,-16.460639,45.541462,1.2,2.043382,-0.843382
capacity_and_conservation,40,18.51983,15.3,15.497376,-0.197376,110.304184,4.999422,22.0,-17.000578,44.687959,1.2,2.053502,-0.853502
capacity_and_conservation,41,18.338243,15.3,15.481586,-0.181586,92.720357,4.416173,22.0,-17.583827,43.824215,1.2,2.063744,-0.863744
capacity_and_conservation,42,18.171184,15.3,15.467059,-0.167059,74.505905,3.785548,22.0,-18.214452,42.950105,1.2,2.074109,-0.874109
capacity_and_conservation,43,18.017489,15.3,15.453695,-0.153695,55.60887,3.102965,22.0,-18.897035,42.065507,1.2,2.084599,-0.884599
capacity_and_conservation,44,17.87609,15.3,15.441399,-0.141399,35.972113,2.363244,22.0,-19.636756,41.170293,1.2,2.095214,-0.895214
capacity_and_conservation,45,17.746003,15.3,15.430087,-0.130087,15.532629,1.560515,22.0,-20.439485,40.264336,1.2,2.105956,-0.905956
capacity_and_conservation,46,17.626323,15.3,15.41968,-0.11968,0.0,0.688111,22.0,-21.311889,39.347508,1.2,2.116828,-0.916828
capacity_and_conservation,47,17.516217,15.3,15.410106,-0.110106,0.0,0.0,22.0,-22.0,38.419678,1.2,2.12783,-0.92783
capacity_and_conservation,48,17.414919,15.3,15.401297,-0.101297,0.0,0.0,22.0,-22.0,37.480714,1.2,2.138964,-0.938964
capacity_and_conservation,49,17.321726,15.3,15.393194,-0.093194,0.0,0.0,22.0,-22.0,36.530483,1.2,2.150231,-0.950231
capacity_and_conservation,50,12.951988,11.016,15.385738,-4.369738,0.0,0.0,22.0,-22.0,35.568849,1.2,2.161634,-0.961634
capacity_and_conservation,51,8.931829,11.016,15.036159,-4.020159,0.0,0.0,22.0,-22.0,34.595675,1.2,2.173174,-0.973174
capacity_and_conservation,52,5.233283,11.016,14.714546,-3.698546,0.0,0.0,22.0,-22.0,33.610823,1.2,2.184852,-0.984852
capacity_and_conservation,53,1.83062,11.016,14.418663,-3.402663,0.0,0.0,22.0,-22.0,32.614153,1.2,2.19667,-0.99667
capacity_and_conservation,54,0.0,11.016,12.84662,-1.83062,0.0,0.0,22.0,-22.0,31.605523,1.2,2.20863,-1.00863
capacity_and_conservation,55,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,30.584789,1.2,2.220734,-1.020734
capacity_and_conservation,56,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,29.551806,1.2,2.232983,-1.032983
capacity_and_conservation,57,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,28.506428,1.2,2.245378,-1.045378
capacity_and_conservation,58,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,27.448505,1.2,2.257923,-1.057923
capacity_and_conservation,59,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,26.377887,1.2,2.270618,-1.070618
capacity_and_conservation,60,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,26.894422,2.8,2.283465,0.516535
capacity_and_conservation,61,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,27.417155,2.8,2.277267,0.522733
capacity_and_conservation,62,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,27.946161,2.8,2.270994,0.529006
capacity_and_conservation,63,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,28.481515,2.8,2.264646,0.535354
capacity_and_conservation,64,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,29.023293,2.8,2.258222,0.541778
capacity_and_conservation,65,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,29.571573,2.8,2.25172,0.54828
capacity_and_conservation,66,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,30.126431,2.8,2.245141,0.554859
capacity_and_conservation,67,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,30.687949,2.8,2.238483,0.561517
capacity_and_conservation,68,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,31.256204,2.8,2.231745,0.568255
capacity_and_conservation,69,0.0,11.016,11.016,0.0,0.0,0.0,22.0,-22.0,31.831278,2.8,2.224926,0.575074
capacity_and_conservation,70,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,32.413254,2.8,2.218025,0.581975
capacity_and_conservation,71,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,33.002213,2.8,2.211041,0.588959
capacity_and_conservation,72,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,33.598239,2.8,2.203973,0.596027
capacity_and_conservation,73,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,34.201418,2.8,2.196821,0.603179
capacity_and_conservation,74,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,34.811835,2.8,2.189583,0.610417
capacity_and_conservation,75,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,35.429577,2.8,2.182258,0.617742
capacity_and_conservation,76,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,36.054732,2.8,2.174845,0.625155
capacity_and_conservation,77,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,36.687389,2.8,2.167343,0.632657
capacity_and_conservation,78,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,37.327638,2.8,2.159751,0.640249
capacity_and_conservation,79,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,37.975569,2.8,2.152068,0.647932
capacity_and_conservation,80,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,38.631276,2.8,2.144293,0.655707
capacity_and_conservation,81,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,39.294851,2.8,2.136425,0.663575
capacity_and_conservation,82,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,39.96639,2.8,2.128462,0.671538
capacity_and_conservation,83,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,40.645986,2.8,2.120403,0.679597
capacity_and_conservation,84,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,41.333738,2.8,2.112248,0.687752
capacity_and_conservation,85,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,42.029743,2.8,2.103995,0.696005
capacity_and_conservation,86,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,42.7341,2.8,2.095643,0.704357
capacity_and_conservation,87,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,43.446909,2.8,2.087191,0.712809
capacity_and_conservation,88,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,44.168272,2.8,2.078637,0.721363
capacity_and_conservation,89,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,44.898291,2.8,2.069981,0.730019
capacity_and_conservation,90,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,45.637071,2.8,2.061221,0.738779
capacity_and_conservation,91,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,46.384716,2.8,2.052355,0.747645
capacity_and_conservation,92,0.0,11.016,11.016,0.0,0.0,0.0,12.0,-12.0,47.141332,2.8,2.043383,0.756617
