time,stock,delayed_stock,reinforcing_inflow,balancing_outflow,threshold_penalty,shock,next_stock
107,75.256271,72.915445,1.109558,0.895772,0.010251,0.000000,75.459806
108,75.459806,73.433532,1.097200,0.921677,0.018392,0.000000,75.616937
109,75.616937,73.903389,1.087603,0.945169,0.024677,0.000000,75.734694
110,75.734694,74.328212,1.080379,0.966411,0.029388,0.000000,75.819274
111,75.819274,74.691112,1.075172,0.984556,0.032771,0.000000,75.877120
112,75.877120,74.998473,1.071603,0.999924,0.035085,0.000000,75.913715
113,75.913715,75.256271,1.069342,1.012814,0.036549,0.000000,75.933695
114,75.933695,75.459806,1.068107,1.022990,0.037348,0.000000,75.941463
115,75.941463,75.616937,1.067626,1.030847,0.037659,0.000000,75.940584
116,75.940584,75.734694,1.067680,1.036735,0.037623,0.000000,75.933906
117,75.933906,75.819274,1.068093,1.040964,0.037356,0.000000,75.923680
118,75.923680,75.877120,1.068726,1.043856,0.036947,0.000000,75.911602
119,75.911602,75.913715,1.069473,1.045686,0.036464,0.000000,75.898925
120,75.898925,75.933695,1.070256,1.046685,0.035957,0.000000,75.886540
121,75.886540,75.941463,1.071022,1.047073,0.035462,0.000000,75.875027
122,75.875027,75.940584,1.071733,1.047029,0.035001,0.000000,75.864729
123,75.864729,75.933906,1.072368,1.046695,0.034589,0.000000,75.855813
124,75.855813,75.923680,1.072919,1.046184,0.034233,0.000000,75.848316
125,75.848316,75.911602,1.073381,1.045580,0.033933,0.000000,75.842184
126,75.842184,75.898925,1.073760,1.044946,0.033687,0.000000,75.837310
127,75.837310,75.886540,1.074060,1.044327,0.033492,0.000000,75.833551
128,75.833551,75.875027,1.074292,1.043751,0.033342,0.000000,75.830750
129,75.830750,75.864729,1.074465,1.043236,0.033230,0.000000,75.828748
130,75.828748,75.855813,1.074588,1.042791,0.033150,0.000000,75.827396
131,75.827396,75.848316,1.074672,1.042416,0.033096,0.000000,75.826556
132,75.826556,75.842184,1.074723,1.042109,0.033062,0.000000,75.826108
133,75.826108,75.837310,1.074751,1.041866,0.033044,0.000000,75.825949
134,75.825949,75.833551,1.074761,1.041678,0.033038,0.000000,75.825995
135,75.825995,75.830750,1.074758,1.041537,0.033040,0.000000,75.826175
136,75.826175,75.828748,1.074747,1.041437,0.033047,0.000000,75.826438
137,75.826438,75.827396,1.074731,1.041370,0.033058,0.000000,75.826741
138,75.826741,75.826556,1.074712,1.041328,0.033070,0.000000,75.827056
139,75.827056,75.826108,1.074693,1.041305,0.033082,0.000000,75.827361
140,75.827361,75.825949,1.074674,1.041297,0.033094,0.000000,75.827643
141,75.827643,75.825995,1.074656,1.041300,0.033106,0.000000,75.827894
142,75.827894,75.826175,1.074641,1.041309,0.033116,0.000000,75.828110
143,75.828110,75.826438,1.074628,1.041322,0.033124,0.000000,75.828292
144,75.828292,75.826741,1.074616,1.041337,0.033132,0.000000,75.828439
145,75.828439,75.827056,1.074607,1.041353,0.033138,0.000000,75.828556
146,75.828556,75.827361,1.074600,1.041368,0.033142,0.000000,75.828646
147,75.828646,75.827643,1.074595,1.041382,0.033146,0.000000,75.828713
148,75.828713,75.827894,1.074590,1.041395,0.033149,0.000000,75.828760
149,75.828760,75.828110,1.074588,1.041406,0.033150,0.000000,75.828792
150,75.828792,75.828292,1.074586,1.041415,0.033152,0.000000,75.828811
151,75.828811,75.828439,1.074584,1.041422,0.033152,0.000000,75.828821
152,75.828821,75.828556,1.074584,1.041428,0.033153,0.000000,75.828824
153,75.828824,75.828646,1.074584,1.041432,0.033153,0.000000,75.828822
154,75.828822,75.828713,1.074584,1.041436,0.033153,0.000000,75.828818
155,75.828818,75.828760,1.074584,1.041438,0.033153,0.000000,75.828811
156,75.828811,75.828792,1.074584,1.041440,0.033152,0.000000,75.828803
157,75.828803,75.828811,1.074585,1.041441,0.033152,0.000000,75.828796
158,75.828796,75.828821,1.074585,1.041441,0.033152,0.000000,75.828788
159,75.828788,75.828824,1.074586,1.041441,0.033152,0.000000,75.828781
160,75.828781,75.828822,1.074586,1.041441,0.033151,0.000000,75.828775
