time,r,trajectory_1,trajectory_2,absolute_difference
55,3.9,0.43212707,0.39482893,0.03729813
56,3.9,0.95703373,0.93186228,0.02517145
57,3.9,0.16036865,0.24763039,0.08726173
58,3.9,0.52513714,0.72660736,0.20147022
59,3.9,0.97253568,0.77473151,0.19780417
60,3.9,0.1041691,0.68063812,0.57646902
61,3.9,0.36393982,0.84774249,0.48380267
62,3.9,0.90280174,0.50339312,0.39940862
63,3.9,0.34222794,0.9749551,0.63272715
64,3.9,0.87792112,0.09522885,0.78269226
65,3.9,0.41798496,0.33602524,0.08195971
66,3.9,0.94876678,0.87013789,0.07862889
67,3.9,0.18957268,0.44069198,0.2511193
68,3.9,0.59917602,0.96128198,0.36210596
69,3.9,0.93664006,0.14515385,0.7914862
70,3.9,0.2314473,0.48392843,0.25248113
71,3.9,0.69372985,0.97399265,0.2802628
72,3.9,0.82862811,0.09879078,0.72983733
73,3.9,0.5538139,0.34722154,0.20659236
74,3.9,0.96370585,0.8839691,0.07973676
75,3.9,0.13640985,0.40001416,0.26360431
76,3.9,0.45942859,0.93601105,0.47658246
77,3.9,0.96858045,0.23358803,0.73499241
78,3.9,0.11868623,0.69819619,0.57950997
79,3.9,0.40793924,0.82180125,0.41386201
80,3.9,0.94194678,0.57113142,0.37081537
81,3.9,0.21326385,0.95526725,0.7420034
82,3.9,0.65435129,0.16665374,0.48769755
83,3.9,0.88208515,0.54163306,0.34045209
84,3.9,0.40564267,0.96824008,0.56259742
85,3.9,0.94027711,0.11992977,0.82034734
86,3.9,0.21900867,0.41163182,0.19262315
87,3.9,0.6670711,0.94454515,0.27747405
88,3.9,0.86614026,0.20428048,0.66185979
89,3.9,0.45217109,0.63394486,0.18177376
90,3.9,0.96607834,0.90502922,0.06104912
91,3.9,0.12780681,0.33521019,0.20740338
92,3.9,0.4347417,0.86909284,0.43435114
93,3.9,0.95839128,0.44370485,0.51468643
94,3.9,0.15552199,0.96264034,0.80711835
95,3.9,0.51220611,0.14025927,0.37194683
96,3.9,0.97441894,0.47028778,0.50413117
97,3.9,0.097214,0.97155702,0.87434302
98,3.9,0.34227741,0.10777252,0.23450489
99,3.9,0.87798198,0.37501466,0.50296732
100,3.9,0.41780553,0.9140768,0.49627127
101,3.9,0.94865187,0.30630759,0.64234428
102,3.9,0.18997485,0.82868467,0.63870982
103,3.9,0.60014918,0.55366891,0.04648027
104,3.9,0.93588355,0.96376663,0.02788307
105,3.9,0.23402156,0.13619001,0.09783155
106,3.9,0.69909633,0.45880494,0.2402914
107,3.9,0.82040653,0.96838157,0.14797504
108,3.9,0.57462465,0.11941295,0.4552117
109,3.9,0.95328153,0.41009863,0.5431829
110,3.9,0.17368983,0.9434792,0.76978937
111,3.9,0.55973451,0.20797218,0.35176234
112,3.9,0.96108397,0.64240703,0.31867695
113,3.9,0.14586612,0.89590893,0.75004281
114,3.9,0.48589787,0.36369886,0.12219901
115,3.9,0.97422441,0.9025458,0.07167861
116,3.9,0.09793373,0.34303184,0.24509811
117,3.9,0.34453658,0.87890788,0.5343713
118,3.9,0.88074139,0.41507239,0.465669
119,3.9,0.40964038,0.94687047,0.5372301
120,3.9,0.94315704,0.19619645,0.74696059
