scenario,time,state,delayed_state,inflow,balancing_outflow,threshold_penalty,shock,next_state
baseline_delayed_feedback,28,102.539884,60.406005,8.203191,0.62436,0.613896,0.0,109.504818
baseline_delayed_feedback,29,109.504818,65.238485,8.760385,0.914309,0.857669,0.0,116.493226
baseline_delayed_feedback,30,116.493226,70.457564,9.319458,1.227454,1.102263,0.0,123.482967
baseline_delayed_feedback,31,123.482967,76.094169,9.878637,1.56565,1.346904,0.0,130.449051
baseline_delayed_feedback,32,130.449051,82.181702,10.435924,1.930902,1.590717,0.0,137.363356
baseline_delayed_feedback,33,137.363356,88.756239,10.989068,2.325374,1.832717,0.0,144.194333
baseline_delayed_feedback,34,144.194333,95.617965,11.535547,2.737078,2.071802,0.0,150.921
baseline_delayed_feedback,35,150.921,102.539884,12.07368,3.152393,2.307235,0.0,157.535052
baseline_delayed_feedback,36,157.535052,109.504818,12.602804,3.570289,2.538727,0.0,164.02884
baseline_delayed_feedback,37,164.02884,116.493226,13.122307,3.989594,2.766009,0.0,170.395544
baseline_delayed_feedback,38,170.395544,123.482967,13.631644,4.408978,2.988844,0.0,176.629366
baseline_delayed_feedback,39,176.629366,130.449051,14.130349,4.826943,3.207028,0.0,182.725744
baseline_delayed_feedback,40,182.725744,137.363356,14.61806,5.241801,3.420401,0.0,188.681601
baseline_delayed_feedback,41,188.681601,144.194333,15.094528,5.65166,3.628856,0.0,194.495613
baseline_delayed_feedback,42,194.495613,150.921,15.559649,6.05526,3.832346,0.0,200.167656
baseline_delayed_feedback,43,200.167656,157.535052,16.013412,6.452103,4.030868,0.0,205.698097
baseline_delayed_feedback,44,205.698097,164.02884,16.455848,6.84173,4.224433,0.0,211.087781
baseline_delayed_feedback,45,211.087781,170.395544,16.887022,7.223733,4.413072,0.0,216.337999
baseline_delayed_feedback,46,216.337999,176.629366,17.30704,7.597762,4.59683,0.0,221.450447
baseline_delayed_feedback,47,221.450447,182.725744,17.716036,7.963545,4.775766,0.0,226.427172
baseline_delayed_feedback,48,226.427172,188.681601,18.114174,8.320896,4.949951,0.0,231.270499
baseline_delayed_feedback,49,231.270499,194.495613,18.50164,8.669737,5.119467,0.0,235.982934
baseline_delayed_feedback,50,235.982934,200.167656,18.878635,9.010059,5.284403,0.0,240.567107
baseline_delayed_feedback,51,240.567107,205.698097,19.245369,9.341886,5.444849,0.0,245.025741
baseline_delayed_feedback,52,245.025741,211.087781,19.602059,9.665267,5.600901,0.0,249.361633
baseline_delayed_feedback,53,249.361633,216.337999,19.948931,9.98028,5.752657,0.0,250.0
baseline_delayed_feedback,54,250.0,221.450447,20.0,10.287027,5.775,0.0,250.0
baseline_delayed_feedback,55,250.0,226.427172,20.0,10.58563,5.775,0.0,250.0
baseline_delayed_feedback,56,250.0,231.270499,20.0,10.87623,5.775,0.0,250.0
baseline_delayed_feedback,57,250.0,235.982934,20.0,11.158976,5.775,0.0,250.0
baseline_delayed_feedback,58,250.0,240.567107,20.0,11.434026,5.775,0.0,250.0
baseline_delayed_feedback,59,250.0,245.025741,20.0,11.701544,5.775,0.0,250.0
baseline_delayed_feedback,60,250.0,249.361633,20.0,11.961698,5.775,0.0,250.0
baseline_delayed_feedback,61,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,62,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,63,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,64,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,65,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,66,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,67,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,68,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,69,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,70,250.0,250.0,20.0,12.0,5.775,-10.0,242.225
baseline_delayed_feedback,71,242.225,250.0,19.378,12.0,5.502875,0.0,244.100125
baseline_delayed_feedback,72,244.100125,250.0,19.52801,12.0,5.568504,0.0,246.059631
baseline_delayed_feedback,73,246.059631,250.0,19.68477,12.0,5.637087,0.0,248.107314
baseline_delayed_feedback,74,248.107314,250.0,19.848585,12.0,5.708756,0.0,250.0
baseline_delayed_feedback,75,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,76,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,77,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,78,250.0,242.225,20.0,11.5335,5.775,0.0,250.0
baseline_delayed_feedback,79,250.0,244.100125,20.0,11.646008,5.775,0.0,250.0
baseline_delayed_feedback,80,250.0,246.059631,20.0,11.763578,5.775,0.0,250.0
baseline_delayed_feedback,81,250.0,248.107314,20.0,11.886439,5.775,0.0,250.0
baseline_delayed_feedback,82,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,83,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,84,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,85,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,86,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,87,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,88,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,89,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,90,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,91,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,92,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,93,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,94,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,95,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,96,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,97,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,98,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,99,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,100,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,101,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,102,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,103,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,104,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,105,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,106,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,107,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,108,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,109,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,110,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,111,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,112,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,113,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,114,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,115,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,116,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,117,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,118,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,119,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,120,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,121,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,122,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,123,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,124,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,125,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,126,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,127,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,128,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,129,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,130,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,131,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,132,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,133,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,134,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,135,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,136,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,137,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,138,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,139,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,140,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,141,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,142,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,143,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,144,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,145,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,146,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,147,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,148,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,149,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,150,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,151,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,152,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,153,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,154,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,155,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,156,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,157,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,158,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,159,250.0,250.0,20.0,12.0,5.775,0.0,250.0
baseline_delayed_feedback,160,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,0,12.0,12.0,0.96,0.0,0.0,0.0,12.96
short_delay,1,12.96,12.0,1.0368,0.0,0.0,0.0,13.9968
short_delay,2,13.9968,12.0,1.119744,0.0,0.0,0.0,15.116544
short_delay,3,15.116544,12.96,1.209324,0.0,0.0,0.0,16.325868
short_delay,4,16.325868,13.9968,1.306069,0.0,0.0,0.0,17.631937
short_delay,5,17.631937,15.116544,1.410555,0.0,0.0,0.0,19.042492
short_delay,6,19.042492,16.325868,1.523399,0.0,0.0,0.0,20.565891
short_delay,7,20.565891,17.631937,1.645271,0.0,0.0,0.0,22.211163
short_delay,8,22.211163,19.042492,1.776893,0.0,0.0,0.0,23.988056
short_delay,9,23.988056,20.565891,1.919044,0.0,0.0,0.0,25.9071
short_delay,10,25.9071,22.211163,2.072568,0.0,0.0,0.0,27.979668
short_delay,11,27.979668,23.988056,2.238373,0.0,0.0,0.0,30.218041
short_delay,12,30.218041,25.9071,2.417443,0.0,0.0,0.0,32.635485
short_delay,13,32.635485,27.979668,2.610839,0.0,0.0,0.0,35.246323
short_delay,14,35.246323,30.218041,2.819706,0.0,0.0,0.0,38.066029
short_delay,15,38.066029,32.635485,3.045282,0.0,0.0,0.0,41.111312
short_delay,16,41.111312,35.246323,3.288905,0.0,0.0,0.0,44.400217
short_delay,17,44.400217,38.066029,3.552017,0.0,0.0,0.0,47.952234
short_delay,18,47.952234,41.111312,3.836179,0.0,0.0,0.0,51.788413
short_delay,19,51.788413,44.400217,4.143073,0.0,0.0,0.0,55.931486
short_delay,20,55.931486,47.952234,4.474519,0.0,0.0,0.0,60.406005
short_delay,21,60.406005,51.788413,4.83248,0.107305,0.0,0.0,65.13118
short_delay,22,65.13118,55.931486,5.210494,0.355889,0.0,0.0,69.985785
short_delay,23,69.985785,60.406005,5.598863,0.62436,0.0,0.0,74.960288
short_delay,24,74.960288,65.13118,5.996823,0.907871,0.0,0.0,80.04924
short_delay,25,80.04924,69.985785,6.403939,1.199147,0.0,0.0,85.254032
short_delay,26,85.254032,74.960288,6.820323,1.497617,0.008891,0.0,90.567847
short_delay,27,90.567847,80.04924,7.245428,1.802954,0.194875,0.0,95.815445
short_delay,28,95.815445,85.254032,7.665236,2.115242,0.378541,0.0,100.986898
short_delay,29,100.986898,90.567847,8.078952,2.434071,0.559541,0.0,106.072238
short_delay,30,106.072238,95.815445,8.485779,2.748927,0.737528,0.0,111.071562
short_delay,31,111.071562,100.986898,8.885725,3.059214,0.912505,0.0,115.985568
short_delay,32,115.985568,106.072238,9.278845,3.364334,1.084495,0.0,120.815585
short_delay,33,120.815585,111.071562,9.665247,3.664294,1.253545,0.0,125.562992
short_delay,34,125.562992,115.985568,10.045039,3.959134,1.419705,0.0,130.229193
short_delay,35,130.229193,120.815585,10.418335,4.248935,1.583022,0.0,134.815571
short_delay,36,134.815571,125.562992,10.785246,4.53378,1.743545,0.0,139.323493
short_delay,37,139.323493,130.229193,11.145879,4.813752,1.901322,0.0,143.754298
short_delay,38,143.754298,134.815571,11.500344,5.088934,2.0564,0.0,148.109307
short_delay,39,148.109307,139.323493,11.848745,5.35941,2.208826,0.0,152.389817
short_delay,40,152.389817,143.754298,12.191185,5.625258,2.358644,0.0,156.5971
short_delay,41,156.5971,148.109307,12.527768,5.886558,2.505899,0.0,160.732411
short_delay,42,160.732411,152.389817,12.858593,6.143389,2.650634,0.0,164.796981
short_delay,43,164.796981,156.5971,13.183758,6.395826,2.792894,0.0,168.792019
short_delay,44,168.792019,160.732411,13.503362,6.643945,2.932721,0.0,172.718715
short_delay,45,172.718715,164.796981,13.817497,6.887819,3.070155,0.0,176.578239
short_delay,46,176.578239,168.792019,14.126259,7.127521,3.205238,0.0,180.371738
short_delay,47,180.371738,172.718715,14.429739,7.363123,3.338011,0.0,184.100344
short_delay,48,184.100344,176.578239,14.728027,7.594694,3.468512,0.0,187.765165
short_delay,49,187.765165,180.371738,15.021213,7.822304,3.596781,0.0,191.367293
short_delay,50,191.367293,184.100344,15.309383,8.046021,3.722855,0.0,194.9078
short_delay,51,194.9078,187.765165,15.592624,8.26591,3.846773,0.0,198.387741
short_delay,52,198.387741,191.367293,15.871019,8.482038,3.968571,0.0,201.808152
short_delay,53,201.808152,194.9078,16.144652,8.694468,4.088285,0.0,205.170051
short_delay,54,205.170051,198.387741,16.413604,8.903264,4.205952,0.0,208.474439
short_delay,55,208.474439,201.808152,16.677955,9.108489,4.321605,0.0,211.7223
short_delay,56,211.7223,205.170051,16.937784,9.310203,4.43528,0.0,214.9146
short_delay,57,214.9146,208.474439,17.193168,9.508466,4.547011,0.0,218.052291
short_delay,58,218.052291,211.7223,17.444183,9.703338,4.65683,0.0,221.136306
short_delay,59,221.136306,214.9146,17.690904,9.894876,4.764771,0.0,224.167563
short_delay,60,224.167563,218.052291,17.933405,10.083137,4.870865,0.0,227.146966
short_delay,61,227.146966,221.136306,18.171757,10.268178,4.975144,0.0,230.075402
short_delay,62,230.075402,224.167563,18.406032,10.450054,5.077639,0.0,232.953741
short_delay,63,232.953741,227.146966,18.636299,10.628818,5.178381,0.0,235.782841
short_delay,64,235.782841,230.075402,18.862627,10.804524,5.277399,0.0,238.563545
short_delay,65,238.563545,232.953741,19.085084,10.977224,5.374724,0.0,241.29668
short_delay,66,241.29668,235.782841,19.303734,11.14697,5.470384,0.0,243.98306
short_delay,67,243.98306,238.563545,19.518645,11.313813,5.564407,0.0,246.623485
short_delay,68,246.623485,241.29668,19.729879,11.477801,5.656822,0.0,249.218741
short_delay,69,249.218741,243.98306,19.937499,11.638984,5.747656,0.0,250.0
short_delay,70,250.0,246.623485,20.0,11.797409,5.775,-10.0,242.427591
short_delay,71,242.427591,249.218741,19.394207,11.953124,5.509966,0.0,244.358708
short_delay,72,244.358708,250.0,19.548697,12.0,5.577555,0.0,246.32985
short_delay,73,246.32985,242.427591,19.706388,11.545655,5.646545,0.0,248.844038
short_delay,74,248.844038,244.358708,19.907523,11.661522,5.734541,0.0,250.0
short_delay,75,250.0,246.32985,20.0,11.779791,5.775,0.0,250.0
short_delay,76,250.0,248.844038,20.0,11.930642,5.775,0.0,250.0
short_delay,77,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,78,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,79,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,80,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,81,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,82,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,83,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,84,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,85,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,86,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,87,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,88,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,89,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,90,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,91,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,92,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,93,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,94,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,95,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,96,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,97,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,98,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,99,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,100,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,101,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,102,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,103,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,104,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,105,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,106,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,107,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,108,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,109,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,110,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,111,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,112,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,113,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,114,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,115,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,116,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,117,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,118,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,119,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,120,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,121,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,122,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,123,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,124,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,125,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,126,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,127,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,128,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,129,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,130,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,131,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,132,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,133,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,134,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,135,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,136,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,137,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,138,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,139,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,140,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,141,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,142,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,143,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,144,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,145,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,146,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,147,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,148,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,149,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,150,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,151,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,152,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,153,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,154,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,155,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,156,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,157,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,158,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,159,250.0,250.0,20.0,12.0,5.775,0.0,250.0
short_delay,160,250.0,250.0,20.0,12.0,5.775,0.0,250.0
long_delay,0,12.0,12.0,0.96,0.0,0.0,0.0,12.96
long_delay,1,12.96,12.0,1.0368,0.0,0.0,0.0,13.9968
long_delay,2,13.9968,12.0,1.119744,0.0,0.0,0.0,15.116544
long_delay,3,15.116544,12.0,1.209324,0.0,0.0,0.0,16.325868
long_delay,4,16.325868,12.0,1.306069,0.0,0.0,0.0,17.631937
long_delay,5,17.631937,12.0,1.410555,0.0,0.0,0.0,19.042492
long_delay,6,19.042492,12.0,1.523399,0.0,0.0,0.0,20.565891
long_delay,7,20.565891,12.0,1.645271,0.0,0.0,0.0,22.211163
long_delay,8,22.211163,12.0,1.776893,0.0,0.0,0.0,23.988056
long_delay,9,23.988056,12.0,1.919044,0.0,0.0,0.0,25.9071
long_delay,10,25.9071,12.0,2.072568,0.0,0.0,0.0,27.979668
long_delay,11,27.979668,12.0,2.238373,0.0,0.0,0.0,30.218041
long_delay,12,30.218041,12.0,2.417443,0.0,0.0,0.0,32.635485
long_delay,13,32.635485,12.0,2.610839,0.0,0.0,0.0,35.246323
long_delay,14,35.246323,12.0,2.819706,0.0,0.0,0.0,38.066029
long_delay,15,38.066029,12.96,3.045282,0.0,0.0,0.0,41.111312
long_delay,16,41.111312,13.9968,3.288905,0.0,0.0,0.0,44.400217
long_delay,17,44.400217,15.116544,3.552017,0.0,0.0,0.0,47.952234
long_delay,18,47.952234,16.325868,3.836179,0.0,0.0,0.0,51.788413
long_delay,19,51.788413,17.631937,4.143073,0.0,0.0,0.0,55.931486
long_delay,20,55.931486,19.042492,4.474519,0.0,0.0,0.0,60.406005
long_delay,21,60.406005,20.565891,4.83248,0.0,0.0,0.0,65.238485
