time,state,delayed_state,inflow,balancing_outflow,threshold_penalty,shock,next_state
65,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
66,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
67,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
68,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
69,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
70,250.000000,250.000000,20.000000,12.000000,5.775000,-10.000000,242.225000
71,242.225000,250.000000,19.378000,12.000000,5.502875,0.000000,244.100125
72,244.100125,250.000000,19.528010,12.000000,5.568504,0.000000,246.059631
73,246.059631,250.000000,19.684770,12.000000,5.637087,0.000000,248.107314
74,248.107314,250.000000,19.848585,12.000000,5.708756,0.000000,250.000000
75,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
76,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
77,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
78,250.000000,242.225000,20.000000,11.533500,5.775000,0.000000,250.000000
79,250.000000,244.100125,20.000000,11.646008,5.775000,0.000000,250.000000
80,250.000000,246.059631,20.000000,11.763578,5.775000,0.000000,250.000000
81,250.000000,248.107314,20.000000,11.886439,5.775000,0.000000,250.000000
82,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
83,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
84,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
85,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
86,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
87,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
88,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
89,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
90,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
91,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
92,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
93,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
94,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
95,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
96,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
97,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
98,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
99,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
100,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
101,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
102,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
103,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
104,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
105,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
106,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
107,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
108,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
109,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
110,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
111,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
112,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
113,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
114,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
115,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
116,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
117,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
118,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
119,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
120,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
121,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
122,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
123,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
124,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
125,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
126,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
127,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
128,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
129,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
130,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
131,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
132,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
133,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
134,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
135,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
136,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
137,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
138,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
139,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
140,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
141,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
142,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
143,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
144,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
145,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
146,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
147,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
148,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
149,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
150,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
151,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
152,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
153,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
154,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
155,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
156,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
157,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
158,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
159,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
160,250.000000,250.000000,20.000000,12.000000,5.775000,0.000000,250.000000
