scenario,time,fast_cycle,slow_memory,release_event,phase,cross_scale_coupling
baseline_panarchy,72,1.659782,1.529764,0,growth,2.539075
baseline_panarchy,73,1.718788,1.530467,0,growth,2.630548
baseline_panarchy,74,1.777236,1.531162,0,growth,2.721236
baseline_panarchy,75,1.834787,1.531850,0,growth,2.810620
baseline_panarchy,76,1.891122,1.532532,0,growth,2.898204
baseline_panarchy,77,1.945944,1.533207,0,growth,2.983534
baseline_panarchy,78,1.998989,1.533874,0,growth,3.066198
baseline_panarchy,79,2.050028,1.534536,0,conservation,3.145841
baseline_panarchy,80,2.098871,1.535190,0,conservation,3.222166
baseline_panarchy,81,2.145366,1.535838,0,conservation,3.294936
baseline_panarchy,82,2.189405,1.536480,0,conservation,3.363977
baseline_panarchy,83,2.230915,1.537115,0,conservation,3.429174
baseline_panarchy,84,2.269864,1.537744,0,conservation,3.490471
baseline_panarchy,85,2.306252,1.538367,0,conservation,3.547861
baseline_panarchy,86,2.340107,1.538983,0,conservation,3.601386
baseline_panarchy,87,2.371487,1.539593,0,conservation,3.651125
baseline_panarchy,88,2.400466,1.540197,0,conservation,3.697192
baseline_panarchy,89,2.427141,1.540795,0,conservation,3.739728
baseline_panarchy,90,2.451618,1.541387,0,conservation,3.778893
baseline_panarchy,91,2.474013,1.541973,0,conservation,3.814863
baseline_panarchy,92,2.494450,1.542554,0,conservation,3.847823
baseline_panarchy,93,2.513053,1.543128,0,conservation,3.877963
baseline_panarchy,94,2.529949,1.543697,0,conservation,3.905474
baseline_panarchy,95,2.545262,1.544260,0,conservation,3.930546
baseline_panarchy,96,1.213994,1.684260,1,release,2.044682
baseline_panarchy,97,1.258723,1.683417,0,growth,2.118956
baseline_panarchy,98,1.305117,1.682583,0,growth,2.195967
baseline_panarchy,99,1.353024,1.681757,0,growth,2.275457
baseline_panarchy,100,1.402266,1.680940,0,growth,2.357125
baseline_panarchy,101,1.452641,1.680130,0,growth,2.440625
baseline_panarchy,102,1.503921,1.679329,0,growth,2.525578
baseline_panarchy,103,1.555862,1.678536,0,growth,2.611570
baseline_panarchy,104,1.608203,1.677750,0,growth,2.698163
baseline_panarchy,105,1.660673,1.676973,0,growth,2.784904
baseline_panarchy,106,1.712999,1.676203,0,growth,2.871334
baseline_panarchy,107,1.764904,1.675441,0,growth,2.956993
baseline_panarchy,108,1.816123,1.674687,0,growth,3.041438
baseline_panarchy,109,1.866401,1.673940,0,growth,3.124243
baseline_panarchy,110,1.915499,1.673200,0,growth,3.205014
baseline_panarchy,111,1.963203,1.672468,0,growth,3.283395
baseline_panarchy,112,2.009320,1.671744,0,conservation,3.359069
baseline_panarchy,113,2.053690,1.671026,0,conservation,3.431770
baseline_panarchy,114,2.096177,1.670316,0,conservation,3.501278
baseline_panarchy,115,2.136678,1.669613,0,conservation,3.567426
baseline_panarchy,116,2.175120,1.668917,0,conservation,3.630095
baseline_panarchy,117,2.211457,1.668228,0,conservation,3.689213
baseline_panarchy,118,2.245669,1.667545,0,conservation,3.744754
baseline_panarchy,119,2.277761,1.666870,0,conservation,3.796731
baseline_panarchy,120,2.307761,1.666201,0,conservation,3.845193
baseline_panarchy,121,2.335712,1.665539,0,conservation,3.890220
baseline_panarchy,122,2.361676,1.664884,0,conservation,3.931917
baseline_panarchy,123,2.385726,1.664235,0,conservation,3.970409
baseline_panarchy,124,2.407945,1.663593,0,conservation,4.005839
baseline_panarchy,125,2.428422,1.662957,0,conservation,4.038361
baseline_panarchy,126,2.447253,1.662327,0,conservation,4.068135
baseline_panarchy,127,2.464535,1.661704,0,conservation,4.095327
baseline_panarchy,128,2.480365,1.661087,0,conservation,4.120102
baseline_panarchy,129,2.494843,1.660476,0,conservation,4.142627
baseline_panarchy,130,2.508063,1.659871,0,conservation,4.163062
baseline_panarchy,131,2.520119,1.659272,0,conservation,4.181564
baseline_panarchy,132,2.531100,1.658680,0,conservation,4.198284
baseline_panarchy,133,2.541092,1.658093,0,conservation,4.213366
baseline_panarchy,134,2.550174,1.657512,0,conservation,4.226945
baseline_panarchy,135,1.213345,1.797512,1,release,2.181002
baseline_panarchy,136,1.252912,1.795537,0,growth,2.249651
baseline_panarchy,137,1.294021,1.793582,0,growth,2.320933
baseline_panarchy,138,1.336561,1.791646,0,growth,2.394644
baseline_panarchy,139,1.380400,1.789729,0,growth,2.470543
baseline_panarchy,140,1.425385,1.787832,0,growth,2.548348
baseline_panarchy,141,1.471342,1.785954,0,growth,2.627749
baseline_panarchy,142,1.518081,1.784094,0,growth,2.708400
baseline_panarchy,143,1.565397,1.782253,0,growth,2.789934
baseline_panarchy,144,1.613072,1.780431,0,growth,2.871963
baseline_panarchy,145,1.660881,1.778626,0,growth,2.954087
baseline_panarchy,146,1.708595,1.776840,0,growth,3.035900
baseline_panarchy,147,1.755986,1.775072,0,growth,3.117001
baseline_panarchy,148,1.802830,1.773321,0,growth,3.196996
baseline_panarchy,149,1.848913,1.771588,0,growth,3.275511
baseline_panarchy,150,1.894033,1.769872,0,growth,3.352196
baseline_panarchy,151,1.938007,1.768173,0,growth,3.426731
baseline_panarchy,152,1.980668,1.766491,0,growth,3.498832
baseline_panarchy,153,2.021872,1.764826,0,conservation,3.568253
baseline_panarchy,154,2.061498,1.763178,0,conservation,3.634789
baseline_panarchy,155,2.099449,1.761546,0,conservation,3.698277
baseline_panarchy,156,2.135650,1.759931,0,conservation,3.758597
baseline_panarchy,157,2.170051,1.758332,0,conservation,3.815670
baseline_panarchy,158,2.202623,1.756748,0,conservation,3.869455
baseline_panarchy,159,2.233357,1.755181,0,conservation,3.919945
baseline_panarchy,160,2.262262,1.753629,0,conservation,3.967169
strong_revolt,1,0.500000,1.000000,0,reorganization,0.500000
strong_revolt,2,0.522710,1.006000,0,reorganization,0.525846
strong_revolt,3,0.547620,1.011940,0,reorganization,0.554159
strong_revolt,4,0.574914,1.017821,0,reorganization,0.585159
strong_revolt,5,0.604775,1.023642,0,reorganization,0.619074
strong_revolt,6,0.637390,1.029406,0,reorganization,0.656133
strong_revolt,7,0.672935,1.035112,0,reorganization,0.696563
strong_revolt,8,0.711580,1.040761,0,reorganization,0.740585
strong_revolt,9,0.753477,1.046353,0,reorganization,0.788403
strong_revolt,10,0.798755,1.051890,0,reorganization,0.840202
strong_revolt,11,0.847512,1.057371,0,growth,0.896135
strong_revolt,12,0.899809,1.062797,0,growth,0.956314
strong_revolt,13,0.955657,1.068169,0,growth,1.020804
strong_revolt,14,1.015017,1.073487,0,growth,1.089608
strong_revolt,15,1.077784,1.078753,0,growth,1.162662
strong_revolt,16,1.143787,1.083965,0,growth,1.239825
strong_revolt,17,1.212783,1.089125,0,growth,1.320872
strong_revolt,18,1.284454,1.094234,0,growth,1.405493
strong_revolt,19,1.358412,1.099292,0,growth,1.493291
strong_revolt,20,1.434201,1.104299,0,growth,1.583786
strong_revolt,21,1.511307,1.109256,0,growth,1.676426
strong_revolt,22,1.589169,1.114163,0,growth,1.770593
strong_revolt,23,1.667195,1.119022,0,growth,1.865628
strong_revolt,24,1.744782,1.123831,0,growth,1.960841
strong_revolt,25,1.821328,1.128593,0,growth,2.055538
strong_revolt,26,1.896257,1.133307,0,growth,2.149042
strong_revolt,27,1.969033,1.137974,0,growth,2.240709
strong_revolt,28,2.039177,1.142594,0,conservation,2.329952
strong_revolt,29,2.106276,1.147168,0,conservation,2.416254
strong_revolt,30,2.169996,1.151697,0,conservation,2.499178
strong_revolt,31,2.230082,1.156180,0,conservation,2.578376
strong_revolt,32,2.286359,1.160618,0,conservation,2.653590
strong_revolt,33,2.338731,1.165012,0,conservation,2.724649
strong_revolt,34,2.387171,1.169362,0,conservation,2.791467
strong_revolt,35,1.089968,1.409362,1,release,1.536159
strong_revolt,36,1.141607,1.411268,0,growth,1.611113
strong_revolt,37,1.195660,1.413155,0,growth,1.689653
strong_revolt,38,1.251959,1.415024,0,growth,1.771551
strong_revolt,39,1.310291,1.416874,0,growth,1.856516
strong_revolt,40,1.370399,1.418705,0,growth,1.944191
strong_revolt,41,1.431985,1.420518,0,growth,2.034160
strong_revolt,42,1.494713,1.422313,0,growth,2.125949
strong_revolt,43,1.558217,1.424090,0,growth,2.219040
strong_revolt,44,1.622107,1.425849,0,growth,2.312879
strong_revolt,45,1.685980,1.427590,0,growth,2.406889
strong_revolt,46,1.749429,1.429314,0,growth,2.500484
strong_revolt,47,1.812054,1.431021,0,growth,2.593087
strong_revolt,48,1.873468,1.432711,0,growth,2.684139
strong_revolt,49,1.933316,1.434384,0,growth,2.773117
strong_revolt,50,1.991271,1.436040,0,growth,2.859545
strong_revolt,51,2.047052,1.437680,0,conservation,2.943005
strong_revolt,52,2.100421,1.439303,0,conservation,3.023141
strong_revolt,53,2.151187,1.440910,0,conservation,3.099667
strong_revolt,54,2.199212,1.442501,0,conservation,3.172364
strong_revolt,55,2.244402,1.444076,0,conservation,3.241086
strong_revolt,56,2.286710,1.445635,0,conservation,3.305748
strong_revolt,57,2.326132,1.447178,0,conservation,3.366328
strong_revolt,58,2.362699,1.448707,0,conservation,3.422858
strong_revolt,59,2.396475,1.450220,0,conservation,3.475415
strong_revolt,60,1.085896,1.690220,1,release,1.835403
strong_revolt,61,1.124590,1.689317,0,growth,1.899789
strong_revolt,62,1.165238,1.688424,0,growth,1.967417
strong_revolt,63,1.207777,1.687540,0,growth,2.038173
strong_revolt,64,1.252116,1.686665,0,growth,2.111899
strong_revolt,65,1.298134,1.685798,0,growth,2.188392
strong_revolt,66,1.345687,1.684940,0,growth,2.267402
strong_revolt,67,1.394601,1.684091,0,growth,2.348635
strong_revolt,68,1.444678,1.683250,0,growth,2.431754
strong_revolt,69,1.495697,1.682417,0,growth,2.516386
strong_revolt,70,1.547415,1.681593,0,growth,2.602123
strong_revolt,71,1.599577,1.680777,0,growth,2.688532
strong_revolt,72,1.651913,1.679969,0,growth,2.775164
strong_revolt,73,1.704152,1.679170,0,growth,2.861560
strong_revolt,74,1.756019,1.678378,0,growth,2.947264
strong_revolt,75,1.807248,1.677594,0,growth,3.031828
strong_revolt,76,1.857581,1.676818,0,growth,3.114826
strong_revolt,77,1.906780,1.676050,0,growth,3.195859
strong_revolt,78,1.954626,1.675290,0,growth,3.274564
strong_revolt,79,2.000923,1.674537,0,conservation,3.350619
strong_revolt,80,2.045506,1.673791,0,conservation,3.423750
strong_revolt,81,2.088236,1.673053,0,conservation,3.493730
strong_revolt,82,2.129004,1.672323,0,conservation,3.560382
strong_revolt,83,2.167732,1.671600,0,conservation,3.623580
strong_revolt,84,2.204369,1.670884,0,conservation,3.683244
strong_revolt,85,2.238891,1.670175,0,conservation,3.739340
strong_revolt,86,2.271300,1.669473,0,conservation,3.791874
strong_revolt,87,2.301617,1.668778,0,conservation,3.840889
strong_revolt,88,2.329885,1.668091,0,conservation,3.886458
strong_revolt,89,2.356160,1.667410,0,conservation,3.928684
strong_revolt,90,2.380514,1.666736,0,conservation,3.967688
strong_revolt,91,2.403028,1.666068,0,conservation,4.003608
strong_revolt,92,1.082212,1.906068,1,release,2.062770
strong_revolt,93,1.110926,1.903007,0,growth,2.114101
strong_revolt,94,1.141225,1.899977,0,growth,2.168303
strong_revolt,95,1.173098,1.896978,0,growth,2.225340
strong_revolt,96,1.206518,1.894008,0,growth,2.285154
strong_revolt,97,1.241443,1.891068,0,growth,2.347653
strong_revolt,98,1.277815,1.888157,0,growth,2.412715
strong_revolt,99,1.315557,1.885276,0,growth,2.480187
strong_revolt,100,1.354574,1.882423,0,growth,2.549881
strong_revolt,101,1.394755,1.879599,0,growth,2.621579
strong_revolt,102,1.435968,1.876803,0,growth,2.695029
strong_revolt,103,1.478070,1.874035,0,growth,2.769954
strong_revolt,104,1.520899,1.871294,0,growth,2.846050
strong_revolt,105,1.564283,1.868581,0,growth,2.922990
strong_revolt,106,1.608039,1.865895,0,growth,3.000433
strong_revolt,107,1.651978,1.863236,0,growth,3.078025
strong_revolt,108,1.695905,1.860604,0,growth,3.155408
strong_revolt,109,1.739627,1.857998,0,growth,3.232223
strong_revolt,110,1.782952,1.855418,0,growth,3.308121
strong_revolt,111,1.825695,1.852864,0,growth,3.382764
strong_revolt,112,1.867681,1.850335,0,growth,3.455835
strong_revolt,113,1.908745,1.847832,0,growth,3.527040
strong_revolt,114,1.948740,1.845354,0,growth,3.596114
strong_revolt,115,1.987532,1.842900,0,growth,3.662823
strong_revolt,116,2.025008,1.840471,0,conservation,3.726968
strong_revolt,117,2.061071,1.838066,0,conservation,3.788384
strong_revolt,118,2.095645,1.835686,0,conservation,3.846945
strong_revolt,119,2.128673,1.833329,0,conservation,3.902558
strong_revolt,120,2.160117,1.830996,0,conservation,3.955165
strong_revolt,121,2.189955,1.828686,0,conservation,4.004739
strong_revolt,122,2.218182,1.826399,0,conservation,4.051284
strong_revolt,123,2.244807,1.824135,0,conservation,4.094831
strong_revolt,124,2.269854,1.821893,0,conservation,4.135432
strong_revolt,125,2.293356,1.819674,0,conservation,4.173161
strong_revolt,126,2.315356,1.817478,0,conservation,4.208109
strong_revolt,127,2.335907,1.815303,0,conservation,4.240379
strong_revolt,128,2.355065,1.813150,0,conservation,4.270086
strong_revolt,129,2.372893,1.811018,0,conservation,4.297352
strong_revolt,130,2.389455,1.808908,0,conservation,4.322304
strong_revolt,131,2.404819,1.806819,0,conservation,4.345073
strong_revolt,132,1.077525,2.046819,1,release,2.205499
strong_revolt,133,1.099613,2.042351,0,growth,2.245796
strong_revolt,134,1.123033,2.037927,0,growth,2.288660
strong_revolt,135,1.147798,2.033548,0,growth,2.334103
strong_revolt,136,1.173912,2.029213,0,growth,2.382118
strong_revolt,137,1.201370,2.024921,0,growth,2.432679
strong_revolt,138,1.230155,2.020671,0,growth,2.485738
strong_revolt,139,1.260238,2.016465,0,growth,2.541225
strong_revolt,140,1.291579,2.012300,0,growth,2.599045
strong_revolt,141,1.324125,2.008177,0,growth,2.659078
strong_revolt,142,1.357809,2.004095,0,growth,2.721179
strong_revolt,143,1.392551,2.000054,0,growth,2.785177
strong_revolt,144,1.428257,1.996054,0,growth,2.850877
strong_revolt,145,1.464821,1.992093,0,growth,2.918059
strong_revolt,146,1.502126,1.988172,0,growth,2.986484
strong_revolt,147,1.540043,1.984291,0,growth,3.055893
strong_revolt,148,1.578436,1.980448,0,growth,3.126009
strong_revolt,149,1.617159,1.976643,0,growth,3.196547
strong_revolt,150,1.656064,1.972877,0,growth,3.267209
strong_revolt,151,1.694997,1.969148,0,growth,3.337699
strong_revolt,152,1.733804,1.965456,0,growth,3.407717
strong_revolt,153,1.772336,1.961802,0,growth,3.476972
strong_revolt,154,1.810443,1.958184,0,growth,3.545181
strong_revolt,155,1.847985,1.954602,0,growth,3.612076
strong_revolt,156,1.884829,1.951056,0,growth,3.677407
strong_revolt,157,1.920852,1.947545,0,growth,3.740947
strong_revolt,158,1.955944,1.944070,0,growth,3.802492
strong_revolt,159,1.990005,1.940629,0,growth,3.861863
strong_revolt,160,2.022953,1.937223,0,conservation,3.918911
strong_remember,1,0.500000,1.000000,0,reorganization,0.500000
strong_remember,2,0.553046,1.008400,0,reorganization,0.557692
strong_remember,3,0.611653,1.016682,0,reorganization,0.621857
strong_remember,4,0.676092,1.024849,0,reorganization,0.692892
strong_remember,5,0.746562,1.032901,0,reorganization,0.771125
strong_remember,6,0.823167,1.040840,0,growth,0.856785
strong_remember,7,0.905890,1.048669,0,growth,0.949978
strong_remember,8,0.994572,1.056387,0,growth,1.050653
strong_remember,9,1.088894,1.063998,0,growth,1.158580
strong_remember,10,1.188360,1.071502,0,growth,1.273330
strong_remember,11,1.292296,1.078901,0,growth,1.394259
strong_remember,12,1.399852,1.086196,0,growth,1.520514
strong_remember,13,1.510024,1.093389,0,growth,1.651044
strong_remember,14,1.621680,1.100482,0,growth,1.784629
strong_remember,15,1.733603,1.107475,0,growth,1.919923
strong_remember,16,1.844547,1.114371,0,growth,2.055509
strong_remember,17,1.953283,1.121169,0,growth,2.189961
strong_remember,18,2.058661,1.127873,0,conservation,2.321908
strong_remember,19,2.159654,1.134483,0,conservation,2.450090
strong_remember,20,2.255400,1.141000,0,conservation,2.573411
strong_remember,21,2.345225,1.147426,0,conservation,2.690972
strong_remember,22,2.428657,1.153762,0,conservation,2.802093
strong_remember,23,2.505423,1.160009,0,conservation,2.906315
strong_remember,24,2.575434,1.166169,0,conservation,3.003392
strong_remember,25,1.297468,1.306169,1,release,1.694713
strong_remember,26,1.401566,1.310283,0,growth,1.836449
strong_remember,27,1.508207,1.314339,0,growth,1.982295
strong_remember,28,1.616331,1.318338,0,growth,2.130870
strong_remember,29,1.724799,1.322281,0,growth,2.280669
strong_remember,30,1.832438,1.326170,0,growth,2.430124
strong_remember,31,1.938094,1.330003,0,growth,2.577671
strong_remember,32,2.040674,1.333783,0,conservation,2.721816
strong_remember,33,2.139200,1.337510,0,conservation,2.861201
strong_remember,34,2.232839,1.341185,0,conservation,2.994650
strong_remember,35,2.320933,1.344808,0,conservation,3.121210
strong_remember,36,2.403006,1.348381,0,conservation,3.240167
strong_remember,37,2.478768,1.351904,0,conservation,3.351056
strong_remember,38,2.548103,1.355377,0,conservation,3.453641
strong_remember,39,1.269928,1.495377,1,release,1.899021
strong_remember,40,1.370145,1.496842,0,growth,2.050890
strong_remember,41,1.473145,1.498286,0,growth,2.207192
strong_remember,42,1.577958,1.499710,0,growth,2.366480
strong_remember,43,1.683529,1.501114,0,growth,2.527170
strong_remember,44,1.788754,1.502499,0,growth,2.687600
strong_remember,45,1.892524,1.503864,0,growth,2.846097
strong_remember,46,1.993775,1.505209,0,growth,3.001049
strong_remember,47,2.091530,1.506537,0,conservation,3.150966
strong_remember,48,2.184937,1.507845,0,conservation,3.294546
strong_remember,49,2.273296,1.509135,0,conservation,3.430710
strong_remember,50,2.356075,1.510407,0,conservation,3.558633
strong_remember,51,2.432918,1.511662,0,conservation,3.677748
strong_remember,52,2.503636,1.512898,0,conservation,3.787746
strong_remember,53,2.568194,1.514118,0,conservation,3.888547
strong_remember,54,1.285712,1.654118,1,release,2.126719
strong_remember,55,1.383912,1.653360,0,growth,2.288105
strong_remember,56,1.484728,1.652613,0,growth,2.453681
strong_remember,57,1.587227,1.651876,0,growth,2.621903
strong_remember,58,1.690393,1.651150,0,growth,2.791093
strong_remember,59,1.793171,1.650434,0,growth,2.959511
strong_remember,60,1.894503,1.649728,0,growth,3.125414
strong_remember,61,1.993375,1.649032,0,growth,3.287139
strong_remember,62,2.088858,1.648345,0,conservation,3.443159
strong_remember,63,2.180140,1.647669,0,conservation,3.592147
strong_remember,64,2.266553,1.647001,0,conservation,3.733016
strong_remember,65,2.347591,1.646343,0,conservation,3.864940
strong_remember,66,2.422909,1.645694,0,conservation,3.987367
strong_remember,67,2.492323,1.645055,0,conservation,4.100007
strong_remember,68,2.555794,1.644424,0,conservation,4.202809
strong_remember,69,1.272550,1.784424,1,release,2.270769
strong_remember,70,1.368255,1.781842,0,growth,2.438014
strong_remember,71,1.466677,1.779296,0,growth,2.609652
strong_remember,72,1.566935,1.776786,0,growth,2.784109
strong_remember,73,1.668068,1.774311,0,growth,2.959672
strong_remember,74,1.769063,1.771871,0,growth,3.134551
strong_remember,75,1.868900,1.769464,0,growth,3.306951
strong_remember,76,1.966588,1.767092,0,growth,3.475142
strong_remember,77,2.061210,1.764753,0,conservation,3.637526
strong_remember,78,2.151953,1.762446,0,conservation,3.792702
strong_remember,79,2.238136,1.760172,0,conservation,3.939504
strong_remember,80,2.319227,1.757929,0,conservation,4.077037
strong_remember,81,2.394850,1.755718,0,conservation,4.204682
strong_remember,82,2.464783,1.753538,0,conservation,4.322092
strong_remember,83,2.528948,1.751389,0,conservation,4.429171
strong_remember,84,2.587392,1.749269,0,conservation,4.526046
strong_remember,85,1.299506,1.889269,1,release,2.455117
strong_remember,86,1.394389,1.885220,0,growth,2.628729
strong_remember,87,1.491737,1.881227,0,growth,2.806295
strong_remember,88,1.590677,1.877289,0,growth,2.986161
strong_remember,89,1.690261,1.873407,0,growth,3.166547
strong_remember,90,1.789503,1.869580,0,growth,3.345619
strong_remember,91,1.887419,1.865806,0,growth,3.521557
strong_remember,92,1.983059,1.862084,0,growth,3.692624
strong_remember,93,2.075553,1.858415,0,conservation,3.857239
strong_remember,94,2.164134,1.854797,0,conservation,4.014030
strong_remember,95,2.248168,1.851230,0,conservation,4.161876
strong_remember,96,2.327165,1.847713,0,conservation,4.299932
strong_remember,97,2.400785,1.844245,0,conservation,4.427636
strong_remember,98,2.468836,1.840825,0,conservation,4.544697
strong_remember,99,2.531261,1.837454,0,conservation,4.651075
strong_remember,100,2.588121,1.834130,0,conservation,4.746949
strong_remember,101,1.298890,1.974130,1,release,2.564176
strong_remember,102,1.392404,1.968892,0,growth,2.741493
strong_remember,103,1.488380,1.963727,0,growth,2.922772
strong_remember,104,1.585970,1.958635,0,growth,3.106337
strong_remember,105,1.684254,1.953614,0,growth,3.290383
strong_remember,106,1.782274,1.948664,0,growth,3.473051
strong_remember,107,1.879065,1.943782,0,growth,3.652493
strong_remember,108,1.973702,1.938969,0,growth,3.826947
strong_remember,109,2.065326,1.934224,0,conservation,3.994803
strong_remember,110,2.153182,1.929545,0,conservation,4.154661
strong_remember,111,2.236639,1.924931,0,conservation,4.305375
strong_remember,112,2.315203,1.920382,0,conservation,4.446075
strong_remember,113,2.388530,1.915897,0,conservation,4.576177
strong_remember,114,2.456415,1.911474,0,conservation,4.695374
strong_remember,115,2.518788,1.907113,0,conservation,4.803614
strong_remember,116,2.575693,1.902814,0,conservation,4.901064
strong_remember,117,1.286652,2.042814,1,release,2.628390
strong_remember,118,1.378697,2.036614,0,growth,2.807875
strong_remember,119,1.473302,2.030502,0,growth,2.991542
strong_remember,120,1.569650,2.024475,0,growth,3.177717
strong_remember,121,1.666851,2.018532,0,growth,3.364592
strong_remember,122,1.763968,2.012673,0,growth,3.550291
strong_remember,123,1.860058,2.006895,0,growth,3.732943
strong_remember,124,1.954203,2.001199,0,growth,3.910749
strong_remember,125,2.045547,1.995582,0,conservation,4.082057
strong_remember,126,2.133328,1.990044,0,conservation,4.245416
strong_remember,127,2.216900,1.984583,0,conservation,4.399623
strong_remember,128,2.295753,1.979199,0,conservation,4.543753
strong_remember,129,2.369517,1.973890,0,conservation,4.677166
strong_remember,130,2.437960,1.968656,0,conservation,4.799505
strong_remember,131,2.500986,1.963495,0,conservation,4.910673
strong_remember,132,2.558614,1.958406,0,conservation,5.010804
strong_remember,133,2.610965,1.953388,0,conservation,5.100227
strong_remember,134,1.317661,2.093388,1,release,2.758377
strong_remember,135,1.409826,2.086481,0,growth,2.941574
strong_remember,136,1.504278,2.079670,0,growth,3.128401
strong_remember,137,1.600188,2.072955,0,growth,3.317117
strong_remember,138,1.696663,2.066333,0,growth,3.505872
strong_remember,139,1.792777,2.059804,0,growth,3.692770
strong_remember,140,1.887603,2.053367,0,growth,3.875942
strong_remember,141,1.980254,2.047020,0,growth,4.053620
strong_remember,142,2.069912,2.040762,0,conservation,4.224198
strong_remember,143,2.155859,2.034591,0,conservation,4.386292
strong_remember,144,2.237496,2.028507,0,conservation,4.538775
strong_remember,145,2.314358,2.022508,0,conservation,4.680807
strong_remember,146,2.386121,2.016593,0,conservation,4.811833
