scenario,time,fast_cycle,slow_memory,release_event,phase,cross_scale_coupling,fast_growth,fast_capacity,slow_constraint,release_threshold,release_magnitude,revolt_strength,remember_strength,slow_adjustment,slow_target
baseline_panarchy,43,1.518426,1.335769,0,growth,2.028267,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,44,1.586076,1.338412,0,growth,2.122823,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,45,1.653929,1.341028,0,growth,2.217965,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,46,1.721528,1.343617,0,growth,2.313075,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,47,1.788417,1.346181,0,growth,2.407533,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,48,1.854152,1.348719,0,growth,2.500731,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,49,1.918318,1.351232,0,growth,2.592093,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,50,1.980534,1.35372,0,growth,2.681088,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,51,2.040462,1.356183,0,conservation,2.767239,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,52,2.097819,1.358621,0,conservation,2.85014,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,53,2.152374,1.361035,0,conservation,2.929456,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,54,2.203955,1.363424,0,conservation,3.004926,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,55,2.252446,1.36579,0,conservation,3.076368,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,56,2.297783,1.368132,0,conservation,3.143671,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,57,2.339953,1.370451,0,conservation,3.206791,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,58,2.378987,1.372746,0,conservation,3.265745,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,59,2.414952,1.375019,0,conservation,3.320604,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,60,2.447947,1.377269,0,conservation,3.371481,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,61,2.478097,1.379496,0,conservation,3.418525,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,62,2.505545,1.381701,0,conservation,3.461913,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,63,2.530444,1.383884,0,conservation,3.501841,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,64,1.207783,1.523884,1,release,1.840521,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,65,1.259543,1.524645,0,growth,1.920356,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,66,1.313165,1.525399,0,growth,2.0031,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,67,1.368434,1.526145,0,growth,2.088429,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,68,1.425102,1.526883,0,growth,2.175965,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,69,1.482889,1.527614,0,growth,2.265282,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,70,1.541486,1.528338,0,growth,2.355912,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,71,1.600564,1.529055,0,growth,2.447351,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,72,1.659782,1.529764,0,growth,2.539075,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,73,1.718788,1.530467,0,growth,2.630548,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,74,1.777236,1.531162,0,growth,2.721236,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,75,1.834787,1.53185,0,growth,2.81062,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,76,1.891122,1.532532,0,growth,2.898204,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,77,1.945944,1.533207,0,growth,2.983534,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,78,1.998989,1.533874,0,growth,3.066198,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,79,2.050028,1.534536,0,conservation,3.145841,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,80,2.098871,1.53519,0,conservation,3.222166,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,81,2.145366,1.535838,0,conservation,3.294936,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,82,2.189405,1.53648,0,conservation,3.363977,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,83,2.230915,1.537115,0,conservation,3.429174,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,84,2.269864,1.537744,0,conservation,3.490471,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,85,2.306252,1.538367,0,conservation,3.547861,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,86,2.340107,1.538983,0,conservation,3.601386,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,87,2.371487,1.539593,0,conservation,3.651125,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,88,2.400466,1.540197,0,conservation,3.697192,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,89,2.427141,1.540795,0,conservation,3.739728,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,90,2.451618,1.541387,0,conservation,3.778893,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,91,2.474013,1.541973,0,conservation,3.814863,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,92,2.49445,1.542554,0,conservation,3.847823,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,93,2.513053,1.543128,0,conservation,3.877963,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,94,2.529949,1.543697,0,conservation,3.905474,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,95,2.545262,1.54426,0,conservation,3.930546,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,96,1.213994,1.68426,1,release,2.044682,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,97,1.258723,1.683417,0,growth,2.118956,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,98,1.305117,1.682583,0,growth,2.195967,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,99,1.353024,1.681757,0,growth,2.275457,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,100,1.402266,1.68094,0,growth,2.357125,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,101,1.452641,1.68013,0,growth,2.440625,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,102,1.503921,1.679329,0,growth,2.525578,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,103,1.555862,1.678536,0,growth,2.61157,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,104,1.608203,1.67775,0,growth,2.698163,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,105,1.660673,1.676973,0,growth,2.784904,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,106,1.712999,1.676203,0,growth,2.871334,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,107,1.764904,1.675441,0,growth,2.956993,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,108,1.816123,1.674687,0,growth,3.041438,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,109,1.866401,1.67394,0,growth,3.124243,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,110,1.915499,1.6732,0,growth,3.205014,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,111,1.963203,1.672468,0,growth,3.283395,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,112,2.00932,1.671744,0,conservation,3.359069,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,113,2.05369,1.671026,0,conservation,3.43177,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,114,2.096177,1.670316,0,conservation,3.501278,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,115,2.136678,1.669613,0,conservation,3.567426,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,116,2.17512,1.668917,0,conservation,3.630095,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,117,2.211457,1.668228,0,conservation,3.689213,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,118,2.245669,1.667545,0,conservation,3.744754,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,119,2.277761,1.66687,0,conservation,3.796731,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,120,2.307761,1.666201,0,conservation,3.845193,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,121,2.335712,1.665539,0,conservation,3.89022,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,122,2.361676,1.664884,0,conservation,3.931917,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,123,2.385726,1.664235,0,conservation,3.970409,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,124,2.407945,1.663593,0,conservation,4.005839,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,125,2.428422,1.662957,0,conservation,4.038361,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,126,2.447253,1.662327,0,conservation,4.068135,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,127,2.464535,1.661704,0,conservation,4.095327,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,128,2.480365,1.661087,0,conservation,4.120102,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,129,2.494843,1.660476,0,conservation,4.142627,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,130,2.508063,1.659871,0,conservation,4.163062,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,131,2.520119,1.659272,0,conservation,4.181564,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,132,2.5311,1.65868,0,conservation,4.198284,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,133,2.541092,1.658093,0,conservation,4.213366,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,134,2.550174,1.657512,0,conservation,4.226945,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,135,1.213345,1.797512,1,release,2.181002,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,136,1.252912,1.795537,0,growth,2.249651,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,137,1.294021,1.793582,0,growth,2.320933,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,138,1.336561,1.791646,0,growth,2.394644,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,139,1.3804,1.789729,0,growth,2.470543,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,140,1.425385,1.787832,0,growth,2.548348,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,141,1.471342,1.785954,0,growth,2.627749,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,142,1.518081,1.784094,0,growth,2.7084,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,143,1.565397,1.782253,0,growth,2.789934,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,144,1.613072,1.780431,0,growth,2.871963,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,145,1.660881,1.778626,0,growth,2.954087,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,146,1.708595,1.77684,0,growth,3.0359,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,147,1.755986,1.775072,0,growth,3.117001,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,148,1.80283,1.773321,0,growth,3.196996,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,149,1.848913,1.771588,0,growth,3.275511,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,150,1.894033,1.769872,0,growth,3.352196,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,151,1.938007,1.768173,0,growth,3.426731,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,152,1.980668,1.766491,0,growth,3.498832,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,153,2.021872,1.764826,0,conservation,3.568253,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,154,2.061498,1.763178,0,conservation,3.634789,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,155,2.099449,1.761546,0,conservation,3.698277,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,156,2.13565,1.759931,0,conservation,3.758597,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,157,2.170051,1.758332,0,conservation,3.81567,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,158,2.202623,1.756748,0,conservation,3.869455,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,159,2.233357,1.755181,0,conservation,3.919945,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
baseline_panarchy,160,2.262262,1.753629,0,conservation,3.967169,0.16,3.2,0.08,2.5,1.35,0.14,0.035,0.01,1.6
strong_revolt,1,0.5,1.0,0,reorganization,0.5,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,2,0.52271,1.006,0,reorganization,0.525846,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,3,0.54762,1.01194,0,reorganization,0.554159,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,4,0.574914,1.017821,0,reorganization,0.585159,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,5,0.604775,1.023642,0,reorganization,0.619074,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,6,0.63739,1.029406,0,reorganization,0.656133,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,7,0.672935,1.035112,0,reorganization,0.696563,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,8,0.71158,1.040761,0,reorganization,0.740585,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,9,0.753477,1.046353,0,reorganization,0.788403,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,10,0.798755,1.05189,0,reorganization,0.840202,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,11,0.847512,1.057371,0,growth,0.896135,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,12,0.899809,1.062797,0,growth,0.956314,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,13,0.955657,1.068169,0,growth,1.020804,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,14,1.015017,1.073487,0,growth,1.089608,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,15,1.077784,1.078753,0,growth,1.162662,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,16,1.143787,1.083965,0,growth,1.239825,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,17,1.212783,1.089125,0,growth,1.320872,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,18,1.284454,1.094234,0,growth,1.405493,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,19,1.358412,1.099292,0,growth,1.493291,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,20,1.434201,1.104299,0,growth,1.583786,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,21,1.511307,1.109256,0,growth,1.676426,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,22,1.589169,1.114163,0,growth,1.770593,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,23,1.667195,1.119022,0,growth,1.865628,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,24,1.744782,1.123831,0,growth,1.960841,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,25,1.821328,1.128593,0,growth,2.055538,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,26,1.896257,1.133307,0,growth,2.149042,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,27,1.969033,1.137974,0,growth,2.240709,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,28,2.039177,1.142594,0,conservation,2.329952,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,29,2.106276,1.147168,0,conservation,2.416254,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,30,2.169996,1.151697,0,conservation,2.499178,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,31,2.230082,1.15618,0,conservation,2.578376,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,32,2.286359,1.160618,0,conservation,2.65359,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,33,2.338731,1.165012,0,conservation,2.724649,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,34,2.387171,1.169362,0,conservation,2.791467,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,35,1.089968,1.409362,1,release,1.536159,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,36,1.141607,1.411268,0,growth,1.611113,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,37,1.19566,1.413155,0,growth,1.689653,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,38,1.251959,1.415024,0,growth,1.771551,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,39,1.310291,1.416874,0,growth,1.856516,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,40,1.370399,1.418705,0,growth,1.944191,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,41,1.431985,1.420518,0,growth,2.03416,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,42,1.494713,1.422313,0,growth,2.125949,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,43,1.558217,1.42409,0,growth,2.21904,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,44,1.622107,1.425849,0,growth,2.312879,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
strong_revolt,45,1.68598,1.42759,0,growth,2.406889,0.16,3.2,0.08,2.35,1.35,0.24,0.035,0.01,1.6
