scenario_id,growth,external_shock,shock_time
156,0.053195,11.392935,30
157,0.034202,17.135994,27
158,0.060276,4.043532,26
159,0.036631,0.831847,35
160,0.057507,13.832808,34
161,0.04865,11.335777,26
162,0.062326,6.911612,32
163,0.040979,11.809044,20
164,0.07017,15.48793,23
165,0.065029,3.93914,45
166,0.073108,9.32324,21
167,0.055083,16.51446,23
168,0.050541,14.425499,41
169,0.053901,10.060655,30
170,0.072752,16.045667,39
171,0.066675,16.056365,33
172,0.067376,9.861695,25
173,0.063464,8.54414,28
174,0.06383,15.117532,28
175,0.064462,9.383397,40
176,0.040766,7.917707,42
177,0.042858,4.890872,30
178,0.070186,1.450398,24
179,0.040407,12.491097,42
180,0.039628,7.467622,30
181,0.054418,7.483936,26
182,0.06748,7.010583,44
183,0.056284,12.519414,44
184,0.055906,8.585635,31
185,0.043438,7.01976,33
186,0.05422,13.223413,45
187,0.057146,3.969696,27
188,0.042282,8.741556,32
189,0.045126,12.224554,32
190,0.062588,15.129102,24
191,0.074132,9.614225,32
192,0.056635,11.933996,22
193,0.058924,2.442591,34
194,0.038178,4.682814,30
195,0.039525,5.883224,44
196,0.069584,5.008619,33
197,0.041352,1.474312,20
198,0.063706,0.937541,31
199,0.04009,1.235131,40
200,0.031812,0.55854,27
201,0.038971,0.36684,24
202,0.040735,8.524099,23
203,0.055379,3.923362,42
204,0.041531,6.640113,39
205,0.057326,13.462662,23
206,0.065001,2.947785,29
207,0.034864,0.462212,29
208,0.055911,16.344471,32
209,0.047849,12.870265,22
210,0.056644,14.950289,27
211,0.034586,13.904656,41
212,0.057019,2.178991,38
213,0.065219,6.249668,33
214,0.059768,1.241221,40
215,0.045355,15.292361,35
216,0.034749,17.294176,40
217,0.070121,8.275308,24
218,0.049597,13.208315,40
219,0.042154,14.547586,37
220,0.064859,8.367728,43
221,0.056661,5.801482,27
222,0.067383,1.559932,34
223,0.040974,8.364752,39
224,0.060068,6.055139,35
225,0.068293,3.273117,26
226,0.045967,4.650343,28
227,0.069614,12.621308,28
228,0.055011,9.299291,26
229,0.033853,12.961344,35
230,0.054983,4.325831,35
231,0.059066,8.834784,45
232,0.030776,5.29624,32
233,0.06113,5.511709,38
234,0.046606,9.962513,31
235,0.049148,13.426838,30
236,0.045831,8.167415,29
237,0.041313,2.171806,26
238,0.0442,13.371859,44
239,0.061057,3.447738,43
240,0.051789,13.04253,44
241,0.053609,5.093977,23
242,0.067468,5.332436,31
243,0.038075,0.254671,37
244,0.035696,0.819283,21
245,0.054901,12.553513,24
246,0.058704,13.550259,23
247,0.069272,10.333156,35
248,0.051542,6.132707,21
249,0.041362,15.511013,23
250,0.066995,7.212734,22
251,0.055966,12.356118,24
252,0.036714,10.131113,29
253,0.033833,4.467437,37
254,0.0644,10.913718,45
255,0.057829,13.962484,32
256,0.050273,7.968978,38
257,0.074551,5.496844,39
258,0.03271,17.281958,23
259,0.072642,3.740182,26
260,0.041909,1.461374,27
261,0.037822,1.351168,20
262,0.048383,12.40868,35
263,0.043107,4.166572,42
264,0.042722,15.472921,22
265,0.060932,16.630399,45
266,0.065606,10.616213,45
267,0.072015,7.652501,37
268,0.040116,2.681809,28
269,0.067198,1.285377,25
270,0.065668,10.710793,38
271,0.071454,7.904762,34
272,0.060991,12.595206,28
273,0.052521,8.888314,22
274,0.056912,16.009612,43
275,0.044504,4.506622,22
276,0.040302,12.137371,38
277,0.056421,0.373418,44
278,0.060253,4.851198,21
279,0.06434,3.153433,36
280,0.059318,16.48931,25
281,0.074863,7.84593,35
282,0.073607,8.460187,33
283,0.044999,12.062403,25
284,0.044841,12.486126,29
285,0.059816,7.208141,44
286,0.054754,8.186866,30
287,0.041358,2.086589,44
288,0.048188,9.262733,20
289,0.059595,9.766685,33
290,0.032439,9.331909,39
291,0.06404,11.257357,44
292,0.032323,4.807012,24
293,0.071745,7.88609,42
294,0.051812,0.51965,40
295,0.057399,4.307354,25
296,0.043984,0.24614,33
297,0.034194,17.860629,23
298,0.050765,2.114391,24
299,0.052427,12.89886,36
300,0.061744,7.478826,35
301,0.074111,4.387156,37
302,0.036509,3.430987,39
303,0.052871,15.827873,22
304,0.042431,14.220111,33
305,0.045294,14.178913,28
306,0.066925,5.091102,29
307,0.067686,10.438621,41
308,0.052034,2.674718,37
309,0.051795,5.983919,44
310,0.054454,8.196203,30
311,0.069132,17.653943,27
312,0.055731,4.204124,44
313,0.048485,5.727174,35
314,0.061735,14.60536,32
315,0.074479,14.263086,40
316,0.074137,8.915916,21
317,0.035681,17.376365,30
318,0.069137,15.735427,34
319,0.034487,16.38795,20
320,0.06251,7.379615,40
321,0.073648,1.346908,45
322,0.073614,6.094102,42
323,0.047887,1.445676,30
324,0.068355,15.468159,32
325,0.072936,11.282385,44
326,0.051958,9.738288,39
327,0.033079,11.360898,29
328,0.074884,13.441795,33
329,0.074025,13.686654,42
330,0.069266,7.986214,42
331,0.043476,0.52105,30
332,0.065826,5.28062,31
333,0.049381,4.395554,33
334,0.055467,14.265351,25
335,0.037878,10.970852,32
336,0.057887,4.334936,38
337,0.03644,8.300698,28
338,0.050681,12.003133,45
339,0.050936,5.17737,37
340,0.037109,7.951136,31
341,0.074444,5.384776,33
342,0.061064,8.223045,29
343,0.038965,6.924478,35
344,0.034799,6.864557,31
345,0.055867,17.868457,29
346,0.030987,14.940676,32
347,0.042352,10.186722,41
348,0.065024,17.524851,39
349,0.063533,14.9911,29
350,0.064908,4.142131,45
351,0.045854,11.459122,39
352,0.041278,13.600392,44
353,0.059663,15.090068,40
354,0.034372,11.294246,21
355,0.043902,7.934817,38
356,0.046419,2.365413,29
357,0.044702,7.479056,26
358,0.035947,9.70934,31
359,0.053888,16.442766,25
360,0.041564,14.844417,35
361,0.073532,5.312546,30
362,0.06619,8.429965,22
363,0.036334,17.397004,41
364,0.06259,17.63896,45
365,0.055079,1.625452,32
366,0.030626,9.658302,34
367,0.046586,13.482209,28
368,0.056305,14.803511,31
369,0.034876,4.208794,20
370,0.05788,16.977044,30
371,0.071187,3.98461,22
372,0.058593,8.356816,42
373,0.043599,7.349325,24
374,0.032041,0.669818,35
375,0.035225,4.226401,37
376,0.036105,8.165588,41
377,0.072722,12.536712,37
378,0.048861,13.360842,24
379,0.069844,11.788594,35
380,0.057704,16.902955,28
381,0.031472,6.669539,34
382,0.050011,4.250027,31
383,0.034471,12.342245,37
384,0.070576,11.606883,21
385,0.047916,3.416554,23
386,0.072705,14.835439,22
387,0.059825,11.55068,39
388,0.073699,0.910413,30
389,0.040961,2.26663,38
390,0.039234,14.936721,37
391,0.039322,3.887124,27
392,0.044785,2.655975,39
393,0.030128,15.45131,24
394,0.074439,9.723878,45
395,0.037852,11.899038,20
396,0.035931,6.448361,45
397,0.040707,5.827886,25
398,0.041942,2.281654,33
399,0.053674,13.421975,35
400,0.050172,6.516702,38
