scenario_id,policy,policy_drag,resilience_buffer,implementation_delay,growth,external_shock,shock_time,final_state,maximum_state,minimum_state,cumulative_cost,resilience_score,regret
9,Policy_D_delayed_adaptation,0.015,6.0,8,0.066262,12.566509,30,433.974832,433.974832,20.0,43743.406484,0.0,0.0
10,Policy_A_low_intervention,0.01,4.0,0,0.042504,3.875648,44,134.697398,134.697398,20.0,3132.186682,0.0,8.036764
10,Policy_B_moderate_intervention,0.025,7.0,0,0.042504,3.875648,44,55.919543,55.919543,20.0,152.258693,8.036764,0.0
10,Policy_C_high_resilience,0.02,12.0,0,0.042504,3.875648,44,75.560365,75.560365,20.0,555.940338,0.0,8.036764
10,Policy_D_delayed_adaptation,0.015,6.0,8,0.042504,3.875648,44,111.750194,111.750194,20.0,1993.573105,0.0,8.036764
11,Policy_A_low_intervention,0.01,4.0,0,0.045147,1.669425,23,157.40967,157.40967,20.0,4635.647937,0.0,0.0
11,Policy_B_moderate_intervention,0.025,7.0,0,0.045147,1.669425,23,65.690635,65.690635,20.0,306.689313,0.0,0.0
11,Policy_C_high_resilience,0.02,12.0,0,0.045147,1.669425,23,88.406211,88.406211,20.0,941.626574,0.0,0.0
11,Policy_D_delayed_adaptation,0.015,6.0,8,0.045147,1.669425,23,130.664222,130.664222,20.0,3041.347249,0.0,0.0
12,Policy_A_low_intervention,0.01,4.0,0,0.046154,6.191203,28,163.634733,163.634733,20.0,5062.33624,0.0,0.0
12,Policy_B_moderate_intervention,0.025,7.0,0,0.046154,6.191203,28,68.499156,68.499156,20.0,359.320766,0.0,0.0
12,Policy_C_high_resilience,0.02,12.0,0,0.046154,6.191203,28,92.963525,92.963525,20.0,1099.06822,0.0,0.0
12,Policy_D_delayed_adaptation,0.015,6.0,8,0.046154,6.191203,28,136.673363,136.673363,20.0,3400.510663,0.0,0.0
13,Policy_A_low_intervention,0.01,4.0,0,0.066321,13.135172,37,523.9451,523.9451,20.0,61718.517813,0.0,0.0
13,Policy_B_moderate_intervention,0.025,7.0,0,0.066321,13.135172,37,222.277833,222.277833,20.0,10430.670793,0.0,0.0
13,Policy_C_high_resilience,0.02,12.0,0,0.066321,13.135172,37,299.534856,299.534856,20.0,19952.510981,0.0,0.0
13,Policy_D_delayed_adaptation,0.015,6.0,8,0.066321,13.135172,37,437.928062,437.928062,20.0,44668.71511,0.0,0.0
14,Policy_A_low_intervention,0.01,4.0,0,0.035617,16.601317,22,80.37965,80.37965,20.0,598.344723,0.0,54.517584
14,Policy_B_moderate_intervention,0.025,7.0,0,0.035617,16.601317,22,34.14765,34.14765,20.0,39.6,54.517584,0.0
14,Policy_C_high_resilience,0.02,12.0,0,0.035617,16.601317,22,48.186604,48.186604,20.0,98.132945,27.368147,27.149437
14,Policy_D_delayed_adaptation,0.015,6.0,8,0.035617,16.601317,22,69.354097,69.354097,20.0,381.360038,0.0,54.517584
15,Policy_A_low_intervention,0.01,4.0,0,0.054842,14.929284,39,268.635174,268.635174,20.0,15754.452195,0.0,0.0
15,Policy_B_moderate_intervention,0.025,7.0,0,0.054842,14.929284,39,112.796498,112.796498,20.0,1927.356923,0.0,0.0
15,Policy_C_high_resilience,0.02,12.0,0,0.054842,14.929284,39,153.569627,153.569627,20.0,4407.587261,0.0,0.0
15,Policy_D_delayed_adaptation,0.015,6.0,8,0.054842,14.929284,39,224.814308,224.814308,20.0,11138.343564,0.0,0.0
16,Policy_A_low_intervention,0.01,4.0,0,0.069845,6.50943,26,642.260868,642.260868,20.0,91730.026236,0.0,0.0
16,Policy_B_moderate_intervention,0.025,7.0,0,0.069845,6.50943,26,273.935053,273.935053,20.0,16442.503501,0.0,0.0
16,Policy_C_high_resilience,0.02,12.0,0,0.069845,6.50943,26,367.460703,367.460703,20.0,30439.610304,0.0,0.0
16,Policy_D_delayed_adaptation,0.015,6.0,8,0.069845,6.50943,26,536.938674,536.938674,20.0,66687.604366,0.0,0.0
17,Policy_A_low_intervention,0.01,4.0,0,0.061706,0.824839,27,410.709744,410.709744,20.0,38150.536329,0.0,0.0
17,Policy_B_moderate_intervention,0.025,7.0,0,0.061706,0.824839,27,173.537023,173.537023,20.0,5915.500739,0.0,0.0
17,Policy_C_high_resilience,0.02,12.0,0,0.061706,0.824839,27,231.866342,231.866342,20.0,11523.070442,0.0,0.0
17,Policy_D_delayed_adaptation,0.015,6.0,8,0.061706,0.824839,27,341.172877,341.172877,20.0,27058.121506,0.0,0.0
18,Policy_A_low_intervention,0.01,4.0,0,0.064788,17.733987,27,465.068101,465.068101,20.0,48240.367458,0.0,0.0
18,Policy_B_moderate_intervention,0.025,7.0,0,0.064788,17.733987,27,198.654648,198.654648,20.0,7989.362693,0.0,0.0
18,Policy_C_high_resilience,0.02,12.0,0,0.064788,17.733987,27,270.880647,270.880647,20.0,16035.50821,0.0,0.0
18,Policy_D_delayed_adaptation,0.015,6.0,8,0.064788,17.733987,27,392.93365,392.93365,20.0,35676.670528,0.0,0.0
19,Policy_A_low_intervention,0.01,4.0,0,0.068992,6.842272,34,615.547207,615.547207,20.0,84650.095496,0.0,0.0
19,Policy_B_moderate_intervention,0.025,7.0,0,0.068992,6.842272,34,261.767397,261.767397,20.0,14946.632789,0.0,0.0
19,Policy_C_high_resilience,0.02,12.0,0,0.068992,6.842272,34,350.681406,350.681406,20.0,27691.812156,0.0,0.0
19,Policy_D_delayed_adaptation,0.015,6.0,8,0.068992,6.842272,34,513.397495,513.397495,20.0,61181.212338,0.0,0.0
20,Policy_A_low_intervention,0.01,4.0,0,0.058606,6.566979,31,338.455079,338.455079,20.0,25603.019746,0.0,0.0
20,Policy_B_moderate_intervention,0.025,7.0,0,0.058606,6.566979,31,142.873702,142.873702,20.0,3640.459087,0.0,0.0
20,Policy_C_high_resilience,0.02,12.0,0,0.058606,6.566979,31,192.480376,192.480376,20.0,7554.731382,0.0,0.0
20,Policy_D_delayed_adaptation,0.015,6.0,8,0.058606,6.566979,31,282.382704,282.382704,20.0,18203.654862,0.0,0.0
21,Policy_A_low_intervention,0.01,4.0,0,0.045987,12.063153,42,161.138453,161.138453,20.0,4929.845857,0.0,0.0
21,Policy_B_moderate_intervention,0.025,7.0,0,0.045987,12.063153,42,67.037491,67.037491,20.0,333.805779,0.0,0.0
21,Policy_C_high_resilience,0.02,12.0,0,0.045987,12.063153,42,91.632668,91.632668,20.0,1057.425585,0.0,0.0
21,Policy_D_delayed_adaptation,0.015,6.0,8,0.045987,12.063153,42,134.599855,134.599855,20.0,3299.407778,0.0,0.0
22,Policy_A_low_intervention,0.01,4.0,0,0.072149,11.664637,39,734.67539,734.67539,20.0,119173.688612,0.0,0.0
22,Policy_B_moderate_intervention,0.025,7.0,0,0.072149,11.664637,39,312.97376,312.97376,20.0,21849.307546,0.0,0.0
22,Policy_C_high_resilience,0.02,12.0,0,0.072149,11.664637,39,419.526571,419.526571,20.0,39848.534322,0.0,0.0
22,Policy_D_delayed_adaptation,0.015,6.0,8,0.072149,11.664637,39,613.26097,613.26097,20.0,86491.076514,0.0,0.0
23,Policy_A_low_intervention,0.01,4.0,0,0.058574,9.614518,27,332.832228,332.832228,20.0,24604.970005,0.0,0.0
23,Policy_B_moderate_intervention,0.025,7.0,0,0.058574,9.614518,27,140.96832,140.96832,20.0,3496.175659,0.0,0.0
23,Policy_C_high_resilience,0.02,12.0,0,0.058574,9.614518,27,190.972179,190.972179,20.0,7398.981588,0.0,0.0
23,Policy_D_delayed_adaptation,0.015,6.0,8,0.058574,9.614518,27,279.087962,279.087962,20.0,17690.691897,0.0,0.0
24,Policy_A_low_intervention,0.01,4.0,0,0.037353,6.830198,40,98.045808,98.045808,20.0,1257.321945,0.0,46.696683
24,Policy_B_moderate_intervention,0.025,7.0,0,0.037353,6.830198,40,40.531041,40.531041,20.0,43.595858,46.696683,0.0
24,Policy_C_high_resilience,0.02,12.0,0,0.037353,6.830198,40,55.344897,55.344897,20.0,167.187129,5.683188,41.013495
24,Policy_D_delayed_adaptation,0.015,6.0,8,0.037353,6.830198,40,81.666925,81.666925,20.0,743.65424,0.0,46.696683
25,Policy_A_low_intervention,0.01,4.0,0,0.060967,3.953073,30,390.413462,390.413462,20.0,34360.437894,0.0,0.0
25,Policy_B_moderate_intervention,0.025,7.0,0,0.060967,3.953073,30,165.014979,165.014979,20.0,5225.861054,0.0,0.0
25,Policy_C_high_resilience,0.02,12.0,0,0.060967,3.953073,30,221.362868,221.362868,20.0,10384.957016,0.0,0.0
25,Policy_D_delayed_adaptation,0.015,6.0,8,0.060967,3.953073,30,325.107843,325.107843,20.0,24462.46234,0.0,0.0
26,Policy_A_low_intervention,0.01,4.0,0,0.067928,13.967998,27,564.291062,564.291062,20.0,70933.07808,0.0,0.0
26,Policy_B_moderate_intervention,0.025,7.0,0,0.067928,13.967998,27,241.068674,241.068674,20.0,12395.047908,0.0,0.0
26,Policy_C_high_resilience,0.02,12.0,0,0.067928,13.967998,27,326.380912,326.380912,20.0,23791.197291,0.0,0.0
26,Policy_D_delayed_adaptation,0.015,6.0,8,0.067928,13.967998,27,474.717093,474.717093,20.0,52164.995165,0.0,0.0
27,Policy_A_low_intervention,0.01,4.0,0,0.066981,14.490824,32,538.888987,538.888987,20.0,64999.246448,0.0,0.0
27,Policy_B_moderate_intervention,0.025,7.0,0,0.066981,14.490824,32,229.29444,229.29444,20.0,11131.565835,0.0,0.0
27,Policy_C_high_resilience,0.02,12.0,0,0.066981,14.490824,32,309.944809,309.944809,20.0,21394.150638,0.0,0.0
27,Policy_D_delayed_adaptation,0.015,6.0,8,0.066981,14.490824,32,451.919449,451.919449,20.0,47423.831039,0.0,0.0
28,Policy_A_low_intervention,0.01,4.0,0,0.042048,3.797691,38,130.848869,130.848869,20.0,2887.922489,0.0,13.665306
28,Policy_B_moderate_intervention,0.025,7.0,0,0.042048,3.797691,38,54.360552,54.360552,20.0,132.690434,13.665306,0.0
28,Policy_C_high_resilience,0.02,12.0,0,0.042048,3.797691,38,73.503058,73.503058,20.0,502.127256,0.0,13.665306
28,Policy_D_delayed_adaptation,0.015,6.0,8,0.042048,3.797691,38,108.651197,108.651197,20.0,1832.648695,0.0,13.665306
29,Policy_A_low_intervention,0.01,4.0,0,0.069437,5.664202,40,634.544943,634.544943,20.0,89943.44504,0.0,0.0
29,Policy_B_moderate_intervention,0.025,7.0,0,0.069437,5.664202,40,269.684301,269.684301,20.0,15967.929201,0.0,0.0
29,Policy_C_high_resilience,0.02,12.0,0,0.069437,5.664202,40,360.504672,360.504672,20.0,29330.711451,0.0,0.0
29,Policy_D_delayed_adaptation,0.015,6.0,8,0.069437,5.664202,40,528.402469,528.402469,20.0,64812.404632,0.0,0.0
30,Policy_A_low_intervention,0.01,4.0,0,0.052465,15.924297,40,233.363663,233.363663,20.0,11604.090187,0.0,0.0
30,Policy_B_moderate_intervention,0.025,7.0,0,0.052465,15.924297,40,97.728332,97.728332,20.0,1261.083272,0.0,0.0
30,Policy_C_high_resilience,0.02,12.0,0,0.052465,15.924297,40,133.49264,133.49264,20.0,3088.836684,0.0,0.0
30,Policy_D_delayed_adaptation,0.015,6.0,8,0.052465,15.924297,40,195.411123,195.411123,20.0,8133.967537,0.0,0.0
31,Policy_A_low_intervention,0.01,4.0,0,0.050648,4.767843,27,213.969433,213.969433,20.0,9528.961457,0.0,0.0
31,Policy_B_moderate_intervention,0.025,7.0,0,0.050648,4.767843,27,89.827435,89.827435,20.0,960.649115,0.0,0.0
31,Policy_C_high_resilience,0.02,12.0,0,0.050648,4.767843,27,121.289935,121.289935,20.0,2387.868939,0.0,0.0
31,Policy_D_delayed_adaptation,0.015,6.0,8,0.050648,4.767843,27,178.394454,178.394454,20.0,6565.588581,0.0,0.0
32,Policy_A_low_intervention,0.01,4.0,0,0.063525,9.701591,43,450.896536,450.896536,20.0,46012.957917,0.0,0.0
32,Policy_B_moderate_intervention,0.025,7.0,0,0.063525,9.701591,43,190.577056,190.577056,20.0,7383.651786,0.0,0.0
32,Policy_C_high_resilience,0.02,12.0,0,0.063525,9.701591,43,256.076275,256.076275,20.0,14318.020229,0.0,0.0
32,Policy_D_delayed_adaptation,0.015,6.0,8,0.063525,9.701591,43,375.633156,375.633156,20.0,32928.346204,0.0,0.0
33,Policy_A_low_intervention,0.01,4.0,0,0.056306,16.160812,32,288.036337,288.036337,20.0,18126.066976,0.0,0.0
33,Policy_B_moderate_intervention,0.025,7.0,0,0.056306,16.160812,32,121.669926,121.669926,20.0,2354.222547,0.0,0.0
33,Policy_C_high_resilience,0.02,12.0,0,0.056306,16.160812,32,166.294028,166.294028,20.0,5327.831865,0.0,0.0
33,Policy_D_delayed_adaptation,0.015,6.0,8,0.056306,16.160812,32,242.372688,242.372688,20.0,13047.322137,0.0,0.0
34,Policy_A_low_intervention,0.01,4.0,0,0.04629,17.951864,24,153.592242,153.592242,20.0,4192.342394,0.0,0.0
34,Policy_B_moderate_intervention,0.025,7.0,0,0.04629,17.951864,24,65.314903,65.314903,20.0,285.316128,0.0,0.0
34,Policy_C_high_resilience,0.02,12.0,0,0.04629,17.951864,24,91.08489,91.08489,20.0,1013.683819,0.0,0.0
34,Policy_D_delayed_adaptation,0.015,6.0,8,0.04629,17.951864,24,131.46015,131.46015,20.0,3000.069243,0.0,0.0
35,Policy_A_low_intervention,0.01,4.0,0,0.052929,1.636369,21,246.95414,246.95414,20.0,13152.895671,0.0,0.0
35,Policy_B_moderate_intervention,0.025,7.0,0,0.052929,1.636369,21,103.741658,103.741658,20.0,1513.979323,0.0,0.0
35,Policy_C_high_resilience,0.02,12.0,0,0.052929,1.636369,21,139.234879,139.234879,20.0,3446.224432,0.0,0.0
35,Policy_D_delayed_adaptation,0.015,6.0,8,0.052929,1.636369,21,205.231002,205.231002,20.0,9094.976485,0.0,0.0
36,Policy_A_low_intervention,0.01,4.0,0,0.06875,2.751144,25,609.575323,609.575323,20.0,83097.484164,0.0,0.0
36,Policy_B_moderate_intervention,0.025,7.0,0,0.06875,2.751144,25,259.34285,259.34285,20.0,14657.792093,0.0,0.0
36,Policy_C_high_resilience,0.02,12.0,0,0.06875,2.751144,25,346.594793,346.594793,20.0,27039.832802,0.0,0.0
36,Policy_D_delayed_adaptation,0.015,6.0,8,0.06875,2.751144,25,507.928845,507.928845,20.0,59929.484371,0.0,0.0
37,Policy_A_low_intervention,0.01,4.0,0,0.065644,7.598879,22,500.438596,500.438596,20.0,56135.788326,0.0,0.0
37,Policy_B_moderate_intervention,0.025,7.0,0,0.065644,7.598879,22,213.415374,213.415374,20.0,9477.526933,0.0,0.0
37,Policy_C_high_resilience,0.02,12.0,0,0.065644,7.598879,22,287.652814,287.652814,20.0,18282.020969,0.0,0.0
37,Policy_D_delayed_adaptation,0.015,6.0,8,0.065644,7.598879,22,419.728928,419.728928,20.0,40914.211465,0.0,0.0
38,Policy_A_low_intervention,0.01,4.0,0,0.047315,10.725992,34,173.208664,173.208664,20.0,5809.305893,0.0,0.0
38,Policy_B_moderate_intervention,0.025,7.0,0,0.047315,10.725992,34,72.460138,72.460138,20.0,446.099396,0.0,0.0
38,Policy_C_high_resilience,0.02,12.0,0,0.047315,10.725992,34,98.946724,98.946724,20.0,1330.231587,0.0,0.0
38,Policy_D_delayed_adaptation,0.015,6.0,8,0.047315,10.725992,34,145.057811,145.057811,20.0,3959.496092,0.0,0.0
39,Policy_A_low_intervention,0.01,4.0,0,0.05381,17.479411,20,237.727384,237.727384,20.0,11709.08012,0.0,0.0
39,Policy_B_moderate_intervention,0.025,7.0,0,0.05381,17.479411,20,102.159636,102.159636,20.0,1393.478873,0.0,0.0
39,Policy_C_high_resilience,0.02,12.0,0,0.05381,17.479411,20,141.546398,141.546398,20.0,3536.298285,0.0,0.0
39,Policy_D_delayed_adaptation,0.015,6.0,8,0.05381,17.479411,20,203.801728,203.801728,20.0,8741.670065,0.0,0.0
40,Policy_A_low_intervention,0.01,4.0,0,0.060613,2.061931,37,385.287607,385.287607,20.0,33527.556879,0.0,0.0
40,Policy_B_moderate_intervention,0.025,7.0,0,0.060613,2.061931,37,162.598854,162.598854,20.0,5055.545129,0.0,0.0
40,Policy_C_high_resilience,0.02,12.0,0,0.060613,2.061931,37,217.531645,217.531645,20.0,9999.958782,0.0,0.0
40,Policy_D_delayed_adaptation,0.015,6.0,8,0.060613,2.061931,37,320.099822,320.099822,20.0,23730.747274,0.0,0.0
41,Policy_A_low_intervention,0.01,4.0,0,0.06379,13.834777,30,447.07226,447.07226,20.0,44828.319906,0.0,0.0
41,Policy_B_moderate_intervention,0.025,7.0,0,0.06379,13.834777,30,190.002668,190.002668,20.0,7248.872358,0.0,0.0
41,Policy_C_high_resilience,0.02,12.0,0,0.06379,13.834777,30,257.530629,257.530629,20.0,14422.562688,0.0,0.0
41,Policy_D_delayed_adaptation,0.015,6.0,8,0.06379,13.834777,30,375.409542,375.409542,20.0,32662.394787,0.0,0.0
42,Policy_A_low_intervention,0.01,4.0,0,0.03502,7.825775,34,84.378401,84.378401,20.0,754.266989,0.0,53.659195
42,Policy_B_moderate_intervention,0.025,7.0,0,0.03502,7.825775,34,34.928004,34.928004,20.0,39.6,53.659195,0.0
42,Policy_C_high_resilience,0.02,12.0,0,0.03502,7.825775,34,47.960847,47.960847,20.0,97.73131,27.696807,25.962388
42,Policy_D_delayed_adaptation,0.015,6.0,8,0.03502,7.825775,34,70.582134,70.582134,20.0,427.442105,0.0,53.659195
43,Policy_A_low_intervention,0.01,4.0,0,0.030146,12.997657,43,61.625668,61.625668,20.0,217.192558,0.0,64.374178
43,Policy_B_moderate_intervention,0.025,7.0,0,0.030146,12.997657,43,25.187111,25.187111,20.0,39.6,64.374178,0.0
43,Policy_C_high_resilience,0.02,12.0,0,0.030146,12.997657,43,35.364579,35.364579,20.0,62.40399,48.618165,15.756013
43,Policy_D_delayed_adaptation,0.015,6.0,8,0.030146,12.997657,43,51.820655,51.820655,20.0,106.801397,21.637,42.737178
44,Policy_A_low_intervention,0.01,4.0,0,0.041853,9.01055,25,124.496339,124.496339,20.0,2467.909017,0.0,20.966531
44,Policy_B_moderate_intervention,0.025,7.0,0,0.041853,9.01055,25,52.203599,52.203599,20.0,108.047551,20.966531,0.0
44,Policy_C_high_resilience,0.02,12.0,0,0.041853,9.01055,25,71.568149,71.568149,20.0,450.469149,0.0,20.966531
44,Policy_D_delayed_adaptation,0.015,6.0,8,0.041853,9.01055,25,104.746374,104.746374,20.0,1617.965547,0.0,20.966531
45,Policy_A_low_intervention,0.01,4.0,0,0.052846,1.915395,40,246.766812,246.766812,20.0,13165.565881,0.0,0.0
45,Policy_B_moderate_intervention,0.025,7.0,0,0.052846,1.915395,40,103.447413,103.447413,20.0,1505.775641,0.0,0.0
45,Policy_C_high_resilience,0.02,12.0,0,0.052846,1.915395,40,138.740599,138.740599,20.0,3419.644282,0.0,0.0
45,Policy_D_delayed_adaptation,0.015,6.0,8,0.052846,1.915395,40,204.738359,204.738359,20.0,9063.958173,0.0,0.0
46,Policy_A_low_intervention,0.01,4.0,0,0.04343,11.501091,39,138.1092,138.1092,20.0,3318.989769,0.0,3.111818
46,Policy_B_moderate_intervention,0.025,7.0,0,0.04343,11.501091,39,57.416586,57.416586,20.0,168.649691,3.111818,0.0
46,Policy_C_high_resilience,0.02,12.0,0,0.04343,11.501091,39,78.704908,78.704908,20.0,637.502481,0.0,3.111818
46,Policy_D_delayed_adaptation,0.015,6.0,8,0.04343,11.501091,39,115.54315,115.54315,20.0,2177.447497,0.0,3.111818
47,Policy_A_low_intervention,0.01,4.0,0,0.038951,6.730449,25,106.27509,106.27509,20.0,1577.71074,0.0,40.186006
47,Policy_B_moderate_intervention,0.025,7.0,0,0.038951,6.730449,25,44.36339,44.36339,20.0,55.071322,40.186006,0.0
47,Policy_C_high_resilience,0.02,12.0,0,0.038951,6.730449,25,60.609873,60.609873,20.0,238.967898,0.0,40.186006
47,Policy_D_delayed_adaptation,0.015,6.0,8,0.038951,6.730449,25,89.051889,89.051889,20.0,980.647814,0.0,40.186006
48,Policy_A_low_intervention,0.01,4.0,0,0.054272,14.015277,36,259.150264,259.150264,20.0,14533.054828,0.0,0.0
48,Policy_B_moderate_intervention,0.025,7.0,0,0.054272,14.015277,36,108.936671,108.936671,20.0,1734.893945,0.0,0.0
48,Policy_C_high_resilience,0.02,12.0,0,0.054272,14.015277,36,148.426728,148.426728,20.0,4041.001621,0.0,0.0
48,Policy_D_delayed_adaptation,0.015,6.0,8,0.054272,14.015277,36,217.134939,217.134939,20.0,10284.932386,0.0,0.0
49,Policy_A_low_intervention,0.01,4.0,0,0.071332,10.781003,35,699.458015,699.458015,20.0,108289.644495,0.0,0.0
49,Policy_B_moderate_intervention,0.025,7.0,0,0.071332,10.781003,35,298.056079,298.056079,20.0,19690.278308,0.0,0.0
49,Policy_C_high_resilience,0.02,12.0,0,0.071332,10.781003,35,399.973898,399.973898,20.0,36173.063053,0.0,0.0
49,Policy_D_delayed_adaptation,0.015,6.0,8,0.071332,10.781003,35,584.390233,584.390233,20.0,78702.722493,0.0,0.0
50,Policy_A_low_intervention,0.01,4.0,0,0.030876,16.723775,45,63.390993,63.390993,20.0,254.22058,0.0,63.661916
50,Policy_B_moderate_intervention,0.025,7.0,0,0.030876,16.723775,45,25.816935,25.881786,20.0,39.6,63.661916,0.0
50,Policy_C_high_resilience,0.02,12.0,0,0.030876,16.723775,45,36.635796,36.635796,20.0,62.55501,47.189622,16.472294
50,Policy_D_delayed_adaptation,0.015,6.0,8,0.030876,16.723775,45,53.491991,53.491991,20.0,128.211675,15.516475,48.145441
51,Policy_A_low_intervention,0.01,4.0,0,0.043838,1.042653,38,146.751218,146.751218,20.0,3901.609247,0.0,0.0
51,Policy_B_moderate_intervention,0.025,7.0,0,0.043838,1.042653,38,61.058643,61.058643,20.0,225.580701,0.0,0.0
51,Policy_C_high_resilience,0.02,12.0,0,0.043838,1.042653,38,82.060973,82.060973,20.0,738.379951,0.0,0.0
51,Policy_D_delayed_adaptation,0.015,6.0,8,0.043838,1.042653,38,121.533731,121.533731,20.0,2512.196393,0.0,0.0
52,Policy_A_low_intervention,0.01,4.0,0,0.072613,1.541762,35,763.010545,763.010545,20.0,128342.333494,0.0,0.0
52,Policy_B_moderate_intervention,0.025,7.0,0,0.072613,1.541762,35,325.189056,325.189056,20.0,23697.188797,0.0,0.0
52,Policy_C_high_resilience,0.02,12.0,0,0.072613,1.541762,35,433.194619,433.194619,20.0,42522.800511,0.0,0.0
52,Policy_D_delayed_adaptation,0.015,6.0,8,0.072613,1.541762,35,634.938382,634.938382,20.0,92589.365856,0.0,0.0
53,Policy_A_low_intervention,0.01,4.0,0,0.066721,17.603721,37,532.182821,532.182821,20.0,63560.066515,0.0,0.0
53,Policy_B_moderate_intervention,0.025,7.0,0,0.066721,17.603721,37,225.897321,225.897321,20.0,10798.338797,0.0,0.0
53,Policy_C_high_resilience,0.02,12.0,0,0.066721,17.603721,37,305.468528,305.468528,20.0,20777.545674,0.0,0.0
53,Policy_D_delayed_adaptation,0.015,6.0,8,0.066721,17.603721,37,445.751944,445.751944,20.0,46226.514624,0.0,0.0
